mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
SingleUseConsts,block-placement,3.277933679520362,3.2888986055466103,3.242552551203625,3.781341162265017,-0.1503784171994995,0.8603823313417683,-13.961766865823169,0.3345072566523832,-1.0793729152541842,15.35746393802313,-0.1714115224032599,-0.1336680081150306,0.000999500249875,90,30,30,30,3,"A,B,C",0.1503784171994995,1,extreme,0.002251248866747,True,False,negative_interaction
SingleUseConsts,expand-reductions,3.277933679520362,3.2888986055466103,3.237304899151568,3.769963220313708,-0.1489845928712753,0.8615823893074767,-13.841761069252334,0.3345072566523832,-1.2394631600581851,15.010356794812886,-0.1666369172434161,-0.1338375043016932,0.000999500249875,90,30,30,30,3,"A,B,C",0.1489845928712753,2,extreme,0.002251248866747,True,False,negative_interaction
SingleUseConsts,adv-copy-opt,3.277933679520362,3.2888986055466103,3.2405208573995705,3.768216117191842,-0.1475281454146781,0.8628381530419998,-13.716184695800017,0.3345072566523832,-1.141353846007842,14.95705787870667,-0.1620181672904039,-0.1341437572249049,0.000999500249875,90,30,30,30,3,"A,B,C",0.1475281454146781,3,extreme,0.002251248866747,True,False,negative_interaction
SingleUseConsts,loop-idiom-vectorize-all,3.277933679520362,3.2888986055466103,3.260068193020564,3.786060459552257,-0.1462384183812181,0.8639516966627788,-13.604830333722118,0.3345072566523832,-0.5450228176188232,15.501435651567096,-0.1557377834576741,-0.136844657195762,0.000999500249875,90,30,30,30,3,"A,B,C",0.1462384183812181,4,extreme,0.002251248866747,True,False,negative_interaction
ScalarReplacementOfAggregates,cfi-fixup,3.277933679520362,3.3010214646701503,3.2613717225539243,3.801265545476163,-0.1461674616998962,0.8640130019829818,-13.59869980170182,0.7043396055885554,-0.5052560114291782,15.965297566129411,-0.1562303820099188,-0.1355038416448957,0.000999500249875,90,30,30,30,3,"A,B,C",0.1461674616998962,5,extreme,0.002251248866747,True,False,negative_interaction
ScalarReplacementOfAggregates,post-ra,3.277933679520362,3.3010214646701503,3.229028230850719,3.7557633219302384,-0.1440916041808146,0.8658084327542288,-13.41915672457712,0.7043396055885554,-1.4919596749376374,14.577160160232204,-0.1589162199294878,-0.130514139304682,0.000999500249875,90,30,30,30,3,"A,B,C",0.1440916041808146,6,extreme,0.002251248866747,True,False,negative_interaction
ScalarReplacementOfAggregates,global-outlining,3.277933679520362,3.3010214646701503,3.2575151425793174,3.786760911741299,-0.1435276272423836,0.8662968664631289,-13.370313353687113,0.7043396055885554,-0.6229087875881834,15.52280436300315,-0.1586837285477122,-0.1315463465076141,0.000999500249875,90,30,30,30,3,"A,B,C",0.1435276272423836,7,extreme,0.002251248866747,True,False,negative_interaction
SingleUseConsts,ifcvt-simple,3.277933679520362,3.2888986055466103,3.267145920669915,3.781297748149213,-0.1428109834136982,0.8669179152751085,-13.308208472489149,0.3345072566523832,-0.3291024134455922,15.356139502569333,-0.1527904016366961,-0.132684295132738,0.000999500249875,90,30,30,30,3,"A,B,C",0.1428109834136982,8,extreme,0.002251248866747,True,False,negative_interaction
ScalarReplacementOfAggregates,layout-fsprofile-loader,3.277933679520362,3.3010214646701503,3.257687185506727,3.783228558704488,-0.1425415626386258,0.8671515124383176,-13.284848756168245,0.7043396055885554,-0.6176602699478062,15.415042785675316,-0.1535954478337198,-0.1323972323088392,0.000999500249875,90,30,30,30,3,"A,B,C",0.1425415626386258,9,extreme,0.002251248866747,True,False,negative_interaction
ScalarReplacementOfAggregates,type-promotion,3.277933679520362,3.3010214646701503,3.250842061933863,3.770667596630725,-0.1413193011525431,0.8682120463274032,-13.178795367259678,0.7043396055885554,-0.8264846160787376,15.031845219713569,-0.1550113821906419,-0.1295642943717254,0.000999500249875,90,30,30,30,3,"A,B,C",0.1413193011525431,10,extreme,0.002251248866747,True,False,negative_interaction
