mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
EarlyOtherwiseBranch,memop-opt,3.277933679520362,3.325147038591745,3.2719000490625256,3.199448930214488,0.0366929323943526,1.0373744278441486,3.737442784414857,1.4403390576923192,-0.184068106549351,-2.3943360964325144,0.0224601710362488,0.0525575292301911,0.000999500249875,90,30,30,30,3,"A,B,C",0.0366929323943526,352,moderate,0.002251248866747,True,False,positive_interaction
DestinationPropagation,machine-sink,3.277933679520362,3.312361327448921,3.252247254264363,3.172218393660497,0.0353631472814114,1.035995859576382,3.599585957638207,1.0502850665848662,-0.78361638054123,-3.2250587167258926,0.0199721512487532,0.0475377699120707,0.000999500249875,90,30,30,30,3,"A,B,C",0.0353631472814114,378,moderate,0.002251248866747,True,False,positive_interaction
DeadStoreElimination-initial,ra-fsprofile-loader,3.277933679520362,3.299294922369908,3.252943945471451,3.161795268002744,0.0349159642718277,1.0355326833999574,3.553268339995741,0.6516679389520608,-0.7623624054702627,-3.5430372567699986,0.0147298461572733,0.0591307305118592,0.000999500249875,90,30,30,30,3,"A,B,C",0.0349159642718277,384,moderate,0.002251248866747,True,False,positive_interaction
EarlyOtherwiseBranch,mergeicmps,3.277933679520362,3.325147038591745,3.249658746132682,3.185067745721526,0.034377077739479,1.034974799114731,3.497479911473089,1.4403390576923192,-0.8625840591081624,-2.833063230627197,0.0170590774243207,0.0542872073010119,0.000999500249875,90,30,30,30,3,"A,B,C",0.034377077739479,399,moderate,0.002251248866747,True,False,positive_interaction
EarlyOtherwiseBranch,machine-sink,3.277933679520362,3.325147038591745,3.252247254264363,3.1985758261567963,0.0309412109692607,1.031424865635977,3.1424865635977017,1.4403390576923192,-0.78361638054123,-2.420971902493707,0.0162510231371655,0.0429599083512764,0.0019990004997501,90,30,30,30,3,"A,B,C",0.0309412109692607,476,moderate,0.0041792705662282,True,False,positive_interaction
DeadStoreElimination-initial,cgdata-for-merging,3.277933679520362,3.299294922369908,3.2749862528078757,3.196218443428793,0.0308408345204327,1.031321340066583,3.1321340066583048,0.6516679389520608,-0.0899172161688777,-2.492888632924584,0.019917319771427,0.0413450616509734,0.000999500249875,90,30,30,30,3,"A,B,C",0.0308408345204327,478,moderate,0.002251248866747,True,False,positive_interaction
DeadStoreElimination-initial,dfa-sched,3.277933679520362,3.299294922369908,3.2765449145860868,3.1989752143877945,0.0304545121240891,1.0309229944849525,3.092299448495228,0.6516679389520608,-0.0423670845738022,-2.4087877563197413,0.0116367940491298,0.0560362452269289,0.000999500249875,90,30,30,30,3,"A,B,C",0.0304545121240891,486,moderate,0.002251248866747,True,False,positive_interaction
DeadStoreElimination-initial,2addr-hack,3.277933679520362,3.299294922369908,3.284779226045833,3.2071768296820355,0.0304039227782342,1.0308708420842236,3.087084208422364,0.6516679389520608,0.2088372491560797,-2.1585808852813693,0.0182807885312053,0.0457744492622068,0.000999500249875,90,30,30,30,3,"A,B,C",0.0304039227782342,489,moderate,0.002251248866747,True,False,positive_interaction
DeadStoreElimination-initial,layout-fsprofile-loader,3.277933679520362,3.299294922369908,3.257687185506727,3.1810296746827937,0.0303080874825468,1.0307720530060729,3.0772053006072886,0.6516679389520608,-0.6176602699478062,-2.9562527589560017,0.0106134479435853,0.0529149350836867,0.0019990004997501,90,30,30,30,3,"A,B,C",0.0303080874825468,493,moderate,0.0041792705662282,True,False,positive_interaction
DeadStoreElimination-initial,thinlto-funcattrs,3.277933679520362,3.299294922369908,3.2720338618776434,3.1968372999864774,0.0297453279878866,1.0301921394376514,3.019213943765142,0.6516679389520608,-0.1799858758454897,-2.4740091613370097,0.0186371030313153,0.0417183550910403,0.000999500249875,90,30,30,30,3,"A,B,C",0.0297453279878866,500,moderate,0.002251248866747,True,False,positive_interaction
