Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_000_ALL_OFF,3,4.088281,0.985102,449952,18,66,32,54,71,13
A,EXP_000_DEFAULT,3,4.532012,1.523490,449968,17,65,31,54,71,13
A,EXP_001_DISABLE_ALL,3,3.680088,1.433112,450208,17,65,31,54,71,13
A,EXP_ABL_001_CopyProp,3,3.545132,1.571682,449968,17,65,31,54,71,13
A,EXP_ABL_001_disable-binop-extract-shuffle,3,3.751717,0.987400,449968,17,65,31,54,71,13
A,EXP_ABL_002_DataflowConstProp,3,4.066621,1.490770,449968,17,65,31,54,71,13
A,EXP_ABL_002_disable-expand-reductions,3,4.254488,1.570669,449968,17,65,31,54,71,13
A,EXP_ABL_003_DeadStoreElimination-final,3,4.583374,1.478689,449952,17,65,31,54,71,13
A,EXP_ABL_003_disable-interleaved-load-combine,3,4.467895,1.506547,449968,17,65,31,54,71,13
A,EXP_ABL_004_DeadStoreElimination-initial,3,4.607413,1.507549,449968,17,65,31,54,71,13
A,EXP_ABL_004_disable-loop-idiom-vectorize-all,3,4.475312,1.502224,449968,17,65,31,54,71,13
A,EXP_ABL_005_DestinationPropagation,3,3.902630,1.493253,449968,17,65,31,54,71,13
A,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,3,4.397267,1.486099,449968,17,65,31,54,71,13
A,EXP_ABL_006_EarlyOtherwiseBranch,3,2.744824,0.980495,449968,17,65,31,54,71,13
A,EXP_ABL_006_disable-promote-alloca-to-vector,3,4.150232,1.455201,449968,17,65,31,54,71,13
A,EXP_ABL_007_EnumSizeOpt,3,2.067293,0.983848,449968,17,65,31,54,71,13
A,EXP_ABL_007_disable-replace-with-vec-lib,3,4.497795,1.588470,449968,17,65,31,54,71,13
A,EXP_ABL_008_ForceInline,3,4.733018,1.443396,449968,17,65,31,54,71,13
A,EXP_ABL_008_disable-vector-combine,3,4.388870,1.481586,449968,17,65,31,54,71,13
A,EXP_ABL_009_GVN,3,3.442092,0.938987,449968,17,65,31,54,71,13
A,EXP_ABL_009_disable-advanced-peeling,3,4.533225,1.432080,449968,17,65,31,54,71,13
A,EXP_ABL_010_ImpossiblePredicates,3,4.742365,4.425841,449968,17,65,31,54,71,13
A,EXP_ABL_010_disable-lftr,3,4.450810,1.570934,449968,17,65,31,54,71,13
A,EXP_ABL_011_Inline,3,3.815390,1.980759,449952,18,66,32,54,71,13
A,EXP_ABL_011_disable-licm-promotion,3,2.891258,0.946356,449968,17,65,31,54,71,13
A,EXP_ABL_012_InstSimplify-after-simplifycfg,3,4.598747,1.545235,449968,17,65,31,54,71,13
A,EXP_ABL_012_disable-loop-level-heuristics,3,2.020916,0.768782,449968,17,65,31,54,71,13
A,EXP_ABL_013_InstSimplify-before-inline,3,3.636875,1.004806,449968,17,65,31,54,71,13
A,EXP_ABL_013_disable-lsr,3,4.470525,1.533490,449984,17,65,31,54,71,13
A,EXP_ABL_014_JumpThreading,3,4.460536,1.437633,449968,17,65,31,54,71,13
A,EXP_ABL_014_disable-machine-licm,3,3.642735,0.990472,449888,17,65,31,54,71,13
A,EXP_ABL_015_MatchBranchSimplification,3,3.641897,0.996782,449968,17,65,31,54,71,13
A,EXP_ABL_015_disable-postra-machine-licm,3,3.910401,1.514171,449968,17,65,31,54,71,13
A,EXP_ABL_016_ReferencePropagation,3,4.704468,1.517008,449968,17,65,31,54,71,13
A,EXP_ABL_016_disable-preheader-prot,3,4.329267,1.434151,449968,17,65,31,54,71,13
A,EXP_ABL_017_ScalarReplacementOfAggregates,3,4.711672,1.547061,449968,17,65,31,54,71,13
A,EXP_ABL_017_disable-block-placement,3,4.572844,1.498610,449856,17,65,31,54,71,13
A,EXP_ABL_018_SingleUseConsts,3,4.583332,1.563146,449968,17,65,31,54,71,13
A,EXP_ABL_018_disable-branch-fold,3,4.614403,1.475852,449952,17,65,31,54,71,13
A,EXP_ABL_019_UnreachableEnumBranching,3,3.731802,1.364911,449968,17,65,31,54,71,13
A,EXP_ABL_019_disable-cgp-branch-opts,3,4.611232,1.555136,449968,17,65,31,54,71,13
A,EXP_ABL_020_UnreachablePropagation,3,4.503188,1.519220,449968,17,65,31,54,71,13
A,EXP_ABL_020_disable-cgp-select2branch,3,4.715877,1.506664,449968,17,65,31,54,71,13
A,EXP_ABL_021_disable-chr,3,4.642527,1.589838,449968,17,65,31,54,71,13
A,EXP_ABL_022_disable-early-ifcvt,3,4.703452,1.552045,449968,17,65,31,54,71,13
A,EXP_ABL_023_disable-early-taildup,3,4.572859,1.490691,449968,17,65,31,54,71,13
A,EXP_ABL_024_disable-ifcvt-diamond,3,4.511930,1.529051,449968,17,65,31,54,71,13
A,EXP_ABL_025_disable-ifcvt-forked-diamond,3,3.591273,0.979988,449968,17,65,31,54,71,13
A,EXP_ABL_026_disable-ifcvt-simple,3,3.670096,1.013261,449968,17,65,31,54,71,13
A,EXP_ABL_027_disable-ifcvt-simple-false,3,4.545209,1.539175,449968,17,65,31,54,71,13
A,EXP_ABL_028_disable-ifcvt-triangle,3,3.729712,1.444737,449968,17,65,31,54,71,13
A,EXP_ABL_029_disable-ifcvt-triangle-false,3,4.821973,1.585541,449968,17,65,31,54,71,13
A,EXP_ABL_030_disable-ifcvt-triangle-rev,3,3.720017,1.054943,449968,17,65,31,54,71,13
A,EXP_ABL_031_disable-tail-calls,3,3.943844,1.494336,449968,17,65,31,54,71,13
