Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_000_ALL_OFF,10,1.912507,0.081282,0.314571,0.005323,448440,18,66,32,54,71,13
A,EXP_001_DISABLE_ALL,10,1.926560,0.012169,0.309072,0.008716,448744,17,65,31,54,71,13
A,EXP_ABL_001_CopyProp,10,1.914413,0.037299,0.298632,0.024168,448440,17,65,31,54,71,13
A,EXP_ABL_001_disable-binop-extract-shuffle,10,1.930436,0.020311,0.309507,0.009706,448440,17,65,31,54,71,13
A,EXP_ABL_002_DataflowConstProp,10,1.930330,0.031817,0.296862,0.011426,448440,17,65,31,54,71,13
A,EXP_ABL_002_disable-expand-reductions,10,1.938480,0.025840,0.317993,0.013477,448440,17,65,31,54,71,13
A,EXP_ABL_003_DeadStoreElimination-final,10,1.952898,0.029006,0.305067,0.014893,448440,17,65,31,54,71,13
A,EXP_ABL_003_disable-interleaved-load-combine,10,1.938743,0.033484,0.315739,0.009525,448440,17,65,31,54,71,13
A,EXP_ABL_004_DeadStoreElimination-initial,10,1.952473,0.012407,0.304518,0.017209,448440,17,65,31,54,71,13
A,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,1.937920,0.026457,0.313874,0.004088,448440,17,65,31,54,71,13
A,EXP_ABL_005_DestinationPropagation,10,1.943995,0.021440,0.305632,0.010165,448440,17,65,31,54,71,13
A,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,1.944211,0.022155,0.316198,0.006673,448440,17,65,31,54,71,13
A,EXP_ABL_006_EarlyOtherwiseBranch,10,1.950751,0.022460,0.309597,0.009339,448440,17,65,31,54,71,13
A,EXP_ABL_006_disable-promote-alloca-to-vector,10,1.978130,0.030806,0.312330,0.011062,448440,17,65,31,54,71,13
A,EXP_ABL_007_EnumSizeOpt,10,1.949839,0.026493,0.300498,0.013294,448440,17,65,31,54,71,13
A,EXP_ABL_007_disable-replace-with-vec-lib,10,1.978981,0.006110,0.308294,0.015402,448440,17,65,31,54,71,13
A,EXP_ABL_008_ForceInline,10,1.939186,0.041005,0.305685,0.009403,448440,17,65,31,54,71,13
A,EXP_ABL_008_disable-vector-combine,10,1.979497,0.016107,0.312519,0.015864,448440,17,65,31,54,71,13
A,EXP_ABL_009_GVN,10,1.945825,0.028693,0.303929,0.016671,448440,17,65,31,54,71,13
A,EXP_ABL_009_disable-advanced-peeling,10,1.981095,0.012038,0.315468,0.007418,448440,17,65,31,54,71,13
A,EXP_ABL_010_ImpossiblePredicates,10,1.940149,0.009134,0.300553,0.006811,448440,17,65,31,54,71,13
