Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1324,10,1.910662,0.180216,0.094321,0.320533,0.008405,0.026222,448440
C,EXP_DBL_0340,10,3.730425,0.323612,0.086749,0.313544,0.013595,0.043359,448440
C,EXP_DBL_1324,10,3.664114,0.307377,0.083888,0.320533,0.008405,0.026222,448440
A,EXP_DBL_1131,10,2.011986,0.167761,0.083381,0.321951,0.009950,0.030905,448440
C,EXP_DBL_0743,10,3.806447,0.280614,0.073721,0.314809,0.013647,0.043350,448440
B,EXP_DBL_0277,10,4.805982,0.339937,0.070732,0.309631,0.007441,0.024032,448440
C,EXP_DBL_0097,10,3.754169,0.257041,0.068468,0.304617,0.012638,0.041488,448376
A,EXP_DBL_0745,10,2.016617,0.137679,0.068272,0.312852,0.024250,0.077513,448440
B,EXP_DBL_0255,10,4.846585,0.319425,0.065907,0.310038,0.010986,0.035434,448440
C,EXP_DBL_1306,10,3.675800,0.238596,0.064910,0.318487,0.010352,0.032504,448440
A,EXP_DBL_1117,10,2.039108,0.126101,0.061841,0.320381,0.013288,0.041476,448440
C,EXP_DBL_1086,10,3.900724,0.241188,0.061832,0.318667,0.017962,0.056366,448440
A,EXP_DBL_1308,10,1.932787,0.119254,0.061701,0.334300,0.009008,0.026946,448440
C,EXP_DBL_0771,10,3.900714,0.240210,0.061581,0.321482,0.011083,0.034475,448440
A,EXP_DBL_0960,10,2.011960,0.123802,0.061533,0.312943,0.026859,0.085827,448424
A,EXP_DBL_1211,10,2.042083,0.125598,0.061505,0.313297,0.010009,0.031947,448440
B,EXP_DBL_0453,10,4.797487,0.293449,0.061167,0.304430,0.022447,0.073735,448440
C,EXP_DBL_0618,10,3.815022,0.231048,0.060563,0.312582,0.004946,0.015823,448440
A,EXP_DBL_0550,10,1.992092,0.117881,0.059174,0.312888,0.016522,0.052805,448440
A,EXP_DBL_1202,10,2.002464,0.113745,0.056803,0.311513,0.007694,0.024699,448440
C,EXP_DBL_0827,10,3.828904,0.217272,0.056745,0.315030,0.013731,0.043586,448616
C,EXP_DBL_0500,10,3.804762,0.215015,0.056512,0.310049,0.009618,0.031021,448440
A,EXP_DBL_1306,10,1.912306,0.100722,0.052670,0.318487,0.010352,0.032504,448440
A,EXP_DBL_1304,10,1.860634,0.097949,0.052643,0.320692,0.004768,0.014868,448440
A,EXP_DBL_0463,10,1.938435,0.101781,0.052507,0.313338,0.020380,0.065042,448440
B,EXP_DBL_0273,10,4.821861,0.252567,0.052380,0.314860,0.016253,0.051620,448440
C,EXP_DBL_1575,10,3.881794,0.202508,0.052169,0.304974,0.021424,0.070249,448440
B,EXP_DBL_1290,10,6.247746,0.324330,0.051912,0.330650,0.012559,0.037983,448472
A,EXP_ABL_024_disable-ifcvt-diamond,10,1.971432,0.101790,0.051633,0.316052,0.011889,0.037617,448440
B,EXP_DBL_0275,10,4.883404,0.247447,0.050671,0.307040,0.020178,0.065718,448440
B,EXP_DBL_0268,10,4.829064,0.242650,0.050248,0.307029,0.010069,0.032795,448440
A,EXP_DBL_0568,10,1.971327,0.098982,0.050211,0.303713,0.016256,0.053524,448440
B,EXP_DBL_1324,10,5.922166,0.294220,0.049681,0.320533,0.008405,0.026222,448440
B,EXP_DBL_1315,10,5.945534,0.292573,0.049209,0.325246,0.012588,0.038703,448440
A,EXP_DBL_0994,10,2.002607,0.098246,0.049059,0.315638,0.011180,0.035420,448440
A,EXP_DBL_1031,10,2.045362,0.097215,0.047529,0.318023,0.014974,0.047085,448440
C,EXP_DBL_1255,10,3.833976,0.181576,0.047360,0.324804,0.007494,0.023072,448440
B,EXP_DBL_1306,10,6.006159,0.283930,0.047273,0.318487,0.010352,0.032504,448440
B,EXP_DBL_1320,10,5.930466,0.279416,0.047115,0.321550,0.016267,0.050589,448440
A,EXP_DBL_0237,10,1.993591,0.093862,0.047082,0.310029,0.019083,0.061552,448440
A,EXP_DBL_1624,10,2.029865,0.095112,0.046856,0.309622,0.018696,0.060383,448424
C,EXP_DBL_0035,10,3.695060,0.172660,0.046727,0.307520,0.021920,0.071280,448440
A,EXP_DBL_1546,10,2.027268,0.094406,0.046568,0.318452,0.005835,0.018323,448440
A,EXP_DBL_1320,10,1.882790,0.086868,0.046138,0.321550,0.016267,0.050589,448440
C,EXP_DBL_0161,10,3.740435,0.172153,0.046025,0.306215,0.004892,0.015976,448440
B,EXP_DBL_0313,10,4.827139,0.222051,0.046001,0.312376,0.007238,0.023171,448472
C,EXP_DBL_1293,10,3.655984,0.167660,0.045859,0.327517,0.009057,0.027654,448440
A,EXP_DBL_0738,10,1.992791,0.090886,0.045607,0.315373,0.011746,0.037245,448440
B,EXP_DBL_0540,10,4.914212,0.223262,0.045432,0.315321,0.009636,0.030559,448440
A,EXP_DBL_0501,10,1.982309,0.089761,0.045281,0.309416,0.018454,0.059641,448440
A,EXP_DBL_0558,10,2.029465,0.091721,0.045195,0.308797,0.017035,0.055166,448440
A,EXP_DBL_1512,10,2.026458,0.090874,0.044844,0.313666,0.017247,0.054985,448440
C,EXP_DBL_0274,10,3.652715,0.163172,0.044671,0.304217,0.010832,0.035606,448440
A,EXP_DBL_1285,10,1.845452,0.081909,0.044384,0.297048,0.011002,0.037038,448440
C,EXP_DBL_1229,10,3.870411,0.170798,0.044129,0.321460,0.014396,0.044783,448440
B,EXP_DBL_1313,10,6.143001,0.270229,0.043990,0.318964,0.015486,0.048551,448440
C,EXP_DBL_0490,10,3.688179,0.161828,0.043877,0.316857,0.017106,0.053986,448440
A,EXP_DBL_0660,10,1.945223,0.084698,0.043542,0.310133,0.018547,0.059803,448440
C,EXP_DBL_1338,10,3.696601,0.159917,0.043261,0.321274,0.010617,0.033047,448440
B,EXP_DBL_0649,10,4.923048,0.212892,0.043244,0.310239,0.015456,0.049820,448440
B,EXP_DBL_0450,10,4.662297,0.201095,0.043132,0.310509,0.013760,0.044314,448440
B,EXP_DBL_1318,10,6.145009,0.264958,0.043118,0.324944,0.013155,0.040484,448440
A,EXP_DBL_0821,10,2.009332,0.086629,0.043113,0.315580,0.010384,0.032904,448440
C,EXP_DBL_0283,10,3.646225,0.156905,0.043032,0.312516,0.008481,0.027138,448440
A,EXP_000_ALL_OFF,10,1.912507,0.081282,0.042500,0.314571,0.005323,0.016921,448440
A,EXP_DBL_0621,10,2.014107,0.085378,0.042390,0.318532,0.007889,0.024767,448440
A,EXP_DBL_0736,10,2.039879,0.086329,0.042321,0.317086,0.012044,0.037983,448472
C,EXP_DBL_1045,10,3.875091,0.163671,0.042237,0.321426,0.014786,0.046001,448440
B,EXP_DBL_0484,10,4.943558,0.206744,0.041821,0.314042,0.007724,0.024595,448440
