mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,cgp,12.325193092025966,11.1174003912418,11.453716286854812,11.869197859712097,-0.1387662881270568,0.8704314348489887,-12.956856515101132,-9.799381573709953,-7.070694947042844,-3.69970051510905,-0.1779001389421161,-0.100514366999743,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1387662881270568,1,extreme,0.0010663048938255,True,False,negative_interaction
ScalarReplacementOfAggregates,machine-sink,12.325193092025966,11.277094719400708,11.034973170864705,11.587315480921824,-0.1377131323024349,0.8713486176679743,-12.865138233202568,-8.50370752652424,-10.468151789005208,-5.986742808772116,-0.1803992518642981,-0.0977002365399708,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1377131323024349,2,extreme,0.0010663048938255,True,False,negative_interaction
DestinationPropagation,machine-sink,12.325193092025966,11.26946169700182,11.034973170864705,11.54101059968841,-0.1343860462782289,0.8742524975263671,-12.574750247363289,-8.565637772500057,-10.468151789005208,-6.362435756441808,-0.1752374029348067,-0.0983550721987844,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1343860462782289,3,extreme,0.0010663048938255,True,False,negative_interaction
UnreachableEnumBranching,machine-sink,12.325193092025966,11.192458545502491,11.034973170864705,11.456249230526408,-0.1338709361606338,0.8747029498394876,-12.52970501605124,-9.190400004818732,-10.468151789005208,-7.050144001895919,-0.1730798430053461,-0.0949117745313417,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1338709361606338,4,extreme,0.0010663048938255,True,False,negative_interaction
JumpThreading,machine-sink,12.325193092025966,11.1174003912418,11.034973170864705,11.376810577985578,-0.1336414182079819,0.8749037329104916,-12.509626708950838,-9.799381573709953,-10.468151789005208,-7.69466658217276,-0.1768456150890131,-0.0954256571790491,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1336414182079819,5,extreme,0.0010663048938255,True,False,negative_interaction
JumpThreading,peephole,12.325193092025966,11.1174003912418,11.313945553226526,11.642951638625329,-0.1317988055622034,0.876517327751178,-12.348267224882203,-9.799381573709953,-8.204719644138358,-5.535340893296259,-0.1734188914764381,-0.0954220516093539,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1317988055622034,6,extreme,0.0010663048938255,True,False,negative_interaction
JumpThreading,post-ra,12.325193092025966,11.1174003912418,11.210789662303068,11.516000863122848,-0.1299946732048953,0.8781001083674621,-12.18998916325379,-9.799381573709953,-9.041671164112495,-6.56535133252103,-0.1716426459878254,-0.0899943909967388,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1299946732048953,7,extreme,0.0010663048938255,True,False,negative_interaction
JumpThreading,mergeicmps,12.325193092025966,11.1174003912418,11.226503013799991,11.51963450467836,-0.12890950707152,0.8790535100728374,-12.094648992716262,-9.799381573709953,-8.914181465739413,-6.535869915650883,-0.1692174648369682,-0.0884154177572984,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.12890950707152,8,extreme,0.0010663048938255,True,False,negative_interaction
JumpThreading,preinline,12.325193092025966,11.1174003912418,11.224545847983922,11.512670951424123,-0.1284791796147928,0.879431872338151,-12.0568127661849,-9.799381573709953,-8.930060858471489,-6.592368448389818,-0.1690870125837646,-0.0910527931047528,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1284791796147928,9,extreme,0.0010663048938255,True,False,negative_interaction
MatchBranchSimplification,cgp,12.325193092025966,11.355320433955654,11.453716286854812,11.995866710176491,-0.1282068974660242,0.8796713585404762,-12.032864145952384,-7.869026073902152,-7.070694947042844,-2.6719774642925187,-0.1684036851387547,-0.0889870886709477,0.000999500249875,30,10,10,10,1,words5000_superhaystack:default_standard,0.1282068974660242,10,extreme,0.0010663048938255,True,False,negative_interaction
