mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,cgp,12.325193092025966,11.1174003912418,11.453716286854812,11.869197859712095,-0.13876628812705682,0.8704314348489887,-12.956856515101133,-9.799381573709953,-7.070694947042844,-3.69970051510905,-0.17964591332592322,-0.10028631410459285,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.13876628812705682,1,extreme,4.601432572873144e-05,True,False,negative_interaction
ScalarReplacementOfAggregates,machine-sink,12.325193092025966,11.277094719400708,11.034973170864703,11.587315480921824,-0.13771313230243498,0.8713486176679743,-12.865138233202567,-8.50370752652424,-10.468151789005208,-5.986742808772116,-0.17868183951162125,-0.0988473138891124,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.13771313230243498,2,extreme,4.601432572873144e-05,True,False,negative_interaction
DestinationPropagation,machine-sink,12.325193092025966,11.269461697001821,11.034973170864703,11.54101059968841,-0.13438604627822892,0.8742524975263671,-12.574750247363287,-8.565637772500057,-10.468151789005208,-6.362435756441808,-0.17499402465979916,-0.09516655604864784,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.13438604627822892,3,extreme,4.601432572873144e-05,True,False,negative_interaction
UnreachableEnumBranching,machine-sink,12.325193092025966,11.192458545502493,11.034973170864703,11.456249230526407,-0.13387093616063384,0.8747029498394876,-12.52970501605124,-9.190400004818732,-10.468151789005208,-7.050144001895919,-0.17493521715500365,-0.09497006865868045,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.13387093616063384,4,extreme,4.601432572873144e-05,True,False,negative_interaction
JumpThreading,machine-sink,12.325193092025966,11.1174003912418,11.034973170864703,11.376810577985578,-0.13364141820798192,0.8749037329104916,-12.509626708950838,-9.799381573709953,-10.468151789005208,-7.69466658217276,-0.17445917180380294,-0.09500515525597947,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.13364141820798192,5,extreme,4.601432572873144e-05,True,False,negative_interaction
JumpThreading,peephole,12.325193092025966,11.1174003912418,11.313945553226526,11.642951638625327,-0.13179880556220347,0.876517327751178,-12.348267224882203,-9.799381573709953,-8.204719644138358,-5.535340893296259,-0.17271933407648146,-0.0929612668034952,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.13179880556220347,6,extreme,4.601432572873144e-05,True,False,negative_interaction
JumpThreading,post-ra,12.325193092025966,11.1174003912418,11.210789662303068,11.516000863122848,-0.12999467320489533,0.8781001083674621,-12.18998916325379,-9.799381573709953,-9.041671164112497,-6.56535133252103,-0.171062889195003,-0.09096997379843616,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.12999467320489533,7,extreme,4.601432572873144e-05,True,False,negative_interaction
JumpThreading,mergeicmps,12.325193092025966,11.1174003912418,11.226503013799991,11.51963450467836,-0.12890950707152005,0.8790535100728374,-12.094648992716262,-9.799381573709953,-8.914181465739413,-6.535869915650883,-0.169507794914095,-0.09043804762228826,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.12890950707152005,8,extreme,4.601432572873144e-05,True,False,negative_interaction
JumpThreading,preinline,12.325193092025966,11.1174003912418,11.224545847983922,11.512670951424123,-0.12847917961479283,0.879431872338151,-12.0568127661849,-9.799381573709953,-8.930060858471489,-6.592368448389818,-0.16928344355184868,-0.0902192875176627,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.12847917961479283,9,extreme,4.601432572873144e-05,True,False,negative_interaction
MatchBranchSimplification,cgp,12.325193092025966,11.355320433955654,11.453716286854812,11.995866710176493,-0.1282068974660242,0.8796713585404762,-12.032864145952383,-7.869026073902152,-7.070694947042844,-2.6719774642925187,-0.16885775982285628,-0.08936529137455647,3.999920001599968e-05,30,10,10,10,1,words5000_superhaystack:default_standard,0.1282068974660242,10,extreme,4.601432572873144e-05,True,False,negative_interaction
