Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
words5000_superhaystack:default_standard,EXP_000_ALL_OFF,10,11.590808,11.571944,0.151958,42.186926,42.186926,0.000000,17973672.000000,17973672,5454.000000,5454,37565.000000,37565,22843.000000,22843,45384.000000,45384,22609.000000,22609,1568.000000,1568
words5000_superhaystack:default_standard,EXP_001_DISABLE_ALL,10,14.400607,14.408971,0.057856,34.768504,34.768504,0.000000,19059504.000000,19059504,5384.000000,5384,36807.000000,36807,23248.000000,23248,44652.000000,44652,22263.000000,22263,1578.000000,1578
words5000_superhaystack:default_standard,EXP_ABL_001_CopyProp,10,11.762179,11.743858,0.102874,40.233560,40.233560,0.000000,18686152.000000,18686152,5376.000000,5376,37217.000000,37217,23314.000000,23314,45002.000000,45002,22529.000000,22529,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_001_disable-binop-extract-shuffle,10,11.290076,11.279218,0.042345,37.287095,37.287095,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_002_DataflowConstProp,10,11.289177,11.281620,0.034680,40.067004,40.067004,0.000000,18696288.000000,18696288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_002_disable-expand-reductions,10,11.250858,11.248612,0.019540,37.083138,37.083138,0.000000,18696680.000000,18696680,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_003_DeadStoreElimination-final,10,11.282902,11.281765,0.069779,38.973223,38.973223,0.000000,18742984.000000,18742984,5412.000000,5412,37202.000000,37202,23337.000000,23337,45136.000000,45136,22517.000000,22517,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_003_disable-interleaved-load-combine,10,11.276582,11.275210,0.060919,36.856342,36.856342,0.000000,18696288.000000,18696288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_004_DeadStoreElimination-initial,10,11.437128,11.434733,0.034430,37.629956,37.629956,0.000000,18682080.000000,18682080,5406.000000,5406,37194.000000,37194,23296.000000,23296,45028.000000,45028,22515.000000,22515,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,11.255314,11.248952,0.037120,36.500759,36.500759,0.000000,18696288.000000,18696288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_005_DestinationPropagation,10,11.269498,11.262393,0.035059,38.139940,38.139940,0.000000,18749528.000000,18749528,5396.000000,5396,37560.000000,37560,22887.000000,22887,45369.000000,45369,22513.000000,22513,1553.000000,1553
words5000_superhaystack:default_standard,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,11.263857,11.263201,0.054548,37.425123,37.425123,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_006_EarlyOtherwiseBranch,10,11.313450,11.321480,0.080326,38.684745,38.684745,0.000000,18696288.000000,18696288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_006_disable-promote-alloca-to-vector,10,11.268273,11.271878,0.039322,37.399928,37.399928,0.000000,18696288.000000,18696288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_007_EnumSizeOpt,10,11.294594,11.292578,0.064717,38.328395,38.328395,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_007_disable-replace-with-vec-lib,10,11.272106,11.269025,0.037929,37.137117,37.137117,0.000000,18696648.000000,18696648,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_008_ForceInline,10,11.299696,11.282501,0.082401,38.234717,38.234717,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_008_disable-vector-combine,10,11.274588,11.276430,0.050584,37.161596,37.161596,0.000000,18698416.000000,18698416,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_009_GVN,10,11.268827,11.267662,0.032025,38.376320,38.376320,0.000000,18737504.000000,18737504,5400.000000,5400,37519.000000,37519,22929.000000,22929,45362.000000,45362,22423.000000,22423,1556.000000,1556
words5000_superhaystack:default_standard,EXP_ABL_009_disable-advanced-peeling,10,11.430302,11.422702,0.032051,37.409580,37.409580,0.000000,18663128.000000,18663128,5397.000000,5397,37073.000000,37073,23211.000000,23211,44875.000000,44875,22436.000000,22436,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_010_ImpossiblePredicates,10,11.289696,11.296139,0.050287,38.044748,38.044748,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_010_disable-lftr,10,11.417798,11.411158,0.040197,37.114375,37.114375,0.000000,18701840.000000,18701840,5397.000000,5397,36934.000000,36934,23250.000000,23250,44847.000000,44847,22534.000000,22534,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_011_Inline,10,11.401758,11.392420,0.049649,39.042899,39.042899,0.000000,17915696.000000,17915696,5448.000000,5448,37172.000000,37172,23286.000000,23286,44921.000000,44921,22630.000000,22630,1571.000000,1571
words5000_superhaystack:default_standard,EXP_ABL_011_disable-licm-promotion,10,11.404094,11.386979,0.058511,36.866035,36.866035,0.000000,18713800.000000,18713800,5397.000000,5397,37156.000000,37156,23290.000000,23290,44975.000000,44975,22176.000000,22176,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_012_InstSimplify-after-simplifycfg,10,11.291901,11.293617,0.044835,38.279619,38.279619,0.000000,18697552.000000,18697552,5397.000000,5397,37174.000000,37174,23250.000000,23250,44975.000000,44975,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_012_disable-loop-level-heuristics,10,11.283520,11.266976,0.041244,37.426580,37.426580,0.000000,18696272.000000,18696272,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_013_InstSimplify-before-inline,10,11.272585,11.275953,0.021841,37.996957,37.996957,0.000000,18697336.000000,18697336,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_013_disable-lsr,10,11.265149,11.260870,0.058418,36.121440,36.121440,0.000000,18754768.000000,18754768,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_014_JumpThreading,10,11.117448,11.109800,0.022266,38.191154,38.191154,0.000000,18602512.000000,18602512,5401.000000,5401,37042.000000,37042,23284.000000,23284,45210.000000,45210,22819.000000,22819,1552.000000,1552
words5000_superhaystack:default_standard,EXP_ABL_014_disable-machine-licm,10,11.235092,11.234565,0.013112,36.787935,36.787935,0.000000,18719384.000000,18719384,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_015_MatchBranchSimplification,10,11.355393,11.359826,0.039720,38.012017,38.012017,0.000000,18693688.000000,18693688,5398.000000,5398,37177.000000,37177,23266.000000,23266,44968.000000,44968,22474.000000,22474,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_015_disable-postra-machine-licm,10,11.261977,11.264880,0.031033,36.952293,36.952293,0.000000,18697064.000000,18697064,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_016_ReferencePropagation,10,11.200637,11.194402,0.039686,37.837796,37.837796,0.000000,18687160.000000,18687160,5407.000000,5407,37215.000000,37215,23291.000000,23291,45041.000000,45041,22503.000000,22503,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_016_disable-preheader-prot,10,11.159748,11.155475,0.047011,36.543704,36.543704,0.000000,18706064.000000,18706064,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_017_ScalarReplacementOfAggregates,10,11.277134,11.268465,0.040610,37.860173,37.860173,0.000000,18688560.000000,18688560,5398.000000,5398,37174.000000,37174,23248.000000,23248,44971.000000,44971,22472.000000,22472,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_017_disable-block-placement,10,11.529332,11.503471,0.063739,36.435708,36.435708,0.000000,18231104.000000,18231104,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_018_SingleUseConsts,10,11.275738,11.259220,0.042554,38.397202,38.397202,0.000000,18693944.000000,18693944,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_018_disable-branch-fold,10,11.202974,11.183732,0.029260,36.862868,36.862868,0.000000,18899096.000000,18899096,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_019_UnreachableEnumBranching,10,11.192554,11.180713,0.025187,38.096122,38.096122,0.000000,18770392.000000,18770392,5382.000000,5382,37563.000000,37563,22974.000000,22974,45318.000000,45318,22568.000000,22568,1554.000000,1554
words5000_superhaystack:default_standard,EXP_ABL_019_disable-cgp-branch-opts,10,11.262871,11.257454,0.044408,37.119558,37.119558,0.000000,18696320.000000,18696320,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_020_UnreachablePropagation,10,11.305446,11.301493,0.027842,37.519045,37.519045,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_020_disable-cgp-select2branch,10,11.230715,11.217421,0.048623,36.224146,36.224146,0.000000,18695288.000000,18695288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_021_disable-chr,10,11.267473,11.263137,0.042536,36.401602,36.401602,0.000000,18696272.000000,18696272,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_022_disable-early-ifcvt,10,11.257210,11.257291,0.041052,36.880430,36.880430,0.000000,18696664.000000,18696664,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_023_disable-early-taildup,10,11.246268,11.240879,0.054172,36.951181,36.951181,0.000000,18686816.000000,18686816,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_024_disable-ifcvt-diamond,10,11.252479,11.241994,0.049637,37.038767,37.038767,0.000000,18696648.000000,18696648,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_ABL_025_disable-ifcvt-forked-diamond,10,11.322273,11.306084,0.094890,36.772066,36.772066,0.000000,18696288.000000,18696288,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
