MIR_Pass,LLVM_Pass,co_count
,2addr-hack,0
,adv-copy-opt,0
,advanced-peeling,0
,auto-upgrade-debug-info,0
,binop-extract-shuffle,0
,bitcode-version-upgrade,0
,block-placement,0
,branch-fold,0
,cfi-fixup,0
,cgdata-for-merging,0
,cgp,0
,cgp-branch-opts,0
,cgp-delete-phis,0
,cgp-ext-ld-promotion,0
,cgp-gc-opts,0
,cgp-select2branch,0
,cgp-store-extract,0
,chr,0
,cleanups,0
,complex-addr-modes,0
,constant-hoisting,0
,copyprop,0
,demotion,0
,dfa-sched,0
,early-ifcvt,0
,early-taildup,0
,expand-reductions,0
,gep-const-evaluation,0
,global-outlining,0
,i2p-p2i-opt,0
,icp,0
,ifcvt-diamond,0
,ifcvt-forked-diamond,0
,ifcvt-simple,0
,ifcvt-simple-false,0
,ifcvt-triangle,0
,ifcvt-triangle-false,0
,ifcvt-triangle-rev,0
,interleaved-load-combine,0
,last-run-tracking,0
,layout-fsprofile-loader,0
,lftr,0
,licm-promotion,0
,loop-idiom-vectorize-all,0
,loop-idiom-vectorize-bytecmp,0
,loop-level-heuristics,0
,lsr,0
,machine-cse,0
,machine-dce,0
,machine-licm,0
,machine-sink,0
,memop-opt,0
,mergeicmps,0
,mr-partial-inlining,0
,nofree-inference,0
,non-allocatable-phys-copy-opt,0
,nounwind-inference,0
,ondemand-mds-loading,0
,partial-inlining,0
,partial-libcall-inlining,0
,peephole,0
,phi-elim-edge-splitting,0
,post-ra,0
,postra-machine-licm,0
,postra-machine-sink,0
,preheader-prot,0
,preinline,0
,promote-alloca-to-vector,0
,ra-fsprofile-loader,0
,replace-with-vec-lib,0
,sample-loader-inlining,0
,select-optimize,0
,separate-const-offset-from-gep,0
,spill-fusing,0
,ssc,0
,strictnode-mutation,0
,tail-calls,0
,tail-duplicate,0
,thinlto-funcattrs,0
,type-promotion,0
,vector-combine,0
,vp,0
,whole-program-visibility,0
CopyProp,gep-const-evaluation,2
CopyProp,i2p-p2i-opt,2
CopyProp,loop-level-heuristics,2
DataflowConstProp,select-optimize,2
DeadStoreElimination-final,adv-copy-opt,2
DeadStoreElimination-final,machine-sink,2
DeadStoreElimination-final,nounwind-inference,2
EarlyOtherwiseBranch,machine-sink,2
EarlyOtherwiseBranch,postra-machine-licm,2
EnumSizeOpt,postra-machine-licm,2
GVN,licm-promotion,2
ImpossiblePredicates,mr-partial-inlining,2
ImpossiblePredicates,nounwind-inference,2
Inline,lftr,2
InstSimplify-before-inline,thinlto-funcattrs,2
InstSimplify-before-inline,whole-program-visibility,2
ReferencePropagation,last-run-tracking,2
ReferencePropagation,preinline,2
ScalarReplacementOfAggregates,dfa-sched,2
ScalarReplacementOfAggregates,memop-opt,2
ScalarReplacementOfAggregates,thinlto-funcattrs,2
SingleUseConsts,early-taildup,2
SingleUseConsts,ifcvt-forked-diamond,2
UnreachableEnumBranching,binop-extract-shuffle,2
UnreachableEnumBranching,interleaved-load-combine,2
UnreachablePropagation,2addr-hack,2
UnreachablePropagation,branch-fold,2
UnreachablePropagation,cgp,2
UnreachablePropagation,demotion,2
UnreachablePropagation,lftr,2
UnreachablePropagation,nounwind-inference,2
UnreachablePropagation,ondemand-mds-loading,2
CopyProp,2addr-hack,3
CopyProp,adv-copy-opt,3
CopyProp,advanced-peeling,3
CopyProp,auto-upgrade-debug-info,3
CopyProp,binop-extract-shuffle,3
CopyProp,bitcode-version-upgrade,3
CopyProp,block-placement,3
CopyProp,branch-fold,3
CopyProp,cfi-fixup,3
CopyProp,cgdata-for-merging,3
CopyProp,cgp,3
CopyProp,cgp-branch-opts,3
CopyProp,cgp-delete-phis,3
CopyProp,cgp-ext-ld-promotion,3
CopyProp,cgp-gc-opts,3
CopyProp,cgp-select2branch,3
CopyProp,cgp-store-extract,3
CopyProp,chr,3
CopyProp,cleanups,3
CopyProp,complex-addr-modes,3
CopyProp,constant-hoisting,3
CopyProp,copyprop,3
CopyProp,demotion,3
CopyProp,dfa-sched,3
CopyProp,early-ifcvt,3
CopyProp,early-taildup,3
CopyProp,expand-reductions,3
CopyProp,global-outlining,3
CopyProp,icp,3
CopyProp,ifcvt-diamond,3
CopyProp,ifcvt-forked-diamond,3
CopyProp,ifcvt-simple,3
CopyProp,ifcvt-simple-false,3
CopyProp,ifcvt-triangle,3
CopyProp,ifcvt-triangle-false,3
CopyProp,ifcvt-triangle-rev,3
CopyProp,interleaved-load-combine,3
CopyProp,last-run-tracking,3
CopyProp,layout-fsprofile-loader,3
CopyProp,lftr,3
CopyProp,licm-promotion,3
CopyProp,loop-idiom-vectorize-all,3
CopyProp,loop-idiom-vectorize-bytecmp,3
CopyProp,lsr,3
CopyProp,machine-cse,3
CopyProp,machine-dce,3
CopyProp,machine-licm,3
CopyProp,machine-sink,3
CopyProp,memop-opt,3
CopyProp,mergeicmps,3
CopyProp,mr-partial-inlining,3
CopyProp,nofree-inference,3
CopyProp,non-allocatable-phys-copy-opt,3
CopyProp,nounwind-inference,3
CopyProp,ondemand-mds-loading,3
CopyProp,partial-inlining,3
CopyProp,partial-libcall-inlining,3
CopyProp,peephole,3
CopyProp,phi-elim-edge-splitting,3
CopyProp,post-ra,3
CopyProp,postra-machine-licm,3
CopyProp,postra-machine-sink,3
CopyProp,preheader-prot,3
CopyProp,preinline,3
CopyProp,promote-alloca-to-vector,3
CopyProp,ra-fsprofile-loader,3
CopyProp,replace-with-vec-lib,3
CopyProp,sample-loader-inlining,3
CopyProp,select-optimize,3
CopyProp,separate-const-offset-from-gep,3
CopyProp,spill-fusing,3
CopyProp,ssc,3
CopyProp,strictnode-mutation,3
CopyProp,tail-calls,3
CopyProp,tail-duplicate,3
CopyProp,thinlto-funcattrs,3
CopyProp,type-promotion,3
CopyProp,vector-combine,3
CopyProp,vp,3
CopyProp,whole-program-visibility,3
DataflowConstProp,2addr-hack,3
DataflowConstProp,adv-copy-opt,3
DataflowConstProp,advanced-peeling,3
DataflowConstProp,auto-upgrade-debug-info,3
DataflowConstProp,binop-extract-shuffle,3
DataflowConstProp,bitcode-version-upgrade,3
DataflowConstProp,block-placement,3
DataflowConstProp,branch-fold,3
DataflowConstProp,cfi-fixup,3
DataflowConstProp,cgdata-for-merging,3
DataflowConstProp,cgp,3
DataflowConstProp,cgp-branch-opts,3
DataflowConstProp,cgp-delete-phis,3
DataflowConstProp,cgp-ext-ld-promotion,3
DataflowConstProp,cgp-gc-opts,3
DataflowConstProp,cgp-select2branch,3
DataflowConstProp,cgp-store-extract,3
DataflowConstProp,chr,3
DataflowConstProp,cleanups,3
DataflowConstProp,complex-addr-modes,3
DataflowConstProp,constant-hoisting,3
DataflowConstProp,copyprop,3
DataflowConstProp,demotion,3
DataflowConstProp,dfa-sched,3
DataflowConstProp,early-ifcvt,3
DataflowConstProp,early-taildup,3
DataflowConstProp,expand-reductions,3
DataflowConstProp,gep-const-evaluation,3
DataflowConstProp,global-outlining,3
DataflowConstProp,i2p-p2i-opt,3
DataflowConstProp,icp,3
DataflowConstProp,ifcvt-diamond,3
DataflowConstProp,ifcvt-forked-diamond,3
DataflowConstProp,ifcvt-simple,3
DataflowConstProp,ifcvt-simple-false,3
DataflowConstProp,ifcvt-triangle,3
DataflowConstProp,ifcvt-triangle-false,3
DataflowConstProp,ifcvt-triangle-rev,3
DataflowConstProp,interleaved-load-combine,3
DataflowConstProp,last-run-tracking,3
DataflowConstProp,layout-fsprofile-loader,3
DataflowConstProp,lftr,3
DataflowConstProp,licm-promotion,3
DataflowConstProp,loop-idiom-vectorize-all,3
DataflowConstProp,loop-idiom-vectorize-bytecmp,3
DataflowConstProp,loop-level-heuristics,3
DataflowConstProp,lsr,3
DataflowConstProp,machine-cse,3
DataflowConstProp,machine-dce,3
DataflowConstProp,machine-licm,3
DataflowConstProp,machine-sink,3
DataflowConstProp,memop-opt,3
DataflowConstProp,mergeicmps,3
DataflowConstProp,mr-partial-inlining,3
DataflowConstProp,nofree-inference,3
DataflowConstProp,non-allocatable-phys-copy-opt,3
DataflowConstProp,nounwind-inference,3
DataflowConstProp,ondemand-mds-loading,3
DataflowConstProp,partial-inlining,3
DataflowConstProp,partial-libcall-inlining,3
DataflowConstProp,peephole,3
DataflowConstProp,phi-elim-edge-splitting,3
DataflowConstProp,post-ra,3
DataflowConstProp,postra-machine-licm,3
DataflowConstProp,postra-machine-sink,3
DataflowConstProp,preheader-prot,3
DataflowConstProp,preinline,3
DataflowConstProp,promote-alloca-to-vector,3
DataflowConstProp,ra-fsprofile-loader,3
DataflowConstProp,replace-with-vec-lib,3
DataflowConstProp,sample-loader-inlining,3
DataflowConstProp,separate-const-offset-from-gep,3
DataflowConstProp,spill-fusing,3
DataflowConstProp,ssc,3
DataflowConstProp,strictnode-mutation,3
DataflowConstProp,tail-calls,3
DataflowConstProp,tail-duplicate,3
DataflowConstProp,thinlto-funcattrs,3
DataflowConstProp,type-promotion,3
DataflowConstProp,vector-combine,3
DataflowConstProp,vp,3
DataflowConstProp,whole-program-visibility,3
DeadStoreElimination-final,2addr-hack,3
DeadStoreElimination-final,advanced-peeling,3
DeadStoreElimination-final,auto-upgrade-debug-info,3
DeadStoreElimination-final,binop-extract-shuffle,3
DeadStoreElimination-final,bitcode-version-upgrade,3
DeadStoreElimination-final,block-placement,3
DeadStoreElimination-final,branch-fold,3
DeadStoreElimination-final,cfi-fixup,3
DeadStoreElimination-final,cgdata-for-merging,3
DeadStoreElimination-final,cgp,3
DeadStoreElimination-final,cgp-branch-opts,3
DeadStoreElimination-final,cgp-delete-phis,3
DeadStoreElimination-final,cgp-ext-ld-promotion,3
DeadStoreElimination-final,cgp-gc-opts,3
DeadStoreElimination-final,cgp-select2branch,3
DeadStoreElimination-final,cgp-store-extract,3
DeadStoreElimination-final,chr,3
DeadStoreElimination-final,cleanups,3
DeadStoreElimination-final,complex-addr-modes,3
DeadStoreElimination-final,constant-hoisting,3
DeadStoreElimination-final,copyprop,3
DeadStoreElimination-final,demotion,3
DeadStoreElimination-final,dfa-sched,3
DeadStoreElimination-final,early-ifcvt,3
DeadStoreElimination-final,early-taildup,3
DeadStoreElimination-final,expand-reductions,3
DeadStoreElimination-final,gep-const-evaluation,3
DeadStoreElimination-final,global-outlining,3
DeadStoreElimination-final,i2p-p2i-opt,3
DeadStoreElimination-final,icp,3
DeadStoreElimination-final,ifcvt-diamond,3
DeadStoreElimination-final,ifcvt-forked-diamond,3
DeadStoreElimination-final,ifcvt-simple,3
DeadStoreElimination-final,ifcvt-simple-false,3
DeadStoreElimination-final,ifcvt-triangle,3
DeadStoreElimination-final,ifcvt-triangle-false,3
DeadStoreElimination-final,ifcvt-triangle-rev,3
DeadStoreElimination-final,interleaved-load-combine,3
DeadStoreElimination-final,last-run-tracking,3
DeadStoreElimination-final,layout-fsprofile-loader,3
DeadStoreElimination-final,lftr,3
DeadStoreElimination-final,licm-promotion,3
DeadStoreElimination-final,loop-idiom-vectorize-all,3
DeadStoreElimination-final,loop-idiom-vectorize-bytecmp,3
DeadStoreElimination-final,loop-level-heuristics,3
DeadStoreElimination-final,lsr,3
DeadStoreElimination-final,machine-cse,3
DeadStoreElimination-final,machine-dce,3
DeadStoreElimination-final,machine-licm,3
DeadStoreElimination-final,memop-opt,3
DeadStoreElimination-final,mergeicmps,3
DeadStoreElimination-final,mr-partial-inlining,3
DeadStoreElimination-final,nofree-inference,3
DeadStoreElimination-final,non-allocatable-phys-copy-opt,3
DeadStoreElimination-final,ondemand-mds-loading,3
DeadStoreElimination-final,partial-inlining,3
