mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
Inline,ifcvt-forked-diamond,16.825856360260342,17.06751059022546,16.78095063182702,20.2947316272291,-0.1758570560255519,-0.2742116908159167,-0.0996336852294178,0.0,0.0,True
Inline,loop-idiom-vectorize-all,16.825856360260342,17.06751059022546,16.988326866835095,20.29339994755678,-0.1635093356565935,-0.1996742908131008,-0.1286726115924651,0.0,0.0,True
InstSimplify-after-simplifycfg,spill-fusing,16.825856360260342,16.852770804093673,16.764966149883264,19.49126179366617,-0.1490765807974425,-0.2406009399283915,-0.0920788061016891,0.0,0.0,True
InstSimplify-before-inline,icp,16.825856360260342,16.74468997878921,16.816716791803596,19.41935813384444,-0.1487325521977576,-0.3176395127611993,-0.0154782628800632,0.0,0.0,True
Inline,postra-machine-sink,16.825856360260342,17.06751059022546,16.840443875445082,19.788136263167598,-0.1470392941457041,-0.1783868251637879,-0.1204151077171956,0.0,0.0,True
Inline,preheader-prot,16.825856360260342,17.06751059022546,16.554654810904616,19.34325857415137,-0.1414167264562023,-0.1672544741866149,-0.1188106607897807,0.0,0.0,True
ImpossiblePredicates,cleanups,16.825856360260342,16.668204555888547,16.769126659171473,19.09599349710384,-0.1393528380520652,-0.2155833509370657,-0.0466373771535042,0.0,0.0,True
Inline,cgp-delete-phis,16.825856360260342,17.06751059022546,16.82408203879255,19.6138826994291,-0.1391663833356773,-0.1925990021286188,-0.0777365513194464,0.0,0.0,True
MatchBranchSimplification,peephole,16.825856360260342,16.59530413485972,16.652799772264554,18.85528257011094,-0.1380117607173177,-0.2808404452620386,-0.0605812758777015,0.0,0.0,True
Inline,ifcvt-triangle-rev,16.825856360260342,17.06751059022546,16.692449908601628,19.412198977469878,-0.1366852473264481,-0.1812530498621643,-0.0884376566000828,0.0,0.0,True
ImpossiblePredicates,auto-upgrade-debug-info,16.825856360260342,16.668204555888547,16.89008588513211,19.175469411696213,-0.1363187980418563,-0.2015630939908605,-0.0934946312427508,0.0,0.0,True
Inline,ifcvt-triangle-false,16.825856360260342,17.06751059022546,16.88046362682549,19.621829084723128,-0.1362258019967748,-0.1750184566518375,-0.0993955420517981,0.0,0.0,True
ImpossiblePredicates,mr-partial-inlining,16.825856360260342,16.668204555888547,16.783750241981274,19.030078839563423,-0.1350234398493008,-0.1988106763986186,-0.0714487800517477,0.0,0.0,True
Inline,machine-cse,16.825856360260342,17.06751059022546,16.995816116444697,19.70942225937892,-0.1338696872290659,-0.1868285276668869,-0.0708053539365144,0.0,0.0,True
Inline,licm-promotion,16.825856360260342,17.06751059022546,16.673188489016358,19.31609193159432,-0.1328766593084736,-0.2300446622287693,-0.0586298055485866,0.0,0.0,True
MatchBranchSimplification,cgp-store-extract,16.825856360260342,16.59530413485972,16.75031564201824,18.811010453533736,-0.129822258849594,-0.1440452367281158,-0.1144715676445131,0.0,0.0,True
InstSimplify-before-inline,machine-cse,16.825856360260342,16.74468997878921,16.995816116444697,19.23492861179928,-0.1285962023590432,-0.163844999875241,-0.0773563217272718,0.0,0.0,True
Inline,machine-sink,16.825856360260342,17.06751059022546,16.648273317061474,19.199423419512154,-0.1283138234998402,-0.1528296953294988,-0.1093756442240633,0.0,0.0,True
ImpossiblePredicates,partial-inlining,16.825856360260342,16.668204555888547,16.836338526857535,18.93619071379883,-0.1269491720900379,-0.1926096809935169,-0.0799483375190411,0.0,0.0,True
Inline,machine-dce,16.825856360260342,17.06751059022546,16.604808755509374,19.120746591538367,-0.1268216985750365,-0.2009123965987011,-0.0655997171475437,0.0,0.0,True
Inline,machine-licm,16.825856360260342,17.06751059022546,16.91931460712513,19.45338347342812,-0.125305248452368,-0.2360022280515251,-0.0482525315239523,0.0,0.0,True
ImpossiblePredicates,complex-addr-modes,16.825856360260342,16.668204555888547,16.82516694856559,18.8719679702716,-0.1242156332275183,-0.1387141103704032,-0.1098914408332675,0.0,0.0,True
ImpossiblePredicates,peephole,16.825856360260342,16.668204555888547,16.652799772264554,18.66909795475696,-0.1237050708443185,-0.1800085981521057,-0.0429205507330886,0.0,0.0,True
InstSimplify-before-inline,strictnode-mutation,16.825856360260342,16.74468997878921,16.586239982269074,18.679773080642867,-0.1237034306196651,-0.1560516724592758,-0.0802313361765514,0.0,0.0,True
UnreachablePropagation,nounwind-inference,16.825856360260342,16.56144792687838,16.794453916082617,18.707221196105,-0.1237000936623191,-0.1655177893635795,-0.0820723862804283,0.0,0.0,True
ImpossiblePredicates,last-run-tracking,16.825856360260342,16.668204555888547,16.805660304459284,18.838734533514124,-0.1236131316732018,-0.1384156387620404,-0.1088311249430119,0.0,0.0,True
Inline,lsr,16.825856360260342,17.06751059022546,16.776466918480264,19.15250664599258,-0.1181965581914825,-0.1775578740898412,-0.066042036398488,0.0,0.0,True
InstSimplify-before-inline,mergeicmps,16.825856360260342,16.74468997878921,16.964579536424253,19.000379659709036,-0.1181669278056736,-0.1846944922866188,-0.0463926021274739,0.0,0.0,True
ImpossiblePredicates,type-promotion,16.825856360260342,16.668204555888547,16.84253682037871,18.75206693657746,-0.1168101294121659,-0.1337378423837509,-0.0998021399375385,0.0,0.0,True
Inline,binop-extract-shuffle,16.825856360260342,17.06751059022546,16.855955940313812,19.16186449658152,-0.113958098645817,-0.205847299759854,-0.0420821552142202,0.0,0.0,True
Inline,demotion,16.825856360260342,17.06751059022546,16.83189625951879,19.104565050589574,-0.112391722650281,-0.1895775677956068,-0.0518428566898757,0.0,0.0,True
Inline,global-outlining,16.825856360260342,17.06751059022546,16.73961310266503,18.953899434209717,-0.1099718141229533,-0.133917307766287,-0.0893331927277166,0.0,0.0,True
UnreachableEnumBranching,peephole,16.825856360260342,16.534113103264946,16.652799772264554,18.265357024786464,-0.1099189150766104,-0.1302169891547243,-0.0906208433523352,0.0,0.0,True
InstSimplify-before-inline,spill-fusing,16.825856360260342,16.74468997878921,16.764966149883264,18.605354868432883,-0.1089936551157313,-0.1362268497071561,-0.0858417834855106,0.0,0.0,True
JumpThreading,postra-machine-sink,16.825856360260342,17.46287024300571,16.840443875445082,19.475885348409545,-0.1082335304075368,-0.1396835500376866,-0.0829837472751573,0.0,0.0,True
ImpossiblePredicates,phi-elim-edge-splitting,16.825856360260342,16.668204555888547,16.941082754956838,18.693477670008075,-0.1078468575438229,-0.1207027639329288,-0.0944649488476082,0.0,0.0,True
Inline,mergeicmps,16.825856360260342,17.06751059022546,16.964579536424253,19.16724772850347,-0.1078154427126354,-0.1795714766755435,-0.0336622722903564,0.0,0.0,True
Inline,ifcvt-simple,16.825856360260342,17.06751059022546,16.727985464107157,18.876136293412944,-0.1065554826469816,-0.1582957009156443,-0.0582904350976125,0.0,0.0,True
Inline,branch-fold,16.825856360260342,17.06751059022546,16.747961318313443,18.897849842888945,-0.1065116936618548,-0.1413398520674233,-0.071146852023377,0.0,0.0,True
InstSimplify-before-inline,vp,16.825856360260342,16.74468997878921,16.715066302957357,18.50320303986373,-0.1064689483496197,-0.1210193960782644,-0.094009842647529,0.0,0.0,True
MatchBranchSimplification,machine-sink,16.825856360260342,16.59530413485972,16.648273317061474,18.25274610603729,-0.1058060343228279,-0.1579662552072102,-0.0614532344194525,0.0,0.0,True
MatchBranchSimplification,vector-combine,16.825856360260342,16.59530413485972,16.892175134002205,18.49374626466522,-0.1043791307217194,-0.1425446529697745,-0.0581616463247042,0.0,0.0,True
ImpossiblePredicates,copyprop,16.825856360260342,16.668204555888547,16.795629394216203,18.462928708682995,-0.1040599571049356,-0.2470577180466762,-0.0246745570731035,0.0,0.0,True
ImpossiblePredicates,cfi-fixup,16.825856360260342,16.668204555888547,16.74682061546654,18.39567016499745,-0.1033206800146255,-0.1191155813296195,-0.0897027458983654,0.0,0.0,True
MatchBranchSimplification,loop-idiom-vectorize-bytecmp,16.825856360260342,16.59530413485972,16.825830411402208,18.362025208760613,-0.1011664548984723,-0.1297081227220932,-0.0570708545903936,0.0,0.0,True
UnreachableEnumBranching,spill-fusing,16.825856360260342,16.534113103264946,16.764966149883264,18.19122609082597,-0.0991390989647778,-0.1157455658557611,-0.0844164502374628,0.0,0.0,True
Inline,advanced-peeling,16.825856360260342,17.06751059022546,16.838844310235956,18.85244947216236,-0.098694553642165,-0.1435864501445132,-0.0486607969403332,0.0,0.0,True
ImpossiblePredicates,layout-fsprofile-loader,16.825856360260342,16.668204555888547,16.848272053540366,18.40149242488358,-0.0975974550480711,-0.123078409755354,-0.0664169754412685,0.0,0.0,True
UnreachableEnumBranching,strictnode-mutation,16.825856360260342,16.534113103264946,16.586239982269074,17.966652829239706,-0.097435049048896,-0.1158120198192592,-0.0797850971672199,0.0,0.0,True
MatchBranchSimplification,strictnode-mutation,16.825856360260342,16.59530413485972,16.586239982269074,18.03216882114532,-0.0973808850898394,-0.151125862406129,-0.0592803506961443,0.0,0.0,True
MatchBranchSimplification,ifcvt-diamond,16.825856360260342,16.59530413485972,16.81476128866355,18.27942946244169,-0.0973162061722332,-0.1117461262185616,-0.0797737151470467,0.0,0.0,True
Inline,tail-calls,16.825856360260342,17.06751059022546,16.76322871225893,18.73890284033697,-0.097154089778102,-0.1372315084984106,-0.0537482598619165,0.0,0.0,True
JumpThreading,demotion,16.825856360260342,17.46287024300571,16.83189625951879,19.24014841938087,-0.0965633318501972,-0.1786259794904129,-0.0384985050651672,0.0,0.0,True
Inline,ifcvt-simple-false,16.825856360260342,17.06751059022546,16.775428371298688,18.73528772866041,-0.0962336526373253,-0.1429654174958741,-0.0461198401153384,0.0,0.0,True
MatchBranchSimplification,expand-reductions,16.825856360260342,16.59530413485972,16.74097954399558,18.1756399799268,-0.0960196567959146,-0.1055372389822916,-0.0870399833129117,0.0,0.0,True
JumpThreading,postra-machine-licm,16.825856360260342,17.46287024300571,16.712305746529797,19.091595693472136,-0.0959427488369319,-0.128888000920498,-0.0569123339968613,0.0,0.0,True
Inline,copyprop,16.825856360260342,17.06751059022546,16.795629394216203,18.75103723035809,-0.0958704539005101,-0.127586342646294,-0.064819125319374,0.0,0.0,True
InstSimplify-before-inline,dfa-sched,16.825856360260342,16.74468997878921,16.909113027955073,18.515479903513707,-0.095590005225528,-0.1195660888132586,-0.0668595756383165,0.0,0.0,True
MatchBranchSimplification,postra-machine-licm,16.825856360260342,16.59530413485972,16.712305746529797,18.12840936611078,-0.0951319673113193,-0.1452089002209062,-0.0532508798371194,0.0,0.0,True
Inline,ifcvt-triangle,16.825856360260342,17.06751059022546,16.77367588753995,18.69785303991421,-0.0943380420244066,-0.1221188750921098,-0.0699508117890344,0.0,0.0,True
Inline,cgdata-for-merging,16.825856360260342,17.06751059022546,16.8452999059952,18.775804669762344,-0.0942374562677508,-0.1174865582905526,-0.0725682513086913,0.0,0.0,True
ImpossiblePredicates,whole-program-visibility,16.825856360260342,16.668204555888547,16.73806569420246,18.211147203559214,-0.0937621683093725,-0.1278100567726846,-0.0499552074173658,0.0,0.0,True
UnreachableEnumBranching,post-ra,16.825856360260342,16.534113103264946,16.710028722541836,18.02734934043948,-0.0933720159418043,-0.1102463492950268,-0.0792619226691768,0.0,0.0,True
ImpossiblePredicates,2addr-hack,16.825856360260342,16.668204555888547,16.833082594859025,18.30520482544204,-0.0932530704150065,-0.11481943323067,-0.074809811522372,0.0,0.0,True
ImpossiblePredicates,dfa-sched,16.825856360260342,16.668204555888547,16.909113027955073,18.38472527352581,-0.0930812491172616,-0.1098779333728196,-0.0764398679548654,0.0,0.0,True
UnreachablePropagation,strictnode-mutation,16.825856360260342,16.56144792687838,16.586239982269074,17.90418042754586,-0.0922999861142277,-0.1013792795250417,-0.0816240936773727,0.0,0.0,True
Inline,mr-partial-inlining,16.825856360260342,17.06751059022546,16.783750241981274,18.66745479439808,-0.0921105330003682,-0.1378772109115108,-0.0421640128971071,0.0,0.0,True
