mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
Inline,licm-promotion,16.825856360260342,17.06751059022546,16.673188489016358,19.31609193159432,-0.1328766593084736,-0.23004466222876932,-0.05862980554858668,0.0,0.0,True
JumpThreading,last-run-tracking,16.825856360260342,17.46287024300571,16.805660304459284,18.766864872453347,-0.07321690124566516,-0.10646483969085475,-0.03449423190965311,0.0,0.0,True
JumpThreading,nofree-inference,16.825856360260342,17.46287024300571,16.82054470354427,18.40892151039455,-0.053074219288260505,-0.08286866605618849,-0.021360695547584643,0.0,0.0,True
EnumSizeOpt,post-ra,16.825856360260342,16.58750424876174,16.710028722541836,16.804104783283314,-0.01988124393266144,-0.028162015080757406,-0.010740715804450157,0.0,0.0,True
MatchBranchSimplification,licm-promotion,16.825856360260342,16.59530413485972,16.673188489016358,17.618801546224898,-0.06896165238059782,-0.12105461473925791,-0.035805128471420845,0.0,0.0,True
MatchBranchSimplification,loop-level-heuristics,16.825856360260342,16.59530413485972,16.866707056924547,17.558515819842064,-0.05399438224112263,-0.08398940693501204,-0.02531783791379063,0.0,0.0,True
JumpThreading,peephole,16.825856360260342,17.46287024300571,16.652799772264554,18.456070951079205,-0.06565485420500261,-0.10003157542860239,-0.038563456246725386,0.0,0.0,True
JumpThreading,strictnode-mutation,16.825856360260342,17.46287024300571,16.586239982269074,17.60280071409687,-0.02232443176115062,-0.037109969038362854,-0.008108214270507287,0.0,0.0,True
MatchBranchSimplification,binop-extract-shuffle,16.825856360260342,16.59530413485972,16.855955940313812,17.566330007840335,-0.05507693986354001,-0.06992559615059363,-0.041264008903602746,0.0,0.0,True
MatchBranchSimplification,expand-reductions,16.825856360260342,16.59530413485972,16.74097954399558,18.175639979926796,-0.09601965679591462,-0.10553723898229163,-0.08703998331291171,0.0,0.0,True
Inline,ifcvt-forked-diamond,16.825856360260342,17.06751059022546,16.78095063182702,20.2947316272291,-0.1758570560255519,-0.2742116908159167,-0.09963368522941785,0.0,0.0,True
Inline,ifcvt-simple,16.825856360260342,17.06751059022546,16.727985464107157,18.876136293412944,-0.10655548264698167,-0.1582957009156443,-0.058290435097612524,0.0,0.0,True
JumpThreading,global-outlining,16.825856360260342,17.46287024300571,16.73961310266503,17.967589534058124,-0.03363144659669981,-0.05117688077901948,-0.017717738315008415,0.0,0.0,True
Inline,loop-level-heuristics,16.825856360260342,17.06751059022546,16.866707056924547,18.703345700423178,-0.08910082153514676,-0.1267555862043152,-0.04789849375012287,0.0,0.0,True
MatchBranchSimplification,replace-with-vec-lib,16.825856360260342,16.59530413485972,16.824078619192594,17.905584156221042,-0.07609851722129513,-0.11327717952419081,-0.04144619091401783,0.0,0.0,True
MatchBranchSimplification,vector-combine,16.825856360260342,16.59530413485972,16.892175134002205,18.49374626466522,-0.10437913072171945,-0.1425446529697745,-0.05816164632470429,0.0,0.0,True
MatchBranchSimplification,advanced-peeling,16.825856360260342,16.59530413485972,16.838844310235956,17.193527610961628,-0.03464163292899336,-0.04061054158945042,-0.02859831763222094,0.0,0.0,True
MatchBranchSimplification,lftr,16.825856360260342,16.59530413485972,16.91261317632886,17.33426862100775,-0.03842270243089274,-0.048265620160862555,-0.02725329081443555,0.0,0.0,True
Inline,tail-calls,16.825856360260342,17.06751059022546,16.76322871225893,18.73890284033697,-0.09715408977810203,-0.13723150849841068,-0.05374825986191659,0.0,0.0,True
Inline,tail-duplicate,16.825856360260342,17.06751059022546,16.68984947947272,17.849363400638612,-0.052907206250942806,-0.0807485373306702,-0.026320303646005617,0.0,0.0,True
Inline,cgp-ext-ld-promotion,16.825856360260342,17.06751059022546,16.90327670205834,17.92114633933629,-0.044213966017359496,-0.07237434863955347,-0.01953690188369968,0.0,0.0,True
Inline,cgp-store-extract,16.825856360260342,17.06751059022546,16.75031564201824,18.31548613349886,-0.0750699179195018,-0.14382744561856423,-0.020903494465414053,0.0,0.0,True
Inline,cgp-branch-opts,16.825856360260342,17.06751059022546,16.8156767694673,18.267262099465956,-0.06853899061572388,-0.11139124611509796,-0.03059346561046629,0.0,0.0,True
ImpossiblePredicates,layout-fsprofile-loader,16.825856360260342,16.668204555888547,16.848272053540366,18.40149242488358,-0.09759745504807116,-0.12307840975535408,-0.06641697544126852,0.0,0.0,True
ImpossiblePredicates,nounwind-inference,16.825856360260342,16.668204555888547,16.794453916082617,17.188342003811773,-0.032596442138890236,-0.04758424719326258,-0.017421652072830043,0.0,0.0,True
ImpossiblePredicates,ondemand-mds-loading,16.825856360260342,16.668204555888547,16.812230437336915,17.8573798976273,-0.0697240251223703,-0.11949586510686766,-0.03592161736071771,0.0,0.0,True
ImpossiblePredicates,ra-fsprofile-loader,16.825856360260342,16.668204555888547,16.855248790927728,17.703828886154948,-0.05853261466304449,-0.09206835887542648,-0.029162284302619485,0.0,0.0,True
ImpossiblePredicates,sample-loader-inlining,16.825856360260342,16.668204555888547,16.90346694622154,18.061754813718984,-0.07569174986009175,-0.10466720164842398,-0.035005885188094076,0.0,0.0,True
ImpossiblePredicates,preinline,16.825856360260342,16.668204555888547,16.996083949157512,18.141746107611162,-0.07464652223960577,-0.12203205794142027,-0.029097239886700155,0.0,0.0,True
ImpossiblePredicates,select-optimize,16.825856360260342,16.668204555888547,16.784439204841803,18.060166920208967,-0.08267035756666452,-0.13884067845325843,-0.030279701691592557,0.0,0.0,True
ImpossiblePredicates,ssc,16.825856360260342,16.668204555888547,16.699448581870616,17.34067886986489,-0.04709320773229608,-0.06269543268166308,-0.03175249861971953,0.0,0.0,True
ImpossiblePredicates,type-promotion,16.825856360260342,16.668204555888547,16.84253682037871,18.75206693657746,-0.11681012941216595,-0.1337378423837509,-0.0998021399375385,0.0,0.0,True
MatchBranchSimplification,loop-idiom-vectorize-all,16.825856360260342,16.59530413485972,16.988326866835095,17.725357873280796,-0.056266809635793,-0.12730563973311396,-0.010936332263935582,0.0,0.0,True
MatchBranchSimplification,loop-idiom-vectorize-bytecmp,16.825856360260342,16.59530413485972,16.825830411402208,18.362025208760613,-0.10116645489847231,-0.12970812272209328,-0.057070854590393606,0.0,0.0,True
Inline,chr,16.825856360260342,17.06751059022546,16.73584163433196,18.191193678037497,-0.06912506939531715,-0.11935106585556382,-0.028007067440617567,0.0,0.0,True
ImpossiblePredicates,nofree-inference,16.825856360260342,16.668204555888547,16.82054470354427,17.418774367418106,-0.04436135933119445,-0.07437961270702,-0.019911738956226957,0.0,0.0,True
JumpThreading,vp,16.825856360260342,17.46287024300571,16.715066302957357,18.168046609934223,-0.046193729542460815,-0.08701387885185181,-0.01534416827571523,0.0,0.0,True
EarlyOtherwiseBranch,peephole,16.825856360260342,16.548679491830026,16.652799772264554,16.55948384897247,-0.0109910858435045,-0.01764704558474347,-0.004751540887993323,0.0,0.0,True
MatchBranchSimplification,copyprop,16.825856360260342,16.59530413485972,16.795629394216203,18.03319844137014,-0.08489271997179992,-0.11443988419935501,-0.05011277780277982,0.0,0.0,True
