t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,CopyProp;DeadStoreElimination-initial;EarlyOtherwiseBranch;ScalarReplacementOfAggregates;UnreachableEnumBranching,auto-upgrade-debug-info;cgp-store-extract;cleanups;ifcvt-simple;layout-fsprofile-loader;lsr;post-ra;preheader-prot;separate-const-offset-from-gep;thinlto-funcattrs,0.9357277663231143,1.5620729380348792,0.9954170017363841,0.46820962698163676
2,DeadStoreElimination-final;MatchBranchSimplification,branch-fold;cfi-fixup;cgp-ext-ld-promotion;cgp-gc-opts;complex-addr-modes;expand-reductions;ifcvt-diamond;memop-opt;non-allocatable-phys-copy-opt;ondemand-mds-loading;post-ra;postra-machine-sink;ra-fsprofile-loader,1.1403019730646453,1.2698745315693323,0.99997365307341,0.7194186389047434
3,JumpThreading;SingleUseConsts,cfi-fixup;early-taildup;expand-reductions;licm-promotion;loop-idiom-vectorize-bytecmp;partial-inlining;tail-calls,1.1153536324463815,1.3846621271709696,0.9981749982968943,0.7241271522235075
4,JumpThreading;UnreachablePropagation,branch-fold;ifcvt-forked-diamond;ifcvt-simple;last-run-tracking;nounwind-inference,1.121422020846771,1.173137669496003,1.00140287413319,0.811162941544251
5,CopyProp;ImpossiblePredicates,advanced-peeling;ifcvt-forked-diamond;lftr;ondemand-mds-loading;partial-inlining;promote-alloca-to-vector;replace-with-vec-lib;strictnode-mutation;thinlto-funcattrs;type-promotion,1.1222472836092265,1.137781878362358,0.9973624695115929,0.8430140917938796
6,EarlyOtherwiseBranch;UnreachablePropagation,copyprop;mr-partial-inlining,0.9630526353841621,1.6047192578463882,0.9988777743247773,0.8430140917938796
7,DeadStoreElimination-initial;InstSimplify-after-simplifycfg,bitcode-version-upgrade;cgp-gc-opts;cgp-select2branch;complex-addr-modes;ifcvt-forked-diamond;ifcvt-triangle-rev;peephole;phi-elim-edge-splitting;sample-loader-inlining,1.1059071405441183,1.1820435267199245,1.0027531519345854,0.8478203360632948
8,ForceInline;InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates,block-placement;branch-fold;ifcvt-diamond;non-allocatable-phys-copy-opt;postra-machine-licm;separate-const-offset-from-gep,0.8801315184629787,1.3584202026222598,0.9944154946204877,0.919555686312332
9,GVN;InstSimplify-after-simplifycfg,block-placement;cgp;cgp-gc-opts;copyprop;ifcvt-triangle-false;mr-partial-inlining;partial-libcall-inlining;ra-fsprofile-loader;select-optimize,1.1492648452708683,1.6384276174305228,0.995088105061957,0.919555686312332
10,UnreachableEnumBranching,binop-extract-shuffle;copyprop;machine-sink;promote-alloca-to-vector;spill-fusing;vp;whole-program-visibility,1.0625936548924888,1.4709187424240344,0.9997572358808307,0.919555686312332
11,DeadStoreElimination-final;ScalarReplacementOfAggregates,cleanups;postra-machine-licm,0.9460058649185148,1.2893470279834236,0.9990691558814283,0.9306149371471782
12,ForceInline;ScalarReplacementOfAggregates;UnreachableEnumBranching,bitcode-version-upgrade;cgp-delete-phis;early-ifcvt;machine-licm;non-allocatable-phys-copy-opt;nounwind-inference;peephole;promote-alloca-to-vector;sample-loader-inlining,1.0559507907333665,1.2594641011448424,1.000823342379556,0.9321074589833097
13,DeadStoreElimination-final;ImpossiblePredicates,loop-idiom-vectorize-all;nounwind-inference;partial-inlining;vp,1.0401101346223336,1.314331630781242,0.9991453645748947,0.9321074589833097
14,JumpThreading;MatchBranchSimplification,ifcvt-simple-false;machine-licm;preheader-prot;spill-fusing,1.002747256614714,1.2387865597955643,0.9996291397364034,0.9358352081234539
15,InstSimplify-after-simplifycfg,licm-promotion;nofree-inference;tail-calls;vector-combine;whole-program-visibility,0.9948595286142111,1.29062620922084,0.997437333062526,0.9358493007486782
16,EnumSizeOpt;ImpossiblePredicates,adv-copy-opt;chr;complex-addr-modes;mr-partial-inlining;thinlto-funcattrs;vp,1.2022459998899286,1.29153800679447,0.9986230462912364,0.9358493007486782
17,ImpossiblePredicates;Inline;InstSimplify-before-inline;JumpThreading;ScalarReplacementOfAggregates,cfi-fixup;cgdata-for-merging;early-ifcvt;gep-const-evaluation;ifcvt-simple-false;ifcvt-triangle-rev;layout-fsprofile-loader;mr-partial-inlining;sample-loader-inlining;select-optimize;thinlto-funcattrs,1.7501018926309544,1.616801934878741,1.002623218864623,0.9358493007486782
18,,cfi-fixup;ifcvt-diamond;layout-fsprofile-loader;non-allocatable-phys-copy-opt;preinline;ra-fsprofile-loader,1.0197464151373463,0.9550764839961082,1.0000000000000002,1.1243679469387602
19,DeadStoreElimination-final;MatchBranchSimplification;UnreachableEnumBranching,block-placement;cgp;constant-hoisting;early-taildup;expand-reductions;global-outlining;last-run-tracking;machine-sink;mr-partial-inlining;phi-elim-edge-splitting;postra-machine-sink;preinline;separate-const-offset-from-gep,1.1784292421672846,1.566255723720764,0.994833623439958,1.1243679469387602
20,UnreachableEnumBranching;UnreachablePropagation,cfi-fixup;cgp;cgp-delete-phis;cleanups;demotion;mr-partial-inlining;post-ra;preheader-prot;replace-with-vec-lib,1.0606739231126925,1.212716322579699,0.9995018550964058,1.1243691428366898
21,,advanced-peeling;binop-extract-shuffle;early-ifcvt;early-taildup;peephole;ra-fsprofile-loader;tail-calls;thinlto-funcattrs,0.9965538446845233,1.057465889030996,1.0029966400386268,1.128874036953871
22,,advanced-peeling;cgp-store-extract;cleanups;expand-reductions;preheader-prot;ra-fsprofile-loader;ssc,0.9658165199191221,0.9552180434445336,0.9999106070884466,1.141547512183339
23,UnreachableEnumBranching;UnreachablePropagation,auto-upgrade-debug-info;cgp-branch-opts;cgp-ext-ld-promotion;copyprop;early-taildup;licm-promotion;postra-machine-sink;spill-fusing;ssc;tail-calls,1.0443777231497076,1.7873756703899475,0.9979584043856746,1.141547512183339
24,CopyProp,advanced-peeling;bitcode-version-upgrade;cgp-ext-ld-promotion;complex-addr-modes;phi-elim-edge-splitting;thinlto-funcattrs,1.0038082865919085,1.1615406478566586,0.9997189235170102,1.1415489581859721
25,EarlyOtherwiseBranch;Inline,adv-copy-opt;block-placement;branch-fold;dfa-sched;global-outlining;i2p-p2i-opt;type-promotion;whole-program-visibility,0.9674887450978588,1.2430317121350638,0.9992017648489749,1.1415521181266608
26,EnumSizeOpt;Inline;JumpThreading;UnreachableEnumBranching;UnreachablePropagation,binop-extract-shuffle;cfi-fixup;cgdata-for-merging;copyprop;demotion;icp;loop-level-heuristics;nounwind-inference;ondemand-mds-loading;phi-elim-edge-splitting;sample-loader-inlining,1.2522185090798046,2.87320564562638,1.0037102108962934,1.1415521181266608
27,InstSimplify-before-inline,cgp-ext-ld-promotion;cgp-select2branch;global-outlining;ifcvt-forked-diamond;loop-idiom-vectorize-all,1.0863638629528283,1.0780125016624615,0.9993367763410409,1.1415848241197857
28,UnreachablePropagation,auto-upgrade-debug-info;ifcvt-diamond;ifcvt-simple;preinline,1.002530802043573,1.029815223600224,0.9993112859821192,1.1416219343891352
29,MatchBranchSimplification;ReferencePropagation,early-ifcvt;ifcvt-simple;ifcvt-triangle-false;lftr;nounwind-inference,0.984508929212232,1.154947211673862,0.9978074658724906,1.141651133472266
30,EnumSizeOpt;ReferencePropagation,adv-copy-opt;cgp-delete-phis;cgp-ext-ld-promotion;cleanups;loop-idiom-vectorize-bytecmp;peephole;ra-fsprofile-loader;strictnode-mutation,0.9678322965136564,1.0305851994626458,1.0014237600159908,1.141651133472266
31,DestinationPropagation;EnumSizeOpt,cgp;cgp-delete-phis;icp;ra-fsprofile-loader;vector-combine,1.0539999932284256,1.6810732280759213,0.999616646873183,1.141651133472266
32,DestinationPropagation;GVN,2addr-hack;advanced-peeling;cgp-delete-phis;early-taildup;i2p-p2i-opt;icp;interleaved-load-combine;loop-idiom-vectorize-all;loop-level-heuristics;partial-libcall-inlining;select-optimize,1.073738789182698,1.9816902626881336,0.9990943772364547,1.141651133472266
33,DestinationPropagation;ForceInline;ReferencePropagation;SingleUseConsts,adv-copy-opt;cfi-fixup;cgp-store-extract;constant-hoisting;copyprop;ifcvt-simple;loop-idiom-vectorize-bytecmp,0.9931434681347567,1.9597251787356593,0.9973749005503355,1.141651133472266
34,GVN;ImpossiblePredicates,auto-upgrade-debug-info;cgp-ext-ld-promotion;cgp-select2branch;ondemand-mds-loading;partial-inlining;spill-fusing,1.3729239358209007,1.2512205654426465,0.9993237372608857,1.141651133472266
35,,binop-extract-shuffle;demotion;early-ifcvt;gep-const-evaluation;ifcvt-simple;machine-dce;peephole;postra-machine-licm;preheader-prot;ra-fsprofile-loader;spill-fusing,0.9636582885040585,1.3733687282946188,1.00411004969803,1.141651133472266
36,DeadStoreElimination-initial;Inline,advanced-peeling;global-outlining;ifcvt-triangle-rev;loop-idiom-vectorize-bytecmp;machine-licm;ssc;strictnode-mutation,1.1757924706678418,1.1858327553393302,1.0018945785848377,1.141651133472266
37,ScalarReplacementOfAggregates,advanced-peeling;binop-extract-shuffle;dfa-sched;ifcvt-simple-false;loop-level-heuristics,0.904750036676621,1.1655421536584152,0.9992221595161894,1.1520702806167877
38,,advanced-peeling;demotion;ifcvt-forked-diamond;ifcvt-simple;ifcvt-triangle;lsr;machine-cse;sample-loader-inlining,1.0007174758263888,1.149298788894393,0.9989404169371886,1.1520705413389931
39,DestinationPropagation;EnumSizeOpt;Inline,cfi-fixup;cgp-select2branch;dfa-sched;preinline;tail-calls;type-promotion;vector-combine,1.1677126818661396,1.508338246198496,1.0023934659286806,1.1520705413389931
40,MatchBranchSimplification;UnreachableEnumBranching,advanced-peeling;copyprop;demotion;machine-licm;peephole;spill-fusing;ssc,1.178302625799121,1.7350105258280017,1.0015383124630894,1.1520705413389931
41,,adv-copy-opt;cgp-gc-opts;ifcvt-simple;ifcvt-triangle-false;lsr;replace-with-vec-lib;sample-loader-inlining,1.000463987953704,0.9061090089935784,0.9984950323312966,1.2012871356394892
42,InstSimplify-after-simplifycfg;UnreachableEnumBranching,cgp-delete-phis;cgp-gc-opts;complex-addr-modes;copyprop;early-ifcvt;peephole;thinlto-funcattrs,1.1182108587223702,1.424799536169782,1.0023058657834851,1.2012871356394892
43,,adv-copy-opt;complex-addr-modes;copyprop;licm-promotion;machine-cse;mr-partial-inlining;partial-libcall-inlining;postra-machine-sink,1.0299989092685087,1.572876738798962,0.9990666754952182,1.2012871356394892
44,,ifcvt-simple-false;ifcvt-triangle;machine-cse;partial-inlining,1.0043593079871715,1.0591509831983605,1.00084176157741,1.2012871356394892
45,DeadStoreElimination-final;Inline;InstSimplify-before-inline,binop-extract-shuffle;bitcode-version-upgrade;cgp-branch-opts;dfa-sched;early-taildup;i2p-p2i-opt;post-ra;postra-machine-licm;preheader-prot;preinline;promote-alloca-to-vector;ra-fsprofile-loader;select-optimize;type-promotion,1.0647019470084025,1.526180235620918,1.0030327998206008,1.2012871356394892
46,DeadStoreElimination-initial;Inline,auto-upgrade-debug-info;cfi-fixup;cgp-ext-ld-promotion;demotion;ifcvt-triangle-rev;memop-opt,1.0183794330699116,1.5221360089763967,1.0030074816554406,1.2012871356394892
47,EnumSizeOpt;InstSimplify-before-inline;MatchBranchSimplification;UnreachableEnumBranching,cgp-gc-opts;cleanups;early-ifcvt;early-taildup;ifcvt-triangle-false;lftr;loop-idiom-vectorize-all;select-optimize;ssc;tail-calls;whole-program-visibility,1.0423921306112804,1.3231860782501095,0.9969296141129484,1.201301951024209
48,CopyProp;DeadStoreElimination-initial;InstSimplify-after-simplifycfg;SingleUseConsts,cleanups;demotion;ifcvt-diamond;layout-fsprofile-loader;loop-level-heuristics;mergeicmps;mr-partial-inlining;ondemand-mds-loading;post-ra,1.0004665443934757,1.6196344160351044,0.9975916524606866,1.201301951024209
49,InstSimplify-after-simplifycfg,cgp-branch-opts;icp;ifcvt-triangle-rev;ondemand-mds-loading;peephole;post-ra;promote-alloca-to-vector;spill-fusing;strictnode-mutation;type-promotion;vector-combine;vp;whole-program-visibility,1.2464317095824937,1.6303365197310669,1.0032651954499263,1.201301951024209
50,CopyProp;DeadStoreElimination-final;ForceInline,adv-copy-opt;cgp-gc-opts;cgp-select2branch;complex-addr-modes;constant-hoisting;dfa-sched;icp;ifcvt-simple;nounwind-inference,0.9917144836284338,1.7149337597978025,0.9986483054689537,1.201301951024209
51,InstSimplify-before-inline,cgp-store-extract;cleanups;complex-addr-modes;copyprop;demotion;ifcvt-diamond;ifcvt-triangle;interleaved-load-combine;layout-fsprofile-loader;lftr;machine-dce;partial-inlining;spill-fusing;type-promotion;whole-program-visibility,1.159366379907318,1.9486159687658222,0.9996037647634187,1.201301951024209
52,,lsr;ondemand-mds-loading;preheader-prot;preinline;select-optimize,0.9873868508905784,0.9236283611913052,0.9984695627933128,1.2017249548025966
53,,adv-copy-opt;block-placement;branch-fold;cgdata-for-merging;early-ifcvt;ifcvt-forked-diamond;ifcvt-simple-false;non-allocatable-phys-copy-opt;partial-inlining;phi-elim-edge-splitting;tail-duplicate,1.0003135221493311,0.980776676234007,0.9964723558149583,1.2022302425993692
54,DataflowConstProp;EarlyOtherwiseBranch,block-placement;ifcvt-triangle;spill-fusing;whole-program-visibility,0.9333384697554803,1.120284752000451,0.9940606855055848,1.2045957209821898
55,CopyProp,binop-extract-shuffle;chr;gep-const-evaluation;machine-dce;mergeicmps;phi-elim-edge-splitting;postra-machine-licm;select-optimize,1.0247211099497247,1.4753351795393654,1.0005480259211725,1.2045957209821898
56,,cgp-ext-ld-promotion;demotion;mergeicmps,1.013075357020868,1.1697413233082954,1.0000255079265885,1.2045957209821898
57,EarlyOtherwiseBranch;UnreachablePropagation,adv-copy-opt;cgp;complex-addr-modes;expand-reductions;ifcvt-simple-false;ifcvt-triangle-false;loop-idiom-vectorize-all;lsr;machine-cse;mr-partial-inlining,1.0388902136056781,1.416599339108655,0.9989014012398432,1.2045957209821898
58,MatchBranchSimplification;ReferencePropagation,bitcode-version-upgrade;branch-fold;cgp;loop-idiom-vectorize-bytecmp;mr-partial-inlining;nofree-inference;sample-loader-inlining;separate-const-offset-from-gep;spill-fusing,1.1160487899675697,1.148622285699485,1.0007254851534668,1.2045957209821898
59,DeadStoreElimination-initial,bitcode-version-upgrade;branch-fold;nofree-inference;replace-with-vec-lib,0.9932991707455869,1.0594695172613982,1.000279919621138,1.2045957209821898
60,DataflowConstProp,advanced-peeling;cgdata-for-merging;post-ra;whole-program-visibility,0.9734552109047593,1.0874335506060782,0.9989161854188343,1.20459617610026
61,,cgp-gc-opts;ifcvt-simple;non-allocatable-phys-copy-opt;postra-machine-sink,1.0109950036134092,0.9746532154851042,1.0001275396329412,1.20459617610026
62,DeadStoreElimination-initial,adv-copy-opt;branch-fold;cgp-branch-opts;cgp-store-extract;constant-hoisting;global-outlining;mergeicmps;replace-with-vec-lib;thinlto-funcattrs,0.9769759814976592,1.0968111248385741,1.0004074949549249,1.20459617610026
63,DeadStoreElimination-initial;EnumSizeOpt;ReferencePropagation,chr;i2p-p2i-opt;licm-promotion;replace-with-vec-lib,0.9084190033851317,1.4157897456669348,0.9957966346416579,1.20459617610026
64,GVN,advanced-peeling;cgp-branch-opts;complex-addr-modes;global-outlining;icp;nofree-inference;partial-inlining;postra-machine-sink;preheader-prot;ssc,1.03300589359834,1.6253747800330878,0.9994387067660895,1.20459617610026
65,EarlyOtherwiseBranch,advanced-peeling;complex-addr-modes;ra-fsprofile-loader,0.9856247548170813,1.1798894449520838,0.9989161854188343,1.20459617610026
66,,chr;partial-libcall-inlining;strictnode-mutation,1.0149457197610774,0.9894759651560646,1.0000000000000002,1.20459617610026
67,InstSimplify-after-simplifycfg;ReferencePropagation,machine-cse;ondemand-mds-loading;sample-loader-inlining,1.0391101607897244,1.2907132369669352,0.9993870130696297,1.20459617610026
68,,ifcvt-triangle-false;non-allocatable-phys-copy-opt;type-promotion,1.0162860639246003,1.0668076826564896,1.0000000000000002,1.20459617610026
69,DestinationPropagation,constant-hoisting;i2p-p2i-opt;ifcvt-triangle-false;lsr;nofree-inference;preheader-prot;tail-calls,0.9711681133364999,1.1427020185068688,0.9983801773849909,1.20459617610026
70,Inline,advanced-peeling;branch-fold;loop-idiom-vectorize-all;machine-cse;preheader-prot,1.3531049606998125,1.2284450400457398,1.0050684934348577,1.20459617610026
71,DeadStoreElimination-initial;EarlyOtherwiseBranch,nofree-inference;partial-libcall-inlining;strictnode-mutation;vector-combine,0.9846109466072945,1.4244265908351932,0.9986230462912364,1.20459617610026
72,EnumSizeOpt;SingleUseConsts;UnreachablePropagation,2addr-hack;demotion;ifcvt-triangle;ifcvt-triangle-false;licm-promotion;loop-level-heuristics;machine-cse;mergeicmps;non-allocatable-phys-copy-opt;preheader-prot;spill-fusing,0.9570694666038775,1.6966714337691677,0.9971309459795805,1.20459617610026
73,GVN,cgp-delete-phis;cleanups;lftr;loop-idiom-vectorize-all;loop-level-heuristics;nofree-inference;tail-duplicate,1.0719614348889575,1.096081153055879,0.9984191700522127,1.20459617610026
74,,block-placement;nofree-inference;preheader-prot;tail-calls,0.9724354271797216,1.0292973372018515,0.9948730368866368,1.2047522764267016
75,,cgp-ext-ld-promotion;early-taildup;ifcvt-triangle-rev;machine-dce;machine-licm;post-ra;separate-const-offset-from-gep;vp,0.9724492930534877,1.4462556870224732,0.9997443564953987,1.2047522764267016
76,,advanced-peeling;constant-hoisting;ifcvt-forked-diamond;ifcvt-triangle-false;last-run-tracking;loop-idiom-vectorize-bytecmp;machine-sink;non-allocatable-phys-copy-opt;postra-machine-licm;postra-machine-sink;spill-fusing;strictnode-mutation,0.9699654183044766,1.0702024472313623,1.0000634698624709,1.2047522764267016
77,DeadStoreElimination-initial,chr;ifcvt-diamond;last-run-tracking;machine-dce;nounwind-inference;tail-calls;thinlto-funcattrs,0.9739712611392625,1.5172185904614548,1.0001526446826186,1.2047522764267016
