t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,CopyProp,,0.9788082881026903,1.0730603168492425,0.9993750557985887,0.9471746834954338
2,,,1.0,1.0,1.0000000000000002,1.020235000344676
3,SingleUseConsts,,0.9896656233905154,1.1365072108291907,0.9993112859821192,1.0202906341815043
4,DestinationPropagation,,0.9980131532031218,1.0784151273242375,0.9994133176884711,1.0202906341815043
5,,cgp-gc-opts,1.0039697317855867,0.9522000540797118,1.0000000000000002,1.0679008271371235
6,EarlyOtherwiseBranch,,0.9834416227566262,1.129419865998144,0.9993112859821192,1.06790162930271
7,DeadStoreElimination-final,,0.9898439047581321,1.1744171707703046,0.9994260716517654,1.06790162930271
8,DeadStoreElimination-initial,,0.9849728616140409,1.1372777341242188,0.9993112859821192,1.06790162930271
9,DeadStoreElimination-final;EnumSizeOpt,,0.9757497761827957,1.2992109165478969,0.9987377529063829,1.0704583568050443
10,DataflowConstProp;DeadStoreElimination-final,,0.9719242830205136,1.2409567322686095,0.9987377529063829,1.073578268797837
11,CopyProp;DataflowConstProp;DestinationPropagation,,0.9591789139499703,1.2227688112892006,0.9981008603245384,1.084148112420548
12,DestinationPropagation;EnumSizeOpt;ForceInline,,0.9630945563036332,1.3207854357240087,0.9980371718140919,1.0841929670461514
13,EnumSizeOpt,,0.9857612614397215,1.1062601508931786,0.9993112859821192,1.084194464965995
14,DeadStoreElimination-final;DestinationPropagation;ForceInline,,0.9670833228631425,1.4021594227770344,0.9981518111328964,1.084194464965995
15,DataflowConstProp,,0.9818965175706194,1.0566575175792614,0.9993112859821192,1.0845050844849053
16,EnumSizeOpt;ForceInline,,0.9650118870804281,1.2247467624097041,0.9986230462912364,1.0845050844849053
17,DeadStoreElimination-final;SingleUseConsts,,0.9796144850617586,1.3347335831020681,0.9987377529063829,1.0845050844849053
18,DeadStoreElimination-initial;DestinationPropagation,,0.9830158714389313,1.2264575124485897,0.998725007726922,1.0845050844849053
19,CopyProp;DataflowConstProp,,0.961088449457291,1.1338572506147364,0.9986867721885394,1.086139372689655
20,DeadStoreElimination-final;DestinationPropagation,,0.987877236566554,1.266509242748029,0.9988397260538462,1.086139372689655
