t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,,,1.0,1.0,1.0000000000000002,0.9999999999999998
2,ForceInline;InstSimplify-after-simplifycfg,,0.9804324680038079,1.2458769469723978,0.9989034402393726,1.0155994491580642
3,CopyProp;UnreachablePropagation,,0.9633531142497003,1.151559156581829,0.9986867721885394,1.0322477425842078
4,UnreachablePropagation,,0.9842102135414605,1.0731541726965337,0.9993112859821192,1.0335405917750593
5,DeadStoreElimination-final;UnreachablePropagation,,0.9742144808747143,1.26033068729861,0.9987377529063829,1.0335405917750593
6,CopyProp;ReferencePropagation,,0.9609837474891488,1.1599617585928241,0.9983298843907359,1.0358450607032872
7,,cleanups,0.9965552077968389,0.9625935996544941,1.0000000000000002,1.0736323192487853
8,JumpThreading;UnreachableEnumBranching,,1.0197997147834013,1.1788552529868785,1.0000377791043766,1.0736323192487853
9,JumpThreading,,1.0378273443999841,1.11858788668592,1.0007142219444691,1.0736323192487853
10,UnreachableEnumBranching,cleanups,0.9817120870838493,1.0144562934667904,0.9993240399454125,1.0747399799566193
11,DeadStoreElimination-final,,0.9898439047581321,1.1744171707703046,0.9994260716517654,1.0747399799566193
12,ScalarReplacementOfAggregates,,0.9875817122934912,1.1386670099403715,0.9996173811011776,1.0747399799566193
13,UnreachableEnumBranching;UnreachablePropagation,,0.967113942865685,1.130973657775102,0.9986357914706965,1.0750555028014446
14,DeadStoreElimination-final;ReferencePropagation,,0.9718184005854735,1.269526964456484,0.9983808468902584,1.0750555028014446
15,InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates,,0.989076329044397,1.2813945037390244,0.9992094104328021,1.0750555028014446
16,ForceInline,,0.9789509131967828,1.1071055586887597,0.9993112859821192,1.0751214529228268
17,DeadStoreElimination-final,cleanups,0.9893954746891548,1.1304864519078341,0.9994260716517654,1.0751214529228268
18,DeadStoreElimination-final;JumpThreading,,1.027287071045643,1.3136888211396125,1.0001398836840134,1.0751214529228268
19,InstSimplify-after-simplifycfg;ReferencePropagation,,0.9832753995785531,1.2164819125770325,0.9985464750137053,1.0751214529228268
20,ReferencePropagation;UnreachablePropagation,,0.9662873014280607,1.1600632153254686,0.9982661812663339,1.0751767633721032
21,ReferencePropagation,,0.9817895487500496,1.080984675678572,0.9989541750098841,1.0751949408784789
22,ForceInline,cleanups,0.9755786307237253,1.065692724935713,0.9993112859821192,1.0755297622084798
23,CopyProp,,0.9788082881026903,1.0730603168492425,0.9993750557985887,1.0755297622084798
24,ForceInline;JumpThreading,,1.0159820265409567,1.2383948672318947,1.000025016031923,1.0755297622084798
25,InstSimplify-after-simplifycfg,,1.001513410720653,1.125346121871158,0.9995918731745881,1.0755297622084798
26,InstSimplify-after-simplifycfg;JumpThreading,cleanups,1.0365633679577193,1.2117114181029731,1.000305803625922,1.0755297622084798
27,UnreachableEnumBranching,,0.9826294520819303,1.0538780787976478,0.9993240399454125,1.0755297622084798
