t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,CopyProp,adv-copy-opt;auto-upgrade-debug-info;bitcode-version-upgrade;cgp-gc-opts;global-outlining;ifcvt-diamond;interleaved-load-combine;ondemand-mds-loading,0.9972987415226584,1.006356891769767,0.9993750557985887,0.0
2,EarlyOtherwiseBranch;ForceInline;ReferencePropagation;UnreachablePropagation,expand-reductions;loop-idiom-vectorize-all;machine-licm;nofree-inference;ondemand-mds-loading;postra-machine-sink;whole-program-visibility,0.9488382685533243,1.3736913652973644,0.9961031611076263,0.0
3,DataflowConstProp;DeadStoreElimination-initial;UnreachablePropagation,constant-hoisting;early-ifcvt;ifcvt-triangle;ifcvt-triangle-false;loop-idiom-vectorize-bytecmp;loop-level-heuristics;promote-alloca-to-vector;replace-with-vec-lib;tail-calls;whole-program-visibility,1.005251378735045,1.2469191107860387,0.9980625569000631,0.0
4,DataflowConstProp;DeadStoreElimination-final;JumpThreading,adv-copy-opt;copyprop;icp;ifcvt-triangle;sample-loader-inlining;spill-fusing,1.0538936211596208,2.3988248425370435,1.0002415215514942,0.0
5,,binop-extract-shuffle;cgdata-for-merging;dfa-sched;icp;ifcvt-simple;ifcvt-triangle-false;loop-idiom-vectorize-bytecmp;non-allocatable-phys-copy-opt;partial-inlining;promote-alloca-to-vector;whole-program-visibility,1.0463348547667197,1.2453762179635015,1.0000000000000002,0.0
6,ReferencePropagation,adv-copy-opt;cgp;ifcvt-simple;machine-licm;nofree-inference;select-optimize,1.0522189210252673,1.045162016307064,0.9988768667953826,0.0
7,GVN;MatchBranchSimplification;UnreachableEnumBranching,ifcvt-forked-diamond,1.0015978592235184,1.3273676915333537,0.9981518109704579,0.0
8,InstSimplify-after-simplifycfg;JumpThreading,advanced-peeling;chr;expand-reductions;ifcvt-simple-false;mergeicmps;partial-inlining;promote-alloca-to-vector;tail-duplicate,1.1913734745948548,1.465208989574041,0.9998592933750251,0.0
9,DeadStoreElimination-final;InstSimplify-before-inline;ReferencePropagation,branch-fold;ifcvt-triangle-false;partial-libcall-inlining;replace-with-vec-lib;select-optimize;strictnode-mutation;type-promotion,1.060217704900563,1.2819754851453127,0.9986603132786714,0.0
10,JumpThreading;ScalarReplacementOfAggregates,cfi-fixup;cgp-select2branch;constant-hoisting;early-taildup;expand-reductions;machine-dce;preinline;sample-loader-inlining,1.0988981631999242,1.744039662939176,1.001199126822271,0.0
11,DestinationPropagation,cgp-branch-opts;cgp-store-extract;copyprop;gep-const-evaluation;ifcvt-triangle-rev;lftr;machine-licm;memop-opt;non-allocatable-phys-copy-opt;partial-libcall-inlining;postra-machine-licm,1.0570463426812795,1.5396967555329129,0.9977948904038938,0.0
12,CopyProp;DataflowConstProp;ForceInline;Inline;SingleUseConsts,cgp-delete-phis;i2p-p2i-opt;ifcvt-triangle-false;machine-dce;non-allocatable-phys-copy-opt;separate-const-offset-from-gep;spill-fusing;tail-calls,1.100657144583065,2.1842699008933093,1.002315956533337,0.0
13,ImpossiblePredicates;Inline;ScalarReplacementOfAggregates,early-taildup;loop-level-heuristics;machine-licm;ondemand-mds-loading,0.9103209638869401,1.3523853716475402,1.0018818123550466,0.0
14,,cgp-store-extract;ifcvt-diamond;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle-rev;nounwind-inference;preheader-prot;select-optimize,0.9578469178574455,1.0016139518425633,1.0003826084883536,0.0
15,,complex-addr-modes,0.9998989738916844,1.0384255984157607,1.0000000000000002,0.0
16,,block-placement;cgp-delete-phis;cgp-gc-opts;chr;gep-const-evaluation;ifcvt-triangle;layout-fsprofile-loader;licm-promotion,0.9877215255369327,0.9578931553957969,0.9927539909436487,0.0
17,,bitcode-version-upgrade;block-placement;dfa-sched;early-taildup;ifcvt-forked-diamond;ifcvt-triangle;ifcvt-triangle-rev;licm-promotion;loop-level-heuristics;mr-partial-inlining;nounwind-inference;ondemand-mds-loading;post-ra;postra-machine-licm;promote-alloca-to-vector,0.9948093109941487,1.0335616225367736,0.9934378346809346,0.0
18,DeadStoreElimination-final;InstSimplify-after-simplifycfg,binop-extract-shuffle;bitcode-version-upgrade;branch-fold;cgdata-for-merging;cgp-gc-opts;cgp-select2branch;constant-hoisting;demotion;machine-dce,1.097054776809898,1.6802344512336727,1.0005477507220377,0.0
19,CopyProp;DeadStoreElimination-initial,adv-copy-opt;advanced-peeling;bitcode-version-upgrade;cgp-delete-phis;dfa-sched;early-taildup;ifcvt-simple-false;last-run-tracking;layout-fsprofile-loader;machine-cse;nounwind-inference;phi-elim-edge-splitting;promote-alloca-to-vector;replace-with-vec-lib,1.0238651147752333,1.6036979997443839,1.0005090524370845,0.0
20,GVN;JumpThreading;ScalarReplacementOfAggregates,cfi-fixup;cgp-select2branch;cgp-store-extract;loop-idiom-vectorize-bytecmp;nofree-inference;partial-libcall-inlining;phi-elim-edge-splitting;vp,1.1460655201195808,1.4603116298039194,1.0004967944049552,1.101
21,CopyProp;GVN,binop-extract-shuffle;branch-fold;cgp-select2branch;cgp-store-extract;ifcvt-triangle;machine-dce;machine-sink;mergeicmps;preheader-prot;thinlto-funcattrs,1.0417704513775008,1.4627575174882808,0.9998459909384835,1.101
22,DataflowConstProp;DestinationPropagation;JumpThreading,copyprop;early-taildup;gep-const-evaluation;i2p-p2i-opt;ifcvt-triangle;lsr;machine-dce;select-optimize,1.0577533295382324,2.39246515400816,0.9992457753319367,1.101
23,,icp;loop-idiom-vectorize-all;replace-with-vec-lib;thinlto-funcattrs;whole-program-visibility,1.008717909923959,1.2219477724265189,1.0000000000000002,1.101
24,DeadStoreElimination-initial;EarlyOtherwiseBranch,2addr-hack;cgp-store-extract;icp;memop-opt;mergeicmps;peephole;postra-machine-licm;tail-duplicate,0.9582227423925592,1.705323737321696,1.0016795403256866,1.101
25,CopyProp;DestinationPropagation;GVN;InstSimplify-before-inline;MatchBranchSimplification;UnreachablePropagation,cgp;cleanups;complex-addr-modes;early-ifcvt;gep-const-evaluation;loop-idiom-vectorize-all;nounwind-inference;ssc;tail-duplicate;type-promotion,1.3420841602984792,1.8540380036962394,0.9977179344717348,1.101
26,,adv-copy-opt;cgp-delete-phis;global-outlining;ifcvt-triangle;ifcvt-triangle-false;interleaved-load-combine;loop-idiom-vectorize-all;machine-cse;ra-fsprofile-loader;replace-with-vec-lib;ssc,1.0139817802380942,1.0547506854678206,1.0011225849573977,1.101
27,DeadStoreElimination-initial;UnreachableEnumBranching,auto-upgrade-debug-info;cgp-store-extract;cleanups;early-taildup;ifcvt-forked-diamond;machine-dce;replace-with-vec-lib;sample-loader-inlining;type-promotion;vp,0.983858811960891,1.6085958058003504,0.9993236763993777,1.101
28,DestinationPropagation;EarlyOtherwiseBranch;SingleUseConsts,auto-upgrade-debug-info;block-placement;cgdata-for-merging;cgp-delete-phis;chr;gep-const-evaluation;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle;last-run-tracking;machine-licm;nounwind-inference;postra-machine-licm;postra-machine-sink;separate-const-offset-from-gep;spill-fusing;thinlto-funcattrs;type-promotion,0.9828221633921327,1.5110177375738072,0.9930715476980233,1.101
29,ForceInline;ImpossiblePredicates;InstSimplify-after-simplifycfg,cgp;cleanups;demotion;early-taildup;global-outlining;ifcvt-diamond;ifcvt-forked-diamond;ifcvt-triangle;memop-opt;replace-with-vec-lib;tail-duplicate;vector-combine,1.0989184037136759,1.8371154895768258,0.9992595505242301,1.101
30,CopyProp;ScalarReplacementOfAggregates,2addr-hack;advanced-peeling;early-ifcvt;early-taildup;i2p-p2i-opt;ifcvt-forked-diamond;last-run-tracking;loop-idiom-vectorize-bytecmp;postra-machine-sink;type-promotion,0.8720936838727181,1.5085837698929658,0.9993493038669939,1.101
31,Inline;ReferencePropagation,cleanups;constant-hoisting;demotion;gep-const-evaluation;global-outlining;lftr;licm-promotion;loop-idiom-vectorize-bytecmp;machine-sink;post-ra;promote-alloca-to-vector;select-optimize;ssc,1.2534982109528598,1.3979334438310076,0.9995818126568083,1.101
32,EarlyOtherwiseBranch;EnumSizeOpt,ifcvt-triangle-rev;last-run-tracking;loop-idiom-vectorize-bytecmp;spill-fusing;tail-calls;vector-combine,0.9546806289881246,1.547286304805421,0.9991579751616709,1.101
33,,2addr-hack;i2p-p2i-opt;ifcvt-simple-false;last-run-tracking;nounwind-inference;partial-libcall-inlining;preinline;promote-alloca-to-vector,1.0566363916286767,1.2112862026640778,1.0007781427127411,1.101
34,CopyProp;ForceInline,auto-upgrade-debug-info;constant-hoisting;dfa-sched;layout-fsprofile-loader;machine-sink;partial-libcall-inlining;vp,0.949931230705273,1.1725827401096856,0.9984574568427231,1.101
35,MatchBranchSimplification,branch-fold;ifcvt-forked-diamond;ifcvt-triangle-false;interleaved-load-combine;postra-machine-sink;ssc;strictnode-mutation,1.00081894967631,1.0904806614464224,1.0007520541675745,1.101
36,,bitcode-version-upgrade;branch-fold;cgdata-for-merging;cgp-branch-opts;copyprop;early-ifcvt;loop-idiom-vectorize-all;machine-licm;mr-partial-inlining;ssc,1.0170189002809584,1.1506031889866242,1.0005347979821402,1.101
37,UnreachablePropagation,cgp-ext-ld-promotion;dfa-sched;memop-opt;partial-inlining;postra-machine-licm;postra-machine-sink;whole-program-visibility,1.0182540071626698,1.0986347220847665,0.9994897256469216,1.101
38,,adv-copy-opt;binop-extract-shuffle;ifcvt-triangle-rev;layout-fsprofile-loader;ondemand-mds-loading,0.9919647405368754,1.011439123932672,1.0000000000000002,1.101
39,JumpThreading;UnreachableEnumBranching;UnreachablePropagation,bitcode-version-upgrade;cgdata-for-merging;memop-opt;partial-inlining;preinline,1.0919497906725486,1.2689438157874058,0.9993490390674968,1.101
40,ReferencePropagation,cgp-gc-opts;ifcvt-diamond;mergeicmps;ondemand-mds-loading;phi-elim-edge-splitting;post-ra;vp,0.9818466988776966,0.9918720943970534,0.999667650003195,1.12
41,EarlyOtherwiseBranch;ForceInline;Inline,bitcode-version-upgrade;block-placement;cgp-ext-ld-promotion;ifcvt-triangle-rev;licm-promotion;machine-licm;mr-partial-inlining;select-optimize;tail-duplicate;type-promotion,1.088854953666178,1.2907528697079709,0.9939879648965588,1.12
42,EarlyOtherwiseBranch,2addr-hack;cgdata-for-merging;cgp;dfa-sched;expand-reductions;machine-cse;nounwind-inference;ondemand-mds-loading;preinline;replace-with-vec-lib;sample-loader-inlining;tail-calls;tail-duplicate;whole-program-visibility,1.0472599862903669,1.1927760550129876,1.0014028396108396,1.12
43,,chr;cleanups;early-ifcvt;gep-const-evaluation;last-run-tracking;nofree-inference;select-optimize;ssc,0.9950684726028649,0.9936223973232844,1.0002805871924703,1.12
44,JumpThreading;ScalarReplacementOfAggregates;UnreachablePropagation,2addr-hack;adv-copy-opt;cfi-fixup;cgp-ext-ld-promotion;gep-const-evaluation;interleaved-load-combine;non-allocatable-phys-copy-opt;partial-inlining;phi-elim-edge-splitting;postra-machine-sink;ssc;tail-calls;tail-duplicate,1.1135267226988783,1.6868739733840283,1.0006880772539157,1.12
45,InstSimplify-before-inline,advanced-peeling;cgp-store-extract;constant-hoisting;icp;ifcvt-triangle;machine-licm;memop-opt;sample-loader-inlining;separate-const-offset-from-gep;vector-combine;vp,1.2158554446449474,1.6052489553171,0.9980752126645605,1.12
46,DeadStoreElimination-initial,bitcode-version-upgrade;cfi-fixup;i2p-p2i-opt;ifcvt-triangle-rev;mr-partial-inlining;partial-libcall-inlining;ra-fsprofile-loader,0.9959882818026841,1.1252448052222295,0.9996808961864813,1.12
47,DataflowConstProp;UnreachableEnumBranching,complex-addr-modes;global-outlining;ifcvt-triangle-false;loop-idiom-vectorize-bytecmp;ondemand-mds-loading;partial-inlining,0.9542846189286215,1.1437999392933194,0.9986357914706965,1.12
48,GVN,bitcode-version-upgrade;branch-fold;cgp-store-extract;complex-addr-modes;last-run-tracking;licm-promotion;peephole;vp,1.0225077305917563,1.1179210576208234,1.001396051765575,1.12
49,DataflowConstProp;EnumSizeOpt,cgp-branch-opts;cgp-delete-phis;global-outlining;i2p-p2i-opt;loop-idiom-vectorize-all;memop-opt;non-allocatable-phys-copy-opt;phi-elim-edge-splitting;preheader-prot,0.9959153006071648,1.290465208824138,0.9996804038108772,1.12
50,DeadStoreElimination-final;EarlyOtherwiseBranch;ImpossiblePredicates,expand-reductions;mr-partial-inlining;postra-machine-licm;whole-program-visibility,1.0149534237627713,1.3699971890835858,0.9981262840659112,1.12
51,GVN;UnreachableEnumBranching,chr;interleaved-load-combine;memop-opt,1.028170286793125,1.3729863198827754,0.9987759902340637,1.12
52,EnumSizeOpt;Inline,advanced-peeling;nofree-inference;sample-loader-inlining;separate-const-offset-from-gep;type-promotion;whole-program-visibility,1.018666178230652,1.241357373874779,1.0025853458432932,1.12
53,ForceInline;UnreachableEnumBranching,binop-extract-shuffle;bitcode-version-upgrade;chr;cleanups;complex-addr-modes;loop-idiom-vectorize-all;machine-licm;phi-elim-edge-splitting;ra-fsprofile-loader;vector-combine,1.0612348060345806,1.2954405154380035,0.9983803688343653,1.12
54,UnreachableEnumBranching,i2p-p2i-opt;icp;last-run-tracking;machine-cse;machine-sink;memop-opt;mr-partial-inlining,0.9895544374314666,1.5930621648085872,1.0001778564916326,1.12
55,DeadStoreElimination-final;EnumSizeOpt;InstSimplify-before-inline;UnreachableEnumBranching,global-outlining;ifcvt-diamond;machine-sink;ondemand-mds-loading;post-ra;promote-alloca-to-vector;replace-with-vec-lib,1.027686416660892,1.4497483648663683,0.9970190926942832,1.12
56,GVN,cgp-delete-phis;constant-hoisting;early-taildup;ifcvt-simple;loop-idiom-vectorize-all;partial-inlining;postra-machine-sink;spill-fusing,1.0793754347912374,1.2911775765829276,1.0004971854765088,1.12
57,DataflowConstProp;DeadStoreElimination-initial;EarlyOtherwiseBranch;Inline;MatchBranchSimplification,cfi-fixup;cgp-branch-opts;chr;ifcvt-simple-false;partial-libcall-inlining,0.9806172827526435,1.6416142564845164,1.0009748933871587,1.12
58,MatchBranchSimplification,auto-upgrade-debug-info;branch-fold;nounwind-inference;post-ra;strictnode-mutation,1.0162460258748496,1.0895163875181608,1.0007520183692853,1.12
59,DataflowConstProp;DeadStoreElimination-initial,2addr-hack;block-placement;dfa-sched;i2p-p2i-opt;ifcvt-triangle;ifcvt-triangle-false;loop-idiom-vectorize-all;post-ra,0.9569550703027235,1.2668372212662995,0.9938959569697007,1.12
60,DestinationPropagation;Inline,advanced-peeling;ifcvt-diamond;lsr,1.1066303175290666,1.0985040000448516,1.001178699249666,1.12
61,,ifcvt-simple-false;machine-cse;non-allocatable-phys-copy-opt;separate-const-offset-from-gep;whole-program-visibility,1.0175288472905042,1.1091553516313146,1.00084176157741,1.12
