t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,,,1.0,1.0,1.0000000000000002,0.0
2,DeadStoreElimination-initial;EarlyOtherwiseBranch;MatchBranchSimplification;ScalarReplacementOfAggregates,,0.9434468610118605,1.5935907549842956,0.9976171093449612,0.0
3,DeadStoreElimination-final,,0.9898439047581321,1.1744171707703046,0.9994260716517654,0.0
4,JumpThreading,postra-machine-licm,1.0744476638052007,1.1204122158756304,1.0007397480893785,0.0
5,,cfi-fixup;postra-machine-licm,0.9884284871282304,1.0009629023733009,1.0000255079265885,0.0
6,,cfi-fixup,0.9952180975397171,0.9993330684472316,1.0000000000000002,0.0
7,EnumSizeOpt,,0.9857612614397215,1.1062601508931786,0.9993112859821192,0.0
8,SingleUseConsts,,0.9896656233905154,1.1365072108291907,0.9993112859821192,0.0
9,,postra-machine-licm,0.9931777663325543,1.0016309216391706,1.0000255079265885,0.0
10,DeadStoreElimination-initial,postra-machine-licm,0.9782531465960171,1.1391325449905487,0.9993367763410409,0.0
11,EarlyOtherwiseBranch;EnumSizeOpt;MatchBranchSimplification,,0.9560748346306766,1.361353134339274,0.9979989626090607,0.0
12,DeadStoreElimination-initial;MatchBranchSimplification,,0.9713949008676916,1.2391521673962764,0.9986867721885394,0.0
13,JumpThreading;ScalarReplacementOfAggregates,,1.0249393058475431,1.2736991242881757,1.0003313297708325,0.0
14,UnreachableEnumBranching;UnreachablePropagation,,0.967113942865685,1.130973657775102,0.9986357914706965,0.0
15,JumpThreading,,1.0378273443999841,1.11858788668592,1.0007142219444691,0.0
16,EarlyOtherwiseBranch;EnumSizeOpt,,0.9694386546008986,1.2494321913808606,0.9986230462912364,0.0
17,DeadStoreElimination-final;DeadStoreElimination-initial,cfi-fixup,0.970307174927553,1.3347477194322253,0.9987377529063829,0.0
18,EnumSizeOpt;JumpThreading;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,,0.9825352891686997,1.6876667168381903,0.9982786668901287,0.0
19,UnreachableEnumBranching,,0.9826294520819303,1.0538780787976478,0.9993240399454125,0.0
20,DeadStoreElimination-final;UnreachablePropagation,,0.9742144808747143,1.26033068729861,0.9987377529063829,1.022
21,DeadStoreElimination-initial,,0.9849728616140409,1.1372777341242188,0.9993112859821192,1.022
22,EarlyOtherwiseBranch,,0.9834416227566262,1.129419865998144,0.9993112859821192,1.022
23,JumpThreading;SingleUseConsts,,1.0271020457673337,1.2712831991647338,1.000025016031923,1.022
24,SingleUseConsts,cfi-fixup,0.984933138911167,1.1357492383103398,0.9993112859821192,1.022
25,DeadStoreElimination-final;ScalarReplacementOfAggregates,,0.9775517383643114,1.3372700882636532,0.9990436723487753,1.022
26,UnreachablePropagation,,0.9842102135414605,1.0731541726965337,0.9993112859821192,1.022
27,EnumSizeOpt,cfi-fixup,0.9810474472383915,1.1055223510929775,0.9993112859821192,1.022
28,DeadStoreElimination-initial;JumpThreading,,1.0222317692749532,1.2721450971889616,1.000025016031923,1.022
29,ScalarReplacementOfAggregates,cfi-fixup;postra-machine-licm,0.9520645533234882,1.1397634351066424,0.9996428792679511,1.022
30,DeadStoreElimination-initial,cfi-fixup,0.980262817463777,1.1365192477190704,0.9993112859821192,1.022
31,JumpThreading;UnreachableEnumBranching,,1.0197997147834013,1.1788552529868785,1.0000377791043766,1.022
32,DeadStoreElimination-final;DeadStoreElimination-initial;SingleUseConsts,cfi-fixup,0.9602796551549666,1.5169504077725415,0.9980499082157692,1.022
33,ScalarReplacementOfAggregates;SingleUseConsts,postra-machine-licm,0.9425522965233347,1.2962138485528827,0.9989544112041243,1.022
34,MatchBranchSimplification,,0.9862148884751002,1.0895774446428497,0.9993750557985887,1.022
35,DeadStoreElimination-initial;ScalarReplacementOfAggregates,,0.9727411852354145,1.2949806369869847,0.9989289305982957,1.022
36,EarlyOtherwiseBranch;JumpThreading,,1.0206426077179205,1.2633553810879592,1.000025016031923,1.022
37,ScalarReplacementOfAggregates,,0.9875817122934912,1.1386670099403715,0.9996173811011776,1.022
38,DeadStoreElimination-final;SingleUseConsts,,0.9796144850617586,1.3347335831020681,0.9987377529063829,1.022
39,DeadStoreElimination-initial;ScalarReplacementOfAggregates,cfi-fixup;postra-machine-licm,0.9377577475283297,1.296227576915718,0.9989544112041243,1.022
40,UnreachableEnumBranching;UnreachablePropagation,postra-machine-licm,0.9605160655644107,1.1328181871868994,0.9986612645991538,1.034
41,EarlyOtherwiseBranch;EnumSizeOpt;UnreachableEnumBranching,,0.9525989739975247,1.3167491974403964,0.9979480170023527,1.034
42,EnumSizeOpt;ScalarReplacementOfAggregates;UnreachablePropagation,,0.9581481248171491,1.3518114652025195,0.9982409542409255,1.034
43,SingleUseConsts,postra-machine-licm,0.9853501310302626,1.1383607650324055,0.9993367763410409,1.034
44,EarlyOtherwiseBranch;SingleUseConsts,,0.9732783666536167,1.283593821760629,0.9986230462912364,1.034
45,DeadStoreElimination-final;EarlyOtherwiseBranch;JumpThreading,,1.010276864186029,1.4837062523347613,0.9994510733262781,1.034
46,MatchBranchSimplification;UnreachableEnumBranching,,0.9690837954973297,1.148281784061457,0.9986995181813174,1.034
47,EarlyOtherwiseBranch;UnreachableEnumBranching,,0.9663587029239081,1.1902708385340213,0.9986357914706965,1.034
48,DeadStoreElimination-final;JumpThreading;SingleUseConsts,postra-machine-licm,1.057565934856729,1.495451811447008,0.9994765672508852,1.034
49,EarlyOtherwiseBranch;EnumSizeOpt;SingleUseConsts,,0.9594201104444608,1.4199886949464653,0.9979352806006764,1.034
50,DeadStoreElimination-initial;UnreachableEnumBranching;UnreachablePropagation,,0.952580987811252,1.2862311588686475,0.9979480170023527,1.034
51,JumpThreading;UnreachablePropagation,postra-machine-licm,1.0574823646328402,1.202375044607102,1.0000505245966185,1.034
52,DeadStoreElimination-final,postra-machine-licm,0.9853388038331597,1.1763325531475273,0.9994515649386315,1.034
53,EarlyOtherwiseBranch;EnumSizeOpt,postra-machine-licm,0.9628249175729571,1.2514699173784598,0.9986485190945906,1.034
54,DeadStoreElimination-final,cfi-fixup,0.9851105677546733,1.1736339149030048,0.9994260716517654,1.034
55,EarlyOtherwiseBranch;EnumSizeOpt;ScalarReplacementOfAggregates;SingleUseConsts,cfi-fixup,0.9495249630257928,1.6158159236100493,0.9975534517025167,1.034
56,ScalarReplacementOfAggregates;SingleUseConsts,cfi-fixup,0.979458533574459,1.2932401892288887,0.9989289305982957,1.034
57,DeadStoreElimination-final;DeadStoreElimination-initial;EnumSizeOpt;JumpThreading;SingleUseConsts;UnreachableEnumBranching,,0.9699874077714136,1.9796065229138413,0.9974002167168321,1.034
58,UnreachablePropagation,postra-machine-licm,0.977495701486794,1.0749044030589505,0.9993367763410409,1.034
59,MatchBranchSimplification;UnreachableEnumBranching,postra-machine-licm,0.987408158090335,1.1501545416709482,0.9987249929353111,1.034
60,DeadStoreElimination-final;JumpThreading,,1.027287071045643,1.3136888211396125,1.0001398836840134,1.035
61,EarlyOtherwiseBranch;ScalarReplacementOfAggregates,cfi-fixup,0.973298725261677,1.2851754457032005,0.9989289305982957,1.035
62,DeadStoreElimination-initial;EnumSizeOpt;UnreachableEnumBranching;UnreachablePropagation,postra-machine-licm,0.9326112398009696,1.4252269245294045,0.9972861542670652,1.035
63,ScalarReplacementOfAggregates;UnreachablePropagation,,0.9719880079460184,1.221965253029395,0.9989289305982957,1.035
64,UnreachableEnumBranching,postra-machine-licm,0.9759257243513132,1.0555968713614063,0.9993495306296615,1.035
65,DeadStoreElimination-initial;EnumSizeOpt;JumpThreading;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,,0.9677705954092733,1.9193457796825963,0.9975911383784898,1.035
66,EarlyOtherwiseBranch;JumpThreading;ScalarReplacementOfAggregates;UnreachableEnumBranching,,0.9904590181745627,1.5160469247065353,0.9989666692386294,1.035
67,EarlyOtherwiseBranch,cfi-fixup,0.9787389008412218,1.1286666202531865,0.9993112859821192,1.035
68,EarlyOtherwiseBranch,postra-machine-licm,0.9767323542078885,1.1312618612973095,0.9993367763410409,1.035
69,DeadStoreElimination-final;ScalarReplacementOfAggregates;SingleUseConsts,postra-machine-licm,0.9351129111920983,1.5222958007307643,0.9983810829489401,1.035
70,EarlyOtherwiseBranch;UnreachableEnumBranching;UnreachablePropagation,,0.9511001053623885,1.2773441170117867,0.9979480170023527,1.035
71,DeadStoreElimination-final;JumpThreading;SingleUseConsts,,1.016670699567403,1.4930168180108685,0.9994510733262781,1.035
72,EnumSizeOpt,postra-machine-licm,0.9790361677738637,1.1080643745118224,0.9993367763410409,1.035
73,DeadStoreElimination-initial;EarlyOtherwiseBranch;MatchBranchSimplification;SingleUseConsts,,0.9454376424921589,1.5905680662911532,0.9973116267336811,1.035
74,DeadStoreElimination-initial;UnreachableEnumBranching,postra-machine-licm,0.9612603534370686,1.2005068180105147,0.9986612645991538,1.035
75,SingleUseConsts;UnreachablePropagation,cfi-fixup,0.9736479083965962,1.2188340342296506,0.9986230462912364,1.035
76,EnumSizeOpt;ScalarReplacementOfAggregates,,0.9735197944852321,1.2596619382337197,0.9989289305982957,1.035
77,MatchBranchSimplification;SingleUseConsts,,0.9760229723997178,1.238312622593442,0.9986867721885394,1.035
78,DeadStoreElimination-initial;UnreachableEnumBranching,,0.967863343323376,1.1985520734981736,0.9986357914706965,1.035
79,DeadStoreElimination-initial;ScalarReplacementOfAggregates;UnreachableEnumBranching,postra-machine-licm,0.9195088376774312,1.3669775088770624,0.998279157925796,1.035
80,EarlyOtherwiseBranch;EnumSizeOpt;JumpThreading;UnreachableEnumBranching,,0.9886332634620009,1.4728997020602344,0.9986607733755349,1.047
81,EarlyOtherwiseBranch;ScalarReplacementOfAggregates;UnreachableEnumBranching;UnreachablePropagation,,0.9392890706163076,1.4544696063827351,0.9975661832310051,1.047
82,DeadStoreElimination-final;JumpThreading;UnreachablePropagation,cfi-fixup,0.9955133422845283,1.408850406170131,0.9994510733262781,1.047
83,DeadStoreElimination-initial;ScalarReplacementOfAggregates;UnreachablePropagation,postra-machine-licm,0.9209880566538403,1.3919803885733943,0.9982664172979038,1.047
84,EarlyOtherwiseBranch;MatchBranchSimplification;UnreachableEnumBranching,,0.9530373404310446,1.2968922586828007,0.9980116998234948,1.047
85,DeadStoreElimination-initial;EarlyOtherwiseBranch;JumpThreading;UnreachableEnumBranching,,0.9878425666441555,1.514197211568049,0.9986607733755349,1.047
86,DeadStoreElimination-initial;ScalarReplacementOfAggregates;UnreachablePropagation,,0.9573818096411207,1.3897138741437978,0.9982409542409255,1.047
87,ScalarReplacementOfAggregates;UnreachableEnumBranching;UnreachablePropagation,cfi-fixup,0.9613522158381016,1.2869435171703312,0.9982536945438392,1.047
88,EnumSizeOpt;UnreachableEnumBranching,,0.968638048212106,1.1658633224736992,0.9986357914706965,1.047
89,EarlyOtherwiseBranch;EnumSizeOpt;ScalarReplacementOfAggregates;UnreachablePropagation,,0.9422827467113957,1.5267627238837846,0.9975534517025167,1.047
