t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,DestinationPropagation,,0.9980131532031218,1.0784151273242375,0.9994133176884711,0.0
2,SingleUseConsts,,0.9896656233905154,1.1365072108291907,0.9993112859821192,0.0
3,DeadStoreElimination-initial,,0.9849728616140409,1.1372777341242188,0.9993112859821192,0.0
4,DataflowConstProp,cgp-gc-opts,0.9857943833865765,1.0061493453827066,0.9993112859821192,0.0
5,,,1.0,1.0,1.0000000000000002,0.0
6,ForceInline,,0.9789509131967828,1.1071055586887597,0.9993112859821192,0.0
7,CopyProp;DeadStoreElimination-final,,0.9688674179051895,1.2602204613799741,0.9988014861235471,0.0
8,DataflowConstProp,,0.9818965175706194,1.0566575175792614,0.9993112859821192,0.0
9,CopyProp,,0.9788082881026903,1.0730603168492425,0.9993750557985887,0.0
10,DeadStoreElimination-final,nofree-inference,0.9894595907346533,1.1710504715593923,0.9994260716517654,0.0
11,EnumSizeOpt,,0.9857612614397215,1.1062601508931786,0.9993112859821192,0.0
12,DeadStoreElimination-initial;EnumSizeOpt,,0.9709480905485492,1.2581250377597104,0.9986230462912364,0.0
13,DeadStoreElimination-final;DeadStoreElimination-initial,,0.9749693834208335,1.3356384988902277,0.9987377529063829,0.0
14,DestinationPropagation;EarlyOtherwiseBranch;SingleUseConsts,,0.9713446116483603,1.3842469947265934,0.9980371718140919,0.0
15,CopyProp;DestinationPropagation,,0.9768635459907158,1.1572044782215625,0.9987887401307682,0.0
16,ForceInline,nofree-inference,0.9785708284557139,1.1039318215333422,0.9993112859821192,0.0
17,DataflowConstProp;ForceInline;SingleUseConsts,,0.9512947952908182,1.3295218344449744,0.9979352806006764,0.0
18,EarlyOtherwiseBranch,,0.9834416227566262,1.129419865998144,0.9993112859821192,0.0
19,,nofree-inference,0.9996117427994139,0.9971333021223592,1.0000000000000002,0.0
20,EnumSizeOpt;SingleUseConsts,nofree-inference,0.9751952596738227,1.2536684177385586,0.9986230462912364,1.019
21,EnumSizeOpt,nofree-inference,0.9853785325319085,1.1030888372664944,0.9993112859821192,1.019
22,,cgp-gc-opts,1.0039697317855867,0.9522000540797118,1.0000000000000002,1.019
23,,cgp-gc-opts;nofree-inference,1.0035799333080504,0.9494703842055919,1.0000000000000002,1.019
24,GVN,,1.0341448437066678,1.1714493378715645,0.9994515795783534,1.019
25,CopyProp;GVN,,1.0122295441187479,1.2570357976692965,0.9988269781091044,1.019
26,DeadStoreElimination-final,,0.9898439047581321,1.1744171707703046,0.9994260716517654,1.019
27,DataflowConstProp;ForceInline,,0.9612284925404988,1.169831411342266,0.9986230462912364,1.019
28,DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt,,0.9675125285152351,1.3474065757509919,0.9980371718140919,1.019
29,DestinationPropagation;EnumSizeOpt;SingleUseConsts,,0.9736357171737497,1.355861832575722,0.9980371718140919,1.019
30,DestinationPropagation;EnumSizeOpt,,0.9838027048349435,1.1930076814791974,0.998725007726922,1.019
31,DeadStoreElimination-final;EarlyOtherwiseBranch;ForceInline,,0.9529633846256849,1.4684759766956965,0.9980499082157692,1.019
32,DataflowConstProp;GVN,,1.0154232206991898,1.237820749325237,0.9987632432653043,1.019
33,CopyProp,nofree-inference,0.9784282587368409,1.0699841771163503,0.9993750557985887,1.019
34,CopyProp;DeadStoreElimination-initial,,0.9640996005040474,1.2203676057249229,0.9986867721885394,1.019
35,DestinationPropagation,nofree-inference,0.997625667410111,1.0753236369675214,0.9994133176884711,1.019
36,DataflowConstProp;EarlyOtherwiseBranch;SingleUseConsts,,0.9556586388440067,1.3563190612816631,0.9979352806006764,1.019
37,DestinationPropagation,cgp-gc-opts,1.001974997739826,1.0268669425585182,0.9994133176884711,1.019
38,DestinationPropagation;ForceInline,nofree-inference,0.9766265581396782,1.1904967758761569,0.998725007726922,1.019
39,DeadStoreElimination-initial;EarlyOtherwiseBranch,,0.9686633093969503,1.2844640660772482,0.9986230462912364,1.019
40,CopyProp;EarlyOtherwiseBranch,cgp-gc-opts,0.9636467081745074,1.1540051812481182,0.9986867721885394,1.078
41,DeadStoreElimination-initial;GVN,,1.0186046060291618,1.3322632486158892,0.9987632432653043,1.078
42,EnumSizeOpt;ForceInline,,0.9650118870804281,1.2247467624097041,0.9986230462912364,1.078
43,CopyProp;ForceInline,,0.9582052674827085,1.1879910415921184,0.9986867721885394,1.078
44,DeadStoreElimination-final;GVN,,1.0236419701800963,1.3757702170838695,0.9988779659841454,1.078
45,DeadStoreElimination-final;DestinationPropagation,,0.987877236566554,1.266509242748029,0.9988397260538462,1.078
46,EnumSizeOpt;GVN,,1.0194199256436685,1.2959277212775113,0.9987632432653043,1.078
47,DeadStoreElimination-initial;DestinationPropagation;SingleUseConsts,,0.9728570152103807,1.3938778066734538,0.9980371718140919,1.078
48,DeadStoreElimination-initial;DestinationPropagation,,0.9830158714389313,1.2264575124485897,0.998725007726922,1.078
49,DeadStoreElimination-final;ForceInline;GVN;SingleUseConsts,,0.9917392118701843,1.7310401074725732,0.9975025572642807,1.078
50,DataflowConstProp;EarlyOtherwiseBranch;ForceInline;SingleUseConsts,,0.9355428972007349,1.50158837210045,0.9972479885839886,1.078
51,EarlyOtherwiseBranch,cgp-gc-opts,0.9845101639284524,1.0754336574821337,0.9993112859821192,1.078
52,EnumSizeOpt,cgp-gc-opts;nofree-inference,0.9892902210133355,1.0503612504998825,0.9993112859821192,1.078
53,GVN,cgp-gc-opts;nofree-inference,1.0347136835742712,1.1122564529063006,0.9994515795783534,1.078
54,DataflowConstProp;EnumSizeOpt;ForceInline,nofree-inference,0.9471739214074154,1.2904279713353624,0.9979352806006764,1.078
55,DataflowConstProp;DeadStoreElimination-final,nofree-inference,0.9715469264192064,1.2373992842379709,0.9987377529063829,1.078
56,CopyProp;SingleUseConsts,,0.9686929146249522,1.2195407877538202,0.9986867721885394,1.078
57,DeadStoreElimination-initial;DestinationPropagation;EarlyOtherwiseBranch,,0.9667387238034216,1.3851854793621035,0.9980371718140919,1.078
58,DataflowConstProp,nofree-inference,0.9815152891774419,1.0536283997162235,0.9993112859821192,1.078
59,ForceInline;SingleUseConsts,nofree-inference,0.9684579089753973,1.2546264754364467,0.9986230462912364,1.078
60,SingleUseConsts,cgp-gc-opts,0.9935943304727912,1.0821822276135376,0.9993112859821192,1.088
61,DataflowConstProp;ForceInline,nofree-inference,0.9608552886568615,1.1664778581181736,0.9986230462912364,1.088
62,CopyProp;DataflowConstProp;SingleUseConsts,,0.9511561994655737,1.2886369413746084,0.9979989626090607,1.088
63,DeadStoreElimination-initial;DestinationPropagation;EarlyOtherwiseBranch;ForceInline,,0.9463897564900522,1.533546544016739,0.9973498096234971,1.088
64,DataflowConstProp,cgp-gc-opts;nofree-inference,0.9854116416189294,1.0032650191897083,0.9993112859821192,1.088
