t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,DataflowConstProp;GVN;JumpThreading;UnreachablePropagation,cfi-fixup;cgp;chr;nounwind-inference;preheader-prot;preinline;ra-fsprofile-loader,1.1662979654098482,1.557852572278114,1.0000624099712334,0.0
2,DeadStoreElimination-final;ForceInline,bitcode-version-upgrade;block-placement;machine-sink;partial-libcall-inlining;peephole;select-optimize;vector-combine,0.9918166052168795,1.3992659152825384,0.9964041818778723,0.0
3,ImpossiblePredicates,bitcode-version-upgrade;complex-addr-modes;expand-reductions;icp;nounwind-inference;ondemand-mds-loading;partial-libcall-inlining;type-promotion,1.2788928410020055,1.4367401039100227,0.9997701332493067,0.0
4,GVN;ReferencePropagation,cgp-ext-ld-promotion;complex-addr-modes;constant-hoisting;early-taildup;icp;ifcvt-triangle;ifcvt-triangle-rev;lsr;nofree-inference;nounwind-inference;tail-duplicate;whole-program-visibility,0.9744309372532648,1.7450078296346883,0.9976158946213245,0.0
5,EarlyOtherwiseBranch,adv-copy-opt;cgp-delete-phis;demotion;ifcvt-forked-diamond;loop-idiom-vectorize-bytecmp;phi-elim-edge-splitting;postra-machine-sink;ra-fsprofile-loader;thinlto-funcattrs,1.0145458718794453,1.2559122143002701,1.0001525588553994,0.0
6,,binop-extract-shuffle;copyprop;global-outlining;last-run-tracking;layout-fsprofile-loader;strictnode-mutation,0.9803732022104666,1.3155117647654724,1.0002550792658824,0.0
7,EnumSizeOpt;GVN;InstSimplify-before-inline;MatchBranchSimplification;ScalarReplacementOfAggregates,2addr-hack;adv-copy-opt;auto-upgrade-debug-info;binop-extract-shuffle;bitcode-version-upgrade;cfi-fixup;cgp-gc-opts;complex-addr-modes;icp;interleaved-load-combine;machine-dce;non-allocatable-phys-copy-opt;preinline;tail-duplicate;type-promotion,1.3095040878802073,3.0265552564687166,0.9974005830816673,0.0
8,InstSimplify-after-simplifycfg,copyprop;ifcvt-triangle-false;partial-inlining;type-promotion,1.072687492029123,1.572461313583704,0.9998468483357793,0.0
9,ReferencePropagation;ScalarReplacementOfAggregates,cgp-store-extract;global-outlining;interleaved-load-combine;licm-promotion;phi-elim-edge-splitting,0.9538445028109585,1.2819780956443894,0.997131279255082,0.0
10,Inline,cgp-branch-opts;cgp-store-extract;constant-hoisting;global-outlining;icp;ifcvt-simple-false;postra-machine-licm;strictnode-mutation;tail-calls;whole-program-visibility,1.0201769188128786,1.3367077167395254,1.0038267544187804,0.0
11,SingleUseConsts,binop-extract-shuffle;cleanups;constant-hoisting;copyprop;demotion;ondemand-mds-loading;peephole;phi-elim-edge-splitting,0.9901470464465608,1.5745298088254236,1.003546431082725,0.0
12,DeadStoreElimination-initial;EarlyOtherwiseBranch,2addr-hack;branch-fold;cgp-branch-opts;dfa-sched;ifcvt-triangle-rev;interleaved-load-combine;lsr;ondemand-mds-loading;post-ra;postra-machine-sink;replace-with-vec-lib;vector-combine,0.9761119999448385,1.393606722308468,0.9982139562688154,0.0
13,DeadStoreElimination-final;DeadStoreElimination-initial;ForceInline;InstSimplify-after-simplifycfg,auto-upgrade-debug-info;branch-fold;constant-hoisting;copyprop;demotion;early-ifcvt;ifcvt-triangle;ifcvt-triangle-false;layout-fsprofile-loader;loop-idiom-vectorize-bytecmp;machine-licm;nofree-inference;preheader-prot;select-optimize,1.1325400057245536,2.3272213776747326,0.997997931439542,0.0
14,DestinationPropagation;EarlyOtherwiseBranch;ReferencePropagation;UnreachablePropagation,block-placement;cgp-ext-ld-promotion;cgp-select2branch;complex-addr-modes;dfa-sched;early-ifcvt;loop-idiom-vectorize-bytecmp;machine-licm;ondemand-mds-loading;postra-machine-licm;replace-with-vec-lib,0.991350078219188,1.2342212056076844,0.9909962504907823,0.0
15,DestinationPropagation;ImpossiblePredicates,cleanups;lsr;peephole;post-ra;select-optimize;separate-const-offset-from-gep,1.1800272680413395,1.0619066754992685,1.000350717816234,0.0
16,ForceInline,cgp-gc-opts;global-outlining;ifcvt-triangle-false;peephole;postra-machine-licm;ssc;type-promotion,0.957442679641746,1.0787564297588241,1.0027534513155973,0.0
17,GVN;UnreachablePropagation,adv-copy-opt;post-ra;select-optimize;strictnode-mutation,1.0069945340801227,1.2489994065599117,0.9987632432653043,0.0
18,DestinationPropagation;UnreachableEnumBranching,advanced-peeling;icp;ifcvt-forked-diamond;ifcvt-triangle-false;layout-fsprofile-loader;loop-idiom-vectorize-bytecmp;lsr;ondemand-mds-loading;ra-fsprofile-loader;thinlto-funcattrs,1.0665258211087532,1.3583250352141962,0.9968404066460175,0.0
19,DataflowConstProp;JumpThreading,dfa-sched;global-outlining;ifcvt-simple-false;last-run-tracking;ondemand-mds-loading;partial-inlining;replace-with-vec-lib;strictnode-mutation;tail-calls,1.0308297779908406,1.102139561672031,1.000025016031923,0.0
20,InstSimplify-before-inline,bitcode-version-upgrade;block-placement;cgp-select2branch;gep-const-evaluation;layout-fsprofile-loader;lftr;peephole;postra-machine-sink;preinline;vector-combine,1.1719295024583347,1.2338066535865888,0.9965310584660234,0.955
21,DeadStoreElimination-final;GVN;ImpossiblePredicates;MatchBranchSimplification,auto-upgrade-debug-info;ifcvt-triangle;loop-idiom-vectorize-all;postra-machine-sink,1.1335905400912554,1.6680397121744943,0.9976934408874288,0.955
22,DeadStoreElimination-initial;DestinationPropagation;JumpThreading,binop-extract-shuffle;branch-fold;cfi-fixup;cgp-branch-opts;ifcvt-triangle;lftr;mr-partial-inlining;postra-machine-sink;replace-with-vec-lib;thinlto-funcattrs,1.2312275182042158,1.212863959002391,0.99960313025068,0.955
23,CopyProp;DataflowConstProp;ScalarReplacementOfAggregates,cgp-store-extract;complex-addr-modes;ifcvt-diamond;ifcvt-triangle-rev;layout-fsprofile-loader;loop-idiom-vectorize-bytecmp;lsr;mergeicmps;nofree-inference;partial-inlining;postra-machine-licm;sample-loader-inlining;ssc;thinlto-funcattrs,0.9056478138953378,1.208384877892323,0.9971073629595633,0.955
24,JumpThreading,machine-cse;memop-opt;select-optimize,1.061993973665372,1.261641408486675,1.0015565847264696,0.955
25,EnumSizeOpt;UnreachablePropagation,cfi-fixup;cgp-branch-opts;constant-hoisting;copyprop;demotion;ifcvt-simple-false;loop-level-heuristics;mergeicmps;promote-alloca-to-vector;whole-program-visibility,1.0009354083433752,1.8599356187334941,0.9990051708294676,0.955
26,,cgp;cgp-delete-phis;cgp-ext-ld-promotion;cgp-select2branch;cleanups;early-ifcvt;global-outlining;loop-idiom-vectorize-bytecmp;machine-sink;preinline;ra-fsprofile-loader;separate-const-offset-from-gep;vector-combine,1.1321021415792853,1.0495628374922106,1.000560869219933,0.955
27,DataflowConstProp;GVN;UnreachableEnumBranching,auto-upgrade-debug-info;block-placement;cfi-fixup;cgp;cleanups;expand-reductions;licm-promotion;nounwind-inference;ondemand-mds-loading;postra-machine-sink;sample-loader-inlining;tail-calls,1.0621933040546805,1.3308673016187402,0.9923224928806315,0.955
28,EarlyOtherwiseBranch;SingleUseConsts,auto-upgrade-debug-info;block-placement;cgp-store-extract;complex-addr-modes;last-run-tracking;loop-idiom-vectorize-all;postra-machine-licm;replace-with-vec-lib;type-promotion;vp,0.9947460096302411,1.3656957378172008,0.9935538284720962,0.955
29,EarlyOtherwiseBranch;ReferencePropagation;ScalarReplacementOfAggregates,adv-copy-opt;chr;early-ifcvt;early-taildup;ifcvt-diamond;loop-idiom-vectorize-bytecmp;select-optimize;thinlto-funcattrs,0.8934248927724712,1.466860450993936,0.998138765335068,0.955
30,MatchBranchSimplification,advanced-peeling;ifcvt-simple;nofree-inference;preinline;thinlto-funcattrs,0.9858607598200453,1.1151215936386996,0.998979930022449,0.955
