mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
SingleUseConsts,expand-reductions,4.608381900727428,4.042516203053144,4.0517695746222495,5.238846116240374,-0.3879570266465071,0.6784414975439692,-32.15585024560308,-12.27905390360472,-12.078259530038482,13.680815286021051,-0.4528372212442962,-0.3188463827480753,0.000999500249875,90,30,30,30,3,"B,L,S",0.3879570266465071,1,extreme,0.0010001027213939,True,False,negative_interaction
Inline,block-placement,4.608381900727428,4.032736475840372,4.495956741145725,5.078305296015539,-0.2552307378058826,0.7747377160552646,-22.52622839447353,-12.49126997908292,-2.439579922053714,10.197145232558391,-0.2992320230134508,-0.2171089080646219,0.000999500249875,90,30,30,30,3,"B,L,S",0.2552307378058826,2,extreme,0.0010001027213939,True,False,negative_interaction
UnreachableEnumBranching,strictnode-mutation,4.608381900727428,4.038620992257568,4.037987890494971,4.351716041462414,-0.2067972411676185,0.8131845136157192,-18.68154863842808,-12.36357838268406,-12.377316431661656,-5.569544035065766,-0.2477373943739113,-0.1657043195357715,0.000999500249875,90,30,30,30,3,"B,L,S",0.2067972411676185,3,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,cgp-store-extract,4.608381900727428,4.03914107781532,4.050414699966312,4.364761315852082,-0.206588968357092,0.8133538954780526,-18.66461045219474,-12.35229273906866,-12.107659755217826,-5.286466923170829,-0.2487543653776859,-0.1659473190526034,0.000999500249875,90,30,30,30,3,"B,L,S",0.206588968357092,4,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,postra-machine-sink,4.608381900727428,4.03914107781532,3.9834147701136526,4.28990983213292,-0.2059710135408711,0.8138566667640247,-18.61433332359753,-12.35229273906866,-13.561530794900612,-6.910713466352226,-0.2468397485330342,-0.1685450947762906,0.000999500249875,90,30,30,30,3,"B,L,S",0.2059710135408711,5,extreme,0.0010001027213939,True,False,negative_interaction
UnreachableEnumBranching,whole-program-visibility,4.608381900727428,4.038620992257568,4.033585162021092,4.342327730386153,-0.2057284514560834,0.8140541014779533,-18.594589852204667,-12.36357838268406,-12.472853836519182,-5.773266540676215,-0.2458744080025955,-0.1663264940425422,0.000999500249875,90,30,30,30,3,"B,L,S",0.2057284514560834,6,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,nofree-inference,4.608381900727428,4.03914107781532,4.052515327402137,4.360743742757238,-0.2051496020379901,0.8145254526283986,-18.54745473716014,-12.35229273906866,-12.062077000119032,-5.3736466140339,-0.2454506691664648,-0.1671583412490936,0.000999500249875,90,30,30,30,3,"B,L,S",0.2051496020379901,7,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,whole-program-visibility,4.608381900727428,4.03914107781532,4.033585162021092,4.338870488597951,-0.2048031921592688,0.8148076611687501,-18.519233883124983,-12.35229273906866,-12.472853836519182,-5.848287271654606,-0.2456823846477423,-0.1637446667108381,0.000999500249875,90,30,30,30,3,"B,L,S",0.2048031921592688,8,extreme,0.0010001027213939,True,False,negative_interaction
UnreachableEnumBranching,dfa-sched,4.608381900727428,4.038620992257568,4.0364409953770695,4.341080492712208,-0.2047334191712387,0.8148645147173376,-18.513548528266245,-12.36357838268406,-12.410883422228505,-5.800331087426325,-0.2471985606888922,-0.1653047796615583,0.000999500249875,90,30,30,30,3,"B,L,S",0.2047334191712387,9,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,thinlto-funcattrs,4.608381900727428,4.03914107781532,4.038763095387848,4.343170867567852,-0.2045109482562404,0.815045818538192,-18.4954181461808,-12.35229273906866,-12.360494802951704,-5.754970809118776,-0.2460076747089102,-0.1634354933598148,0.000999500249875,90,30,30,30,3,"B,L,S",0.2045109482562404,10,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,preheader-prot,4.608381900727428,4.03914107781532,4.068898899596406,4.374107143080993,-0.2041747280416189,0.8153198994914238,-18.468010050857615,-12.35229273906866,-11.706560192979342,-5.0836662996496695,-0.246685520580031,-0.1658063530103783,0.000999500249875,90,30,30,30,3,"B,L,S",0.2041747280416189,11,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,global-outlining,4.608381900727428,4.03914107781532,4.044169895486079,4.346598974259757,-0.2039621151376098,0.8154932654522182,-18.450673454778176,-12.35229273906866,-12.243169455037762,-5.680582297798498,-0.2433944698219418,-0.1636289584422477,0.000999500249875,90,30,30,30,3,"B,L,S",0.2039621151376098,12,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,auto-upgrade-debug-info,4.608381900727428,4.03914107781532,4.041735820039227,4.342587541211451,-0.2036408528347789,0.8157552947844402,-18.424470521555985,-12.35229273906866,-12.29598789542068,-5.767628752166187,-0.2453568612401591,-0.1653178015552378,0.000999500249875,90,30,30,30,3,"B,L,S",0.2036408528347789,13,extreme,0.0010001027213939,True,False,negative_interaction
UnreachablePropagation,strictnode-mutation,4.608381900727428,4.03914107781532,4.037987890494971,4.338206774958183,-0.2035592890879309,0.8158218335563329,-18.417816644366717,-12.35229273906866,-12.377316431661656,-5.862689585830527,-0.2431591695503426,-0.1647497123266194,0.000999500249875,90,30,30,30,3,"B,L,S",0.2035592890879309,14,extreme,0.0010001027213939,True,False,negative_interaction
