Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_DBL_1540,10,4.174555,0.008291,0.556768,0.020432,452256,15,74,28,69,699,8
B,EXP_DBL_1541,10,4.412782,0.053770,0.554976,0.016355,452288,15,74,28,69,699,8
B,EXP_DBL_1542,10,4.464062,0.030291,0.557507,0.009191,452288,15,74,28,69,699,8
B,EXP_DBL_1543,10,4.484583,0.021039,0.555358,0.013113,452288,15,74,28,69,699,8
B,EXP_DBL_1544,10,4.031706,0.017648,0.551654,0.011620,451840,15,74,28,69,699,8
B,EXP_DBL_1545,10,4.614407,0.011821,0.554782,0.004350,452272,15,74,28,69,699,8
B,EXP_DBL_1546,10,4.471623,0.025744,0.554377,0.009082,452288,15,74,28,69,699,8
B,EXP_DBL_1547,10,4.455592,0.030699,0.558698,0.005234,452288,15,74,28,69,699,8
B,EXP_DBL_1548,10,4.210125,0.039841,0.556862,0.012604,452336,15,74,28,69,699,8
B,EXP_DBL_1549,10,4.499664,0.020395,0.559490,0.008310,452288,15,74,28,69,699,8
B,EXP_DBL_1550,10,4.471775,0.025373,0.557022,0.006258,452288,15,74,28,69,699,8
B,EXP_DBL_1551,10,4.484594,0.014348,0.558034,0.008059,452288,15,74,28,69,699,8
B,EXP_DBL_1552,10,4.469988,0.029527,0.554551,0.013856,452288,15,74,28,69,699,8
B,EXP_DBL_1553,10,4.472859,0.013560,0.558690,0.008794,452288,15,74,28,69,699,8
B,EXP_DBL_1554,10,4.484964,0.020748,0.553856,0.013305,452288,15,74,28,69,699,8
B,EXP_DBL_1555,10,4.468286,0.020246,0.559891,0.010210,452288,15,74,28,69,699,8
B,EXP_DBL_1556,10,4.495627,0.020259,0.555568,0.013274,452288,15,74,28,69,699,8
B,EXP_DBL_1557,10,4.449769,0.032461,0.558121,0.003779,452288,15,74,28,69,699,8
B,EXP_DBL_1558,10,4.374422,0.042775,0.559455,0.018766,452320,15,74,28,69,699,8
B,EXP_DBL_1559,10,4.469694,0.032355,0.557289,0.010559,452288,15,74,28,69,699,8
B,EXP_DBL_1560,10,4.472236,0.023944,0.556380,0.009046,452288,15,74,28,69,699,8
B,EXP_DBL_1561,10,4.475529,0.032225,0.543721,0.015374,452288,15,74,28,69,699,8
B,EXP_DBL_1562,10,4.458182,0.022100,0.546532,0.016526,452288,15,74,28,69,699,8
B,EXP_DBL_1563,10,4.471691,0.039976,0.546301,0.011989,452288,15,74,28,69,699,8
B,EXP_DBL_1564,10,4.485312,0.036533,0.556266,0.014643,452288,15,74,28,69,699,8
B,EXP_DBL_1565,10,4.504580,0.035312,0.553187,0.020243,452288,15,74,28,69,699,8
B,EXP_DBL_1566,10,4.219271,0.024956,0.554029,0.011250,452432,15,74,28,69,699,8
