Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
S,EXP_DBL_1586,10,3.965123,0.167756,0.042308,0.566502,0.009089,0.016044,452288
S,EXP_DBL_1585,10,4.018764,0.161000,0.040062,0.563455,0.002092,0.003713,452288
S,EXP_DBL_1590,10,4.188250,0.137834,0.032910,0.564094,0.014300,0.025350,452336
S,EXP_DBL_1609,10,4.112343,0.127175,0.030925,0.564277,0.010559,0.018712,452288
S,EXP_DBL_1593,10,4.171624,0.128841,0.030885,0.562696,0.004587,0.008152,452288
S,EXP_DBL_1576,10,4.228034,0.130561,0.030880,0.563163,0.005006,0.008889,452384
S,EXP_DBL_1626,10,4.055727,0.123134,0.030361,0.559802,0.012891,0.023028,452288
S,EXP_DBL_1655,10,4.082475,0.122159,0.029923,0.566554,0.011577,0.020434,452288
S,EXP_DBL_1639,10,4.108821,0.108228,0.026340,0.563452,0.011585,0.020561,452288
S,EXP_DBL_1582,10,4.107236,0.102332,0.024915,0.568437,0.013165,0.023160,452288
S,EXP_DBL_1621,10,4.114902,0.100345,0.024386,0.560516,0.014454,0.025787,452288
S,EXP_DBL_1613,10,4.113257,0.100299,0.024384,0.559370,0.010187,0.018212,452288
S,EXP_DBL_1587,10,4.099073,0.093191,0.022735,0.562434,0.005123,0.009109,452352
S,EXP_DBL_1578,10,4.097486,0.086020,0.020993,0.563535,0.014053,0.024937,452288
S,EXP_DBL_1624,10,4.261334,0.088414,0.020748,0.566698,0.013060,0.023046,452288
S,EXP_DBL_1541,10,4.163119,0.085312,0.020492,0.554976,0.016355,0.029470,452288
S,EXP_DBL_1654,10,4.131841,0.084295,0.020401,0.566399,0.015821,0.027933,452288
L,EXP_DBL_1586,10,4.414537,0.089491,0.020272,0.566502,0.009089,0.016044,452288
S,EXP_DBL_1632,10,4.092961,0.081798,0.019985,0.564043,0.008950,0.015868,452288
S,EXP_DBL_1645,10,4.084288,0.081369,0.019922,0.563772,0.016269,0.028857,452288
S,EXP_DBL_1571,10,4.095651,0.080603,0.019680,0.554131,0.007055,0.012732,452288
S,EXP_DBL_1660,10,4.103762,0.080238,0.019552,0.563057,0.015135,0.026880,452288
S,EXP_DBL_1592,10,4.091985,0.079541,0.019438,0.571029,0.015189,0.026599,452288
S,EXP_DBL_1588,10,4.098272,0.077733,0.018967,0.402087,0.007234,0.017991,451776
S,EXP_DBL_1636,10,4.129170,0.078122,0.018920,0.567360,0.017033,0.030022,452288
S,EXP_DBL_1656,10,4.128836,0.076396,0.018503,0.564172,0.006724,0.011918,452288
S,EXP_DBL_1630,10,4.127006,0.075787,0.018364,0.562998,0.014876,0.026423,452288
L,EXP_DBL_1655,10,4.446585,0.080740,0.018158,0.566554,0.011577,0.020434,452288
S,EXP_DBL_1565,10,4.101531,0.073818,0.017998,0.553187,0.020243,0.036593,452288
