mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
GVN,loop-idiom-vectorize-bytecmp,23.17096008492124,23.49582305946709,23.635157366107737,23.56191751036256,0.017026467610449,1.0171722440876778,1.7172244087677813,1.402026387146793,2.003357994166932,1.6872733111121363,-0.0017152755530979,0.0322152132901885,0.0669665167416291,10,10,10,10,0.017026467610449,267,moderate,0.129411429326082,False,True,independent
ReferencePropagation,early-taildup,23.17096008492124,23.685042385940942,23.18960712519508,23.36915710189485,0.0142310809941195,1.014332824896235,1.433282489623533,2.2186491156844568,0.0804759069347849,0.8553681688079351,0.0018932352915496,0.0236063661907141,0.0219890054972513,10,10,10,10,0.0142310809941195,413,moderate,0.0510513973782339,False,True,independent
DestinationPropagation,icp,23.17096008492124,23.34673314779968,23.553122463479948,23.42044247316207,0.0132064415747792,1.0132940317845858,1.329403178458577,0.7585920576196781,1.649316114472987,1.0767028527366884,-0.0014827363975064,0.0247507151871345,0.0749625187406296,10,10,10,10,0.0132064415747792,477,moderate,0.1418902863277597,False,True,independent
JumpThreading,cgp-select2branch,23.17096008492124,23.29754181675073,23.451809387027435,23.272648924684887,0.013116925559764,1.0132033298005223,1.32033298005223,0.5462947213476177,1.212074515155548,0.4388632986762619,0.0023130118011354,0.0231094420614429,0.0219890054972513,10,10,10,10,0.013116925559764,486,moderate,0.0510513973782339,False,True,independent
ForceInline,peephole,23.17096008492124,23.520852544976044,23.431912881913654,23.48073081605446,0.012906367983005,1.0129900146209871,1.2990014620987145,1.5100473125517988,1.1262062341656387,1.3368920838753071,-0.0040248266282213,0.0291969139550327,0.1399300349825087,10,10,10,10,0.012906367983005,500,moderate,0.2353433212471778,False,True,independent
Inline,cgp-delete-phis,23.17096008492124,23.57974469434647,23.39987626725621,23.51339409404344,0.0126488080936799,1.0127291426214575,1.2729142621457743,1.7642109257753669,0.9879443126050712,1.477858525789122,-0.0020565894101508,0.0262265948870805,0.0889555222388805,10,10,10,10,0.0126488080936799,515,moderate,0.1628072402607957,False,True,independent
CopyProp,peephole,23.17096008492124,23.351572510751744,23.431912881913654,23.911075196288596,-0.0124783044054086,0.987599226813896,-1.2400773186104108,0.7794775234541973,1.1262062341656387,3.1941495244687257,-0.0218755846517176,-0.0013642229401658,0.0299850074962518,10,10,10,10,0.0124783044054086,523,moderate,0.065065506462455,False,True,independent
ForceInline,strictnode-mutation,23.17096008492124,23.520852544976044,23.496259618734523,23.55813377913135,0.0123576949835824,1.0124343667996976,1.243436679969756,1.5100473125517988,1.4039104664677726,1.6709436846428671,-0.0003575001711533,0.0232718157398564,0.0559720139930035,10,10,10,10,0.0123576949835824,535,moderate,0.1110078174771634,False,True,independent
DestinationPropagation,cgp-select2branch,23.17096008492124,23.34673314779968,23.451809387027435,23.34350481721984,0.0121861643151839,1.0122607181495111,1.226071814951113,0.7585920576196781,1.212074515155548,0.7446593998100548,0.0011767458478758,0.0233806157085497,0.0279860069965017,10,10,10,10,0.0121861643151839,544,moderate,0.0621911266588927,False,True,independent
MatchBranchSimplification,vector-combine,23.17096008492124,23.308373726930785,23.671165428049875,23.53009244144244,0.0118904367142622,1.011961408974999,1.1961408974999088,0.5930425045225673,2.158759677179489,1.5499243674192975,-0.0075746187202877,0.0295213641306083,0.208895552223888,10,10,10,10,0.0118904367142622,568,moderate,0.3210802006404205,False,True,independent
GVN,cgp-ext-ld-promotion,23.17096008492124,23.49582305946709,23.31579821309233,23.36831510297007,0.0116730053963798,1.0117414007914007,1.1741400791400736,1.402026387146793,0.6250847079286137,0.8517343145278522,1.905334929863672e-05,0.0244021955747758,0.0509745127436281,10,10,10,10,0.0116730053963798,578,moderate,0.1020720038050938,False,True,independent
Inline,last-run-tracking,23.17096008492124,23.57974469434647,23.275184169948208,23.41308867784964,0.0115808184164043,1.011648135706125,1.164813570612511,1.7642109257753669,0.449804775654461,1.0449657331461415,-0.0008500161027155,0.0278579407597311,0.0839580209895052,10,10,10,10,0.0115808184164043,584,moderate,0.1552007960385063,False,True,independent
JumpThreading,ssc,23.17096008492124,23.29754181675073,23.58015172544009,23.4389988172808,0.0114521578029735,1.0115179848092355,1.1517984809235715,0.5462947213476177,1.7659675689706722,1.1567873380179172,0.0014852542489971,0.021611492576794,0.0249875062468765,10,10,10,10,0.0114521578029735,592,moderate,0.0566656562429167,False,True,independent
GVN,complex-addr-modes,23.17096008492124,23.49582305946709,23.44983477640324,23.51013574923544,0.0113547015070989,1.0114194108166317,1.141941081663167,1.402026387146793,1.2035525954035895,1.4637963341662452,0.0009959795297135,0.0221498628263179,0.031984007996002,10,10,10,10,0.0113547015070989,598,moderate,0.0690422019159471,False,True,independent
GVN,ifcvt-diamond,23.17096008492124,23.49582305946709,23.29047285443202,23.350942656054,0.0113299216399496,1.0113943482885237,1.1394348288523704,1.402026387146793,0.5157868688771217,0.7767592299720016,0.0003992353174932,0.0242555445215606,0.0429785107446276,10,10,10,10,0.0113299216399496,600,moderate,0.088626494206313,False,True,independent
EnumSizeOpt,type-promotion,23.17096008492124,23.361759742817057,23.498710375695268,23.4262280276007,0.0112900039008851,1.0113539765186177,1.1353976518617692,0.8234430390304803,1.4144873133129954,1.1016718415806093,-0.000562241763704,0.0211129195689686,0.0659670164917541,10,10,10,10,0.0112900039008851,602,moderate,0.127777418175393,False,True,independent
UnreachablePropagation,loop-idiom-vectorize-all,23.17096008492124,23.532151587322083,23.295352879990453,23.39358897265821,0.0112597487663776,1.011323378330902,1.1323378330901912,1.558811119941006,0.5368478242304686,0.9608099402055092,0.0012639432322571,0.0205580149465772,0.0279860069965017,10,10,10,10,0.0112597487663776,607,moderate,0.0621911266588927,False,True,independent
UnreachablePropagation,replace-with-vec-lib,23.17096008492124,23.532151587322083,23.27600446444202,23.374356605708638,0.0112512932882125,1.0113148271443109,1.1314827144310868,1.558811119941006,0.4533449591030747,0.8778079114630799,0.0013834929095905,0.0212991434130384,0.0229885057471264,10,10,10,10,0.0112512932882125,608,moderate,0.0527813548274272,False,True,independent
CopyProp,lftr,23.17096008492124,23.351572510751744,23.427954063671443,23.346445662562196,0.0112497278945462,1.0113132440397248,1.131324403972478,0.7794775234541973,1.1091209764650278,0.7573513440867208,-0.0006360360739592,0.0219593905727157,0.0669665167416291,10,10,10,10,0.0112497278945462,609,moderate,0.129411429326082,False,True,independent
DataflowConstProp,separate-const-offset-from-gep,23.17096008492124,23.27709506580753,23.5207095900337,23.365917042396664,0.0111729268287028,1.0112355770871717,1.123557708717171,0.4580517186051125,1.5094303551973276,0.8413848919548661,0.000940885279449,0.0187923998331813,0.0289855072463768,10,10,10,10,0.0111729268287028,611,moderate,0.0635613501043401,False,True,independent
SingleUseConsts,post-ra,23.17096008492124,23.374329630879,23.541420005671007,23.486580983210445,0.0110708087767892,1.0111323169524653,1.1132316952465304,0.877691494924715,1.5988112680356714,1.3621399248561872,0.0011726502781924,0.0207036539367953,0.0289855072463768,10,10,10,10,0.0110708087767892,618,moderate,0.0635613501043401,False,True,independent
DeadStoreElimination-final,replace-with-vec-lib,23.17096008492124,23.27523741716614,23.27600446444202,23.64070197702253,-0.0110566584620861,0.9890042417285644,-1.099575827143573,0.4500345771721425,0.4533449591030747,2.0272871317359886,-0.0197881671645694,-0.0019826530907544,0.0229885057471264,10,10,10,10,0.0110566584620861,621,moderate,0.0527813548274272,False,True,independent
JumpThreading,ifcvt-simple-false,23.17096008492124,23.29754181675073,23.49219594524111,23.36099663875763,0.0110485366206876,1.0111097971064464,1.110979710644644,0.5462947213476177,1.3863726800380505,0.8201496750238624,0.0014466152801424,0.0204501398285856,0.032983508245877,10,10,10,10,0.0110485366206876,622,moderate,0.0708313372421163,False,True,independent
ForceInline,ondemand-mds-loading,23.17096008492124,23.520852544976044,23.43264888547296,23.52701179100261,0.0109686983492403,1.011029075070399,1.1029075070398964,1.5100473125517988,1.1293826392718698,1.536629059721517,0.0016364833025855,0.020177013227948,0.0239880059970015,10,10,10,10,0.0109686983492403,631,moderate,0.0548486087534745,False,True,independent
SingleUseConsts,cleanups,23.17096008492124,23.374329630879,23.575361772092307,23.525521273543703,0.0108549522097196,1.0109140809563588,1.0914080956358818,0.877691494924715,1.7452953424844877,1.530196363564551,0.0019258008356319,0.0196163607365177,0.0229885057471264,10,10,10,10,0.0108549522097196,640,moderate,0.0527813548274272,False,True,independent
GVN,ondemand-mds-loading,23.17096008492124,23.49582305946709,23.43264888547296,23.50473336303242,0.010851369912709,1.010910459568355,1.0910459568354902,1.402026387146793,1.1293826392718698,1.4404810024612802,0.001051710142993,0.0223546244166891,0.0259870064967516,10,10,10,10,0.010851369912709,641,moderate,0.0586119983486517,False,True,independent
DataflowConstProp,vector-combine,23.17096008492124,23.27709506580753,23.671165428049875,23.524321844862595,0.010792859302664,1.0108513123110527,1.085131231105274,0.4580517186051125,2.158759677179489,1.5250199329086334,-0.0008604172124651,0.0233075448265609,0.0749625187406296,10,10,10,10,0.010792859302664,646,moderate,0.1418902863277597,False,True,independent
InstSimplify-after-simplifycfg,ifcvt-simple-false,23.17096008492124,23.220806163092284,23.49219594524111,23.29204760862085,0.0107052006054817,1.0107627062855715,1.0762706285571522,0.2151230591583397,1.3863726800380505,0.522583109443131,0.0019739652322018,0.0192910556635419,0.0219890054972513,10,10,10,10,0.0107052006054817,653,moderate,0.0510513973782339,False,True,independent
DeadStoreElimination-final,ifcvt-simple-false,23.17096008492124,23.27523741716614,23.49219594524111,23.347113657909947,0.0106851636624742,1.0107424538937304,1.0742453893730408,0.4500345771721425,1.3863726800380505,0.760234242962321,0.0015058207116081,0.0188290549365259,0.0249875062468765,10,10,10,10,0.0106851636624742,656,moderate,0.0566656562429167,False,True,independent
InstSimplify-after-simplifycfg,cgp-ext-ld-promotion,23.17096008492124,23.220806163092284,23.31579821309233,23.61663127836713,-0.0106710933067586,0.989385640825022,-1.0614359174978103,0.2151230591583397,0.6250847079286137,1.9234040877568856,-0.0194721514743279,-0.0011835518490834,0.0259870064967516,10,10,10,10,0.0106710933067586,659,moderate,0.0586119983486517,False,True,independent
MatchBranchSimplification,spill-fusing,23.17096008492124,23.308373726930785,23.333414491687407,23.72348125367465,-0.0106659869680298,0.9893906929761362,-1.0609307023863757,0.5930425045225673,0.7011121083061456,2.3845415413449755,-0.0212572389055964,0.0002559413973062,0.0609695152423788,10,10,10,10,0.0106659869680298,660,moderate,0.1192101240310351,False,True,independent
ScalarReplacementOfAggregates,vector-combine,23.17096008492124,23.23409263702223,23.671165428049875,23.485113091459453,0.0106118599511351,1.0106683654361646,1.0668365436164562,0.272464118317095,2.158759677179489,1.3558048755288654,-0.0011285739628771,0.0238965464853678,0.0929535232383808,10,10,10,10,0.0106118599511351,663,moderate,0.1686369929789203,False,True,independent
CopyProp,postra-machine-sink,23.17096008492124,23.351572510751744,23.26355615456333,23.69478302545138,-0.010602322947296,0.989453683570824,-1.054631642917614,0.7794775234541973,0.3996212038807512,2.260687250810212,-0.0239695880002551,0.0017102670657885,0.0919540229885057,10,10,10,10,0.010602322947296,664,moderate,0.1671891327063741,False,True,independent
SingleUseConsts,cgp,23.17096008492124,23.374329630879,23.825453301064183,23.783115522162834,0.0105172002995219,1.0105727004486746,1.0572700448674643,0.877691494924715,2.8246270924650263,2.6419079528774425,0.0016116297705296,0.0201312648771714,0.0219890054972513,10,10,10,10,0.0105172002995219,671,moderate,0.0510513973782339,False,True,independent
ReferencePropagation,auto-upgrade-debug-info,23.17096008492124,23.685042385940942,23.242458947091677,23.509643537969417,0.0105139845728694,1.0105694507283325,1.0569450728332486,2.2186491156844568,0.3085709953682958,1.4616720749028422,-0.0013264261690994,0.0216518695653967,0.0779610194902548,10,10,10,10,0.0105139845728694,672,moderate,0.1457379418398908,False,True,independent
DestinationPropagation,demotion,23.17096008492124,23.34673314779968,23.57010869463972,23.501732908484293,0.0104624614580961,1.010517384383858,1.0517384383857964,0.7585920576196781,1.7226243895617888,1.4275317999373982,0.0008683276846477,0.0199522535943586,0.0289855072463768,10,10,10,10,0.0104624614580961,677,moderate,0.0635613501043401,False,True,independent
