mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
ImpossiblePredicates,vp,23.17096008492124,23.26054281330661,23.239840885441875,35.63862522663421,-0.4237032331406114,0.6546181220495942,-34.53818779504058,0.386616385583749,0.2972721038238646,53.80728763943814,-0.4680774185481687,-0.3636207551092854,0.000999500249875,10,10,10,10,0.4237032331406114,1,extreme,0.0041687698864135,True,False,negative_interaction
ImpossiblePredicates,thinlto-funcattrs,23.17096008492124,23.26054281330661,23.19320855887959,35.265439401598755,-0.4151852198364003,0.6602179839124678,-33.978201608753224,0.386616385583749,0.0960187833253689,52.196712058332565,-0.4602914602176669,-0.3619020789643631,0.000999500249875,10,10,10,10,0.4151852198364003,2,extreme,0.0041687698864135,True,False,negative_interaction
ImpossiblePredicates,ra-fsprofile-loader,23.17096008492124,23.26054281330661,23.58806861687552,35.74090582552155,-0.4116961277170357,0.6625255686240167,-33.74744313759833,0.386616385583749,1.8001348689289598,54.248704820739576,-0.4570556018148575,-0.3645825245748587,0.000999500249875,10,10,10,10,0.4116961277170357,3,extreme,0.0041687698864135,True,False,negative_interaction
ImpossiblePredicates,i2p-p2i-opt,23.17096008492124,23.26054281330661,23.208381186453625,32.66048108953768,-0.3377936367481822,0.7133424803841117,-28.665751961588825,0.386616385583749,0.1615000042951786,40.95437120359917,-0.3789275603292222,-0.308140428363057,0.000999500249875,10,10,10,10,0.3377936367481822,4,extreme,0.0041687698864135,True,False,negative_interaction
ImpossiblePredicates,sample-loader-inlining,23.17096008492124,23.26054281330661,23.265990676607004,31.67984791555672,-0.3048293901738019,0.7372491456110171,-26.27508543889829,0.386616385583749,0.4101279849323402,36.72220658725631,-0.3969463516119941,-0.196717511848558,0.000999500249875,10,10,10,10,0.3048293901738019,5,extreme,0.0041687698864135,True,False,negative_interaction
ImpossiblePredicates,whole-program-visibility,23.17096008492124,23.26054281330661,23.477403243873223,30.83416140800178,-0.268726108053603,0.7643525769962217,-23.564742300377823,0.386616385583749,1.3225311244284832,33.07243763311929,-0.3833152746706494,-0.1477092103966475,0.000999500249875,10,10,10,10,0.268726108053603,6,extreme,0.0041687698864135,True,False,negative_interaction
Inline,licm-promotion,23.17096008492124,23.57974469434647,23.24850630355439,30.70922276004234,-0.260833846452281,0.7704089151557756,-22.95910848442244,1.7642109257753669,0.3346698554955951,32.533234045950074,-0.307032664599302,-0.2214687203725296,0.000999500249875,10,10,10,10,0.260833846452281,7,extreme,0.0041687698864135,True,False,negative_interaction
ImpossiblePredicates,spill-fusing,23.17096008492124,23.26054281330661,23.333414491687407,30.30284446440761,-0.257496443780449,0.7729843752107431,-22.701562478925684,0.386616385583749,0.7011121083061456,30.77940816154408,-0.2977473173032763,-0.2206079552064216,0.000999500249875,10,10,10,10,0.257496443780449,8,extreme,0.0041687698864135,True,False,negative_interaction
Inline,preheader-prot,23.17096008492124,23.57974469434647,23.3738806296814,30.396139464134336,-0.2452081288083456,0.7825416518303026,-21.745834816969744,1.7642109257753669,0.8757537193817333,31.18204577079635,-0.285946915266093,-0.2075361805572795,0.000999500249875,10,10,10,10,0.2452081288083456,9,extreme,0.0041687698864135,True,False,negative_interaction
Inline,lftr,23.17096008492124,23.57974469434647,23.427954063671443,30.14067524914654,-0.2344573755200478,0.7909999491342999,-20.900005086570005,1.7642109257753669,1.1091209764650278,30.079526867602336,-0.2827552874830635,-0.1910356520085892,0.000999500249875,10,10,10,10,0.2344573755200478,10,extreme,0.0041687698864135,True,False,negative_interaction
