mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,block-placement,23.17096008492124,23.29754181675073,25.135127414793875,23.89198080140968,0.0561715744778763,1.0577791560745673,5.7779156074567295,0.5462947213476177,8.476849136479391,3.111742948267593,0.0470382388307311,0.0654867551055517,0.000999500249875,10,10,10,10,0.0561715744778763,49,strong,0.0041687698864135,True,False,positive_interaction
InstSimplify-before-inline,block-placement,23.17096008492124,23.533326879301296,25.135127414793875,24.298708980067765,0.0493609532488905,1.0505994996110706,5.0599499611070575,1.56388338269966,8.476849136479391,4.867078839259742,0.041663951509121,0.0572785853343548,0.000999500249875,10,10,10,10,0.0493609532488905,50,strong,0.0041687698864135,True,False,positive_interaction
UnreachableEnumBranching,block-placement,23.17096008492124,23.330243149548757,25.135127414793875,24.2265766374782,0.0436668616407653,1.0446342891615488,4.463428916154877,0.6874253981869805,8.476849136479391,4.555773902713312,0.0350485713885892,0.0525585344024291,0.000999500249875,10,10,10,10,0.0436668616407653,51,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,lsr,23.17096008492124,23.685042385940942,23.739773698488765,23.37112428498885,0.0375945530048569,1.0383101677869222,3.83101677869222,2.2186491156844568,2.454855610137985,0.8638580332192003,0.0306261217789709,0.0449941970293911,0.000999500249875,10,10,10,10,0.0375945530048569,52,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,loop-idiom-vectorize-bytecmp,23.17096008492124,23.685042385940942,23.635157366107737,23.330698191785206,0.0349092618429223,1.035525742839027,3.5525742839026986,2.2186491156844568,2.003357994166932,0.6893892453248673,0.0267373386103995,0.0431587006363436,0.000999500249875,10,10,10,10,0.0349092618429223,53,strong,0.0041687698864135,True,False,positive_interaction
GVN,lsr,23.17096008492124,23.49582305946709,23.739773698488765,23.27244597111909,0.0338046612715174,1.0343825320236826,3.4382532023682577,1.402026387146793,2.454855610137985,0.4379874024464492,0.0247668852647808,0.044303120459238,0.000999500249875,10,10,10,10,0.0338046612715174,54,strong,0.0041687698864135,True,False,positive_interaction
Inline,complex-addr-modes,23.17096008492124,23.57974469434647,23.44983477640324,23.0972384787357,0.0326386787791901,1.0331771629571476,3.317716295714757,1.7642109257753669,1.2035525954035895,-0.3181637960419037,0.0234413062039833,0.0417268663016362,0.000999500249875,10,10,10,10,0.0326386787791901,55,strong,0.0041687698864135,True,False,positive_interaction
ForceInline,vector-combine,23.17096008492124,23.520852544976044,23.671165428049875,23.273439131025896,0.0319324958388911,1.0324478084295337,3.2447808429533653,1.5100473125517988,2.158759677179489,0.4422736292716056,0.0198690583299766,0.0467250709004874,0.000999500249875,10,10,10,10,0.0319324958388911,56,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,ifcvt-forked-diamond,23.17096008492124,23.685042385940942,23.55076230494133,23.33099855348597,0.0313192549986327,1.0318148633616877,3.18148633616877,2.2186491156844568,1.6391302674904962,0.6906855304147586,0.0237603573551359,0.0388490798184172,0.000999500249875,10,10,10,10,0.0313192549986327,57,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,gep-const-evaluation,23.17096008492124,23.685042385940942,23.534914843532945,23.32757230199295,0.0307929868078908,1.031271994880102,3.1271994880101905,2.2186491156844568,1.5707366344675178,0.6758986960304192,0.0225882189186387,0.0387972316753979,0.000999500249875,10,10,10,10,0.0307929868078908,58,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,ssc,23.17096008492124,23.685042385940942,23.58015172544009,23.38151800065683,0.0304034001377218,1.0308703033094992,3.0870303309499247,2.2186491156844568,1.7659675689706722,0.9087146797711164,0.0226914888796724,0.039021728178186,0.000999500249875,10,10,10,10,0.0304034001377218,59,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,block-placement,23.17096008492124,23.685042385940942,25.135127414793875,24.93591111594068,0.0299013401832182,1.0303528745129285,3.035287451292845,2.2186491156844568,8.476849136479391,7.617082005022313,0.0220041537279266,0.0379630131451473,0.000999500249875,10,10,10,10,0.0299013401832182,60,strong,0.0041687698864135,True,False,positive_interaction
ForceInline,ra-fsprofile-loader,23.17096008492124,23.520852544976044,23.58806861687552,23.245209103686054,0.029629562260065,1.030072885397732,3.0072885397731897,1.5100473125517988,1.8001348689289598,0.320439975265141,0.0222427407642236,0.0373482518274487,0.000999500249875,10,10,10,10,0.029629562260065,61,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,icp,23.17096008492124,23.685042385940942,23.553122463479948,23.383641848810505,0.0291656405481659,1.0295951230520888,2.959512305208878,2.2186491156844568,1.649316114472987,0.917880670933746,0.020422081464653,0.0376193864649842,0.000999500249875,10,10,10,10,0.0291656405481659,62,strong,0.0041687698864135,True,False,positive_interaction
ReferencePropagation,strictnode-mutation,23.17096008492124,23.685042385940942,23.496259618734523,23.32731067112889,0.0291603891569374,1.0295897162594871,2.958971625948714,2.2186491156844568,1.4039104664677726,0.6747695634303774,0.0233152531596919,0.0354710729909972,0.000999500249875,10,10,10,10,0.0291603891569374,63,strong,0.0041687698864135,True,False,positive_interaction
ForceInline,demotion,23.17096008492124,23.520852544976044,23.57010869463972,23.24493165308544,0.0288798095467091,1.0293008749015968,2.930087490159683,1.5100473125517988,1.7226243895617888,0.3192425686855182,0.0203941108973833,0.037760353220903,0.000999500249875,10,10,10,10,0.0288798095467091,64,strong,0.0041687698864135,True,False,positive_interaction
CopyProp,vector-combine,23.17096008492124,23.351572510751744,23.671165428049875,23.182646242430405,0.0286182197572379,1.0290316555164851,2.903165551648512,0.7794775234541973,2.158759677179489,0.0504344984684879,0.017418834224727,0.0424983903921117,0.000999500249875,10,10,10,10,0.0286182197572379,65,strong,0.0041687698864135,True,False,positive_interaction
ForceInline,ifcvt-triangle-false,23.17096008492124,23.520852544976044,23.57902433181479,23.26494526815809,0.0283973804575592,1.0288044299774215,2.880442997742172,1.5100473125517988,1.761102023386174,0.4056162666216334,0.0198905699486,0.0369513460217107,0.000999500249875,10,10,10,10,0.0283973804575592,66,strong,0.0041687698864135,True,False,positive_interaction
