ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),RunRepeats,Warmup,BenchFile,Status
EXP_000_ALL_OFF,bat,1,None,All,6621032,23.133119,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,2,None,All,6621032,23.407913,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,3,None,All,6621032,23.793149,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,4,None,All,6621032,23.313890,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,5,None,All,6621032,23.395311,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,6,None,All,6621032,23.659717,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,7,None,All,6621032,23.560272,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,8,None,All,6621032,23.291633,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,9,None,All,6621032,23.376608,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_000_ALL_OFF,bat,10,None,All,6621032,23.465603,202.335212,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_ABL_001_CopyProp,bat,1,None,CopyProp,6604232,23.087602,193.865303,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_ABL_001_CopyProp,bat,2,None,CopyProp,6604232,23.371894,193.865303,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
EXP_ABL_001_CopyProp,bat,3,None,CopyProp,6604232,23.340697,193.865303,1,1,/root/MIR_LLVM/bat/benchmark_data.rs,Success
