Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
bat,EXP_000_ALL_OFF,10,23.439722,23.401612,0.207035,202.335212,202.335212,0.000000,6621032.000000,6621032
bat,EXP_001_DISABLE_ALL,10,28.064456,28.046236,0.120105,176.679568,176.679568,0.000000,6961320.000000,6961320
bat,EXP_ABL_001_CopyProp,10,23.352141,23.321408,0.168149,193.865303,193.865303,0.000000,6604232.000000,6604232
bat,EXP_ABL_001_disable-binop-extract-shuffle,10,23.232417,23.201014,0.142727,189.189137,189.189137,0.000000,6604296.000000,6604296
bat,EXP_ABL_002_DataflowConstProp,10,23.277347,23.284675,0.120577,193.346030,193.346030,0.000000,6604296.000000,6604296
bat,EXP_ABL_002_disable-expand-reductions,10,23.469824,23.409979,0.321083,188.650591,188.650591,0.000000,6604488.000000,6604488
bat,EXP_ABL_003_DeadStoreElimination-final,10,23.275596,23.247436,0.241200,194.089163,194.089163,0.000000,6612552.000000,6612552
bat,EXP_ABL_003_disable-interleaved-load-combine,10,23.335349,23.278016,0.276705,188.621299,188.621299,0.000000,6604296.000000,6604296
bat,EXP_ABL_004_DeadStoreElimination-initial,10,23.281353,23.308098,0.176017,194.420304,194.420304,0.000000,6605224.000000,6605224
bat,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,23.296280,23.287633,0.116818,189.858913,189.858913,0.000000,6604296.000000,6604296
bat,EXP_ABL_005_DestinationPropagation,10,23.347543,23.278141,0.246966,194.487970,194.487970,0.000000,6610056.000000,6610056
bat,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,23.636408,23.601594,0.219309,190.317463,190.317463,0.000000,6604264.000000,6604264
bat,EXP_ABL_006_EarlyOtherwiseBranch,10,23.218804,23.175441,0.085219,193.609286,193.609286,0.000000,6604232.000000,6604232
bat,EXP_ABL_006_disable-promote-alloca-to-vector,10,23.578323,23.557536,0.156941,189.298009,189.298009,0.000000,6604264.000000,6604264
bat,EXP_ABL_007_EnumSizeOpt,10,23.362312,23.331599,0.204941,192.357936,192.357936,0.000000,6604296.000000,6604296
bat,EXP_ABL_007_disable-replace-with-vec-lib,10,23.276879,23.197089,0.137670,188.954905,188.954905,0.000000,6604296.000000,6604296
bat,EXP_ABL_008_ForceInline,10,23.521478,23.500759,0.228407,194.627248,194.627248,0.000000,6604264.000000,6604264
bat,EXP_ABL_008_disable-vector-combine,10,23.675149,23.509590,0.415971,189.750116,189.750116,0.000000,6604328.000000,6604328
bat,EXP_ABL_009_GVN,10,23.497542,23.442072,0.248221,196.076696,196.076696,0.000000,6610408.000000,6610408
bat,EXP_ABL_009_disable-advanced-peeling,10,23.333330,23.330353,0.099916,188.937511,188.937511,0.000000,6598152.000000,6598152
bat,EXP_ABL_010_ImpossiblePredicates,10,23.260816,23.285048,0.156672,188.164038,188.164038,0.000000,6604296.000000,6604296
bat,EXP_ABL_010_disable-lftr,10,23.428659,23.444619,0.225171,189.725330,189.725330,0.000000,6604200.000000,6604200
bat,EXP_ABL_011_Inline,10,23.580522,23.551915,0.217032,194.722408,194.722408,0.000000,6602792.000000,6602792
bat,EXP_ABL_011_disable-licm-promotion,10,23.249730,23.324404,0.392126,190.476053,190.476053,0.000000,6600424.000000,6600424
bat,EXP_ABL_012_InstSimplify-after-simplifycfg,10,23.221494,23.165771,0.253858,189.610965,189.610965,0.000000,6603784.000000,6603784
bat,EXP_ABL_012_disable-loop-level-heuristics,10,23.261107,23.229605,0.200777,192.078066,192.078066,0.000000,6604296.000000,6604296
bat,EXP_ABL_013_InstSimplify-before-inline,10,23.533696,23.529490,0.098683,188.786198,188.786198,0.000000,6604264.000000,6604264
bat,EXP_ABL_013_disable-lsr,10,23.740376,23.711126,0.158674,185.940269,185.940269,0.000000,6594856.000000,6594856
bat,EXP_ABL_014_JumpThreading,10,23.298410,23.243147,0.345653,189.482922,189.482922,0.000000,6623656.000000,6623656
bat,EXP_ABL_014_disable-machine-licm,10,23.316942,23.261784,0.154014,187.972705,187.972705,0.000000,6580232.000000,6580232
bat,EXP_ABL_015_MatchBranchSimplification,10,23.308848,23.269133,0.132516,188.122458,188.122458,0.000000,6605192.000000,6605192
bat,EXP_ABL_015_disable-postra-machine-licm,10,23.299262,23.355669,0.169226,189.163030,189.163030,0.000000,6604296.000000,6604296
bat,EXP_ABL_016_ReferencePropagation,10,23.685416,23.670470,0.175936,187.908361,187.908361,0.000000,6605672.000000,6605672
bat,EXP_ABL_016_disable-preheader-prot,10,23.374265,23.369242,0.141829,188.456521,188.456521,0.000000,6603688.000000,6603688
bat,EXP_ABL_017_ScalarReplacementOfAggregates,10,23.234481,23.247542,0.218231,188.015237,188.015237,0.000000,6603656.000000,6603656
bat,EXP_ABL_017_disable-block-placement,10,25.135826,25.122687,0.272856,187.962062,187.962062,0.000000,6495176.000000,6495176
bat,EXP_ABL_018_SingleUseConsts,10,23.374905,23.384408,0.284715,189.554811,189.554811,0.000000,6604264.000000,6604264
bat,EXP_ABL_018_disable-branch-fold,10,23.283666,23.235469,0.157207,187.934361,187.934361,0.000000,6629512.000000,6629512
bat,EXP_ABL_019_UnreachableEnumBranching,10,23.330504,23.300685,0.168322,190.088132,190.088132,0.000000,6601992.000000,6601992
bat,EXP_ABL_019_disable-cgp-branch-opts,10,23.483048,23.464464,0.162919,188.003127,188.003127,0.000000,6604072.000000,6604072
bat,EXP_ABL_020_UnreachablePropagation,10,23.532607,23.500304,0.158364,189.301931,189.301931,0.000000,6604264.000000,6604264
bat,EXP_ABL_020_disable-cgp-select2branch,10,23.452861,23.446703,0.283999,188.399557,188.399557,0.000000,6603752.000000,6603752
bat,EXP_ABL_021_disable-chr,10,23.570833,23.574517,0.124285,188.588365,188.588365,0.000000,6604264.000000,6604264
bat,EXP_ABL_022_disable-early-ifcvt,10,23.265614,23.265907,0.235589,188.892867,188.892867,0.000000,6604296.000000,6604296
bat,EXP_ABL_023_disable-early-taildup,10,23.189760,23.201024,0.154290,187.829400,187.829400,0.000000,6602120.000000,6602120
bat,EXP_ABL_024_disable-ifcvt-diamond,10,23.291289,23.226678,0.105332,188.270951,188.270951,0.000000,6604296.000000,6604296
bat,EXP_ABL_025_disable-ifcvt-forked-diamond,10,23.551453,23.524233,0.288912,188.164762,188.164762,0.000000,6604264.000000,6604264
bat,EXP_ABL_026_disable-ifcvt-simple,10,23.164067,23.176035,0.193041,188.266334,188.266334,0.000000,6604296.000000,6604296
bat,EXP_ABL_027_disable-ifcvt-simple-false,10,23.493036,23.470968,0.348431,187.818199,187.818199,0.000000,6604264.000000,6604264
bat,EXP_ABL_028_disable-ifcvt-triangle,10,23.478290,23.475363,0.179329,187.762670,187.762670,0.000000,6604264.000000,6604264
bat,EXP_ABL_029_disable-ifcvt-triangle-false,10,23.579650,23.523725,0.128026,187.984978,187.984978,0.000000,6604264.000000,6604264
bat,EXP_ABL_030_disable-ifcvt-triangle-rev,10,23.231213,23.198394,0.134858,188.457757,188.457757,0.000000,6604296.000000,6604296
bat,EXP_ABL_031_disable-tail-calls,10,23.177269,23.162893,0.150531,188.145208,188.145208,0.000000,6604296.000000,6604296
bat,EXP_ABL_032_disable-tail-duplicate,10,23.484861,23.435598,0.270754,187.834798,187.834798,0.000000,6601864.000000,6601864
bat,EXP_ABL_033_disable-cgp-ext-ld-promotion,10,23.316795,23.304028,0.136609,187.974079,187.974079,0.000000,6605096.000000,6605096
bat,EXP_ABL_034_disable-cgp-store-extract,10,23.478819,23.501917,0.197619,187.823051,187.823051,0.000000,6604264.000000,6604264
bat,EXP_ABL_035_disable-memop-opt,10,23.517536,23.514050,0.194598,187.772271,187.772271,0.000000,6604264.000000,6604264
bat,EXP_ABL_036_disable-separate-const-offset-from-gep,10,23.520938,23.510095,0.121726,187.499557,187.499557,0.000000,6604264.000000,6604264
bat,EXP_ABL_037_disable-adv-copy-opt,10,23.323122,23.323839,0.076543,188.214396,188.214396,0.000000,6604264.000000,6604264
bat,EXP_ABL_038_disable-cgp-delete-phis,10,23.401325,23.351817,0.159794,188.208725,188.208725,0.000000,6604360.000000,6604360
bat,EXP_ABL_039_disable-cleanups,10,23.575945,23.473313,0.257771,187.679873,187.679873,0.000000,6604264.000000,6604264
bat,EXP_ABL_040_disable-constant-hoisting,10,23.416139,23.367653,0.152693,187.885439,187.885439,0.000000,6604456.000000,6604456
bat,EXP_ABL_041_disable-copyprop,10,23.396891,23.351076,0.254340,187.680550,187.680550,0.000000,6608168.000000,6608168
bat,EXP_ABL_042_disable-demotion,10,23.570999,23.551563,0.190128,188.534923,188.534923,0.000000,6604264.000000,6604264
bat,EXP_ABL_043_disable-gep-const-evaluation,10,23.535403,23.557316,0.215973,188.347375,188.347375,0.000000,6604264.000000,6604264
bat,EXP_ABL_044_disable-icp,10,23.553371,23.582410,0.174401,188.472282,188.472282,0.000000,6604264.000000,6604264
bat,EXP_ABL_045_disable-machine-cse,10,23.289572,23.250623,0.167162,187.720230,187.720230,0.000000,6610856.000000,6610856
bat,EXP_ABL_046_disable-machine-dce,10,23.408088,23.386249,0.166003,187.484177,187.484177,0.000000,6605160.000000,6605160
bat,EXP_ABL_047_disable-machine-sink,10,23.876771,23.846724,0.148723,187.335284,187.335284,0.000000,6600136.000000,6600136
bat,EXP_ABL_048_disable-mergeicmps,10,23.238460,23.187975,0.185184,188.393495,188.393495,0.000000,6604296.000000,6604296
bat,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,10,23.214970,23.201265,0.091936,188.205654,188.205654,0.000000,6604296.000000,6604296
