Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
bat,EXP_DBL_0822,10,29.454449,30.060351,9.626669,0.320245,214.403105,214.403105,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0817,10,31.402328,34.782205,11.008627,0.316502,267.167501,267.167501,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0814,10,32.058427,34.121021,7.205869,0.211186,260.557032,260.557032,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0812,10,27.259101,27.471875,4.390933,0.159834,229.398808,229.398808,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0813,10,35.834593,36.489868,4.324813,0.118521,256.179758,256.179758,0.000000,0.000000,6604264.000000,6604264
bat,EXP_DBL_0815,10,35.375806,36.403515,3.650449,0.100277,260.241140,260.241140,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0855,10,29.596615,30.058142,2.828999,0.094118,233.504743,233.504743,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0858,10,28.810988,28.772320,2.528044,0.087864,236.761192,236.761192,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0833,10,29.960118,30.065790,2.635744,0.087666,237.402538,237.402538,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0843,10,28.089292,27.891107,2.379885,0.085328,224.507092,224.507092,0.000000,0.000000,6592360.000000,6592360
bat,EXP_DBL_0830,10,28.200853,27.859722,2.353647,0.084482,235.653890,235.653890,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0859,10,28.934961,29.241390,2.343965,0.080159,235.534687,235.534687,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0832,10,28.551814,28.486933,2.270771,0.079713,238.045820,238.045820,0.000000,0.000000,6602952.000000,6602952
bat,EXP_DBL_0825,10,28.028672,28.583859,2.175144,0.076097,194.078548,194.078548,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0826,10,29.363051,29.349113,2.193400,0.074735,233.297008,233.297008,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_0828,10,29.553708,29.201085,2.177315,0.074563,237.015564,237.015564,0.000000,0.000000,6604264.000000,6604264
bat,EXP_DBL_0840,10,30.215420,29.815075,2.212172,0.074196,236.905666,236.905666,0.000000,0.000000,6602568.000000,6602568
bat,EXP_DBL_0842,10,29.032704,29.269043,2.122494,0.072517,241.738840,241.738840,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0856,10,29.294679,29.387165,2.117372,0.072051,232.509644,232.509644,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0834,10,29.188582,29.207808,2.048756,0.070144,235.227090,235.227090,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0845,10,28.700721,28.763908,1.930572,0.067118,236.595223,236.595223,0.000000,0.000000,6602888.000000,6602888
bat,EXP_DBL_0827,10,29.501266,29.140729,1.937150,0.066476,235.941577,235.941577,0.000000,0.000000,6680712.000000,6680712
bat,EXP_DBL_0861,10,29.030783,28.471567,1.833391,0.064394,235.214071,235.214071,0.000000,0.000000,6602792.000000,6602792
bat,EXP_DBL_0853,10,28.804901,28.180185,1.796852,0.063763,234.483624,234.483624,0.000000,0.000000,6600936.000000,6600936
