ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,ASM_JmpLike,ASM_JmpLike_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_0843,default,lsr,Inline,3,3.893002,12.492466,416008.0,-27.10798797179438,-8.400474727701024,-0.276153034806792,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0877,default,machine-sink,Inline,3,4.00178,12.191069,417704.0,-25.07124427518077,-10.610432482918853,0.1304055997698672,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0906,default,i2p-p2i-opt,Inline,3,4.028846,12.096961,417176.0,-24.56446436662809,-11.300468231211102,0.0038354588167699433,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0847,default,block-placement,Inline,3,4.243787,13.032937,409336.0,-20.539939858971902,-4.437535222927124,-1.8755393613961058,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,10.0,-1.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0855,default,ifcvt-forked-diamond,Inline,3,4.433984,12.475672,417160.0,-16.978718464344155,-8.523614740843588,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0896,default,ra-fsprofile-loader,Inline,3,4.457725,12.359949,417160.0,-16.53419537970109,-9.372139912982236,0.0,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1660,default,strictnode-mutation,UnreachablePropagation,3,6.237946,9.820675,416960.0,16.798407723216457,-27.991065346622946,-0.04794323520951327,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1093,default,machine-licm,JumpThreading,3,6.688141,12.090255,414816.0,25.227794442010353,-11.349639180843951,-0.5618947166554755,37.0,-13.0,33.0,0.0,18.0,-2.0,13.0,2.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1088,default,advanced-peeling,JumpThreading,3,6.694136,11.800235,416864.0,25.34004396361582,-13.476176432934306,-0.07095598811007742,37.0,-13.0,33.0,0.0,18.0,-2.0,13.0,2.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1092,default,lsr,JumpThreading,3,6.768044,11.329213,415904.0,26.723886773093074,-16.929889382227813,-0.30108351711573,37.0,-13.0,33.0,0.0,18.0,-2.0,13.0,2.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1175,default,lsr,MatchBranchSimplification,3,6.79734,11.598348,415776.0,27.272420882343027,-14.956488915565725,-0.33176718764982294,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1258,default,lsr,ReferencePropagation,3,6.859236,11.334609,415776.0,28.431352723759453,-16.89032385222201,-0.33176718764982294,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1591,default,machine-licm,UnreachablePropagation,3,6.872727,12.368452,414704.0,28.68395627604958,-9.30979267398312,-0.5887429283728096,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1259,default,machine-licm,ReferencePropagation,3,6.994145,12.259617,414704.0,30.95736952280379,-10.107812403075089,-0.5887429283728096,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0760,default,lsr,ImpossiblePredicates,3,7.043927,11.1584,415776.0,31.889480562764263,-18.18235544540038,-0.33176718764982294,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0761,default,machine-licm,ImpossiblePredicates,3,7.046933,11.640206,414704.0,31.945764476349915,-14.649570095146458,-0.5887429283728096,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1013,default,block-placement,InstSimplify-before-inline,3,7.121477,12.721969,409056.0,33.341515658761466,-6.717671200473618,-1.9426598906894244,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1096,default,block-placement,JumpThreading,3,7.138554,11.745412,409168.0,33.66126296158989,-13.87815957813584,-1.9158116789721014,37.0,-13.0,33.0,0.0,18.0,-2.0,13.0,2.0,,,21.0,11.0,20.0,11.0,0.0,0.0,17.0,6.0,,,,,,,,,,,,,,,,,,
EXP_DBL_1179,default,block-placement,MatchBranchSimplification,3,7.213306,12.11994,409056.0,35.06090870621896,-11.131977439142338,-1.9426598906894244,30.0,-20.0,26.0,-7.0,14.0,-6.0,11.0,0.0,,,21.0,11.0,20.0,11.0,0.0,0.0,18.0,7.0,,,,,,,,,,,,,,,,,,
