ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,ASM_JmpLike,ASM_JmpLike_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_0843,default,lsr,Inline,3,3.893002,12.492466,416008.0,-27.10798797179438,-8.400474727701024,-0.276153034806792,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0870,default,constant-hoisting,Inline,3,3.952756,12.630808,416808.0,-25.989162631675523,-7.386098420795695,-0.08438009396873891,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0884,default,ssc,Inline,3,3.981535,12.954594,418392.0,-25.450308756398876,-5.011975978531968,0.2953303288905973,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0877,default,machine-sink,Inline,3,4.00178,12.191069,417704.0,-25.07124427518077,-10.610432482918853,0.1304055997698672,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0881,default,postra-machine-sink,Inline,3,4.006101,12.614667,417192.0,-24.99033848988349,-7.504450388887518,0.007670917633517682,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0910,default,peephole,Inline,3,4.017799,13.448233,425896.0,-24.771306812862537,-1.392426559234572,2.094160513951482,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0906,default,i2p-p2i-opt,Inline,3,4.028846,12.096961,417176.0,-24.56446436662809,-11.300468231211102,0.0038354588167699433,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0840,default,lftr,Inline,3,4.046585,13.678801,417192.0,-24.23232187058818,0.2981859541781873,0.007670917633517682,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0894,default,nounwind-inference,Inline,3,4.049354,12.690422,417176.0,-24.180475511067666,-6.948985836332167,0.0038354588167699433,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
EXP_DBL_0853,default,early-taildup,Inline,3,4.057841,12.877515,417240.0,-24.021566138279425,-5.577148604053894,0.019177294083805307,44.0,-6.0,27.0,-6.0,14.0,-6.0,11.0,0.0,,,10.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,
