mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
ReferencePropagation,ondemand-mds-loading,12.38278487551262,13.4071706779255,13.421112905473,16.674298732629033,-0.1375569813937716,0.8714846901700317,-12.851530982996827,8.272660897458039,8.385254531989084,34.65709773899916,-0.2514273163365372,-0.026126472506750983,0.015992003998001,60,20,20,20,2,"A,B",0.1375569813937716,1,extreme,0.016654157237566913,True,False,negative_interaction
Inline,lsr,12.38278487551262,10.109141517946325,13.303772130502873,9.638601852525378,0.11940447555306921,1.1268255995337626,12.68255995337626,-18.36132485885709,7.437642374063502,-22.16127511359708,0.07089934051360083,0.16834488910103088,0.0009995002498750624,60,20,20,20,2,"A,B",0.11940447555306921,2,extreme,0.0018705416175790344,True,False,positive_interaction
JumpThreading,peephole,12.38278487551262,13.449163578018862,13.810826334214314,13.524804534063316,0.10353715421984866,1.1090869998617896,10.90869998617896,8.611784127939126,11.532474100601519,9.222639899115737,0.0545715561152256,0.15342949287861093,0.0009995002498750624,60,20,20,20,2,"A,B",0.10353715421984866,3,extreme,0.0018705416175790344,True,False,positive_interaction
JumpThreading,postra-machine-sink,12.38278487551262,13.449163578018862,13.745446999284527,13.470364325437998,0.10282532981263004,1.1082978055827575,10.829780558275747,8.611784127939126,11.004488388283473,8.782995593148879,0.05260640581054658,0.15223597856418755,0.0009995002498750624,60,20,20,20,2,"A,B",0.10282532981263004,4,extreme,0.0018705416175790344,True,False,positive_interaction
Inline,peephole,12.38278487551262,10.109141517946325,13.810826334214314,10.179348978998883,0.10222466722902901,1.107632292453884,10.763229245388395,-18.36132485885709,11.532474100601519,-17.7943485142111,0.05366856979726943,0.15272691104389738,0.0009995002498750624,60,20,20,20,2,"A,B",0.10222466722902901,5,extreme,0.0018705416175790344,True,False,positive_interaction
Inline,machine-cse,12.38278487551262,10.109141517946325,13.584563626150036,10.0679864691514,0.09670631105677163,1.101536816927134,10.153681692713402,-18.36132485885709,9.705238060090782,-18.693681830319232,0.04864174389194902,0.14721897484876809,0.0009995002498750624,60,20,20,20,2,"A,B",0.09670631105677163,6,extreme,0.0018705416175790344,True,False,positive_interaction
Inline,postra-machine-sink,12.38278487551262,10.109141517946325,13.745446999284527,10.230162084311262,0.09250014185774691,1.0969132971659419,9.691329716594188,-18.36132485885709,11.004488388283473,-17.38399570728426,0.04346122061056342,0.14488961954165244,0.0009995002498750624,60,20,20,20,2,"A,B",0.09250014185774691,7,extreme,0.0018705416175790344,True,False,positive_interaction
Inline,machine-sink,12.38278487551262,10.109141517946325,13.82515826661695,10.313520491061542,0.09016721548692996,1.094357261888813,9.435726188881311,-18.36132485885709,11.648214885463082,-16.710815904935238,0.041086125381240346,0.1413491681896073,0.0009995002498750624,60,20,20,20,2,"A,B",0.09016721548692996,8,extreme,0.0018705416175790344,True,False,positive_interaction
JumpThreading,machine-sink,12.38278487551262,13.449163578018862,13.82515826661695,13.724955289631543,0.08988399048557527,1.0940473564403892,9.404735644038919,8.611784127939126,11.648214885463082,10.839002919069628,0.04011775781513911,0.14133950490553676,0.0009995002498750624,60,20,20,20,2,"A,B",0.08988399048557527,9,extreme,0.0018705416175790344,True,False,positive_interaction
JumpThreading,spill-fusing,12.38278487551262,13.449163578018862,13.638024297509727,13.54935643074292,0.0891324704792349,1.0932254668360633,9.322546683606326,8.611784127939126,10.13697188973528,9.42091433355381,0.04300948234121668,0.13969310043728,0.0009995002498750624,60,20,20,20,2,"A,B",0.0891324704792349,10,extreme,0.0018705416175790344,True,False,positive_interaction
