Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_000_ALL_OFF,10,10.850833,0.036966,6.947789,0.000000,417648,907,7105,4791,8671,7022,17
A,EXP_001_DISABLE_ALL,10,10.911230,0.014791,6.009255,0.000000,463088,901,7087,4764,8659,6978,17
A,EXP_ABL_001_CopyProp,10,10.889599,0.031110,6.977009,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_001_disable-binop-extract-shuffle,10,10.904500,0.032922,7.172456,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_002_DataflowConstProp,10,10.904131,0.025785,7.081616,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_002_disable-expand-reductions,10,10.923849,0.031184,7.051871,0.000000,417520,901,7090,4777,8659,7006,17
A,EXP_ABL_003_DeadStoreElimination-final,10,10.892705,0.032561,7.061332,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_003_disable-interleaved-load-combine,10,10.932593,0.062077,7.327091,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_004_DeadStoreElimination-initial,10,10.893841,0.036076,7.150731,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,10.903260,0.028309,7.076307,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_005_DestinationPropagation,10,10.905746,0.033338,7.049814,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,10.912691,0.017006,7.048784,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_006_EarlyOtherwiseBranch,10,10.890999,0.029967,6.994009,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_006_disable-promote-alloca-to-vector,10,10.937344,0.025206,7.307351,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_007_EnumSizeOpt,10,10.923471,0.050421,7.084219,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_007_disable-replace-with-vec-lib,10,10.916919,0.034514,7.094015,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_008_ForceInline,10,10.885551,0.027613,7.000631,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_008_disable-vector-combine,10,10.905515,0.038391,7.039698,0.000000,417520,901,7090,4777,8659,7006,17
A,EXP_ABL_009_GVN,10,10.903926,0.009654,7.092364,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_009_disable-advanced-peeling,10,10.913495,0.038966,7.101613,0.000000,417264,901,7086,4775,8659,7008,17
A,EXP_ABL_010_ImpossiblePredicates,10,10.911071,0.045423,6.963222,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_010_disable-lftr,10,10.891945,0.023642,6.993619,0.000000,417488,901,7090,4777,8659,7007,17
A,EXP_ABL_011_Inline,10,10.818282,0.036917,7.116955,0.000000,417648,907,7105,4791,8671,7022,17
A,EXP_ABL_011_disable-licm-promotion,10,10.905197,0.021965,7.032987,0.000000,417488,901,7091,4766,8659,6976,17
A,EXP_ABL_012_InstSimplify-after-simplifycfg,10,10.931992,0.029965,7.205508,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_012_disable-loop-level-heuristics,10,10.883892,0.015866,6.987929,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_013_InstSimplify-before-inline,10,10.882984,0.042209,7.014307,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_013_disable-lsr,10,10.494511,0.022034,6.486335,0.000000,416112,901,7090,4777,8659,7006,17
A,EXP_ABL_014_JumpThreading,10,11.148121,0.052352,6.992683,0.000000,417616,901,7090,4777,8661,7010,17
A,EXP_ABL_014_disable-machine-licm,10,11.468699,0.023771,7.032365,0.000000,415008,901,7090,4777,8659,7006,17
A,EXP_ABL_015_MatchBranchSimplification,10,10.927452,0.049026,7.074801,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_015_disable-postra-machine-licm,10,10.898045,0.040112,6.945295,0.000000,417504,901,7090,4777,8659,7006,17
A,EXP_ABL_016_ReferencePropagation,10,10.880488,0.023058,7.174007,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_016_disable-preheader-prot,10,10.934544,0.075092,7.038349,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_017_ScalarReplacementOfAggregates,10,10.884633,0.030147,7.129936,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_017_disable-block-placement,10,10.745686,0.022031,6.931900,0.000000,409520,901,7090,4777,8659,7006,17
A,EXP_ABL_018_SingleUseConsts,10,10.913515,0.031973,7.001535,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_018_disable-branch-fold,10,11.551085,0.030851,7.040062,0.000000,419232,901,7090,4777,8659,7006,17
A,EXP_ABL_019_UnreachableEnumBranching,10,10.933340,0.046720,7.219018,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_019_disable-cgp-branch-opts,10,10.885787,0.037092,7.054821,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_020_UnreachablePropagation,10,10.920746,0.038945,7.128242,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_020_disable-cgp-select2branch,10,10.900930,0.036033,7.098022,0.000000,417424,901,7090,4777,8659,7006,17
A,EXP_ABL_021_disable-chr,10,10.910467,0.012819,7.007483,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_022_disable-early-ifcvt,10,10.912893,0.040107,7.087096,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_023_disable-early-taildup,10,10.887415,0.016842,6.988444,0.000000,417264,901,7090,4777,8659,7006,17
A,EXP_ABL_024_disable-ifcvt-diamond,10,10.895853,0.017039,7.152097,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_025_disable-ifcvt-forked-diamond,10,10.907902,0.063284,7.057973,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_026_disable-ifcvt-simple,10,10.877888,0.021446,7.010317,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_027_disable-ifcvt-simple-false,10,10.892157,0.031944,7.066501,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_028_disable-ifcvt-triangle,10,10.900326,0.063268,6.984993,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_029_disable-ifcvt-triangle-false,10,10.887011,0.028225,7.027366,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_030_disable-ifcvt-triangle-rev,10,10.898494,0.039544,6.943094,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_031_disable-tail-calls,10,10.906803,0.038171,7.033760,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_032_disable-tail-duplicate,10,10.784382,0.022792,7.061386,0.000000,417184,901,7090,4777,8659,7006,17
A,EXP_ABL_033_disable-cgp-ext-ld-promotion,10,10.892079,0.012194,7.075569,0.000000,417664,901,7090,4777,8659,7006,17
A,EXP_ABL_034_disable-cgp-store-extract,10,10.905205,0.039698,6.981670,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_035_disable-memop-opt,10,10.900522,0.013273,7.095834,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_036_disable-separate-const-offset-from-gep,10,10.919350,0.030166,7.036935,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_037_disable-adv-copy-opt,10,10.898221,0.018812,7.033360,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_038_disable-cgp-delete-phis,10,10.886461,0.033406,7.265724,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_039_disable-cleanups,10,10.886624,0.047586,6.974272,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_040_disable-constant-hoisting,10,10.894039,0.019415,6.923521,0.000000,417392,901,7090,4777,8659,7006,17
A,EXP_ABL_041_disable-copyprop,10,10.916086,0.040430,6.926960,0.000000,417792,901,7090,4777,8659,7006,17
A,EXP_ABL_042_disable-demotion,10,10.952036,0.053384,7.088231,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_043_disable-gep-const-evaluation,10,10.881280,0.041277,7.070548,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_044_disable-icp,10,10.903918,0.039043,7.061176,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_045_disable-machine-cse,10,10.751210,0.039618,7.046769,0.000000,417952,901,7090,4777,8659,7006,17
A,EXP_ABL_046_disable-machine-dce,10,10.905832,0.041149,7.029962,0.000000,417584,901,7090,4777,8659,7006,17
A,EXP_ABL_047_disable-machine-sink,10,11.498704,0.039398,7.084074,0.000000,418288,901,7090,4777,8659,7006,17
A,EXP_ABL_048_disable-mergeicmps,10,10.890529,0.039161,7.055774,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,10,10.897175,0.037985,7.094096,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_050_disable-phi-elim-edge-splitting,10,10.715033,0.083530,6.973825,0.000000,416448,901,7090,4777,8659,7006,17
A,EXP_ABL_051_disable-postra-machine-sink,10,11.553648,0.043890,7.097325,0.000000,417552,901,7090,4777,8659,7006,17
A,EXP_ABL_052_disable-preinline,10,10.902098,0.068463,7.152722,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_053_disable-select-optimize,10,10.927002,0.022502,7.134776,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_054_disable-ssc,10,10.903156,0.029594,7.313811,0.000000,418784,901,7090,4777,8659,7006,17
A,EXP_ABL_055_disable-type-promotion,10,10.919925,0.041040,7.211359,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_056_disable-auto-upgrade-debug-info,10,10.915168,0.030575,7.224703,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_057_disable-bitcode-version-upgrade,10,10.911962,0.057898,7.172589,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_058_disable-cfi-fixup,10,10.917882,0.037559,7.125685,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_059_disable-cgdata-for-merging,10,10.924766,0.056650,7.063646,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_060_disable-global-outlining,10,10.901352,0.042369,7.159194,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_061_disable-last-run-tracking,10,10.907587,0.019241,7.037430,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_062_disable-layout-fsprofile-loader,10,10.910928,0.064742,7.079517,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_063_disable-nofree-inference,10,10.921596,0.023536,7.070419,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_064_disable-nounwind-inference,10,10.767496,0.051346,7.096057,0.000000,417504,901,7090,4777,8659,7006,17
A,EXP_ABL_065_disable-ondemand-mds-loading,10,10.910749,0.044249,7.142545,0.000000,417488,901,7090,4777,8659,7006,17
A,EXP_ABL_066_disable-ra-fsprofile-loader,10,10.910074,0.007860,7.075209,0.000000,417488,901,7090,4777,8659,7006,17
