Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1310,10,18.228233,11.451947,0.628253,7.619759,0.000000,0.000000,417488
A,EXP_DBL_1429,10,13.384971,2.191653,0.163740,7.252513,0.000000,0.000000,419232
A,EXP_DBL_1416,10,13.089371,1.613053,0.123234,8.004172,0.000000,0.000000,417488
A,EXP_DBL_1387,10,13.073069,1.487861,0.113811,7.608611,0.000000,0.000000,417488
A,EXP_DBL_1389,10,13.167862,1.458075,0.110730,7.633413,0.000000,0.000000,417488
B,EXP_DBL_1312,10,17.126561,1.727458,0.100864,7.625329,0.000000,0.000000,417488
A,EXP_DBL_1428,10,12.887498,1.267520,0.098353,7.368042,0.000000,0.000000,409520
A,EXP_DBL_1098,10,11.361199,1.074776,0.094601,7.229679,0.000000,0.000000,417616
A,EXP_DBL_1422,10,13.204247,1.246642,0.094412,7.452466,0.000000,0.000000,417488
A,EXP_DBL_1412,10,13.112071,1.234022,0.094113,8.055891,0.000000,0.000000,417488
A,EXP_DBL_1424,10,12.585908,1.176571,0.093483,7.360577,0.000000,0.000000,416112
A,EXP_DBL_1097,10,12.787198,1.079530,0.084423,7.313904,0.000000,0.000000,419360
A,EXP_DBL_1405,10,12.894815,1.047794,0.081257,7.389905,0.000000,0.000000,417488
A,EXP_DBL_1087,10,12.190132,0.987060,0.080972,7.290863,0.000000,0.000000,417648
A,EXP_DBL_1392,10,13.248721,1.069578,0.080731,7.954723,0.000000,0.000000,417504
A,EXP_DBL_1410,10,13.076138,1.038530,0.079422,7.330014,0.000000,0.000000,419888
A,EXP_DBL_1402,10,13.280029,1.051342,0.079167,9.392498,0.000000,0.000000,417472
A,EXP_DBL_1432,10,13.336811,1.025025,0.076857,7.482401,0.000000,0.000000,417488
A,EXP_DBL_1085,10,11.668350,0.894242,0.076638,7.722849,0.000000,0.000000,417616
A,EXP_DBL_1427,10,12.924184,0.987603,0.076415,7.670286,0.000000,0.000000,417488
A,EXP_DBL_1411,10,13.021964,0.992760,0.076237,8.116219,0.000000,0.000000,417488
A,EXP_DBL_1408,10,13.609510,1.015242,0.074598,7.426331,0.000000,0.000000,426000
A,EXP_DBL_1413,10,12.757675,0.933288,0.073155,8.751573,0.000000,0.000000,417520
B,EXP_DBL_1432,10,17.454636,1.236129,0.070820,7.482401,0.000000,0.000000,417488
