project,source_path,analysis_dir,total_pairs,total_positive_delta_count,total_negative_delta_count,zero_count,independent_count,independent_positive_delta_count,independent_negative_delta_count,highlighted_count,positive_interaction_count,negative_interaction_count,highlighted_ratio,sig_mean_abs_delta,sig_median_abs_delta,sig_p95_abs_delta,sig_max_abs_delta,sig_mean_rel_strength,top10_abs_delta_share
aggregate_scalarization_bench,d:\MIR_LLVM_NEW\aggregate_scalarization_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,433,1227,0,625,299,326,1035,134,901,0.6234939759036144,0.04088110184872525,0.0289003762089013,0.1308064981946447,0.1503784171994995,0.03961161735545542,0.030751918155444757
aho-corasick,d:\MIR_LLVM_NEW\aho-corasick\analysis\did\interaction_results.csv,analysis,1660,0,1660,0,9,0,9,1651,0,1651,0.994578313253012,0.08583445683556792,0.0860178189327993,0.10537351269283965,0.1387662881270568,0.0821835253593487,0.009335995889980839
async_state_machine_bench,d:\MIR_LLVM_NEW\async_state_machine_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,0,1660,0,0,0,0,1660,0,1660,1.0,0.14076538654652376,0.1365468318754741,0.19702586673302724,0.3879570266465071,0.13115322290678919,0.00978929814720241
bat,d:\MIR_LLVM_NEW\bat\analysis\did\interaction_results.csv,analysis,1660,1168,492,0,954,599,355,706,569,137,0.42530120481927713,0.0296859428836617,0.01518651884081285,0.18561832611957832,0.4237032331406114,0.028184436258528157,0.12379941065130916
branch_cfg_bench,d:\MIR_LLVM_NEW\branch_cfg_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,1611,49,0,49,12,37,1611,1599,12,0.9704819277108434,0.07953169447590612,0.0798120122988628,0.08211381496523004,0.1375569813937716,0.08274928415993184,0.00787021695617571
eza,d:\MIR_LLVM_NEW\eza\analysis\did\interaction_results.csv,analysis,1660,281,1379,0,257,83,174,1403,198,1205,0.8451807228915663,0.0761034734797659,0.0750321825362361,0.11837814704456286,0.1655912364514127,0.07365097152854662,0.013833419214732358
fast_image_resize,d:\MIR_LLVM_NEW\fast_image_resize\analysis\did\interaction_results.csv,analysis,1660,1210,450,0,230,115,115,1430,1095,335,0.8614457831325302,0.16999219385219314,0.178333484264759,0.2929164962753616,0.3692163104370825,0.18324861753704738,0.0142711866611282
hyper,d:\MIR_LLVM_NEW\hyper\analysis\did\interaction_results.csv,analysis,1660,577,1083,0,1083,491,592,577,86,491,0.34759036144578315,0.037818327786548374,0.0314749408017744,0.07775607068566313,0.1481215316842772,0.037032693446494326,0.035917014586205456
image,d:\MIR_LLVM_NEW\image\analysis\did\interaction_results.csv,analysis,1660,172,1488,0,529,143,386,1131,29,1102,0.6813253012048193,0.058405775107422536,0.0520021880251846,0.11480838521446196,0.2130199152750183,0.056467874423140156,0.023974792030344787
iterator_pipeline_bench,d:\MIR_LLVM_NEW\iterator_pipeline_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,819,841,0,571,59,512,1089,760,329,0.6560240963855422,0.09911628164136002,0.0963894137925425,0.18415710161141197,0.2377330105105441,0.10077917272205046,0.019428637244162036
loop_hoisting_bench,d:\MIR_LLVM_NEW\loop_hoisting_bench\analysis\did\interaction_results.csv,analysis,1660,750,910,0,345,145,200,1315,605,710,0.7921686746987951,0.06460819563354213,0.0455150800825586,0.19670029365026256,0.2802380209610826,0.06227821034106715,0.030008132393032703
quinn,d:\MIR_LLVM_NEW\quinn\analysis\did\interaction_results.csv,analysis,1660,1397,263,0,756,560,196,904,837,67,0.5445783132530121,0.07250995667138371,0.04870309754558015,0.2739807974667334,0.3092740748669735,0.07767740375954678,0.03994282883386497
regex,d:\MIR_LLVM_NEW\regex\analysis_new\did\interaction_results.csv,analysis_new,1660,749,911,0,758,355,403,902,394,508,0.5433734939759036,0.8223565438845813,0.662649683411566,1.8581616008685349,2.126967503916131,0.6787379219988241,0.022265877416391733
ripgrep,d:\MIR_LLVM_NEW\ripgrep\analysis_new\did\interaction_results.csv,analysis_new,1660,1222,438,0,338,167,171,1322,1055,267,0.7963855421686747,0.17757144901996572,0.19072962577957095,0.38562851426654604,0.5124742358230439,0.19536208674399072,0.020752998350258626
rustls,d:\MIR_LLVM_NEW\rustls\analysis\did\interaction_results.csv,analysis,1660,463,1197,0,1644,463,1181,16,0,16,0.00963855421686747,0.25319442058383174,0.29511082874124184,0.34059191358802265,0.3454276566251701,0.22054363669934443,0.4556351903533151
serde,d:\MIR_LLVM_NEW\serde\analysis_new\did\interaction_results.csv,analysis_new,1660,0,1660,0,0,0,0,1660,0,1660,1.0,0.07954810280470154,0.08011058975007705,0.09192496816466815,0.1212685922860772,0.07644051371307957,0.008450413492899702
tokio,d:\MIR_LLVM_NEW\tokio\analysis\did\interaction_results.csv,analysis,1660,1640,20,0,496,476,20,1164,1164,0,0.7012048192771084,0.03296575221788941,0.0305850966989529,0.053889491013789426,0.0981357733163132,0.03359603894042951,0.01706627232846347
trait_test,d:\MIR_LLVM_NEW\trait_test\analysis_new\did\interaction_results.csv,analysis_new,1660,0,1660,0,0,0,0,1660,0,1660,1.0,0.8572088388975981,0.8568382939501462,0.8632942694115291,1.0906090948400364,0.5755956915166456,0.007178515016126034
