project,source_path,analysis_dir,total_pairs,total_positive_delta_count,total_negative_delta_count,zero_count,independent_count,independent_positive_delta_count,independent_negative_delta_count,highlighted_count,positive_interaction_count,negative_interaction_count,highlighted_ratio,sig_mean_abs_delta,sig_median_abs_delta,sig_p95_abs_delta,sig_max_abs_delta,sig_mean_rel_strength,top10_abs_delta_share
aggregate_scalarization_bench,d:\MIR_LLVM_NEW\aggregate_scalarization_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,433,1227,0,572,276,296,1088,157,931,0.655421686746988,0.03965309514028295,0.02815047963162145,0.12927004864464736,0.1503784171994995,0.038442543024506164,0.030751918155444757
async_state_machine_bench,d:\MIR_LLVM_NEW\async_state_machine_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,0,1660,0,0,0,0,1660,0,1660,1.0,0.14076538654652376,0.1365468318754741,0.19702586673302724,0.3879570266465071,0.13115322290678919,0.00978929814720241
bat,d:\MIR_LLVM_NEW\bat\analysis\did\interaction_results.csv,analysis,1660,1168,492,0,831,499,332,829,669,160,0.49939759036144576,0.02664484663834093,0.0141910433260501,0.17638825678965656,0.4237032331406114,0.025370434269847666,0.12379941065130916
branch_cfg_bench,d:\MIR_LLVM_NEW\branch_cfg_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,1611,49,0,47,11,36,1613,1600,13,0.9716867469879518,0.07949914091819403,0.0798111649315331,0.08211272257109711,0.1375569813937716,0.08271261469838005,0.00787021695617571
eza,d:\MIR_LLVM_NEW\eza\analysis\did\interaction_results.csv,analysis,1660,281,1379,0,236,79,157,1424,202,1222,0.8578313253012049,0.07552471969719589,0.07464934176387135,0.11826334500760094,0.1655912364514127,0.0731026556516325,0.013833419214732358
hyper,d:\MIR_LLVM_NEW\hyper\analysis\did\interaction_results.csv,analysis,1660,577,1083,0,958,453,505,702,124,578,0.42289156626506025,0.03421949377627996,0.0283953321120291,0.07483969631528152,0.1481215316842772,0.03356223324167659,0.035917014586205456
iterator_pipeline_bench,d:\MIR_LLVM_NEW\iterator_pipeline_bench\analysis_new\did\interaction_results.csv,analysis_new,1660,819,841,0,513,50,463,1147,769,378,0.6909638554216867,0.0954247623306794,0.0953278904997363,0.1814833239445176,0.2377330105105441,0.09699436890075448,0.019428637244162036
loop_hoisting_bench,d:\MIR_LLVM_NEW\loop_hoisting_bench\analysis\did\interaction_results.csv,analysis,1660,750,910,0,329,139,190,1331,611,720,0.8018072289156627,0.06397507391131295,0.0449317446959921,0.19616872578810496,0.2802380209610826,0.061673039886656913,0.030008132393032703
regex,d:\MIR_LLVM_NEW\regex\analysis_new\did\interaction_results.csv,analysis_new,1660,749,911,0,626,327,299,1034,422,612,0.6228915662650603,0.7671135687330257,0.6097451983564177,1.8142182064408914,2.126967503916131,0.6390352503080118,0.022265877416391733
ripgrep,d:\MIR_LLVM_NEW\ripgrep\analysis_new\did\interaction_results.csv,analysis_new,1660,1222,438,0,319,153,166,1341,1069,272,0.8078313253012048,0.17563169601379874,0.1898238052678351,0.3838405844198531,0.5124742358230439,0.19318084194587337,0.020752998350258626
rustls,d:\MIR_LLVM_NEW\rustls\analysis\did\interaction_results.csv,analysis,1660,990,670,0,1614,959,655,46,31,15,0.027710843373493974,0.004766826368170839,0.0038494484999598002,0.008069284887952624,0.0228898397084713,0.0047613368347505305,0.04441013645000281
tokio,d:\MIR_LLVM_NEW\tokio\analysis\did\interaction_results.csv,analysis,1660,1640,20,0,463,443,20,1197,1197,0,0.7210843373493976,0.03280710344584908,0.0304846570011858,0.053750613773265385,0.0981357733163132,0.03343114527386041,0.01706627232846347
trait_test,d:\MIR_LLVM_NEW\trait_test\analysis_new\did\interaction_results.csv,analysis_new,1660,0,1660,0,0,0,0,1660,0,1660,1.0,0.8572088388975981,0.8568382939501462,0.8632942694115291,1.0906090948400364,0.5755956915166456,0.007178515016126034
