Source,Target,Type,Weight,Stability,SelectedBy
CopyProp,spill-fusing,Interaction,0.0032169814701760125,0.56,threshold
DestinationPropagation,peephole,Interaction,0.0014691096787874088,0.46,threshold
ImpossiblePredicates,dfa-sched,Interaction,0.17400104462721333,0.96,threshold
ImpossiblePredicates,i2p-p2i-opt,Interaction,0.29376573032609155,1.0,threshold
ImpossiblePredicates,layout-fsprofile-loader,Interaction,0.041260194608149225,0.76,threshold
ImpossiblePredicates,nofree-inference,Interaction,0.14656125285214772,1.0,threshold
ImpossiblePredicates,nounwind-inference,Interaction,0.18371632650694278,1.0,threshold
ImpossiblePredicates,ondemand-mds-loading,Interaction,0.11171255680186473,0.98,threshold
ImpossiblePredicates,partial-inlining,Interaction,0.13408028008773612,1.0,threshold
ImpossiblePredicates,partial-libcall-inlining,Interaction,0.18518683353822107,0.98,threshold
ImpossiblePredicates,peephole,Interaction,0.186726945581061,1.0,threshold
ImpossiblePredicates,post-ra,Interaction,0.1939654436089061,1.0,threshold
ImpossiblePredicates,ra-fsprofile-loader,Interaction,0.38579185513266545,1.0,threshold
ImpossiblePredicates,sample-loader-inlining,Interaction,0.2689734282169604,1.0,threshold
ImpossiblePredicates,spill-fusing,Interaction,0.22857029289248001,1.0,threshold
ImpossiblePredicates,strictnode-mutation,Interaction,0.14954647589482722,1.0,threshold
ImpossiblePredicates,thinlto-funcattrs,Interaction,0.3763083905056918,1.0,threshold
ImpossiblePredicates,vp,Interaction,0.38835643379114027,1.0,threshold
ImpossiblePredicates,whole-program-visibility,Interaction,0.23354596193554367,1.0,threshold
Inline,advanced-peeling,Interaction,0.18369364039016692,1.0,threshold
Inline,binop-extract-shuffle,Interaction,0.15191579584732548,1.0,threshold
Inline,block-placement,Interaction,0.1598855899381506,1.0,threshold
Inline,branch-fold,Interaction,0.18386353860175583,1.0,threshold
Inline,cgp-branch-opts,Interaction,0.16893540588379924,0.98,threshold
Inline,cgp-ext-ld-promotion,Interaction,-0.002244964533657615,0.56,threshold
Inline,cgp-select2branch,Interaction,0.16848854089305415,1.0,threshold
Inline,chr,Interaction,0.16767034083459567,1.0,threshold
Inline,complex-addr-modes,Interaction,-0.006855823920770065,0.84,threshold
Inline,early-ifcvt,Interaction,0.15696833422399442,1.0,threshold
Inline,early-taildup,Interaction,0.16346855437198607,1.0,threshold
Inline,expand-reductions,Interaction,0.14941059065693474,1.0,threshold
Inline,i2p-p2i-opt,Interaction,-0.0022540317594359994,0.42,threshold
Inline,ifcvt-diamond,Interaction,0.1722854849147384,1.0,threshold
Inline,ifcvt-forked-diamond,Interaction,0.188785523542121,1.0,threshold
Inline,ifcvt-simple,Interaction,0.18624555760732964,1.0,threshold
Inline,ifcvt-simple-false,Interaction,0.15858186757271567,1.0,threshold
Inline,ifcvt-triangle,Interaction,0.16111071434737576,1.0,threshold
Inline,ifcvt-triangle-false,Interaction,0.1754897497898523,1.0,threshold
Inline,ifcvt-triangle-rev,Interaction,0.1569780474929399,1.0,threshold
Inline,interleaved-load-combine,Interaction,0.20292697063684081,1.0,threshold
Inline,lftr,Interaction,0.20881435261604214,1.0,threshold
Inline,licm-promotion,Interaction,0.2300811643063704,1.0,threshold
Inline,loop-idiom-vectorize-all,Interaction,0.17933029994629307,1.0,threshold
Inline,loop-idiom-vectorize-bytecmp,Interaction,0.18067575905285843,1.0,threshold
Inline,loop-level-heuristics,Interaction,0.17164775414684333,1.0,threshold
Inline,lsr,Interaction,0.13447609830059615,1.0,threshold
Inline,machine-licm,Interaction,0.1632209174938364,1.0,threshold
Inline,postra-machine-licm,Interaction,0.16380595312443874,1.0,threshold
Inline,preheader-prot,Interaction,0.21726088230981308,1.0,threshold
Inline,promote-alloca-to-vector,Interaction,0.1707759267109465,1.0,threshold
Inline,replace-with-vec-lib,Interaction,0.17066258966376122,1.0,threshold
Inline,tail-calls,Interaction,0.16904919278639444,1.0,threshold
Inline,tail-duplicate,Interaction,-0.002644521898901819,0.54,threshold
Inline,vector-combine,Interaction,0.16909060584865487,1.0,threshold
InstSimplify-before-inline,block-placement,Interaction,-0.0027708344926857253,0.46,threshold
InstSimplify-before-inline,spill-fusing,Interaction,0.003504748864909448,0.58,threshold
JumpThreading,block-placement,Interaction,-0.01300956044282228,0.9,threshold
UnreachableEnumBranching,block-placement,Interaction,-0.0034150319128137137,0.56,threshold
