Source,Target,Type,Weight,Stability,SelectedBy,Count
UnreachableEnumBranching,replace-with-vec-lib,Interaction,0.10024081130650986,1.0,anova_auto,10
DeadStoreElimination-initial,whole-program-visibility,Interaction,0.09375310080750054,1.0,anova_auto,10
DeadStoreElimination-initial,2addr-hack,Interaction,0.09374746584127847,1.0,anova_auto,10
DeadStoreElimination-initial,ondemand-mds-loading,Interaction,0.09179884802068683,1.0,anova_auto,10
DeadStoreElimination-initial,nounwind-inference,Interaction,0.09008035381146273,1.0,anova_auto,10
DeadStoreElimination-initial,nofree-inference,Interaction,0.08575437349811565,1.0,anova_auto,10
DeadStoreElimination-initial,sample-loader-inlining,Interaction,0.08514273208478995,1.0,anova_auto,10
DeadStoreElimination-initial,ra-fsprofile-loader,Interaction,0.08412349058778945,1.0,anova_auto,10
DeadStoreElimination-initial,vp,Interaction,0.07429680414748763,1.0,anova_auto,10
UnreachablePropagation,loop-level-heuristics,Interaction,0.07310955965681742,1.0,anova_auto,10
DeadStoreElimination-initial,thinlto-funcattrs,Interaction,0.07208271197648797,1.0,anova_auto,10
UnreachablePropagation,cgp-store-extract,Interaction,0.05271821573181423,1.0,anova_auto,10
UnreachableEnumBranching,vector-combine,Interaction,0.05098269244965081,1.0,anova_auto,10
ReferencePropagation,gep-const-evaluation,Interaction,0.049190302152894994,1.0,anova_auto,10
UnreachableEnumBranching,advanced-peeling,Interaction,0.04562524471487839,1.0,anova_auto,10
ReferencePropagation,icp,Interaction,0.04534195094763804,1.0,anova_auto,10
ForceInline,partial-inlining,Interaction,0.04276852679906318,1.0,anova_auto,10
DeadStoreElimination-initial,cgp,Interaction,0.04199723391943877,1.0,anova_auto,10
DeadStoreElimination-initial,block-placement,Interaction,0.03974753890911931,1.0,anova_auto,10
UnreachablePropagation,memop-opt,Interaction,0.03801909602651543,1.0,anova_auto,10
UnreachableEnumBranching,lftr,Interaction,0.03779877071034665,1.0,anova_auto,10
UnreachableEnumBranching,post-ra,Interaction,0.03771994762294284,1.0,anova_auto,10
ForceInline,partial-libcall-inlining,Interaction,0.03771269203516958,1.0,anova_auto,10
UnreachablePropagation,cgp-ext-ld-promotion,Interaction,0.03735274624528717,1.0,anova_auto,10
ReferencePropagation,partial-libcall-inlining,Interaction,-0.03720454791939787,1.0,anova_auto,10
DeadStoreElimination-initial,early-ifcvt,Interaction,-0.03566944466404065,1.0,anova_auto,10
UnreachablePropagation,licm-promotion,Interaction,0.03488375604605842,1.0,anova_auto,10
DeadStoreElimination-initial,chr,Interaction,-0.03453399448789529,1.0,anova_auto,10
UnreachableEnumBranching,promote-alloca-to-vector,Interaction,0.03442622664479833,1.0,anova_auto,10
ForceInline,post-ra,Interaction,0.03391992846490899,1.0,anova_auto,10
ReferencePropagation,complex-addr-modes,Interaction,-0.03320235682394346,1.0,anova_auto,10
UnreachablePropagation,machine-licm,Interaction,0.03279250103132414,1.0,anova_auto,10
ReferencePropagation,ra-fsprofile-loader,Interaction,-0.03262047616037478,1.0,anova_auto,10
DeadStoreElimination-initial,ifcvt-simple,Interaction,-0.03233984513437749,1.0,anova_auto,10
DeadStoreElimination-initial,ssc,Interaction,-0.031045226316615437,1.0,anova_auto,10
DeadStoreElimination-initial,separate-const-offset-from-gep,Interaction,-0.030164725084710575,1.0,anova_auto,10
UnreachablePropagation,lftr,Interaction,0.029792459622004053,1.0,anova_auto,10
UnreachablePropagation,binop-extract-shuffle,Interaction,0.02971192334078232,1.0,anova_auto,10
ReferencePropagation,peephole,Interaction,-0.02962801388075542,1.0,anova_auto,10
UnreachablePropagation,strictnode-mutation,Interaction,0.02962136064834464,1.0,anova_auto,10
ReferencePropagation,cgp,Interaction,-0.029360296647208628,1.0,anova_auto,10
ForceInline,strictnode-mutation,Interaction,0.029262910371456563,1.0,anova_auto,10
UnreachablePropagation,cleanups,Interaction,0.02898039162542787,1.0,anova_auto,10
ReferencePropagation,partial-inlining,Interaction,-0.028928830742530387,1.0,anova_auto,10
DeadStoreElimination-initial,memop-opt,Interaction,-0.028831828075383203,1.0,anova_auto,10
DeadStoreElimination-initial,adv-copy-opt,Interaction,-0.02873752297571741,1.0,anova_auto,10
DeadStoreElimination-initial,cgp-store-extract,Interaction,-0.028699320589427924,1.0,anova_auto,10
DataflowConstProp,strictnode-mutation,Interaction,-0.028166358011872727,1.0,anova_auto,10
ForceInline,spill-fusing,Interaction,0.02788837357953655,1.0,anova_auto,10
UnreachableEnumBranching,cgp-store-extract,Interaction,0.02766796576797459,1.0,anova_auto,10
DeadStoreElimination-final,block-placement,Interaction,-0.027097240615745477,1.0,anova_auto,10
DeadStoreElimination-initial,ifcvt-simple-false,Interaction,-0.027017246130367933,1.0,anova_auto,10
DeadStoreElimination-initial,ifcvt-triangle-rev,Interaction,-0.02677353890944456,1.0,anova_auto,10
SingleUseConsts,lftr,Interaction,-0.026413498356064213,1.0,anova_auto,10
DataflowConstProp,spill-fusing,Interaction,0.026272390168240456,1.0,anova_auto,10
ReferencePropagation,sample-loader-inlining,Interaction,-0.026186968381819664,1.0,anova_auto,10
DeadStoreElimination-initial,ifcvt-forked-diamond,Interaction,-0.02577039957595062,1.0,anova_auto,10
ForceInline,peephole,Interaction,0.0255609705155746,1.0,anova_auto,10
ReferencePropagation,ifcvt-triangle-false,Interaction,0.02552981556056544,1.0,anova_auto,10
DeadStoreElimination-initial,cgp-delete-phis,Interaction,-0.025216435390255754,1.0,anova_auto,10
ReferencePropagation,branch-fold,Interaction,0.024964224131399426,1.0,anova_auto,10
Inline,nofree-inference,Interaction,-0.024944690827087168,1.0,anova_auto,10
ReferencePropagation,ondemand-mds-loading,Interaction,-0.024503401481245746,1.0,anova_auto,10
UnreachablePropagation,icp,Interaction,-0.024448586614666645,1.0,anova_auto,10
InstSimplify-before-inline,global-outlining,Interaction,0.02404238556741589,1.0,anova_auto,10
ReferencePropagation,ifcvt-diamond,Interaction,0.02402506466215648,1.0,anova_auto,10
UnreachableEnumBranching,peephole,Interaction,0.023587372022572328,1.0,anova_auto,10
DeadStoreElimination-initial,tail-calls,Interaction,-0.023467275287989864,1.0,anova_auto,10
JumpThreading,partial-inlining,Interaction,0.023433886564022455,1.0,anova_auto,10
DeadStoreElimination-initial,mergeicmps,Interaction,-0.023292915966982797,1.0,anova_auto,10
ReferencePropagation,ifcvt-forked-diamond,Interaction,0.023040676185730913,1.0,anova_auto,10
ReferencePropagation,cgp-gc-opts,Interaction,-0.022999468703654102,1.0,anova_auto,10
GVN,cgp,Interaction,-0.022943405643106818,1.0,anova_auto,10
DeadStoreElimination-initial,cgp-select2branch,Interaction,-0.02289017048514097,1.0,anova_auto,10
GVN,ifcvt-forked-diamond,Interaction,-0.0227608856989292,1.0,anova_auto,10
UnreachableEnumBranching,interleaved-load-combine,Interaction,-0.022545880006501928,1.0,anova_auto,10
DeadStoreElimination-final,promote-alloca-to-vector,Interaction,-0.022499908968758753,1.0,anova_auto,10
DestinationPropagation,vp,Interaction,-0.022482179280189918,1.0,anova_auto,10
ReferencePropagation,2addr-hack,Interaction,-0.0224580530030134,1.0,anova_auto,10
DeadStoreElimination-initial,cleanups,Interaction,-0.022114546145681313,1.0,anova_auto,10
UnreachablePropagation,lsr,Interaction,0.02179656462469648,1.0,anova_auto,10
ReferencePropagation,ifcvt-simple,Interaction,0.021760602372395077,1.0,anova_auto,10
MatchBranchSimplification,cfi-fixup,Interaction,-0.02169716483283013,1.0,anova_auto,10
EarlyOtherwiseBranch,post-ra,Interaction,-0.02168889571984245,1.0,anova_auto,10
