Source,Target,Type,Weight,Stability,SelectedBy
CopyProp,adv-copy-opt,Interaction,-0.0017617635720888094,0.56,threshold
CopyProp,advanced-peeling,Interaction,0.00726041080928243,0.82,threshold
CopyProp,binop-extract-shuffle,Interaction,-3.083060787510216e-05,0.4,threshold
CopyProp,bitcode-version-upgrade,Interaction,0.0001163903213929043,0.4,threshold
CopyProp,block-placement,Interaction,0.015216755808501663,1.0,threshold
CopyProp,branch-fold,Interaction,0.00334718946425559,0.66,threshold
CopyProp,cfi-fixup,Interaction,-7.822750328460783e-05,0.52,threshold
CopyProp,cgdata-for-merging,Interaction,0.0001489539684171422,0.4,threshold
CopyProp,cgp-branch-opts,Interaction,0.0019689144776736563,0.48,threshold
CopyProp,cgp-ext-ld-promotion,Interaction,-0.003598161098995808,0.9,threshold
CopyProp,cgp-gc-opts,Interaction,0.0098982409424512,1.0,threshold
CopyProp,cgp-select2branch,Interaction,-0.0011716281488462486,0.4,threshold
CopyProp,complex-addr-modes,Interaction,0.005480563081866579,0.86,threshold
CopyProp,constant-hoisting,Interaction,-0.005972155973089128,0.84,threshold
CopyProp,copyprop,Interaction,-0.002242384584932015,0.62,threshold
CopyProp,dfa-sched,Interaction,-0.00059831226908782,0.42,threshold
CopyProp,early-ifcvt,Interaction,-0.0007046438592036786,0.42,threshold
CopyProp,early-taildup,Interaction,0.0012420676063143996,0.5,threshold
CopyProp,expand-reductions,Interaction,-0.007590069151156779,0.92,threshold
CopyProp,gep-const-evaluation,Interaction,4.30972889194531e-05,0.46,threshold
CopyProp,global-outlining,Interaction,0.0006260249793360907,0.46,threshold
CopyProp,i2p-p2i-opt,Interaction,0.0006326156517377359,0.56,threshold
CopyProp,icp,Interaction,-0.0007461143412736916,0.4,threshold
CopyProp,ifcvt-diamond,Interaction,0.0040999434303898175,0.76,threshold
CopyProp,ifcvt-forked-diamond,Interaction,0.0007340855374993332,0.42,threshold
CopyProp,ifcvt-simple,Interaction,0.007644855297403456,0.92,threshold
CopyProp,ifcvt-simple-false,Interaction,0.0030829459988513876,0.6,threshold
