Source,Target,Type,Weight,Stability,SelectedBy
EarlyOtherwiseBranch,cgp-gc-opts,Interaction,0.0320096252061434,0.46,threshold
EarlyOtherwiseBranch,complex-addr-modes,Interaction,0.021813083816619547,0.46,threshold
EarlyOtherwiseBranch,dfa-sched,Interaction,0.027275786243886286,0.5,threshold
EarlyOtherwiseBranch,i2p-p2i-opt,Interaction,0.019954552427694817,0.42,threshold
EarlyOtherwiseBranch,mr-partial-inlining,Interaction,0.03088185198435207,0.46,threshold
EarlyOtherwiseBranch,partial-inlining,Interaction,0.015997123872582644,0.4,threshold
EarlyOtherwiseBranch,peephole,Interaction,0.03699204270983746,0.54,threshold
EnumSizeOpt,cgp-gc-opts,Interaction,-0.01873695338546706,0.42,threshold
EnumSizeOpt,dfa-sched,Interaction,-0.02008902942664848,0.4,threshold
EnumSizeOpt,partial-inlining,Interaction,-0.01856389789339077,0.42,threshold
EnumSizeOpt,partial-libcall-inlining,Interaction,-0.021521883623608157,0.44,threshold
EnumSizeOpt,i2p-p2i-opt,Interaction,-0.021541376601373292,0.38,topk
EarlyOtherwiseBranch,cgp,Interaction,0.01921636460553753,0.38,topk
EnumSizeOpt,complex-addr-modes,Interaction,-0.01913817350487399,0.36,topk
EarlyOtherwiseBranch,strictnode-mutation,Interaction,0.018031789603477275,0.36,topk
EarlyOtherwiseBranch,2addr-hack,Interaction,0.015530051250387367,0.36,topk
EnumSizeOpt,mr-partial-inlining,Interaction,-0.008405882076608268,0.34,topk
EnumSizeOpt,spill-fusing,Interaction,-0.01574712846536061,0.32,topk
EarlyOtherwiseBranch,spill-fusing,Interaction,0.01518723786808584,0.3,topk
EnumSizeOpt,post-ra,Interaction,-0.016391255794630025,0.28,topk
EnumSizeOpt,strictnode-mutation,Interaction,-0.013627580046505678,0.28,topk
DeadStoreElimination-final,whole-program-visibility,Interaction,0.007738564665521919,0.28,topk
EarlyOtherwiseBranch,post-ra,Interaction,0.008061477005243465,0.24,topk
EnumSizeOpt,cgp,Interaction,-0.007531123388634065,0.24,topk
EarlyOtherwiseBranch,partial-libcall-inlining,Interaction,0.005733037039388524,0.18,topk
EnumSizeOpt,peephole,Interaction,-0.004992340545106309,0.18,topk
DeadStoreElimination-final,complex-addr-modes,Interaction,0.0026705824686713967,0.1,topk
DeadStoreElimination-final,peephole,Interaction,0.001836305298047055,0.08,topk
DeadStoreElimination-final,dfa-sched,Interaction,0.0013176597683967253,0.08,topk
DeadStoreElimination-final,spill-fusing,Interaction,0.00091655332218782,0.08,topk
DeadStoreElimination-final,ra-fsprofile-loader,Interaction,0.000914636667083942,0.06,topk
DestinationPropagation,whole-program-visibility,Interaction,-0.0007430235684372198,0.06,topk
DeadStoreElimination-final,nounwind-inference,Interaction,0.0006684815313655879,0.06,topk
DestinationPropagation,nofree-inference,Interaction,-0.0006607355836351214,0.06,topk
DeadStoreElimination-initial,type-promotion,Interaction,-0.0005964256746790464,0.06,topk
DeadStoreElimination-final,2addr-hack,Interaction,0.0006342653464981412,0.04,topk
DeadStoreElimination-initial,cgdata-for-merging,Interaction,-0.00021715406097307102,0.04,topk
DestinationPropagation,dfa-sched,Interaction,-5.638039401308635e-05,0.04,topk
DeadStoreElimination-final,cgdata-for-merging,Interaction,0.0008407835589287882,0.02,topk
DestinationPropagation,complex-addr-modes,Interaction,-0.0007034446687715298,0.02,topk
DestinationPropagation,last-run-tracking,Interaction,-0.0005348114004761283,0.02,topk
DeadStoreElimination-initial,select-optimize,Interaction,-0.0005046367594334386,0.02,topk
DeadStoreElimination-final,strictnode-mutation,Interaction,0.0004847064715361006,0.02,topk
DestinationPropagation,global-outlining,Interaction,-0.000378319318798221,0.02,topk
DeadStoreElimination-final,last-run-tracking,Interaction,0.00034890343149423836,0.02,topk
DestinationPropagation,post-ra,Interaction,-0.0002967866213787987,0.02,topk
DeadStoreElimination-final,i2p-p2i-opt,Interaction,0.00027090190293106503,0.02,topk
DestinationPropagation,layout-fsprofile-loader,Interaction,-0.0001920249000716465,0.02,topk
DeadStoreElimination-final,cgp-gc-opts,Interaction,0.00015440673494522024,0.02,topk
DeadStoreElimination-initial,cfi-fixup,Interaction,-0.00011604837179186093,0.02,topk
