Source,Target,Type,Weight,Stability,SelectedBy,Count
Inline,expand-reductions,Interaction,-0.04575563786164105,1.0,anova_auto,10
Inline,lftr,Interaction,-0.045408578109796593,1.0,anova_auto,10
Inline,early-taildup,Interaction,-0.04247240785353723,1.0,anova_auto,10
Inline,branch-fold,Interaction,-0.04234998225646347,1.0,anova_auto,10
Inline,whole-program-visibility,Interaction,-0.04191094327341238,1.0,anova_auto,10
Inline,machine-sink,Interaction,-0.04069430960619602,1.0,anova_auto,10
Inline,machine-licm,Interaction,0.04025036813984517,1.0,anova_auto,10
Inline,complex-addr-modes,Interaction,-0.04010139325248785,1.0,anova_auto,10
Inline,postra-machine-sink,Interaction,-0.03989964691941772,1.0,anova_auto,10
Inline,spill-fusing,Interaction,-0.03562810150229989,1.0,anova_auto,10
MatchBranchSimplification,early-ifcvt,Interaction,0.0349500854428082,1.0,anova_auto,10
Inline,cgp,Interaction,-0.03387568440242239,1.0,anova_auto,10
Inline,tail-duplicate,Interaction,0.03194485167656014,1.0,anova_auto,10
Inline,partial-libcall-inlining,Interaction,0.030296170392955624,1.0,anova_auto,10
Inline,cgp-branch-opts,Interaction,0.029526632846835543,1.0,anova_auto,10
Inline,preheader-prot,Interaction,0.029308284552997055,1.0,anova_auto,10
Inline,nounwind-inference,Interaction,0.028428227992623345,1.0,anova_auto,10
Inline,copyprop,Interaction,0.026854250665124813,1.0,anova_auto,10
Inline,ifcvt-simple-false,Interaction,0.0268207699401124,1.0,anova_auto,10
Inline,peephole,Interaction,0.026533234827354146,1.0,anova_auto,10
CopyProp,memop-opt,Interaction,0.02556219664482562,1.0,anova_auto,10
Inline,licm-promotion,Interaction,-0.025045703718931556,1.0,anova_auto,10
Inline,gep-const-evaluation,Interaction,0.024423005226781758,1.0,anova_auto,10
MatchBranchSimplification,nounwind-inference,Interaction,0.024285149506877435,1.0,anova_auto,10
Inline,machine-dce,Interaction,0.023550495432221652,1.0,anova_auto,10
ImpossiblePredicates,layout-fsprofile-loader,Interaction,0.023500808636526038,1.0,anova_auto,10
Inline,phi-elim-edge-splitting,Interaction,0.023147988499424788,1.0,anova_auto,10
EarlyOtherwiseBranch,sample-loader-inlining,Interaction,0.023131499275625078,1.0,anova_auto,10
Inline,i2p-p2i-opt,Interaction,0.022858084667140677,1.0,anova_auto,10
ForceInline,separate-const-offset-from-gep,Interaction,0.0222581197098064,1.0,anova_auto,10
ForceInline,cleanups,Interaction,0.02161762735309969,1.0,anova_auto,10
UnreachableEnumBranching,i2p-p2i-opt,Interaction,-0.021611310656136418,1.0,anova_auto,10
Inline,ssc,Interaction,0.02157262511988023,1.0,anova_auto,10
MatchBranchSimplification,loop-idiom-vectorize-all,Interaction,0.021270865831764407,1.0,anova_auto,10
Inline,cgp-gc-opts,Interaction,-0.021258231286803486,1.0,anova_auto,10
InstSimplify-after-simplifycfg,spill-fusing,Interaction,-0.021169593754960303,1.0,anova_auto,10
DataflowConstProp,cfi-fixup,Interaction,-0.0208197776692165,1.0,anova_auto,10
InstSimplify-before-inline,machine-cse,Interaction,0.020455189443574273,1.0,anova_auto,10
UnreachablePropagation,loop-idiom-vectorize-bytecmp,Interaction,-0.020276661848609212,1.0,anova_auto,10
Inline,last-run-tracking,Interaction,0.02001300586528343,1.0,anova_auto,10
DestinationPropagation,2addr-hack,Interaction,-0.019822261277360198,1.0,anova_auto,10
ReferencePropagation,layout-fsprofile-loader,Interaction,-0.019671583182589547,1.0,anova_auto,10
InstSimplify-before-inline,type-promotion,Interaction,0.01935846926021334,1.0,anova_auto,10
EnumSizeOpt,adv-copy-opt,Interaction,0.019067107271908856,1.0,anova_auto,10
UnreachablePropagation,machine-cse,Interaction,-0.01876249042420941,1.0,anova_auto,10
Inline,loop-idiom-vectorize-bytecmp,Interaction,0.018670318558151155,1.0,anova_auto,10
Inline,cfi-fixup,Interaction,-0.018557729324336858,1.0,anova_auto,10
ReferencePropagation,type-promotion,Interaction,-0.01845945085235501,1.0,anova_auto,10
ImpossiblePredicates,loop-idiom-vectorize-bytecmp,Interaction,0.018338647407441844,1.0,anova_auto,10
JumpThreading,peephole,Interaction,-0.018329587099337186,1.0,anova_auto,10
UnreachableEnumBranching,ssc,Interaction,-0.018190431336195356,1.0,anova_auto,10
Inline,bitcode-version-upgrade,Interaction,0.018094546126115496,1.0,anova_auto,10
CopyProp,cgp-ext-ld-promotion,Interaction,0.018003155580171626,1.0,anova_auto,10
SingleUseConsts,promote-alloca-to-vector,Interaction,-0.017892332415438972,1.0,anova_auto,10
MatchBranchSimplification,lsr,Interaction,-0.017872121345388514,1.0,anova_auto,10
DestinationPropagation,machine-dce,Interaction,-0.01782129356714801,1.0,anova_auto,10
Inline,memop-opt,Interaction,-0.017771497293517236,1.0,anova_auto,10
MatchBranchSimplification,ifcvt-triangle,Interaction,0.017752977247546653,1.0,anova_auto,10
MatchBranchSimplification,tail-duplicate,Interaction,-0.01770328376248065,1.0,anova_auto,10
SingleUseConsts,ssc,Interaction,-0.017652538676396823,1.0,anova_auto,10
UnreachableEnumBranching,type-promotion,Interaction,-0.017538024587198553,1.0,anova_auto,10
JumpThreading,nofree-inference,Interaction,0.017504253227391242,1.0,anova_auto,10
SingleUseConsts,machine-licm,Interaction,-0.017435277105796843,1.0,anova_auto,10
Inline,cgp-delete-phis,Interaction,0.01742467276618953,1.0,anova_auto,10
UnreachableEnumBranching,dfa-sched,Interaction,-0.01730187462818389,1.0,anova_auto,10
InstSimplify-after-simplifycfg,cgp-ext-ld-promotion,Interaction,-0.017225630986374085,1.0,anova_auto,10
JumpThreading,cgp-delete-phis,Interaction,0.01717133689799555,1.0,anova_auto,10
ScalarReplacementOfAggregates,i2p-p2i-opt,Interaction,-0.017012285750837908,1.0,anova_auto,10
MatchBranchSimplification,partial-inlining,Interaction,-0.017012054870707782,1.0,anova_auto,10
ForceInline,mergeicmps,Interaction,-0.016657179119994314,1.0,anova_auto,10
ForceInline,vp,Interaction,0.016655644764413946,1.0,anova_auto,10
UnreachableEnumBranching,mr-partial-inlining,Interaction,-0.016516689261625306,1.0,anova_auto,10
Inline,advanced-peeling,Interaction,-0.016490193707929812,1.0,anova_auto,10
DataflowConstProp,cgp-store-extract,Interaction,-0.016342161312610237,1.0,anova_auto,10
EnumSizeOpt,ifcvt-triangle-false,Interaction,0.01633781557738123,1.0,anova_auto,10
GVN,binop-extract-shuffle,Interaction,-0.016217787448816523,1.0,anova_auto,10
DeadStoreElimination-final,loop-idiom-vectorize-bytecmp,Interaction,-0.01604319546619548,1.0,anova_auto,10
JumpThreading,cgp-branch-opts,Interaction,-0.015955839871332422,1.0,anova_auto,10
EarlyOtherwiseBranch,layout-fsprofile-loader,Interaction,-0.015923349132938025,1.0,anova_auto,10
DeadStoreElimination-initial,lsr,Interaction,-0.01590314561278605,1.0,anova_auto,10
DeadStoreElimination-final,ifcvt-simple,Interaction,0.015832197995445885,1.0,anova_auto,10
EnumSizeOpt,phi-elim-edge-splitting,Interaction,-0.015810854675697872,1.0,anova_auto,10
ScalarReplacementOfAggregates,demotion,Interaction,-0.015799820001767717,1.0,anova_auto,10
GVN,cgp-gc-opts,Interaction,0.01573354361419499,1.0,anova_auto,10
ScalarReplacementOfAggregates,mergeicmps,Interaction,-0.01571365947680814,1.0,anova_auto,10
Inline,constant-hoisting,Interaction,0.015551352457669143,1.0,anova_auto,10
UnreachablePropagation,nounwind-inference,Interaction,-0.015497855628637591,1.0,anova_auto,10
ForceInline,ifcvt-simple,Interaction,-0.015496339418781702,1.0,anova_auto,10
ImpossiblePredicates,type-promotion,Interaction,0.015479347814919553,1.0,anova_auto,10
ReferencePropagation,demotion,Interaction,-0.015386224388312275,1.0,anova_auto,10
InstSimplify-after-simplifycfg,ifcvt-triangle-rev,Interaction,-0.015268762828108517,1.0,anova_auto,10
MatchBranchSimplification,cgp-branch-opts,Interaction,-0.015198281492783572,1.0,anova_auto,10
Inline,type-promotion,Interaction,0.01513535636666452,1.0,anova_auto,10
GVN,ra-fsprofile-loader,Interaction,-0.015039698107524924,1.0,anova_auto,10
Inline,post-ra,Interaction,0.015019343010270969,1.0,anova_auto,10
EnumSizeOpt,separate-const-offset-from-gep,Interaction,-0.01499643085859148,1.0,anova_auto,10
Inline,postra-machine-licm,Interaction,-0.014948389623006708,1.0,anova_auto,10
DataflowConstProp,ifcvt-simple-false,Interaction,-0.014908399458231969,1.0,anova_auto,10
InstSimplify-before-inline,expand-reductions,Interaction,0.014883174668316457,1.0,anova_auto,10
InstSimplify-before-inline,preheader-prot,Interaction,-0.014871156462192836,1.0,anova_auto,10
DestinationPropagation,early-ifcvt,Interaction,-0.014857266635392552,1.0,anova_auto,10
DeadStoreElimination-final,ifcvt-triangle-rev,Interaction,0.014756029250905911,1.0,anova_auto,10
EnumSizeOpt,i2p-p2i-opt,Interaction,0.014736324299558401,1.0,anova_auto,10
Inline,cgp-ext-ld-promotion,Interaction,-0.014729421116213448,1.0,anova_auto,10
DataflowConstProp,ra-fsprofile-loader,Interaction,0.014724918808696419,1.0,anova_auto,10
