ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),RunRepeats,Warmup,ListPath,Status
EXP_000_ALL_OFF,eza,1,None,All,2488000,7.859163,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,2,None,All,2488000,7.982607,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,3,None,All,2488000,8.108137,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,4,None,All,2488000,8.140476,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,5,None,All,2488000,8.185436,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,6,None,All,2488000,8.238261,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,7,None,All,2488000,8.123906,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,8,None,All,2488000,7.955272,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,9,None,All,2488000,8.064511,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_000_ALL_OFF,eza,10,None,All,2488000,7.151086,149.462353,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,1,None,CopyProp,2475680,8.223083,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,2,None,CopyProp,2475680,8.158835,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,3,None,CopyProp,2475680,8.240952,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,4,None,CopyProp,2475680,8.611966,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,5,None,CopyProp,2475680,8.206825,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,6,None,CopyProp,2475680,8.410167,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,7,None,CopyProp,2475680,8.166440,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,8,None,CopyProp,2475680,8.263957,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,9,None,CopyProp,2475680,8.505044,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_001_CopyProp,eza,10,None,CopyProp,2475680,8.384221,136.022749,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,1,None,DataflowConstProp,2475680,8.435106,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,2,None,DataflowConstProp,2475680,8.633147,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,3,None,DataflowConstProp,2475680,8.588920,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,4,None,DataflowConstProp,2475680,8.378046,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,5,None,DataflowConstProp,2475680,8.170141,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,6,None,DataflowConstProp,2475680,8.498708,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,7,None,DataflowConstProp,2475680,8.687466,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,8,None,DataflowConstProp,2475680,8.491680,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,9,None,DataflowConstProp,2475680,8.298954,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_002_DataflowConstProp,eza,10,None,DataflowConstProp,2475680,8.390048,133.317981,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,1,None,DeadStoreElimination-final,2475136,8.651772,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,2,None,DeadStoreElimination-final,2475136,8.130172,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,3,None,DeadStoreElimination-final,2475136,8.455013,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,4,None,DeadStoreElimination-final,2475136,8.443221,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,5,None,DeadStoreElimination-final,2475136,8.398873,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,6,None,DeadStoreElimination-final,2475136,8.318283,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,7,None,DeadStoreElimination-final,2475136,8.489680,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,8,None,DeadStoreElimination-final,2475136,8.228177,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,9,None,DeadStoreElimination-final,2475136,8.415435,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_003_DeadStoreElimination-final,eza,10,None,DeadStoreElimination-final,2475136,8.374812,134.369856,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,1,None,DeadStoreElimination-initial,2476288,8.071999,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,2,None,DeadStoreElimination-initial,2476288,8.428909,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,3,None,DeadStoreElimination-initial,2476288,8.551534,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,4,None,DeadStoreElimination-initial,2476288,8.514192,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,5,None,DeadStoreElimination-initial,2476288,8.374819,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,6,None,DeadStoreElimination-initial,2476288,8.419019,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,7,None,DeadStoreElimination-initial,2476288,8.458566,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,8,None,DeadStoreElimination-initial,2476288,8.383854,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,9,None,DeadStoreElimination-initial,2476288,8.364739,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_004_DeadStoreElimination-initial,eza,10,None,DeadStoreElimination-initial,2476288,8.212740,133.160393,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,1,None,DestinationPropagation,2474688,8.549841,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,2,None,DestinationPropagation,2474688,8.347853,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,3,None,DestinationPropagation,2474688,8.117003,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,4,None,DestinationPropagation,2474688,8.532301,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,5,None,DestinationPropagation,2474688,8.519311,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,6,None,DestinationPropagation,2474688,8.519107,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,7,None,DestinationPropagation,2474688,8.370790,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,8,None,DestinationPropagation,2474688,8.294163,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,9,None,DestinationPropagation,2474688,8.322585,138.111481,500,1,/root/MIR_LLVM/bat,Success
EXP_ABL_005_DestinationPropagation,eza,10,None,DestinationPropagation,2474688,8.557877,138.111481,500,1,/root/MIR_LLVM/bat,Success
