ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),RunRepeats,Warmup,BenchArgs,Status
EXP_000_ALL_OFF,quinn,1,None,All,89716248,6.070547,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,2,None,All,89716248,6.045009,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,3,None,All,89716248,6.201675,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,4,None,All,89716248,6.193538,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,5,None,All,89716248,6.074986,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,6,None,All,89716248,6.271460,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,7,None,All,89716248,6.049596,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,8,None,All,89716248,6.090893,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,9,None,All,89716248,6.005178,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_000_ALL_OFF,quinn,10,None,All,89716248,6.149759,58.297282,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,1,None,CopyProp,90062224,6.087630,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,2,None,CopyProp,90062224,6.004166,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,3,None,CopyProp,90062224,6.134580,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,4,None,CopyProp,90062224,6.128081,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,5,None,CopyProp,90062224,6.108889,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,6,None,CopyProp,90062224,6.001073,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,7,None,CopyProp,90062224,6.102072,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,8,None,CopyProp,90062224,5.924340,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,9,None,CopyProp,90062224,6.132960,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
EXP_ABL_001_CopyProp,quinn,10,None,CopyProp,90062224,6.236645,54.188206,20,1,--clients 1 --streams 1 --max_streams 1 --download-size 64M --upload-size 0,Success
