mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,partial-inlining,8.985469926167264,8.358771805789166,8.910888076811306,8.772032520056015,-0.0565919463036306,0.9449795931199438,-5.502040688005616,-6.974572565793624,-0.8300272547656307,-2.3753616434648683,-0.102229447649071,-0.0017371169483274,0.0469765117441279,10,10,10,10,0.0565919463036306,1059,weak,0.0550713343893025,False,True,independent
CopyProp,ifcvt-diamond,8.985469926167264,8.315880529819635,9.010958319132207,8.808997190020637,-0.0547739959159638,0.9466990816364332,-5.330091836356665,-7.45191294222316,0.2836623256699866,-1.9639789303918964,-0.1044857189911969,0.0019570535707554,0.063968015992004,10,10,10,10,0.0547739959159638,1095,weak,0.0735366388827746,False,True,independent
UnreachableEnumBranching,promote-alloca-to-vector,8.985469926167264,8.868202112632103,8.828633162419292,8.283837821831362,0.0505571044967032,1.0518569274004663,5.185692740046655,-1.3050827001674925,-1.7454486525099178,-7.808518754179195,0.0015665163401049,0.1011493401160829,0.0439780109945027,10,10,10,10,0.0505571044967032,1174,weak,0.0517755306743791,False,True,independent
ReferencePropagation,ifcvt-simple-false,8.985469926167264,8.74062893251167,8.858806678507321,9.014598416558885,-0.0450599131121034,0.9559402067645812,-4.405979323541887,-2.7248546338413893,-1.4096452239083956,0.3241732556111598,-0.090902838793207,-9.759985489009736e-05,0.0499750124937531,10,10,10,10,0.0450599131121034,1262,weak,0.0583393254146485,False,True,independent
MatchBranchSimplification,partial-inlining,8.985469926167264,8.48981080485079,8.910888076811306,8.79471636880469,-0.0436193245422305,0.9573183157055905,-4.268168429440955,-5.516229261121064,-0.8300272547656307,-2.122911310482123,-0.08325074563062,-0.0024005185538333,0.0449775112443778,10,10,10,10,0.0436193245422305,1285,weak,0.0529147191110327,False,True,independent
ReferencePropagation,cgp,8.985469926167264,8.74062893251167,8.952575056613854,9.076263246664316,-0.0413480372055232,0.95949513182489,-4.05048681751099,-2.7248546338413893,-0.3660895848932033,1.0104459893927942,-0.0814742880914623,-7.05339002909658e-05,0.0509745127436281,10,10,10,10,0.0413480372055232,1308,weak,0.0594225359230497,False,True,independent
InstSimplify-after-simplifycfg,cleanups,8.985469926167264,8.459436873030514,9.201501353898635,9.022965476004096,-0.0407325975255914,0.9600858249510664,-3.9914175048933687,-5.854263132135673,2.404230713657518,0.4172909168349559,-0.081954046722774,0.0125433043385925,0.1239380309845077,10,10,10,10,0.0407325975255914,1316,weak,0.1372495873477537,False,True,independent
UnreachablePropagation,ifcvt-diamond,8.985469926167264,8.893224839289608,9.010958319132207,8.56252203938491,0.0407275629299572,1.0415683050710671,4.156830507106712,-1.0266028113790848,0.2836623256699866,-4.707020225516024,0.0010686467365456,0.0773338385713011,0.0469765117441279,10,10,10,10,0.0407275629299572,1317,weak,0.0550713343893025,False,True,independent
UnreachablePropagation,partial-libcall-inlining,8.985469926167264,8.893224839289608,9.060356728085624,8.61194379012534,0.040439353454051,1.041268158470367,4.126815847036691,-1.0266028113790848,0.8334210957656962,-4.157001682840766,-0.0004420298421197,0.0795400869070144,0.0549725137431284,10,10,10,10,0.040439353454051,1326,weak,0.0639036224184826,False,True,independent
ReferencePropagation,ifcvt-simple,8.985469926167264,8.74062893251167,9.15399484660952,9.264787738404202,-0.0396572428964976,0.9611188130019516,-3.8881186998048554,-2.7248546338413893,1.8755270656627852,3.1085498536199685,-0.0805774266152519,-0.0004167950365333,0.0469765117441279,10,10,10,10,0.0396572428964976,1338,weak,0.0550713343893025,False,True,independent
UnreachablePropagation,early-taildup,8.985469926167264,8.893224839289608,8.921224772166356,8.487423023578799,0.039528732775774,1.040320389748024,4.032038974802399,-1.0266028113790848,-0.7149893609216251,-5.542803066293334,-0.0028854372622971,0.0853944827180772,0.0709645177411294,10,10,10,10,0.039528732775774,1339,weak,0.0813543504490848,False,True,independent
DataflowConstProp,machine-cse,8.985469926167264,8.455899212160896,9.167836210815794,8.974616252978894,-0.039443372281434,0.9613243900562992,-3.8675609943700673,-5.89363403759402,2.029568694203165,-0.12079138072415,-0.0778341123260334,-0.0015731159271583,0.0439780109945027,10,10,10,10,0.039443372281434,1344,weak,0.0517755306743791,False,True,independent
UnreachablePropagation,loop-idiom-vectorize-all,8.985469926167264,8.893224839289608,8.847294109260137,8.422466727811818,0.0388898287748107,1.0396559371720373,3.9655937172037294,-1.0266028113790848,-1.537769510582121,-6.265706779740943,-0.0103675223467594,0.0950412583907149,0.1149425287356321,10,10,10,10,0.0388898287748107,1355,weak,0.1281427788456342,False,True,independent
JumpThreading,icp,8.985469926167264,8.358771805789166,9.215247069477217,8.911754040867931,-0.0388089986669459,0.9619344223580548,-3.806557764194507,-6.974572565793624,2.5572078611136417,-0.8203898728174286,-0.0770697525311342,0.0040754167064803,0.0679660169915042,10,10,10,10,0.0388089986669459,1356,weak,0.0779706898451258,False,True,independent
JumpThreading,tail-calls,8.985469926167264,8.358771805789166,9.34877357992452,9.033110172475768,-0.0379488849179945,0.9627621512998072,-3.723784870019276,-6.974572565793624,4.043234875220625,0.5301920400375026,-0.0714727395788304,-0.0005935421921298,0.0499750124937531,10,10,10,10,0.0379488849179945,1368,weak,0.0583393254146485,False,True,independent
ReferencePropagation,nounwind-inference,8.985469926167264,8.74062893251167,9.147752049392322,9.2412650581979,-0.0377972886358728,0.9629081135258976,-3.709188647410233,-2.7248546338413893,1.8060504854895187,2.8467640995126557,-0.0742526322625066,-0.0017690721974728,0.0459770114942528,10,10,10,10,0.0377972886358728,1370,weak,0.0540522939663312,False,True,independent
MatchBranchSimplification,ifcvt-simple,8.985469926167264,8.48981080485079,9.15399484660952,8.981704159123433,-0.0377413622251241,0.9629619670264704,-3.703803297352959,-5.516229261121064,1.8755270656627852,-0.0419095169732042,-0.0769415386175078,0.007337164154753,0.1149425287356321,10,10,10,10,0.0377413622251241,1372,weak,0.1281427788456342,False,True,independent
SingleUseConsts,ifcvt-diamond,8.985469926167264,8.985757346999302,9.010958319132207,8.680540796730783,0.0373895839642246,1.038097368157365,3.809736815736509,0.0031987289969448,0.2836623256699866,-3.393580212744063,-0.0015078110854408,0.0737814157707864,0.0569715142428785,10,10,10,10,0.0373895839642246,1377,weak,0.0660885490168961,False,True,independent
EnumSizeOpt,adv-copy-opt,8.985469926167264,8.440922193040375,9.318508075275796,9.086996897657729,-0.0373591940230411,0.9633300508005604,-3.666994919943967,-6.060314458802763,3.706407698707737,1.129901633689756,-0.0723881389636371,0.0068351945018461,0.0909545227386306,10,10,10,10,0.0373591940230411,1378,weak,0.1029907965526104,False,True,independent
EnumSizeOpt,expand-reductions,8.985469926167264,8.440922193040375,9.1862141813467,8.95632481391189,-0.0371733169664825,0.9635091283975904,-3.6490871602409714,-6.060314458802763,2.234098570569265,-0.3243582416374124,-0.0719794212522272,-3.610964381042684e-05,0.0509745127436281,10,10,10,10,0.0371733169664825,1381,weak,0.0594225359230497,False,True,independent
ReferencePropagation,mr-partial-inlining,8.985469926167264,8.74062893251167,8.960903513426851,9.046333842519608,-0.0371151876424509,0.9635651381598114,-3.643486184018863,-2.7248546338413893,-0.2734015353929364,0.6773593017667334,-0.0850462199919969,0.0052271219426348,0.0889555222388805,10,10,10,10,0.0371151876424509,1383,weak,0.100796018373066,False,True,independent
EarlyOtherwiseBranch,cgp,8.985469926167264,8.46473942678878,8.952575056613854,8.75213831871981,-0.0370564304355984,0.9636217562192932,-3.6378243780706754,-5.795250595208445,-0.3660895848932033,-2.5967657714589865,-0.0748563935870146,0.0139042419004954,0.1179410294852573,10,10,10,10,0.0370564304355984,1384,weak,0.1311333616513913,False,True,independent
ScalarReplacementOfAggregates,separate-const-offset-from-gep,8.985469926167264,9.1144386247581,9.257300592229043,9.055187694268358,0.0363256721857916,1.0369935114474218,3.69935114474218,1.4353027682532105,3.0252248162354167,0.7758945127406713,-0.0013939758367393,0.0814489286783819,0.0599700149925037,10,10,10,10,0.0363256721857916,1389,weak,0.0692764265049104,False,True,independent
DataflowConstProp,expand-reductions,8.985469926167264,8.455899212160896,9.1862141813467,8.958886722743108,-0.0356865585292962,0.9649426991461744,-3.5057300853825524,-5.89363403759402,2.234098570569265,-0.2958465571927471,-0.0670506461326338,0.0001331303330425,0.0519740129935032,10,10,10,10,0.0356865585292962,1396,weak,0.0605027079728018,False,True,independent
UnreachableEnumBranching,cgp,8.985469926167264,8.868202112632103,8.952575056613854,8.526706078646978,0.0356013397225969,1.0362426553505095,3.6242655350509754,-1.3050827001674925,-0.3660895848932033,-5.105618863452943,0.0011343412630944,0.0698693628754839,0.0429785107446276,10,10,10,10,0.0356013397225969,1397,weak,0.0507788810221223,False,True,independent
ReferencePropagation,2addr-hack,8.985469926167264,8.74062893251167,9.048129958373108,9.11549502127972,-0.0350442858883894,0.9655626545107516,-3.443734548924826,-2.7248546338413893,0.6973484160618604,1.4470594880496843,-0.0804841642461166,0.0086625637898053,0.1139430284857571,10,10,10,10,0.0350442858883894,1399,weak,0.1272849443380597,False,True,independent
