mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DeadStoreElimination-initial,preheader-prot,8.985469926167264,8.376947174800549,8.856471665957297,9.743636634193305,-0.1655912364514127,0.8473925465890251,-15.260745341097492,-6.772297457638688,-1.4356317618325232,8.437696795557969,-0.1967816147475975,-0.1360406144589804,0.000999500249875,10,10,10,10,0.1655912364514127,1,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,early-taildup,8.985469926167264,8.376947174800549,8.921224772166356,9.799561707776874,-0.1640296884011061,0.848716824460663,-15.128317553933702,-6.772297457638688,-0.7149893609216251,9.06009132854402,-0.1907976059655558,-0.1328837328806657,0.000999500249875,10,10,10,10,0.1640296884011061,2,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,block-placement,8.985469926167264,8.376947174800549,8.89192827270281,9.748754644265688,-0.1621208893706192,0.850338401452293,-14.9661598547707,-6.772297457638688,-1.0410324026798423,8.494655531321804,-0.1890372903878483,-0.1343928285728847,0.000999500249875,10,10,10,10,0.1621208893706192,3,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,early-ifcvt,8.985469926167264,8.376947174800549,8.944600476502316,9.7992262815451,-0.1613786510668551,0.8509697894762135,-14.903021052378651,-6.772297457638688,-0.4548393128102179,9.0563583436859,-0.1885914705813638,-0.1329210759693591,0.000999500249875,10,10,10,10,0.1613786510668551,4,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,branch-fold,8.985469926167264,8.376947174800549,9.004640046497348,9.801260412549938,-0.1548962566135396,0.8565040295031667,-14.349597049683329,-6.772297457638688,0.2133457736501753,9.078996347280066,-0.181398097795884,-0.1248161510076435,0.000999500249875,10,10,10,10,0.1548962566135396,5,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,ifcvt-diamond,8.985469926167264,8.376947174800549,9.010958319132207,9.792364986950764,-0.1532868422652415,0.8578836092375499,-14.211639076245008,-6.772297457638688,0.2836623256699866,8.979998457661974,-0.1892618822237667,-0.1198649964956259,0.000999500249875,10,10,10,10,0.1532868422652415,6,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,ra-fsprofile-loader,8.985469926167264,8.376947174800549,8.798755046155849,9.561601243838076,-0.153270238598651,0.8578978533692232,-14.21021466307768,-6.772297457638688,-2.077964553280265,6.411810649914007,-0.1829591276617873,-0.1237933073537561,0.000999500249875,10,10,10,10,0.153270238598651,7,extreme,0.0015520770952222,True,False,negative_interaction
DeadStoreElimination-initial,chr,8.985469926167264,8.376947174800549,9.005834414882765,9.750334763077616,-0.1495542543574739,0.8610917187744229,-13.890828122557709,-6.772297457638688,0.2266379931471052,8.512240797589566,-0.1784803716207471,-0.1232512296343747,0.000999500249875,10,10,10,10,0.1495542543574739,8,extreme,0.0015520770952222,True,False,negative_interaction
JumpThreading,preheader-prot,8.985469926167264,8.358771805789166,8.856471665957297,9.551789780717325,-0.1478774119927401,0.8625368451343194,-13.74631548656806,-6.974572565793624,-1.4356317618325232,6.302618106826441,-0.1792097481817472,-0.1175424294198659,0.000999500249875,10,10,10,10,0.1478774119927401,9,extreme,0.0015520770952222,True,False,negative_interaction
JumpThreading,promote-alloca-to-vector,8.985469926167264,8.358771805789166,8.828633162419292,9.479212816899723,-0.1433983856706948,0.8664088352670559,-13.359116473294408,-6.974572565793624,-1.7454486525099178,5.494903380563287,-0.1852739228569865,-0.1048527619903838,0.000999500249875,10,10,10,10,0.1433983856706948,10,extreme,0.0015520770952222,True,False,negative_interaction
