mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
SingleUseConsts,mergeicmps,8.985469926167264,8.985757346999302,9.28707617359355,8.307478989806519,0.111499569532909,1.1179532627633384,11.79532627633384,0.0031987289969448,3.356599598068377,-7.545414340393208,0.0708316765325764,0.1569877028846772,0.000999500249875,10,10,10,10,0.111499569532909,127,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,cfi-fixup,8.985469926167264,8.893224839289608,9.385161687359602,8.327117848109008,0.1092934112520191,1.1154895995298155,11.548959952981551,-1.0266028113790848,4.44820097865295,-7.3268519450609855,0.0784403093504106,0.1396339683389025,0.000999500249875,10,10,10,10,0.1092934112520191,145,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,machine-sink,8.985469926167264,8.985757346999302,9.33473785586829,8.373992531594377,0.1086439057809944,1.1147653181698645,11.476531816986446,0.0031987289969448,3.8870302006564823,-6.805179913764537,0.0826094043472123,0.1367030508749359,0.000999500249875,10,10,10,10,0.1086439057809944,149,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,memop-opt,8.985469926167264,8.985757346999302,9.310352166418095,8.373907034937226,0.1060383381311265,1.1118645024965168,11.18645024965168,0.0031987289969448,3.615639948943783,-6.806131412771855,0.0665905601208576,0.1543653875896948,0.000999500249875,10,10,10,10,0.1060383381311265,176,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,tail-calls,8.985469926167264,8.893224839289608,9.34877357992452,8.365058775096633,0.1008627188187323,1.106124781223269,10.612478122326907,-1.0266028113790848,4.043234875220625,-6.904604390961067,0.0711603868461259,0.1299153214837007,0.000999500249875,10,10,10,10,0.1008627188187323,227,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,bitcode-version-upgrade,8.985469926167264,8.868202112632103,9.35818626528361,8.377952111374148,0.0975112527947561,1.1024238468428118,10.24238468428118,-1.3050827001674925,4.147989389302076,-6.761113439642353,0.0681659478871567,0.1275608754043813,0.000999500249875,10,10,10,10,0.0975112527947561,274,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,adv-copy-opt,8.985469926167264,8.868202112632103,9.318508075275796,8.353065815056219,0.0962371658388039,1.1010201574007066,10.10201574007066,-1.3050827001674925,3.706407698707737,-7.038074984474352,0.0662903352226998,0.1281316500207785,0.000999500249875,10,10,10,10,0.0962371658388039,292,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,cfi-fixup,8.985469926167264,8.985757346999302,9.385161687359602,8.528482694750378,0.095750417954826,1.1004843685764916,10.048436857649158,0.0031987289969448,4.44820097865295,-5.085846763406988,0.0675013320105657,0.1261746157370808,0.000999500249875,10,10,10,10,0.095750417954826,298,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,tail-calls,8.985469926167264,8.868202112632103,9.34877357992452,8.386253507874011,0.0955145512609578,1.100224831576092,10.022483157609209,-1.3050827001674925,4.043234875220625,-6.668726546490666,0.0640398041401523,0.1275003291647599,0.000999500249875,10,10,10,10,0.0955145512609578,301,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,cgdata-for-merging,8.985469926167264,8.985757346999302,9.31094967434464,8.465605792127992,0.0952115013390546,1.0998914590436184,9.98914590436184,0.0031987289969448,3.622289661551492,-5.785608747354853,0.0699715944007729,0.1225189703355066,0.000999500249875,10,10,10,10,0.0952115013390546,311,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,copyprop,8.985469926167264,8.985757346999302,9.259525537148283,8.419432054168189,0.0951424222545958,1.09981548217286,9.981548217286008,0.0031987289969448,3.049986402858273,-6.299479900886141,0.0703693196305661,0.1209374121018072,0.000999500249875,10,10,10,10,0.0951424222545958,313,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,bitcode-version-upgrade,8.985469926167264,8.893224839289608,9.35818626528361,8.422656425853091,0.0950071409017407,1.099666707709973,9.966670770997313,-1.0266028113790848,4.147989389302076,-6.263595615351846,0.0651803379591466,0.1252514429638978,0.000999500249875,10,10,10,10,0.0950071409017407,317,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,gep-const-evaluation,8.985469926167264,8.868202112632103,9.4393845590596,8.475113341207802,0.0946200189160788,1.099241084939799,9.924108493979933,-1.3050827001674925,5.051651573285643,-5.679798487480481,0.062648217625641,0.1247481192757388,0.000999500249875,10,10,10,10,0.0946200189160788,322,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,cgp-branch-opts,8.985469926167264,8.893224839289608,9.21088103922748,8.298048357744431,0.0940460700832979,1.0986103578220143,9.861035782201434,-1.0266028113790848,2.508617967812432,-7.650368584740807,0.0572439249176406,0.1332258127468633,0.000999500249875,10,10,10,10,0.0940460700832979,332,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,demotion,8.985469926167264,8.985757346999302,9.338106720171442,8.50205778860029,0.0938272848785666,1.098370024421613,9.837002442161303,0.0031987289969448,3.924522555879229,-5.3799316178132495,0.0588249892373086,0.1356458718826372,0.000999500249875,10,10,10,10,0.0938272848785666,335,moderate,0.0015520770952222,True,False,positive_interaction
ScalarReplacementOfAggregates,post-ra,8.985469926167264,9.1144386247581,9.206064780421562,8.513659993553098,0.0924415486166063,1.0968490273435176,9.684902734351764,1.4353027682532105,2.4550174455749696,-5.250809768336895,0.0652184229625601,0.1224408414804574,0.000999500249875,10,10,10,10,0.0924415486166063,357,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,machine-cse,8.985469926167264,8.868202112632103,9.167836210815794,8.2510988387269,0.0922181731199387,1.0966040455097534,9.660404550975343,-1.3050827001674925,2.029568694203165,-8.17287346654788,0.0506548975047928,0.1334222522085802,0.000999500249875,10,10,10,10,0.0922181731199387,361,moderate,0.0015520770952222,True,False,positive_interaction
SingleUseConsts,select-optimize,8.985469926167264,8.985757346999302,9.326771001875068,8.526147442712661,0.0897832425501001,1.0939371389800998,9.39371389800998,0.0031987289969448,3.798366457316571,-5.111835966608435,0.0629938060736598,0.1153453510640648,0.000999500249875,10,10,10,10,0.0897832425501001,395,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,machine-dce,8.985469926167264,8.893224839289608,9.27935465588258,8.398263042296426,0.0894480119694591,1.0935704792590242,9.357047925902418,-1.0266028113790848,3.270666221467988,-6.535071495379308,0.0579675768684152,0.1236343835784235,0.000999500249875,10,10,10,10,0.0894480119694591,401,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,cleanups,8.985469926167264,8.893224839289608,9.201501353898635,8.3317411805878,0.0889751145349739,1.093053454844349,9.305345484434868,-1.0266028113790848,2.404230713657518,-7.275398515059194,0.0556945350336705,0.1226516652016484,0.000999500249875,10,10,10,10,0.0889751145349739,412,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,icp,8.985469926167264,8.868202112632103,9.215247069477217,8.324842746795127,0.0884785186811645,1.092510783785932,9.251078378593204,-1.3050827001674925,2.5572078611136417,-7.352171726136147,0.054434458073315,0.1270649405607463,0.000999500249875,10,10,10,10,0.0884785186811645,423,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,lsr,8.985469926167264,8.893224839289608,9.041496163807937,8.194865615961715,0.08799776456028,1.0919856809573043,9.19856809573043,-1.0266028113790848,0.6235203957170254,-8.798697415960078,0.045095027374366,0.1411971859601151,0.000999500249875,10,10,10,10,0.08799776456028,433,moderate,0.0015520770952222,True,False,positive_interaction
UnreachableEnumBranching,whole-program-visibility,8.985469926167264,8.868202112632103,9.216547568680763,8.335479803047752,0.0873427004639912,1.0912705945833232,9.12705945833232,-1.3050827001674925,2.5716812188148364,-7.233791092290287,0.0574048692041064,0.1167943070694043,0.000999500249875,10,10,10,10,0.0873427004639912,440,moderate,0.0015520770952222,True,False,positive_interaction
UnreachablePropagation,dfa-sched,8.985469926167264,8.893224839289608,9.250177427208603,8.39062892004884,0.0872081670868643,1.09112379214001,9.11237921400101,-1.0266028113790848,2.9459505536874264,-6.620032241008811,0.0567644642121506,0.1205524280629464,0.000999500249875,10,10,10,10,0.0872081670868643,446,moderate,0.0015520770952222,True,False,positive_interaction
