mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DeadStoreElimination-initial,preheader-prot,8.985469926167264,8.376947174800549,8.856471665957297,9.743636634193303,-0.16559123645141272,0.8473925465890251,-15.260745341097493,-6.772297457638688,-1.4356317618325232,8.437696795557969,-0.1961126318811424,-0.1347311421342051,3.999920001599968e-05,10,10,10,10,0.16559123645141272,1,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,early-taildup,8.985469926167264,8.376947174800549,8.921224772166356,9.799561707776874,-0.1640296884011061,0.848716824460663,-15.128317553933702,-6.772297457638688,-0.7149893609216251,9.060091328544019,-0.19288041919615762,-0.13384723166388626,3.999920001599968e-05,10,10,10,10,0.1640296884011061,2,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,block-placement,8.985469926167264,8.376947174800549,8.89192827270281,9.748754644265688,-0.1621208893706192,0.850338401452293,-14.9661598547707,-6.772297457638688,-1.0410324026798423,8.494655531321804,-0.1896849507286919,-0.13326690931485297,3.999920001599968e-05,10,10,10,10,0.1621208893706192,3,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,early-ifcvt,8.985469926167264,8.376947174800549,8.944600476502316,9.7992262815451,-0.16137865106685512,0.8509697894762135,-14.903021052378651,-6.772297457638688,-0.45483931281021794,9.0563583436859,-0.18937078959024567,-0.13275297432573474,3.999920001599968e-05,10,10,10,10,0.16137865106685512,4,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,branch-fold,8.985469926167264,8.376947174800549,9.004640046497348,9.801260412549938,-0.15489625661353967,0.8565040295031667,-14.349597049683327,-6.772297457638688,0.21334577365017537,9.078996347280066,-0.18229920844070552,-0.12696540393537792,3.999920001599968e-05,10,10,10,10,0.15489625661353967,5,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,ifcvt-diamond,8.985469926167264,8.376947174800549,9.010958319132207,9.792364986950764,-0.15328684226524159,0.8578836092375499,-14.211639076245008,-6.772297457638688,0.2836623256699866,8.979998457661974,-0.1897012011655005,-0.1203874373770887,3.999920001599968e-05,10,10,10,10,0.15328684226524159,6,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,ra-fsprofile-loader,8.985469926167264,8.376947174800549,8.798755046155849,9.561601243838076,-0.15327023859865108,0.8578978533692232,-14.21021466307768,-6.772297457638688,-2.077964553280265,6.411810649914007,-0.183197173783089,-0.12294733108989918,3.999920001599968e-05,10,10,10,10,0.15327023859865108,7,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,chr,8.985469926167264,8.376947174800549,9.005834414882765,9.750334763077616,-0.14955425435747394,0.8610917187744229,-13.890828122557707,-6.772297457638688,0.2266379931471052,8.512240797589566,-0.17721789957006664,-0.12061158063870318,3.999920001599968e-05,10,10,10,10,0.14955425435747394,8,extreme,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,preheader-prot,8.985469926167264,8.358771805789166,8.856471665957297,9.551789780717325,-0.14787741199274018,0.8625368451343194,-13.746315486568061,-6.974572565793624,-1.4356317618325232,6.302618106826441,-0.17837124741641258,-0.11724453984553015,3.999920001599968e-05,10,10,10,10,0.14787741199274018,9,extreme,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,promote-alloca-to-vector,8.985469926167264,8.358771805789166,8.828633162419292,9.479212816899725,-0.14339838567069485,0.8664088352670559,-13.359116473294408,-6.974572565793624,-1.7454486525099178,5.494903380563287,-0.18369217486858622,-0.10616623974920744,3.999920001599968e-05,10,10,10,10,0.14339838567069485,10,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,cgp-select2branch,8.985469926167264,8.376947174800549,9.12312896327097,9.80590736674891,-0.14229743415644647,0.8673632346635298,-13.263676533647018,-6.772297457638688,1.53201822759228,9.1307126652596,-0.16456572596023275,-0.11852511965143313,3.999920001599968e-05,10,10,10,10,0.14229743415644647,11,extreme,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,licm-promotion,8.985469926167264,8.358771805789166,8.912584929277259,9.548756771893311,-0.14124396707249742,0.8682774547469085,-13.172254525309146,-6.974572565793624,-0.81114285050079,6.2688635135893955,-0.1683357499352332,-0.11318965663546411,3.999920001599968e-05,10,10,10,10,0.14124396707249742,12,extreme,7.756854208710219e-05,True,False,negative_interaction
InstSimplify-after-simplifycfg,promote-alloca-to-vector,8.985469926167264,8.459436873030514,8.828633162419292,9.520912694223085,-0.13581671968289477,0.8730026220242033,-12.699737797579669,-5.854263132135673,-1.7454486525099178,5.95898458795705,-0.17353027012296407,-0.10207724747145543,3.999920001599968e-05,10,10,10,10,0.13581671968289477,13,extreme,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,loop-idiom-vectorize-all,8.985469926167264,8.376947174800549,8.847294109260137,9.444963171597436,-0.13549521067864,0.873283345353043,-12.671665464695703,-6.772297457638688,-1.537769510582121,5.113736390036183,-0.16647075184727622,-0.10459135945823773,3.999920001599968e-05,10,10,10,10,0.13549521067864,14,extreme,7.756854208710219e-05,True,False,negative_interaction
ForceInline,preheader-prot,8.985469926167264,8.433706456593011,8.856471665957297,9.515226802992743,-0.1351173534622072,0.8736133841169127,-12.63866158830873,-6.1406189560261115,-1.4356317618325232,5.895705858218214,-0.16617337904194088,-0.10411595521491603,3.999920001599968e-05,10,10,10,10,0.1351173534622072,15,extreme,7.756854208710219e-05,True,False,negative_interaction
Inline,ra-fsprofile-loader,8.985469926167264,8.376668387960834,8.798755046155849,9.381699903172075,-0.13430928518223872,0.8743196086819794,-12.568039131802056,-6.775400098257456,-2.077964553280265,4.409674510744521,-0.16625743127075532,-0.10166604809104127,3.999920001599968e-05,10,10,10,10,0.13430928518223872,16,extreme,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,replace-with-vec-lib,8.985469926167264,8.358771805789166,9.068117845913747,9.643134619690946,-0.13377881235815492,0.8747835345130925,-12.521646548690747,-6.974572565793624,0.9197951851777741,7.319201988628854,-0.16561170275469916,-0.10401280008774309,3.999920001599968e-05,10,10,10,10,0.13377881235815492,17,extreme,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,loop-idiom-vectorize-bytecmp,8.985469926167264,8.358771805789166,8.919091006273103,9.4822300750374,-0.13352280924668403,0.8750075104878414,-12.499248951215858,-6.974572565793624,-0.7387362090084393,5.528482683175895,-0.15872964891287322,-0.10750993134824641,3.999920001599968e-05,10,10,10,10,0.13352280924668403,18,strong,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,block-placement,8.985469926167264,8.358771805789166,8.89192827270281,9.448684667469916,-0.13302893055313314,0.8754397647857761,-12.456023521422388,-6.974572565793624,-1.0410324026798423,5.155153209668972,-0.1616879895979288,-0.10376742677102742,3.999920001599968e-05,10,10,10,10,0.13302893055313314,19,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,cgp-branch-opts,8.985469926167264,8.376947174800549,9.210881039227479,9.806251587706603,-0.13275986344482682,0.8756753485242798,-12.432465147572024,-6.772297457638688,2.508617967812432,9.134543527312688,-0.1550596582516043,-0.10880066018973539,3.999920001599968e-05,10,10,10,10,0.13275986344482682,20,strong,7.756854208710219e-05,True,False,negative_interaction
ForceInline,ra-fsprofile-loader,8.985469926167264,8.433706456593011,8.798755046155849,9.428797938559718,-0.13253084712455276,0.8758759154360249,-12.412408456397506,-6.1406189560261115,-2.077964553280265,4.933832242890346,-0.16274717257188723,-0.10204629960917173,3.999920001599968e-05,10,10,10,10,0.13253084712455276,21,strong,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,loop-level-heuristics,8.985469926167264,8.358771805789166,8.877143544553974,9.425764606029306,-0.1322643399404777,0.8761093737676264,-12.389062623237358,-6.974572565793624,-1.2055728025734513,4.900074047099379,-0.17909016139208647,-0.09114392443042799,3.999920001599968e-05,10,10,10,10,0.1322643399404777,22,strong,7.756854208710219e-05,True,False,negative_interaction
InstSimplify-after-simplifycfg,strictnode-mutation,8.985469926167264,8.459436873030514,8.894181530082205,9.557321211898065,-0.13223638968276408,0.8761338615926275,-12.386613840737247,-5.854263132135673,-1.0159557244659,6.364177838551011,-0.16308923194969951,-0.10097021548916234,3.999920001599968e-05,10,10,10,10,0.13223638968276408,23,strong,7.756854208710219e-05,True,False,negative_interaction
InstSimplify-before-inline,loop-idiom-vectorize-all,8.985469926167264,8.588253777100563,8.847294109260137,9.64994327377568,-0.1320537653429641,0.8762938795718215,-12.370612042817852,-4.420649697017365,-1.537769510582121,7.394976034290135,-0.1676218497844882,-0.09626720513796197,3.999920001599968e-05,10,10,10,10,0.1320537653429641,24,strong,7.756854208710219e-05,True,False,negative_interaction
DestinationPropagation,ra-fsprofile-loader,8.985469926167264,8.41193008363583,8.798755046155849,9.399684828604796,-0.13202379414600918,0.8763201435418558,-12.367985645814416,-6.382969919705406,-2.077964553280265,4.609830157366246,-0.16312708420913904,-0.10036634524654714,3.999920001599968e-05,10,10,10,10,0.13202379414600918,25,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,loop-level-heuristics,8.985469926167264,8.376947174800549,8.877143544553974,9.439756202863402,-0.13157559239429073,0.876712999798112,-12.328700020188798,-6.772297457638688,-1.2055728025734513,5.055787626345265,-0.17710607260891906,-0.09053795247202319,3.999920001599968e-05,10,10,10,10,0.13157559239429073,26,strong,7.756854208710219e-05,True,False,negative_interaction
ForceInline,loop-idiom-vectorize-all,8.985469926167264,8.433706456593011,8.847294109260137,9.468978533432992,-0.13128184616355965,0.8769705687653402,-12.302943123465981,-6.1406189560261115,-1.537769510582121,5.381005236661762,-0.16310334906044185,-0.09995805394317317,3.999920001599968e-05,10,10,10,10,0.13128184616355965,27,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,ifcvt-simple-false,8.985469926167264,8.376947174800549,8.858806678507321,9.41716943543522,-0.1312477606093827,0.8770004613026223,-12.299953869737767,-6.772297457638688,-1.4096452239083956,4.804417718997334,-0.1630413432858285,-0.0994016069932935,3.999920001599968e-05,10,10,10,10,0.1312477606093827,28,strong,7.756854208710219e-05,True,False,negative_interaction
InstSimplify-after-simplifycfg,2addr-hack,8.985469926167264,8.459436873030514,9.048129958373107,9.703477648663116,-0.13025245193485002,0.877873782009068,-12.212621799093204,-5.854263132135673,0.6973484160618604,7.990764293861674,-0.1617069054395951,-0.09971239078896704,3.999920001599968e-05,10,10,10,10,0.13025245193485002,29,strong,7.756854208710219e-05,True,False,negative_interaction
EnumSizeOpt,ra-fsprofile-loader,8.985469926167264,8.440922193040375,8.798755046155849,9.413743827229,-0.13007774410422446,0.8780271668314604,-12.197283316853957,-6.060314458802763,-2.077964553280265,4.766293856423998,-0.1611315276679647,-0.09778183537860259,3.999920001599968e-05,10,10,10,10,0.13007774410422446,30,strong,7.756854208710219e-05,True,False,negative_interaction
InstSimplify-after-simplifycfg,spill-fusing,8.985469926167264,8.459436873030514,8.999555485695758,9.6351338538549,-0.12856722071587834,0.8793544495960224,-12.064555040397762,-5.854263132135673,0.1567592974461407,7.230160837728716,-0.15744780574373468,-0.09971441435404882,3.999920001599968e-05,10,10,10,10,0.12856722071587834,31,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,promote-alloca-to-vector,8.985469926167264,8.376947174800549,8.828633162419292,9.350841527942297,-0.12759140523202595,0.8802129560875728,-11.978704391242722,-6.772297457638688,-1.7454486525099178,4.066249231005803,-0.1666076945808515,-0.09211313040625782,3.999920001599968e-05,10,10,10,10,0.12759140523202595,32,strong,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,loop-idiom-vectorize-all,8.985469926167264,8.358771805789166,8.847294109260137,9.3494738915282,-0.12750572846353903,0.8802883731199284,-11.971162688007164,-6.974572565793624,-1.537769510582121,4.051028698019388,-0.16381519198066144,-0.09137594221186862,3.999920001599968e-05,10,10,10,10,0.12750572846353903,33,strong,7.756854208710219e-05,True,False,negative_interaction
CopyProp,ra-fsprofile-loader,8.985469926167264,8.315880529819635,8.798755046155849,9.248639702968344,-0.12730805858929406,0.8804623968109963,-11.953760318900375,-7.45191294222316,-2.077964553280265,2.9288370999349,-0.15693975459357204,-0.09726540303975091,3.999920001599968e-05,10,10,10,10,0.12730805858929406,34,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-final,ra-fsprofile-loader,8.985469926167264,8.389437683795455,8.798755046155849,9.32854653629516,-0.12710430339987733,0.8806418138713906,-11.935818612860938,-6.633289602762549,-2.077964553280265,3.8181265192240854,-0.1571768058767546,-0.09601416970953962,3.999920001599968e-05,10,10,10,10,0.12710430339987733,35,strong,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,vector-combine,8.985469926167264,8.358771805789166,9.132887116605788,9.644174104931942,-0.12676946259065458,0.8809367380625546,-11.906326193744544,-6.974572565793624,1.6406174818884178,7.330770501456096,-0.15218180668290943,-0.10096711416571554,3.999920001599968e-05,10,10,10,10,0.12676946259065458,36,strong,7.756854208710219e-05,True,False,negative_interaction
GVN,ra-fsprofile-loader,8.985469926167264,8.42363126351382,8.798755046155849,9.360423420460215,-0.1264481055656108,0.8812198787641402,-11.878012123585979,-6.2527465705190295,-2.077964553280265,4.172886864837433,-0.15724687567197643,-0.09489299738055107,3.999920001599968e-05,10,10,10,10,0.1264481055656108,37,strong,7.756854208710219e-05,True,False,negative_interaction
ForceInline,block-placement,8.985469926167264,8.433706456593011,8.89192827270281,9.469289094133856,-0.12628237565481992,0.8813659353586738,-11.86340646413262,-6.1406189560261115,-1.0410324026798423,5.384461491074921,-0.15677084734725458,-0.09284937019332969,3.999920001599968e-05,10,10,10,10,0.12628237565481992,38,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-initial,ifcvt-triangle,8.985469926167264,8.376947174800549,8.926745318699286,9.438223410008332,-0.12584117277407314,0.881754882344302,-11.8245117655698,-6.772297457638688,-0.6535507652967731,5.038729054365554,-0.15674660249819877,-0.09412521457372974,3.999920001599968e-05,10,10,10,10,0.12584117277407314,39,strong,7.756854208710219e-05,True,False,negative_interaction
JumpThreading,lftr,8.985469926167264,8.358771805789166,8.906243226892531,9.390944239189018,-0.12529064607368223,0.8822404455957362,-11.775955440426378,-6.974572565793624,-0.8817201540457065,4.512555451784905,-0.15297979751324814,-0.09640414569797368,3.999920001599968e-05,10,10,10,10,0.12529064607368223,40,strong,7.756854208710219e-05,True,False,negative_interaction
DeadStoreElimination-final,strictnode-mutation,8.985469926167264,8.389437683795455,8.894181530082205,9.41204352759061,-0.12522811728251737,0.8822956127490659,-11.770438725093413,-6.633289602762549,-1.0159557244659,4.747371088306562,-0.15498620618680867,-0.09477763584331231,3.999920001599968e-05,10,10,10,10,0.12522811728251737,41,strong,7.756854208710219e-05,True,False,negative_interaction
InstSimplify-before-inline,loop-level-heuristics,8.985469926167264,8.588253777100563,8.877143544553974,9.616298226093823,-0.1251929487723129,0.8823266423169548,-11.767335768304521,-4.420649697017365,-1.2055728025734513,7.020537658130466,-0.17254147526219293,-0.08116866922196286,3.999920001599968e-05,10,10,10,10,0.1251929487723129,42,strong,7.756854208710219e-05,True,False,negative_interaction
