Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
eza,EXP_000_ALL_OFF,10,7.980885,8.086324,0.174228,149.462353,149.462353,0.000000,2488000.000000,2488000
eza,EXP_001_DISABLE_ALL,10,9.034549,9.152878,0.275722,128.765451,128.765451,0.000000,2625504.000000,2625504
eza,EXP_ABL_001_CopyProp,10,8.317149,8.252454,0.192791,136.022749,136.022749,0.000000,2475680.000000,2475680
eza,EXP_ABL_001_disable-binop-extract-shuffle,10,9.008038,9.051748,0.326341,136.179735,136.179735,0.000000,2475680.000000,2475680
eza,EXP_ABL_002_DataflowConstProp,10,8.457222,8.463393,0.185320,133.317981,133.317981,0.000000,2475680.000000,2475680
eza,EXP_ABL_002_disable-expand-reductions,10,9.186690,9.175676,0.136000,136.548039,136.548039,0.000000,2475680.000000,2475680
eza,EXP_ABL_003_DeadStoreElimination-final,10,8.390544,8.407154,0.119650,134.369856,134.369856,0.000000,2475136.000000,2475136
eza,EXP_ABL_003_disable-interleaved-load-combine,10,9.002737,9.084611,0.333185,136.156562,136.156562,0.000000,2475680.000000,2475680
eza,EXP_ABL_004_DeadStoreElimination-initial,10,8.378037,8.401436,0.083893,133.160393,133.160393,0.000000,2476288.000000,2476288
eza,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,8.852242,8.770123,0.346771,136.404025,136.404025,0.000000,2475680.000000,2475680
eza,EXP_ABL_005_DestinationPropagation,10,8.413083,8.444948,0.200152,138.111481,138.111481,0.000000,2474688.000000,2474688
eza,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,8.920469,8.970550,0.173343,136.938880,136.938880,0.000000,2475680.000000,2475680
eza,EXP_ABL_006_EarlyOtherwiseBranch,10,8.464965,8.483348,0.069690,133.029441,133.029441,0.000000,2474688.000000,2474688
eza,EXP_ABL_006_disable-promote-alloca-to-vector,10,8.837379,8.979031,0.256213,136.667495,136.667495,0.000000,2475680.000000,2475680
eza,EXP_ABL_007_EnumSizeOpt,10,8.442247,8.483642,0.203047,133.267249,133.267249,0.000000,2475680.000000,2475680
eza,EXP_ABL_007_disable-replace-with-vec-lib,10,9.072820,9.174034,0.106676,136.267812,136.267812,0.000000,2475680.000000,2475680
eza,EXP_ABL_008_ForceInline,10,8.434682,8.459101,0.122447,133.391538,133.391538,0.000000,2475680.000000,2475680
eza,EXP_ABL_008_disable-vector-combine,10,9.134130,9.144314,0.147720,135.981237,135.981237,0.000000,2475616.000000,2475616
eza,EXP_ABL_009_GVN,10,8.425225,8.394799,0.241471,133.224038,133.224038,0.000000,2466048.000000,2466048
eza,EXP_ABL_009_disable-advanced-peeling,10,9.004450,9.079241,0.202373,135.930952,135.930952,0.000000,2474816.000000,2474816
eza,EXP_ABL_010_ImpossiblePredicates,10,8.752325,8.755565,0.237398,134.099823,134.099823,0.000000,2475680.000000,2475680
eza,EXP_ABL_010_disable-lftr,10,8.907603,8.930550,0.158394,136.518057,136.518057,0.000000,2475616.000000,2475616
eza,EXP_ABL_011_Inline,10,8.377890,8.389725,0.241231,140.181170,140.181170,0.000000,2491392.000000,2491392
eza,EXP_ABL_011_disable-licm-promotion,10,8.914350,8.960515,0.199977,136.843576,136.843576,0.000000,2473824.000000,2473824
eza,EXP_ABL_012_InstSimplify-after-simplifycfg,10,8.460293,8.499379,0.177771,133.337073,133.337073,0.000000,2475744.000000,2475744
