Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
eza,EXP_ABL_016_ReferencePropagation,10,8.750628,8.936966,0.660253,0.073879,137.853932,137.853932,0.000000,0.000000,2476512.000000,2476512
eza,EXP_DBL_0123,10,9.176890,9.353767,0.646461,0.069112,136.178891,136.178891,0.000000,0.000000,2475488.000000,2475488
eza,EXP_DBL_1462,10,8.610498,8.616340,0.577627,0.067039,133.680771,133.680771,0.000000,0.000000,2476256.000000,2476256
eza,EXP_DBL_1099,10,9.259280,9.294496,0.621382,0.066855,138.052918,138.052918,0.000000,0.000000,2477184.000000,2477184
eza,EXP_DBL_0469,10,8.808498,8.744026,0.569662,0.065149,137.393428,137.393428,0.000000,0.000000,2479360.000000,2479360
eza,EXP_DBL_1164,10,8.979427,9.185016,0.590552,0.064295,136.412276,136.412276,0.000000,0.000000,2476352.000000,2476352
eza,EXP_DBL_1364,10,9.068824,9.203736,0.581161,0.063144,137.229076,137.229076,0.000000,0.000000,2475808.000000,2475808
eza,EXP_DBL_1521,10,8.567818,8.510290,0.535996,0.062982,135.201408,135.201408,0.000000,0.000000,2478400.000000,2478400
eza,EXP_DBL_1311,10,9.029540,9.023745,0.558495,0.061892,138.887699,138.887699,0.000000,0.000000,2476512.000000,2476512
eza,EXP_DBL_1496,10,8.733459,8.656545,0.530471,0.061280,134.367563,134.367563,0.000000,0.000000,2478432.000000,2478432
eza,EXP_DBL_1335,10,9.098279,9.213406,0.557773,0.060539,137.236839,137.236839,0.000000,0.000000,2475808.000000,2475808
eza,EXP_DBL_1224,10,8.931387,8.984610,0.541804,0.060304,136.530892,136.530892,0.000000,0.000000,2476352.000000,2476352
eza,EXP_DBL_0024,10,8.826990,8.946232,0.535951,0.059908,136.175412,136.175412,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1450,10,8.599182,8.538397,0.510927,0.059839,134.254713,134.254713,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0007,10,8.942470,9.048281,0.536034,0.059242,136.052740,136.052740,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0608,10,9.164706,9.374752,0.552758,0.058962,138.249432,138.249432,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1339,10,8.993173,9.037360,0.531998,0.058867,136.718739,136.718739,0.000000,0.000000,2474368.000000,2474368
eza,EXP_DBL_0198,10,9.145756,9.163856,0.538975,0.058815,136.906069,136.906069,0.000000,0.000000,2473248.000000,2473248
eza,EXP_DBL_0479,10,8.953656,8.925910,0.524268,0.058736,135.919435,135.919435,0.000000,0.000000,2474848.000000,2474848
eza,EXP_DBL_0075,10,9.019069,9.241743,0.539769,0.058406,136.857835,136.857835,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0496,10,8.805665,8.799412,0.511965,0.058182,136.441306,136.441306,0.000000,0.000000,2474688.000000,2474688
eza,EXP_DBL_1083,10,9.354185,9.398957,0.545751,0.058065,138.617359,138.617359,0.000000,0.000000,2477344.000000,2477344
eza,EXP_DBL_0528,10,9.057059,9.111303,0.521676,0.057256,136.649412,136.649412,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1260,10,9.065847,9.037167,0.515999,0.057097,138.270817,138.270817,0.000000,0.000000,2476544.000000,2476544
eza,EXP_DBL_0498,10,8.865114,8.972091,0.511039,0.056959,136.079934,136.079934,0.000000,0.000000,2474688.000000,2474688
eza,EXP_DBL_1638,10,8.581072,8.828108,0.496901,0.056286,134.226261,134.226261,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1523,10,8.669516,8.920747,0.499576,0.056002,134.345559,134.345559,0.000000,0.000000,2478400.000000,2478400
eza,EXP_DBL_0087,10,8.864596,9.096463,0.504399,0.055450,136.851912,136.851912,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1191,10,8.901917,8.913146,0.494125,0.055438,136.617727,136.617727,0.000000,0.000000,2476352.000000,2476352
eza,EXP_DBL_0122,10,9.005169,9.046466,0.500345,0.055308,136.869922,136.869922,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1566,10,8.531400,8.566291,0.471797,0.055076,133.787924,133.787924,0.000000,0.000000,2503424.000000,2503424
eza,EXP_DBL_1124,10,8.947143,8.901794,0.488657,0.054894,136.433564,136.433564,0.000000,0.000000,2479552.000000,2479552
eza,EXP_DBL_1234,10,8.812267,8.887666,0.485278,0.054601,137.020045,137.020045,0.000000,0.000000,2504256.000000,2504256
