mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
UnreachablePropagation,separate-const-offset-from-gep,16.379867589792667,17.844209928997312,16.268966486241833,22.922648810807356,-0.2572399691440195,0.7731826515226767,-22.68173484773233,8.93989118762577,-0.6770573873255303,39.94404219172021,-0.2997746634420568,-0.2215024217343227,0.000999500249875,6,6,6,6,0.2572399691440195,167,moderate,0.0012484352255775,True,False,negative_interaction
InstSimplify-before-inline,ifcvt-triangle-rev,16.379867589792667,18.11966438194299,16.528818266260835,23.382171402414397,-0.245923623318637,0.7819819478307907,-21.801805216920933,10.621555898501269,0.909352140068509,42.74945309683276,-0.2768132830343118,-0.2148758464533003,0.000999500249875,6,6,6,6,0.245923623318637,260,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,last-run-tracking,16.379867589792667,17.977036949890252,16.336433245283047,22.92582422330253,-0.2458239648488631,0.7820598828384796,-21.79401171615204,9.750807516251747,-0.2651690819325369,39.96342826109942,-0.2796174880179851,-0.2126116768775114,0.000999500249875,6,6,6,6,0.2458239648488631,262,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,ifcvt-triangle,16.379867589792667,17.977036949890252,16.571385523267914,23.234008358454894,-0.2448974148092007,0.7827848362548863,-21.72151637451137,9.750807516251747,1.1692276047127192,41.844909496908734,-0.2865353434268219,-0.2127377516725022,0.000999500249875,6,6,6,6,0.2448974148092007,272,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,ifcvt-forked-diamond,16.379867589792667,17.977036949890252,16.501058471327298,23.107534797901916,-0.2436919937237909,0.7837289905392636,-21.62710094607364,9.750807516251747,0.7398770525480547,41.07278139599664,-0.2860881832590973,-0.2098116194758756,0.000999500249875,6,6,6,6,0.2436919937237909,283,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,adv-copy-opt,16.379867589792667,17.977036949890252,16.625596055855407,23.18131179493528,-0.2393607653792431,0.7871308615795422,-21.286913842045784,9.750807516251747,1.5001859124665229,41.523194054273205,-0.2754074268329385,-0.2057400796660692,0.000999500249875,6,6,6,6,0.2393607653792431,321,moderate,0.0012484352255775,True,False,negative_interaction
JumpThreading,strictnode-mutation,16.379867589792667,17.984146932381776,16.462542035128653,22.847196938397627,-0.2343031679729468,0.7911219367016731,-20.88780632983269,9.794214353654729,0.5047320735822369,39.48340432638884,-0.2577743793965791,-0.211880429050148,0.000999500249875,6,6,6,6,0.2343031679729468,358,moderate,0.0012484352255775,True,False,negative_interaction
JumpThreading,type-promotion,16.379867589792667,17.984146932381776,16.404170082000824,22.72012730604237,-0.2322779721858783,0.7927257369715591,-20.727426302844087,9.794214353654729,0.1483680626533479,38.70763717406802,-0.2608745196188883,-0.2010984584779527,0.000999500249875,6,6,6,6,0.2322779721858783,380,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,non-allocatable-phys-copy-opt,16.379867589792667,17.977036949890252,16.32234813868706,22.5427666288804,-0.2298368002007227,0.7946632808092305,-20.533671919076944,9.750807516251747,-0.3511594388067585,37.62484040425469,-0.2549327123989766,-0.2069485559843158,0.000999500249875,6,6,6,6,0.2298368002007227,403,moderate,0.0012484352255775,True,False,negative_interaction
UnreachablePropagation,whole-program-visibility,16.379867589792667,17.844209928997312,16.4669462161059,22.571840065781306,-0.2297219153612184,0.7947545808170992,-20.524541918290083,8.93989118762577,0.5316198426872365,37.80233534883549,-0.2590672277736608,-0.2025877559269114,0.000999500249875,6,6,6,6,0.2297219153612184,404,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,memop-opt,16.379867589792667,17.977036949890252,16.526981450968695,22.80191758682104,-0.2288081285788354,0.7954811489619144,-20.451885103808564,9.750807516251747,0.8981382808473048,39.20697137399547,-0.251003686506226,-0.2077501612468827,0.000999500249875,6,6,6,6,0.2288081285788354,414,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,machine-dce,16.379867589792667,17.977036949890252,16.618473542104642,22.881150679069503,-0.2267562928745792,0.7971150212309253,-20.288497876907478,9.750807516251747,1.4567025710309434,39.69069379613421,-0.255609283935414,-0.1987919724063266,0.000999500249875,6,6,6,6,0.2267562928745792,432,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,bitcode-version-upgrade,16.379867589792667,17.977036949890252,16.650440074642354,22.89840506081515,-0.2255883894295278,0.7980465184538508,-20.195348154614923,9.750807516251747,1.6518600249143534,39.7960327535529,-0.266594182875648,-0.1932638952543605,0.000999500249875,6,6,6,6,0.2255883894295278,442,moderate,0.0012484352255775,True,False,negative_interaction
UnreachablePropagation,cleanups,16.379867589792667,17.844209928997312,16.529195252102777,22.530915021144757,-0.2241340533716393,0.7992079906622486,-20.079200933775144,8.93989118762577,0.9116536595397572,37.55248568178413,-0.2650108626172837,-0.1918200419867597,0.000999500249875,6,6,6,6,0.2241340533716393,455,moderate,0.0012484352255775,True,False,negative_interaction
UnreachablePropagation,tail-duplicate,16.379867589792667,17.844209928997312,16.428338548980758,22.388700279092937,-0.2239224886896615,0.7993770927340094,-20.062290726599063,8.93989118762577,0.2959178938558571,36.68425679487639,-0.2681301757751322,-0.1872457479074534,0.000999500249875,6,6,6,6,0.2239224886896615,457,moderate,0.0012484352255775,True,False,negative_interaction
JumpThreading,cgp-gc-opts,16.379867589792667,17.984146932381776,16.433637439112317,22.556676152384476,-0.2232631353629477,0.7999043384809195,-20.009566151908054,9.794214353654729,0.3282679119650522,37.709758816615626,-0.2384341871421485,-0.2074713173389571,0.000999500249875,6,6,6,6,0.2232631353629477,459,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,tail-calls,16.379867589792667,17.977036949890252,16.404520975365816,22.49478265321387,-0.2226842104530093,0.8003675570994949,-19.963244290050508,9.750807516251747,0.1505102861058205,37.33189557180423,-0.2486237325991907,-0.199345585217132,0.000999500249875,6,6,6,6,0.2226842104530093,460,moderate,0.0012484352255775,True,False,negative_interaction
InstSimplify-before-inline,tail-duplicate,16.379867589792667,18.11966438194299,16.428338548980758,22.690764762514476,-0.2220054153878092,0.8009110270791029,-19.908897292089712,10.621555898501269,0.2959178938558571,38.52837721749671,-0.2576376434118322,-0.1867208490384139,0.000999500249875,6,6,6,6,0.2220054153878092,465,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,constant-hoisting,16.379867589792667,17.977036949890252,16.511600630195364,22.615802931975768,-0.2215434806126728,0.8012810811981538,-19.871891880184624,9.750807516251747,0.8042375170650873,38.07073108496377,-0.2397449087213118,-0.2012743825331458,0.000999500249875,6,6,6,6,0.2215434806126728,469,moderate,0.0012484352255775,True,False,negative_interaction
JumpThreading,sample-loader-inlining,16.379867589792667,17.984146932381776,16.566154421810065,22.6415287419836,-0.2189864021414167,0.803332641683015,-19.6667358316985,9.794214353654729,1.1372914402158374,38.22778858171581,-0.2577375508914938,-0.1644675132566444,0.000999500249875,6,6,6,6,0.2189864021414167,482,moderate,0.0012484352255775,True,False,negative_interaction
UnreachablePropagation,last-run-tracking,16.379867589792667,17.844209928997312,16.336433245283047,22.148082536787093,-0.2187270564554793,0.8035410095564949,-19.64589904435051,8.93989118762577,-0.2651690819325369,35.21527213436675,-0.2431685483318906,-0.1952768421772069,0.000999500249875,6,6,6,6,0.2187270564554793,484,moderate,0.0012484352255775,True,False,negative_interaction
MatchBranchSimplification,partial-inlining,16.379867589792667,17.977036949890252,16.512202185858683,22.542685021239304,-0.2182687662945963,0.8039093488917403,-19.609065110825973,9.750807516251747,0.8079100477496048,37.624342185080174,-0.2483336403260656,-0.1865671992408601,0.000999500249875,6,6,6,6,0.2182687662945963,488,moderate,0.0012484352255775,True,False,negative_interaction
UnreachableEnumBranching,ifcvt-triangle-rev,16.379867589792667,18.368091584658146,16.528818266260835,23.055790470747525,-0.2182495208599939,0.8039248206254203,-19.60751793745797,12.138217747892345,0.909352140068509,40.75687940917821,-0.25990828889942,-0.181628721276737,0.000999500249875,6,6,6,6,0.2182495208599939,490,moderate,0.0012484352255775,True,False,negative_interaction
UnreachablePropagation,preinline,16.379867589792667,17.844209928997312,16.39436462770242,22.198296566760337,-0.217451812051634,0.8045663743886158,-19.543362561138423,8.93989118762577,0.0885052203888792,35.52183157202995,-0.2445070174559886,-0.1929920130393189,0.000999500249875,6,6,6,6,0.217451812051634,493,moderate,0.0012484352255775,True,False,negative_interaction
UnreachablePropagation,auto-upgrade-debug-info,16.379867589792667,17.844209928997312,16.604801761161458,22.4640979038009,-0.2166003826940143,0.8052516975306441,-19.474830246935596,8.93989118762577,1.3732355901885374,37.14456347498012,-0.2379855967618141,-0.1940407939842769,0.000999500249875,6,6,6,6,0.2166003826940143,499,moderate,0.0012484352255775,True,False,negative_interaction
JumpThreading,dfa-sched,16.379867589792667,17.984146932381776,16.713414357310953,22.768061330564247,-0.2157094340372602,0.8059694551440197,-19.403054485598027,9.794214353654729,2.0363215129171053,39.000277052010304,-0.2501680692037013,-0.1825301900864335,0.000999500249875,6,6,6,6,0.2157094340372602,507,moderate,0.0012484352255775,True,False,negative_interaction
