mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
CopyProp,lftr,16.379867589792667,20.951982404736423,18.5691497003593,16.41943259440958,0.3692163104370825,1.4466004846169245,44.660048461692426,27.9130144970948,13.365688694155953,0.241546547308924,0.3534923026421815,0.3851743646065205,0.000999500249875,6,6,6,6,0.3692163104370825,1,extreme,0.0012484352255775,True,False,positive_interaction
ForceInline,lftr,16.379867589792667,20.72561113839918,18.5691497003593,16.270509226630477,0.3674645600116895,1.4440686198476622,44.40686198476622,26.531005362428097,13.365688694155953,-0.6676388716984505,0.3521373184642958,0.3843949910859065,0.000999500249875,6,6,6,6,0.3674645600116895,2,extreme,0.0012484352255775,True,False,positive_interaction
CopyProp,loop-level-heuristics,16.379867589792667,20.951982404736423,18.51510353959571,16.437215024575632,0.365219106345712,1.4408296684898183,44.082966848981854,27.9130144970948,13.035733885502498,0.3501092696176711,0.352716388822378,0.3775720282326179,0.000999500249875,6,6,6,6,0.365219106345712,3,extreme,0.0012484352255775,True,False,positive_interaction
ForceInline,lsr,16.379867589792667,20.72561113839918,18.36986299233098,16.140532730254527,0.3646949656681197,1.4400746689313562,44.007466893135614,26.531005362428097,12.14903228997044,-1.4611525900690592,0.3532121087252359,0.3759594033144949,0.000999500249875,6,6,6,6,0.3646949656681197,4,extreme,0.0012484352255775,True,False,positive_interaction
DataflowConstProp,loop-level-heuristics,16.379867589792667,20.69732905872216,18.51510353959571,16.34773782824327,0.3584489441342184,1.4311079638067592,43.11079638067592,26.358341697584777,13.035733885502498,-0.1961539760517827,0.3452751689600106,0.3721510897047261,0.000999500249875,6,6,6,6,0.3584489441342184,5,extreme,0.0012484352255775,True,False,positive_interaction
CopyProp,lsr,16.379867589792667,20.951982404736423,18.36986299233098,16.452042923903267,0.3564420542415463,1.4282387677421633,42.82387677421633,27.9130144970948,12.14903228997044,0.4406344173110144,0.3438913152239765,0.3705108987128336,0.000999500249875,6,6,6,6,0.3564420542415463,6,extreme,0.0012484352255775,True,False,positive_interaction
CopyProp,licm-promotion,16.379867589792667,20.951982404736423,18.48843276715454,16.624716737872394,0.3524350053023881,1.4225271960190156,42.25271960190155,27.9130144970948,12.872907340690931,1.4948176274166336,0.3379204014839921,0.366129501632164,0.000999500249875,6,6,6,6,0.3524350053023881,7,extreme,0.0012484352255775,True,False,positive_interaction
ForceInline,binop-extract-shuffle,16.379867589792667,20.72561113839918,18.092968592302935,16.094060317137266,0.3523903015388185,1.4224636051209605,42.246360512096025,26.531005362428097,10.458576622303184,-1.7448692493308382,0.3359041222422079,0.3689992371068255,0.000999500249875,6,6,6,6,0.3523903015388185,8,extreme,0.0012484352255775,True,False,positive_interaction
DataflowConstProp,licm-promotion,16.379867589792667,20.69732905872216,18.48843276715454,16.44037379470183,0.351356820652787,1.4209942755667777,42.09942755667775,26.358341697584777,12.872907340690931,0.3693937364113386,0.3349855294805556,0.3678011608603497,0.000999500249875,6,6,6,6,0.351356820652787,9,extreme,0.0012484352255775,True,False,positive_interaction
ForceInline,loop-level-heuristics,16.379867589792667,20.72561113839918,18.51510353959571,16.504422302706914,0.350275637034966,1.4194587500770997,41.945875007709965,26.531005362428097,13.035733885502498,0.7604134296657294,0.3364893935810728,0.3641158727748698,0.000999500249875,6,6,6,6,0.350275637034966,10,extreme,0.0012484352255775,True,False,positive_interaction
GVN,binop-extract-shuffle,16.379867589792667,20.865179784624463,18.092968592302935,16.27116177633351,0.3481577983368966,1.416455746466934,41.645574646693404,27.383079687572565,10.458576622303184,-0.6636550195735169,0.3362314873278351,0.3598572417445934,0.000999500249875,6,6,6,6,0.3481577983368966,11,extreme,0.0012484352255775,True,False,positive_interaction
DeadStoreElimination-final,loop-level-heuristics,16.379867589792667,20.687559564699686,18.51510353959571,16.531935542607346,0.3467723465083279,1.4144946740622653,41.449467406226525,26.298698394799104,13.035733885502498,0.9283832850361052,0.334139126326108,0.3589947867381837,0.000999500249875,6,6,6,6,0.3467723465083279,12,extreme,0.0012484352255775,True,False,positive_interaction
DeadStoreElimination-final,licm-promotion,16.379867589792667,20.687559564699686,18.48843276715454,16.513146021302425,0.3464680261027886,1.4140642799615968,41.40642799615968,26.298698394799104,12.872907340690931,0.8136722154751475,0.3305920283850314,0.3649671041857144,0.000999500249875,6,6,6,6,0.3464680261027886,13,extreme,0.0012484352255775,True,False,positive_interaction
DataflowConstProp,lftr,16.379867589792667,20.69732905872216,18.5691497003593,16.59640465375986,0.3462671668730568,1.4137802806224316,41.37802806224315,26.358341697584777,13.365688694155953,1.321970783830584,0.33113432138524,0.3618206651631461,0.000999500249875,6,6,6,6,0.3462671668730568,14,extreme,0.0012484352255775,True,False,positive_interaction
ForceInline,licm-promotion,16.379867589792667,20.72561113839918,18.48843276715454,16.55223275588838,0.3459414720821718,1.4133198947262906,41.33198947262906,26.531005362428097,12.872907340690931,1.0522988977220038,0.3315934639876286,0.3604091608672335,0.000999500249875,6,6,6,6,0.3459414720821718,15,extreme,0.0012484352255775,True,False,positive_interaction
DeadStoreElimination-final,lftr,16.379867589792667,20.687559564699686,18.5691497003593,16.630567737427725,0.3437386911069757,1.410210086920519,41.02100869205189,26.298698394799104,13.365688694155953,1.5305383041758214,0.3308249007868125,0.3578418975397506,0.000999500249875,6,6,6,6,0.3437386911069757,16,extreme,0.0012484352255775,True,False,positive_interaction
DeadStoreElimination-initial,licm-promotion,16.379867589792667,20.463850881193387,18.48843276715454,16.51406918093475,0.3355395486692822,1.3986948456127968,39.86948456127968,24.932944475971897,12.872907340690931,0.8193081562253512,0.312485790211041,0.3577352962133425,0.000999500249875,6,6,6,6,0.3355395486692822,17,extreme,0.0012484352255775,True,False,positive_interaction
DeadStoreElimination-final,lsr,16.379867589792667,20.687559564699686,18.36986299233098,16.614258296302534,0.3339297184202281,1.3964449957651872,39.64449957651872,26.298698394799104,12.14903228997044,1.4309682616478137,0.3244715550230024,0.3435080907368436,0.000999500249875,6,6,6,6,0.3339297184202281,18,strong,0.0012484352255775,True,False,positive_interaction
CopyProp,binop-extract-shuffle,16.379867589792667,20.951982404736423,18.092968592302935,16.58272845282964,0.3333419608420609,1.395624465796408,39.56244657964079,27.9130144970948,10.458576622303184,1.2384768187222228,0.3211768852919699,0.3443042774292434,0.000999500249875,6,6,6,6,0.3333419608420609,19,strong,0.0012484352255775,True,False,positive_interaction
CopyProp,expand-reductions,16.379867589792667,20.951982404736423,17.79993751518188,16.31555671253356,0.3332561673786909,1.3955047354760362,39.550473547603616,27.9130144970948,8.66960564610515,-0.3926214721001853,0.3204886067138514,0.3457977289461579,0.000999500249875,6,6,6,6,0.3332561673786909,20,strong,0.0012484352255775,True,False,positive_interaction
GVN,expand-reductions,16.379867589792667,20.865179784624463,17.79993751518188,16.310102103804184,0.3294390059292351,1.3901880224289784,39.01880224289784,27.383079687572565,8.66960564610515,-0.4259221608846064,0.3108699417773933,0.3511399653504636,0.000999500249875,6,6,6,6,0.3294390059292351,21,strong,0.0012484352255775,True,False,positive_interaction
CopyProp,vector-combine,16.379867589792667,20.951982404736423,17.686327837108678,16.275206792212213,0.32932928104817,1.390035492581872,39.003549258187206,27.9130144970948,7.976012261113441,-0.638959973313058,0.3140137302150542,0.3439125217484167,0.000999500249875,6,6,6,6,0.32932928104817,22,strong,0.0012484352255775,True,False,positive_interaction
CopyProp,advanced-peeling,16.379867589792667,20.951982404736423,17.99063552532472,16.56706815049044,0.3286147680248095,1.3890426488616123,38.90426488616126,27.9130144970948,9.833827573403742,1.1428698044813723,0.3118791240990845,0.3451795050424571,0.000999500249875,6,6,6,6,0.3286147680248095,23,strong,0.0012484352255775,True,False,positive_interaction
ForceInline,advanced-peeling,16.379867589792667,20.72561113839918,17.99063552532472,16.437232378113357,0.3256195391270591,1.3848883727892094,38.48883727892094,26.531005362428097,9.833827573403742,0.3502152139278625,0.3090644320018819,0.3417267830707652,0.000999500249875,6,6,6,6,0.3256195391270591,24,strong,0.0012484352255775,True,False,positive_interaction
ForceInline,expand-reductions,16.379867589792667,20.72561113839918,17.79993751518188,16.268992337457966,0.3252511551985146,1.3843782961276363,38.43782961276365,26.531005362428097,8.66960564610515,-0.6768995642174258,0.3096881286206859,0.3425872378172637,0.000999500249875,6,6,6,6,0.3252511551985146,25,strong,0.0012484352255775,True,False,positive_interaction
DeadStoreElimination-initial,loop-level-heuristics,16.379867589792667,20.463850881193387,18.51510353959571,16.750390202555913,0.3227722160602315,1.3809507566732522,38.09507566732522,24.932944475971897,13.035733885502498,2.2620610986754386,0.3070411679632589,0.3366776091699485,0.000999500249875,6,6,6,6,0.3227722160602315,26,strong,0.0012484352255775,True,False,positive_interaction
DataflowConstProp,lsr,16.379867589792667,20.69732905872216,18.36986299233098,16.820972631148397,0.3220366284517499,1.379935319925851,37.99353199258511,26.358341697584777,12.14903228997044,2.692970739461975,0.3103953398842097,0.3344333185619317,0.000999500249875,6,6,6,6,0.3220366284517499,27,strong,0.0012484352255775,True,False,positive_interaction
CopyProp,machine-licm,16.379867589792667,20.951982404736423,17.53208463139804,16.251896632232633,0.3220032646779751,1.3798892808440362,37.98892808440362,27.9130144970948,7.034348936516399,-0.7812697926800061,0.3065941503106127,0.3383254418583744,0.000999500249875,6,6,6,6,0.3220032646779751,28,strong,0.0012484352255775,True,False,positive_interaction
DataflowConstProp,binop-extract-shuffle,16.379867589792667,20.69732905872216,18.092968592302935,16.580285446907332,0.3212606875593682,1.3788649869935266,37.88649869935266,26.358341697584777,10.458576622303184,1.2235621320868306,0.3070719404651177,0.3354486199495589,0.000999500249875,6,6,6,6,0.3212606875593682,29,strong,0.0012484352255775,True,False,positive_interaction
