mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
EarlyOtherwiseBranch,cgp-ext-ld-promotion,13.317649059782369,13.256291508423049,13.45165365838872,13.07192227172595,0.0240175731734577,1.0243083180802086,2.4308318080208613,-0.4607235938106524,1.0062181245714674,-1.8451213645393367,-0.0003116948128116,0.0549569064229338,0.0579710144927536,10,10,10,10,0.0240175731734577,444,moderate,0.1323684787592448,False,True,independent
InstSimplify-after-simplifycfg,cgp-ext-ld-promotion,13.317649059782369,13.393934766581229,13.45165365838872,13.214921014183677,0.0234672986211164,1.023744822331922,2.374482233192188,0.5728166169300497,1.0062181245714674,-0.7713677176620859,-0.0008661563704155,0.058851135313959,0.0699650174912543,10,10,10,10,0.0234672986211164,454,moderate,0.1538303695834202,False,True,independent
DeadStoreElimination-initial,layout-fsprofile-loader,13.317649059782369,13.25503892195926,13.192936197259607,13.4223944229557,-0.0219553642091518,0.9782839005522558,-2.171609944774422,-0.4701290561273552,-0.936448031953141,0.7865154180226375,-0.0467900387954605,0.0007392623478636,0.0569715142428785,10,10,10,10,0.0219553642091518,494,moderate,0.1309871380099423,False,True,independent
DestinationPropagation,cgp-ext-ld-promotion,13.317649059782369,13.305817000576283,13.45165365838872,13.151460466611583,0.0216803880657088,1.02191711536362,2.1917115363619954,-0.0888449541880054,1.0062181245714674,-1.24788235840102,-0.0040495568784894,0.0538409583242793,0.1069465267366316,10,10,10,10,0.0216803880657088,502,moderate,0.2131227303515109,False,True,independent
InstSimplify-before-inline,last-run-tracking,13.317649059782369,13.280281009779712,13.075437098118693,13.32422798906714,-0.0216584402063193,0.9785744196528272,-2.14255803471729,-0.2805904393103353,-1.8187291208560663,0.0494000799633687,-0.0389361411791314,-0.0031964595304468,0.0229885057471264,10,10,10,10,0.0216584402063193,503,moderate,0.0625588844921801,False,True,independent
GVN,global-outlining,13.317649059782369,13.243905821989038,13.236524536020612,13.446693431364563,-0.0213058593748654,0.9789195070673768,-2.1080492932623263,-0.5537256422833869,-0.6091504844255247,0.9689726092264817,-0.0389297808848726,-0.0035504528766103,0.0229885057471264,10,10,10,10,0.0213058593748654,507,moderate,0.0625588844921801,False,True,independent
Inline,advanced-peeling,13.317649059782369,13.335585618931525,13.135873496378906,13.435428921047594,-0.0212023247610879,0.979020864367364,-2.097913563263587,0.1346826235519627,-1.3649223116443232,0.884389284749254,-0.0371875566769012,-0.0047235573232651,0.0179910044977511,10,10,10,10,0.0212023247610879,513,moderate,0.0512265308169243,False,True,independent
DataflowConstProp,preinline,13.317649059782369,13.332167282432628,13.075381822304898,13.369866858655396,-0.0211826655706866,0.9790401113141328,-2.095988868586729,0.1090149063478929,-1.8191441776993835,0.3920947206119241,-0.0392289310855143,-0.002089186081575,0.0339830084957521,10,10,10,10,0.0211826655706866,514,moderate,0.0871897899581893,False,True,independent
Inline,preinline,13.317649059782369,13.335585618931525,13.075381822304898,13.372251854494404,-0.0211046707736728,0.979116474326803,-2.088352567319696,0.1346826235519627,-1.8191441776993835,0.4100032555815813,-0.0384737163855737,-0.0028948815899077,0.0209895052473763,10,10,10,10,0.0211046707736728,517,moderate,0.0585589558162095,False,True,independent
UnreachableEnumBranching,preinline,13.317649059782369,13.250999276396744,13.075381822304898,13.284689544282276,-0.020898183898744,0.979318669902426,-2.0681330097574118,-0.5004620792035896,-1.8191441776993835,-0.247487490863707,-0.0411843508627838,-0.0005590829722057,0.0469765117441279,10,10,10,10,0.020898183898744,524,moderate,0.1131799847536319,False,True,independent
SingleUseConsts,memop-opt,13.317649059782369,13.304847239566682,13.151386551229423,12.87274407638023,0.020453250806184,1.020663851915618,2.0663851915618148,-0.0961267274593224,-1.2484373766465606,-3.340717129614823,0.0034230659427685,0.0365480992812719,0.0249875062468765,10,10,10,10,0.020453250806184,537,moderate,0.0672273263692302,False,True,independent
EnumSizeOpt,ondemand-mds-loading,13.317649059782369,13.162248125049384,12.997911462483888,13.111534642925182,-0.020441073101999,0.9797664293699392,-2.023357063006081,-1.166879634952045,-2.4008561560917463,-1.5476786926276964,-0.0379392014752469,-0.0022923013165466,0.0219890054972513,10,10,10,10,0.020441073101999,538,moderate,0.0607350235032234,False,True,independent
DeadStoreElimination-final,ondemand-mds-loading,13.317649059782369,13.40011604576841,12.997911462483888,13.347681314362468,-0.0203807830912583,0.9798255012791944,-2.017449872080568,0.6192308088000642,-2.4008561560917463,0.225507178070905,-0.0374569416150347,-0.0032263036419476,0.0179910044977511,10,10,10,10,0.0203807830912583,539,moderate,0.0512265308169243,False,True,independent
DestinationPropagation,nounwind-inference,13.317649059782369,13.305817000576283,13.26040655325175,12.981751003882511,0.0203491976424077,1.0205576541378774,2.055765413787736,-0.0888449541880054,-0.4298244102518223,-2.522202337604962,0.0031129986579204,0.0376802777103541,0.0179910044977511,10,10,10,10,0.0203491976424077,542,moderate,0.0512265308169243,False,True,independent
SingleUseConsts,branch-fold,13.317649059782369,13.304847239566682,13.330708359743616,13.049946310853434,0.0203245238068947,1.020532473376842,2.053247337684194,-0.0961267274593224,0.0980600998166103,-2.010135180220074,0.0041989410607221,0.0374319023885013,0.0199900049975012,10,10,10,10,0.0203245238068947,544,moderate,0.056147898977753,False,True,independent
ForceInline,machine-licm,13.317649059782369,13.28780744797047,12.824950900653215,13.058408849859518,-0.0202829909169524,0.9799213252307448,-2.007867476925518,-0.2240756734010585,-3.6995880948465287,-1.9465913898100928,-0.0370594693579953,-0.0028834443757683,0.0239880059970015,10,10,10,10,0.0202829909169524,545,moderate,0.0649593637112928,False,True,independent
ReferencePropagation,post-ra,13.317649059782369,13.32711416069554,13.301327881831702,13.04530123574191,0.0201463267754609,1.020350633721729,2.035063372172896,0.0710718601360183,-0.1225529962337934,-2.0450142725484066,0.0037383605982897,0.0375895154443767,0.0189905047476261,10,10,10,10,0.0201463267754609,549,moderate,0.0538875861214691,False,True,independent
ImpossiblePredicates,strictnode-mutation,13.317649059782369,13.316781310271615,13.200974870791,13.467887915771044,-0.0200826582715079,0.9801176551271428,-1.988234487285712,-0.0065157859833742,-0.8760869765198187,1.1281184487912377,-0.0387992559041233,-0.0019535992208153,0.031984007996002,10,10,10,10,0.0200826582715079,553,moderate,0.0827000829803167,False,True,independent
GVN,select-optimize,13.317649059782369,13.243905821989038,13.162757192903811,13.354860715484634,-0.0200416438819441,0.9801578548788472,-1.9842145121152897,-0.5537256422833869,-1.163057129552303,0.2794161006588025,-0.0366265565452835,-0.0032891084558659,0.0179910044977511,10,10,10,10,0.0200416438819441,555,moderate,0.0512265308169243,False,True,independent
DataflowConstProp,machine-cse,13.317649059782369,13.332167282432628,13.1441853030928,13.423978065993232,-0.0199734819432575,0.9802246666154374,-1.977533338456261,0.1090149063478929,-1.3025103448130682,0.798406728796941,-0.0359204545275016,-0.0032376754586356,0.0239880059970015,10,10,10,10,0.0199734819432575,558,moderate,0.0649593637112928,False,True,independent
ImpossiblePredicates,icp,13.317649059782369,13.316781310271615,13.229060265504923,13.494256132345608,-0.0199133381802294,0.980283622788406,-1.9716377211594027,-0.0065157859833742,-0.6651984436575109,1.326112978127436,-0.0379627600327348,-0.0021745917160353,0.0349825087456271,10,10,10,10,0.0199133381802294,560,moderate,0.0890658964996029,False,True,independent
ForceInline,last-run-tracking,13.317649059782369,13.28780744797047,13.075437098118693,13.308355472480017,-0.0198999005140643,0.9802967956009818,-1.9703204399018184,-0.2240756734010585,-1.8187291208560663,-0.0697839931104393,-0.0368746660467168,-0.001799639139622,0.031984007996002,10,10,10,10,0.0198999005140643,561,moderate,0.0827000829803167,False,True,independent
SingleUseConsts,thinlto-funcattrs,13.317649059782369,13.304847239566682,13.175742640320813,12.904927417745638,0.0198065218339529,1.0200039724362642,2.000397243626417,-0.0961267274593224,-1.0655515761418657,-3.0990578005475222,0.0024989231570472,0.0379636953833834,0.0259870064967516,10,10,10,10,0.0198065218339529,565,moderate,0.0690214892553723,False,True,independent
DataflowConstProp,i2p-p2i-opt,13.317649059782369,13.332167282432628,13.254675613744938,13.009115873793498,0.019789589195541,1.0199867012240442,1.9986701224044223,0.1090149063478929,-0.4728570767613904,-2.3167241050119025,0.0009740304151401,0.0378144698563047,0.0429785107446276,10,10,10,10,0.019789589195541,567,moderate,0.1055389465030798,False,True,independent
DeadStoreElimination-final,cgp-ext-ld-promotion,13.317649059782369,13.40011604576841,13.45165365838872,13.270031594552464,0.0197670323572443,1.019963693808448,1.996369380844798,0.6192308088000642,1.0062181245714674,-0.3575515844887356,-0.0048606426583246,0.0524957549949711,0.1509245377311344,10,10,10,10,0.0197670323572443,568,moderate,0.2747091366597403,False,True,independent
SingleUseConsts,phi-elim-edge-splitting,13.317649059782369,13.304847239566682,13.290101469411708,13.018517634294188,0.0196850008015396,1.0198800280315463,1.9880028031546535,-0.0961267274593224,-0.2068502499727897,-2.246127857442337,0.0032974228024387,0.0351886350733307,0.0229885057471264,10,10,10,10,0.0196850008015396,573,moderate,0.0625588844921801,False,True,independent
EarlyOtherwiseBranch,ifcvt-triangle-false,13.317649059782369,13.256291508423049,12.97681541837674,13.173485690643226,-0.019659695788857,0.9805322958063896,-1.9467704193610549,-0.4607235938106524,-2.5592628239086146,-1.0824986338955012,-0.0359036674907468,-0.0034013775951716,0.0199900049975012,10,10,10,10,0.019659695788857,574,moderate,0.056147898977753,False,True,independent
CopyProp,cgp-branch-opts,13.317649059782369,13.208632822143166,13.09523723435497,13.24515368324954,-0.0196026665856239,0.9805882163765012,-1.9411783623498715,-0.8185847002712854,-1.6700532085580533,-0.5443556607280908,-0.0372352027482042,-0.002668640160103,0.0269865067466266,10,10,10,10,0.0196026665856239,575,moderate,0.0713337598716565,False,True,independent
