mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
UnreachableEnumBranching,replace-with-vec-lib,13.317649059782369,13.250999276396744,12.904564986510016,14.88993482413876,-0.1481215316842772,0.8623263086048478,-13.767369139515218,-0.5004620792035896,-3.101779236095148,11.806030909047593,-0.1772209612414075,-0.1219040332221095,0.000999500249875,10,10,10,10,0.1481215316842772,1,extreme,0.0047135523147517,True,False,negative_interaction
UnreachablePropagation,loop-level-heuristics,13.317649059782369,13.052689744026948,13.030869977894287,14.642280112468436,-0.1366880149245304,0.8722423102698047,-12.775768973019533,-1.989535199238457,-2.1533761747343005,9.94643308845169,-0.1552185593396777,-0.1178632928354034,0.000999500249875,10,10,10,10,0.1366880149245304,2,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,ondemand-mds-loading,13.317649059782369,13.25503892195926,12.997911462483888,14.521473938377232,-0.1155522037159508,0.89087406408655,-10.912593591345,-0.4701290561273552,-2.4008561560917463,9.039319726709616,-0.1345578964529881,-0.0960195353984093,0.000999500249875,10,10,10,10,0.1155522037159508,3,extreme,0.0047135523147517,True,False,negative_interaction
UnreachablePropagation,machine-licm,13.317649059782369,13.052689744026948,12.824950900653215,14.0139543125669,-0.1087569365119289,0.8969484064128717,-10.305159358712835,-1.989535199238457,-3.6995880948465287,5.228439716791211,-0.1310155165738714,-0.0855494230793609,0.000999500249875,10,10,10,10,0.1087569365119289,4,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,2addr-hack,13.317649059782369,13.25503892195926,13.084126518898325,14.51051287749056,-0.1081860097715439,0.8974606444541222,-10.25393555458778,-0.4701290561273552,-1.753481713144489,8.957014953265997,-0.122873411749706,-0.0932988468937739,0.000999500249875,10,10,10,10,0.1081860097715439,5,extreme,0.0047135523147517,True,False,negative_interaction
UnreachablePropagation,cgp-store-extract,13.317649059782369,13.052689744026948,13.168330525279334,14.336421972145216,-0.1050844753139408,0.9002484706018744,-9.97515293981256,-1.989535199238457,-1.1212079086387328,7.64979545405966,-0.1284988427334996,-0.0816277518199617,0.000999500249875,10,10,10,10,0.1050844753139408,6,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,ra-fsprofile-loader,13.317649059782369,13.25503892195926,13.08042685416051,14.397015557034086,-0.1006163288981554,0.9042799124081542,-9.57200875918458,-0.4701290561273552,-1.7812618770548516,8.104782551383405,-0.1179480635380723,-0.0837591509075077,0.000999500249875,10,10,10,10,0.1006163288981554,7,extreme,0.0047135523147517,True,False,negative_interaction
UnreachablePropagation,licm-promotion,13.317649059782369,13.052689744026948,12.990790083280327,14.050153525379375,-0.0984886008742433,0.9062060225118068,-9.37939774881932,-1.989535199238457,-2.4543294017944417,5.500253553077039,-0.1260463466125209,-0.0723873513854733,0.000999500249875,10,10,10,10,0.0984886008742433,8,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,sample-loader-inlining,13.317649059782369,13.25503892195926,13.110829418744895,14.38080520879466,-0.0971681602724015,0.907403404099221,-9.259659590077897,-0.4701290561273552,-1.552974103079796,7.98306175691994,-0.112325506454939,-0.0819664466743664,0.000999500249875,10,10,10,10,0.0971681602724015,9,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,whole-program-visibility,13.317649059782369,13.25503892195926,13.249160972721974,14.491294250783538,-0.0943262213913822,0.909985856962577,-9.001414303742294,-0.4701290561273552,-0.5142655941221541,8.812705498791317,-0.109023707258297,-0.0790709436357961,0.000999500249875,10,10,10,10,0.0943262213913822,10,extreme,0.0047135523147517,True,False,negative_interaction
MatchBranchSimplification,machine-licm,13.317649059782369,12.90550520386296,12.824950900653215,13.653404965169226,-0.0940325480819543,0.9102531347649812,-8.974686523501873,-3.0947193012018093,-3.6995880948465287,2.521134953171278,-0.1103720036347207,-0.0774348262907064,0.000999500249875,10,10,10,10,0.0940325480819543,11,extreme,0.0047135523147517,True,False,negative_interaction
UnreachableEnumBranching,vector-combine,13.317649059782369,13.250999276396744,12.93086965547858,14.127377463067846,-0.0935143154250823,0.91072497991766,-8.927502008234,-0.5004620792035896,-2.9042618751068505,6.080115188879387,-0.1184631003682943,-0.0715744457972132,0.000999500249875,10,10,10,10,0.0935143154250823,12,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,nofree-inference,13.317649059782369,13.25503892195926,13.193514559825816,14.37617632671517,-0.0905594035163983,0.9134200719250716,-8.657992807492843,-0.4701290561273552,-0.9321052041491472,7.948304255361571,-0.1064755770144347,-0.0742245006229267,0.000999500249875,10,10,10,10,0.0905594035163983,13,extreme,0.0047135523147517,True,False,negative_interaction
DeadStoreElimination-initial,nounwind-inference,13.317649059782369,13.25503892195926,13.26040655325175,14.447382957850165,-0.0904430199468753,0.9135263851999554,-8.647361480004456,-0.4701290561273552,-0.4298244102518223,8.48298294238321,-0.1044428116127439,-0.0753106993322175,0.000999500249875,10,10,10,10,0.0904430199468753,14,extreme,0.0047135523147517,True,False,negative_interaction
MatchBranchSimplification,constant-hoisting,13.317649059782369,12.90550520386296,12.974590733763456,13.750912249292575,-0.0895484536382547,0.9143439607594444,-8.565603924055566,-3.0947193012018093,-2.5759676086893224,3.253300845857332,-0.1050846085717396,-0.0735781760445716,0.000999500249875,10,10,10,10,0.0895484536382547,15,extreme,0.0047135523147517,True,False,negative_interaction
MatchBranchSimplification,cgp-select2branch,13.317649059782369,12.90550520386296,12.9638339489105,13.713128773690206,-0.0876263742363745,0.9161030925065252,-8.389690749347468,-3.0947193012018093,-2.6567385075519367,2.969591045180331,-0.1028297732591641,-0.0712106693237145,0.000999500249875,10,10,10,10,0.0876263742363745,16,extreme,0.0047135523147517,True,False,negative_interaction
UnreachablePropagation,binop-extract-shuffle,13.317649059782369,13.052689744026948,13.039186316031032,13.932670747264051,-0.0863732695707835,0.9172517851316384,-8.27482148683617,-1.989535199238457,-2.0909301822065296,4.6180950160263246,-0.1096951890686835,-0.0629937011784225,0.000999500249875,10,10,10,10,0.0863732695707835,17,extreme,0.0047135523147517,True,False,negative_interaction
UnreachablePropagation,cleanups,13.317649059782369,13.052689744026948,13.083314442774917,13.970135338209827,-0.0856800786387719,0.9178878361784027,-8.211216382159725,-1.989535199238457,-1.7595794569712275,4.89941036513637,-0.1109283546473905,-0.0614624621157785,0.000999500249875,10,10,10,10,0.0856800786387719,18,strong,0.0047135523147517,True,False,negative_interaction
