mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
ReferencePropagation,complex-addr-modes,13.317649059782369,13.32711416069554,13.4112584448647,12.839064686663557,0.0443125509234572,1.0453090161349383,4.530901613493854,0.0710718601360183,0.7028972205388895,-3.593610035603634,0.028089664456581,0.060483070766145,0.000999500249875,10,10,10,10,0.0443125509234572,151,moderate,0.0047135523147517,True,False,positive_interaction
DeadStoreElimination-initial,adv-copy-opt,13.317649059782369,13.25503892195926,13.288530368421744,12.760059002795394,0.0358690065154605,1.036520060223076,3.6520060223075967,-0.4701290561273552,-0.2186473846090386,-4.186850505550755,0.0203267755398719,0.0520068701428776,0.000999500249875,10,10,10,10,0.0358690065154605,225,moderate,0.0047135523147517,True,False,positive_interaction
SingleUseConsts,non-allocatable-phys-copy-opt,13.317649059782369,13.304847239566682,13.283537858013396,12.81819809671546,0.0346978964158815,1.0353068916277848,3.5306891627784776,-0.0961267274593224,-0.2561353104879593,-3.7502937705062855,0.0200807491944009,0.0505265143467916,0.000999500249875,10,10,10,10,0.0346978964158815,241,moderate,0.0047135523147517,True,False,positive_interaction
DeadStoreElimination-initial,separate-const-offset-from-gep,13.317649059782369,13.25503892195926,13.260067632831593,12.756555145427663,0.0339994403348713,1.0345840277073528,3.4584027707352805,-0.4701290561273552,-0.4323693070172996,-4.213160384659287,0.017223064695737,0.0495200578762298,0.000999500249875,10,10,10,10,0.0339994403348713,253,moderate,0.0047135523147517,True,False,positive_interaction
SingleUseConsts,lftr,13.317649059782369,13.304847239566682,13.182891973405914,12.730071929029272,0.0339911338585752,1.034575433995342,3.457543399534213,-0.0961267274593224,-1.011868429416729,-4.412018428443987,0.0196482656558541,0.0480190454244294,0.000999500249875,10,10,10,10,0.0339911338585752,254,moderate,0.0047135523147517,True,False,positive_interaction
DestinationPropagation,post-ra,13.317649059782369,13.305817000576283,13.301327881831702,12.85705076626285,0.0330826679107856,1.0336359842368068,3.3635984236806804,-0.0888449541880054,-0.1225529962337934,-3.458555571271704,0.0161977893781004,0.0505416764497883,0.000999500249875,10,10,10,10,0.0330826679107856,263,moderate,0.0047135523147517,True,False,positive_interaction
ScalarReplacementOfAggregates,cgp-ext-ld-promotion,13.317649059782369,13.2927077514181,13.45165365838872,12.992987908750893,0.0328176697399791,1.0333621088815412,3.336210888154123,-0.1872801141725832,1.0062181245714674,-2.4378262978254184,0.0089251722920999,0.0659950139014033,0.0029985007496251,10,10,10,10,0.0328176697399791,266,moderate,0.0118512172485185,True,False,positive_interaction
DeadStoreElimination-initial,chr,13.317649059782369,13.25503892195926,13.229728771528483,12.744719874573043,0.0326370421664465,1.03317547204762,3.317547204762006,-0.4701290561273552,-0.6601787437047757,-4.30202945457917,0.0171782039535517,0.0488870053164897,0.000999500249875,10,10,10,10,0.0326370421664465,269,moderate,0.0047135523147517,True,False,positive_interaction
DeadStoreElimination-final,block-placement,13.317649059782369,13.40011604576841,13.245723034157242,12.900527934923856,0.0325796892611927,1.0331162181318694,3.311621813186938,0.6192308088000642,-0.5400804999610043,-3.1320927814366573,0.0174014886335084,0.0484622137370123,0.000999500249875,10,10,10,10,0.0325796892611927,271,moderate,0.0047135523147517,True,False,positive_interaction
DeadStoreElimination-initial,early-ifcvt,13.317649059782369,13.25503892195926,13.206610719056142,12.728158491571836,0.0321883967353988,1.032712046557253,3.2712046557253016,-0.4701290561273552,-0.8337683342441116,-4.42638611037377,0.0169824131032446,0.0472125021713522,0.000999500249875,10,10,10,10,0.0321883967353988,274,moderate,0.0047135523147517,True,False,positive_interaction
ScalarReplacementOfAggregates,early-taildup,13.317649059782369,13.2927077514181,13.316055613747071,12.874241964761053,0.0318673708449819,1.0323805724616928,3.238057246169279,-0.1872801141725832,-0.0119649198453974,-3.3294697362190595,0.0151101989973553,0.0486180498440032,0.000999500249875,10,10,10,10,0.0318673708449819,278,moderate,0.0047135523147517,True,False,positive_interaction
JumpThreading,cgp-ext-ld-promotion,13.317649059782369,13.28967820133583,13.45165365838872,13.00379672244295,0.0317581829917639,1.032267855197072,3.226785519707187,-0.2100284991816248,1.0062181245714674,-2.356664723109514,0.008743119861795,0.0618551791491492,0.0029985007496251,10,10,10,10,0.0317581829917639,282,moderate,0.0118512172485185,True,False,positive_interaction
ForceInline,cgp-ext-ld-promotion,13.317649059782369,13.28780744797047,13.45165365838872,13.002483956391396,0.0317183633055337,1.0322267514333474,3.222675143334741,-0.2240756734010585,1.0062181245714674,-2.366522063888365,0.0052429754244326,0.0641826783391191,0.0079960019990005,10,10,10,10,0.0317183633055337,283,moderate,0.026026202584982,True,False,positive_interaction
SingleUseConsts,complex-addr-modes,13.317649059782369,13.304847239566682,13.4112584448647,12.980938831356925,0.031650769332971,1.032156981484673,3.215698148467294,-0.0961267274593224,0.7028972205388895,-2.528300805299544,0.0153549334413087,0.0467417740939576,0.000999500249875,10,10,10,10,0.031650769332971,286,moderate,0.0047135523147517,True,False,positive_interaction
DeadStoreElimination-initial,cgp-ext-ld-promotion,13.317649059782369,13.25503892195926,13.45165365838872,12.973576731325172,0.0314749408017744,1.0319755147926328,3.197551479263283,-0.4701290561273552,1.0062181245714674,-2.5835815834511666,0.0081342198813121,0.0636558752769279,0.0059970014992503,10,10,10,10,0.0314749408017744,289,moderate,0.0209139127915034,True,False,positive_interaction
EarlyOtherwiseBranch,post-ra,13.317649059782369,13.256291508423049,13.301327881831702,12.83441424296772,0.0311158132183169,1.0316049704601458,3.1604970460145765,-0.4607235938106524,-0.1225529962337934,-3.628529439733885,0.0171307555091292,0.0450694275944255,0.000999500249875,10,10,10,10,0.0311158132183169,294,moderate,0.0047135523147517,True,False,positive_interaction
InstSimplify-before-inline,complex-addr-modes,13.317649059782369,13.280281009779712,13.4112584448647,12.97506840878967,0.0302549869398776,1.0307173199038815,3.071731990388149,-0.2805904393103353,0.7028972205388895,-2.572380826787568,0.0157077532767488,0.0449736589501517,0.000999500249875,10,10,10,10,0.0302549869398776,309,moderate,0.0047135523147517,True,False,positive_interaction
SingleUseConsts,cgp-ext-ld-promotion,13.317649059782369,13.304847239566682,13.45165365838872,13.04081031803857,0.0300566219593871,1.0305128819601623,3.051288196016233,-0.0961267274593224,1.0062181245714674,-2.0787358226747044,0.0053099845335136,0.0595365398830078,0.0089955022488755,10,10,10,10,0.0300566219593871,316,moderate,0.0287164110252566,True,False,positive_interaction
ReferencePropagation,partial-libcall-inlining,13.317649059782369,13.32711416069554,13.21296499846654,12.837629725281936,0.0295283301803879,1.0299686142552054,2.996861425520536,0.0710718601360183,-0.7860551126246507,-3.604384920684156,0.0138075962984085,0.0453750373520555,0.000999500249875,10,10,10,10,0.0295283301803879,327,moderate,0.0047135523147517,True,False,positive_interaction
