mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
UnreachableEnumBranching,replace-with-vec-lib,13.317649059782367,13.250999276396744,12.904564986510017,14.889934824138761,-0.14812153168427722,0.8623263086048478,-13.767369139515218,-0.5004620792035896,-3.101779236095148,11.806030909047593,-0.1770542512049639,-0.12038232012276913,3.999920001599968e-05,10,10,10,10,0.14812153168427722,1,extreme,0.0002789860169183171,True,False,negative_interaction
UnreachablePropagation,loop-level-heuristics,13.317649059782367,13.052689744026948,13.030869977894287,14.642280112468436,-0.13668801492453042,0.8722423102698047,-12.775768973019531,-1.989535199238457,-2.1533761747343005,9.94643308845169,-0.15492337427269057,-0.1180190041144115,3.999920001599968e-05,10,10,10,10,0.13668801492453042,2,extreme,0.0002789860169183171,True,False,negative_interaction
DeadStoreElimination-initial,ondemand-mds-loading,13.317649059782367,13.25503892195926,12.997911462483888,14.521473938377232,-0.11555220371595087,0.89087406408655,-10.912593591344999,-0.4701290561273552,-2.4008561560917463,9.039319726709616,-0.134680164944526,-0.09600986806896179,3.999920001599968e-05,10,10,10,10,0.11555220371595087,3,extreme,0.0002789860169183171,True,False,negative_interaction
UnreachablePropagation,machine-licm,13.317649059782367,13.052689744026948,12.824950900653217,14.0139543125669,-0.10875693651192897,0.8969484064128717,-10.305159358712835,-1.989535199238457,-3.6995880948465287,5.228439716791211,-0.13158737784541752,-0.08551585700330298,3.999920001599968e-05,10,10,10,10,0.10875693651192897,4,extreme,0.0002789860169183171,True,False,negative_interaction
DeadStoreElimination-initial,2addr-hack,13.317649059782367,13.25503892195926,13.084126518898323,14.51051287749056,-0.10818600977154391,0.8974606444541222,-10.253935554587779,-0.4701290561273552,-1.753481713144489,8.957014953265997,-0.12260449851477195,-0.09344014185024621,3.999920001599968e-05,10,10,10,10,0.10818600977154391,5,extreme,0.0002789860169183171,True,False,negative_interaction
UnreachablePropagation,cgp-store-extract,13.317649059782367,13.052689744026948,13.168330525279334,14.336421972145217,-0.10508447531394083,0.9002484706018744,-9.97515293981256,-1.989535199238457,-1.1212079086387328,7.64979545405966,-0.12938010890285487,-0.08115955746817245,3.999920001599968e-05,10,10,10,10,0.10508447531394083,6,extreme,0.0002789860169183171,True,False,negative_interaction
DeadStoreElimination-initial,ra-fsprofile-loader,13.317649059782367,13.25503892195926,13.08042685416051,14.397015557034086,-0.10061632889815542,0.9042799124081542,-9.57200875918458,-0.4701290561273552,-1.7812618770548516,8.104782551383405,-0.11705906556918942,-0.08374017051445395,3.999920001599968e-05,10,10,10,10,0.10061632889815542,7,extreme,0.0002789860169183171,True,False,negative_interaction
UnreachablePropagation,licm-promotion,13.317649059782367,13.052689744026948,12.990790083280327,14.050153525379377,-0.09848860087424338,0.9062060225118068,-9.379397748819319,-1.989535199238457,-2.4543294017944417,5.500253553077039,-0.12574625024897923,-0.07359257986842335,3.999920001599968e-05,10,10,10,10,0.09848860087424338,8,extreme,0.0002789860169183171,True,False,negative_interaction
DeadStoreElimination-initial,sample-loader-inlining,13.317649059782367,13.25503892195926,13.110829418744895,14.38080520879466,-0.0971681602724015,0.907403404099221,-9.259659590077895,-0.4701290561273552,-1.552974103079796,7.98306175691994,-0.11314795068992585,-0.08122932773345716,3.999920001599968e-05,10,10,10,10,0.0971681602724015,9,extreme,0.0002789860169183171,True,False,negative_interaction
DeadStoreElimination-initial,whole-program-visibility,13.317649059782367,13.25503892195926,13.249160972721974,14.491294250783538,-0.09432622139138225,0.909985856962577,-9.001414303742294,-0.4701290561273552,-0.5142655941221541,8.812705498791317,-0.1097156656325656,-0.07867991597495366,3.999920001599968e-05,10,10,10,10,0.09432622139138225,10,extreme,0.0002789860169183171,True,False,negative_interaction
MatchBranchSimplification,machine-licm,13.317649059782367,12.90550520386296,12.824950900653217,13.653404965169226,-0.09403254808195438,0.9102531347649813,-8.974686523501873,-3.0947193012018093,-3.6995880948465287,2.521134953171278,-0.11072562331023213,-0.07678770429259521,3.999920001599968e-05,10,10,10,10,0.09403254808195438,11,extreme,0.0002789860169183171,True,False,negative_interaction
