Source,Target,Type,Weight,Stability
UnreachableEnumBranching,replace-with-vec-lib,Interaction,-0.1481215316842772,1.0
UnreachablePropagation,loop-level-heuristics,Interaction,-0.1366880149245304,1.0
DeadStoreElimination-initial,ondemand-mds-loading,Interaction,-0.1155522037159508,1.0
UnreachablePropagation,machine-licm,Interaction,-0.1087569365119289,1.0
DeadStoreElimination-initial,2addr-hack,Interaction,-0.1081860097715439,1.0
UnreachablePropagation,cgp-store-extract,Interaction,-0.1050844753139408,1.0
DeadStoreElimination-initial,ra-fsprofile-loader,Interaction,-0.1006163288981554,1.0
UnreachablePropagation,licm-promotion,Interaction,-0.0984886008742433,1.0
DeadStoreElimination-initial,sample-loader-inlining,Interaction,-0.0971681602724015,1.0
DeadStoreElimination-initial,whole-program-visibility,Interaction,-0.0943262213913822,1.0
MatchBranchSimplification,machine-licm,Interaction,-0.0940325480819543,1.0
UnreachableEnumBranching,vector-combine,Interaction,-0.0935143154250823,1.0
DeadStoreElimination-initial,nofree-inference,Interaction,-0.0905594035163983,1.0
DeadStoreElimination-initial,nounwind-inference,Interaction,-0.0904430199468753,1.0
MatchBranchSimplification,constant-hoisting,Interaction,-0.0895484536382547,1.0
MatchBranchSimplification,cgp-select2branch,Interaction,-0.0876263742363745,1.0
UnreachablePropagation,binop-extract-shuffle,Interaction,-0.0863732695707835,1.0
UnreachablePropagation,cleanups,Interaction,-0.0856800786387719,1.0
UnreachablePropagation,memop-opt,Interaction,-0.0848155239063901,1.0
MatchBranchSimplification,ifcvt-simple-false,Interaction,-0.0846438870139123,1.0
MatchBranchSimplification,ifcvt-triangle-false,Interaction,-0.0838937378165525,1.0
MatchBranchSimplification,ssc,Interaction,-0.0829905893728417,1.0
MatchBranchSimplification,replace-with-vec-lib,Interaction,-0.0826438877452226,1.0
MatchBranchSimplification,tail-duplicate,Interaction,-0.0810485754499592,1.0
UnreachablePropagation,lftr,Interaction,-0.0798144412089771,1.0
MatchBranchSimplification,vector-combine,Interaction,-0.0797742780748076,1.0
MatchBranchSimplification,ifcvt-triangle-rev,Interaction,-0.079056942021932,1.0
DeadStoreElimination-initial,vp,Interaction,-0.0782381624000967,1.0
MatchBranchSimplification,postra-machine-licm,Interaction,-0.0780411453514786,1.0
MatchBranchSimplification,demotion,Interaction,-0.0776848020192093,1.0
MatchBranchSimplification,ifcvt-triangle,Interaction,-0.0774559449890435,1.0
DeadStoreElimination-initial,thinlto-funcattrs,Interaction,-0.077277631234609,1.0
UnreachablePropagation,strictnode-mutation,Interaction,-0.0760751858051045,1.0
MatchBranchSimplification,lsr,Interaction,-0.0752565911355147,1.0
UnreachablePropagation,lsr,Interaction,-0.0748934918852288,1.0
MatchBranchSimplification,cgp-branch-opts,Interaction,-0.0748422770761885,1.0
MatchBranchSimplification,preheader-prot,Interaction,-0.0747906618580489,1.0
MatchBranchSimplification,promote-alloca-to-vector,Interaction,-0.0747291333406168,1.0
MatchBranchSimplification,select-optimize,Interaction,-0.0721772616665985,1.0
UnreachableEnumBranching,promote-alloca-to-vector,Interaction,-0.0721502220097334,1.0
MatchBranchSimplification,preinline,Interaction,-0.071223974794973,1.0
UnreachablePropagation,replace-with-vec-lib,Interaction,-0.0708026553062262,1.0
MatchBranchSimplification,ifcvt-simple,Interaction,-0.070580188519842,1.0
UnreachableEnumBranching,advanced-peeling,Interaction,-0.0700845673311585,1.0
MatchBranchSimplification,cleanups,Interaction,-0.0696794328366881,1.0
MatchBranchSimplification,machine-dce,Interaction,-0.0695547425501375,1.0
MatchBranchSimplification,cgp-store-extract,Interaction,-0.0688366292454207,1.0
MatchBranchSimplification,early-ifcvt,Interaction,-0.0676844716276972,1.0
UnreachablePropagation,cgp-ext-ld-promotion,Interaction,-0.0676749050938325,1.0
MatchBranchSimplification,chr,Interaction,-0.0675166425918942,1.0
MatchBranchSimplification,postra-machine-sink,Interaction,-0.0673026753321428,1.0
MatchBranchSimplification,cgp-gc-opts,Interaction,-0.0668950262980732,1.0
MatchBranchSimplification,memop-opt,Interaction,-0.0668209322694228,1.0
UnreachablePropagation,cgp-gc-opts,Interaction,-0.0663348158217926,1.0
MatchBranchSimplification,licm-promotion,Interaction,-0.0659916007870875,1.0
MatchBranchSimplification,ondemand-mds-loading,Interaction,-0.0659463670001936,1.0
MatchBranchSimplification,type-promotion,Interaction,-0.0657495933116343,1.0
MatchBranchSimplification,cgp-delete-phis,Interaction,-0.0657062426514958,1.0
MatchBranchSimplification,tail-calls,Interaction,-0.0649122538197564,1.0
MatchBranchSimplification,loop-idiom-vectorize-bytecmp,Interaction,-0.0648029285068556,1.0
MatchBranchSimplification,loop-level-heuristics,Interaction,-0.0642170265661126,1.0
MatchBranchSimplification,ifcvt-forked-diamond,Interaction,-0.0641064936394335,1.0
UnreachablePropagation,2addr-hack,Interaction,-0.0639340706657272,1.0
MatchBranchSimplification,mergeicmps,Interaction,-0.0634230984003014,1.0
UnreachablePropagation,ssc,Interaction,-0.0626899921393051,1.0
MatchBranchSimplification,copyprop,Interaction,-0.0624198960577597,1.0
ReferencePropagation,gep-const-evaluation,Interaction,-0.0621297213653648,1.0
MatchBranchSimplification,gep-const-evaluation,Interaction,-0.0619856843148438,1.0
MatchBranchSimplification,ifcvt-diamond,Interaction,-0.0618639704078152,1.0
MatchBranchSimplification,peephole,Interaction,-0.0616892531677701,1.0
MatchBranchSimplification,machine-cse,Interaction,-0.0616405640013066,1.0
MatchBranchSimplification,machine-sink,Interaction,-0.0614359703886626,1.0
UnreachablePropagation,expand-reductions,Interaction,-0.061099558438828,1.0
UnreachablePropagation,cgdata-for-merging,Interaction,-0.0610716548317986,1.0
UnreachableEnumBranching,lftr,Interaction,-0.0604222152596505,1.0
UnreachablePropagation,cfi-fixup,Interaction,-0.0603892313098692,1.0
MatchBranchSimplification,ra-fsprofile-loader,Interaction,-0.060252558385065,1.0
UnreachablePropagation,cgp-delete-phis,Interaction,-0.0600806636618314,1.0
UnreachablePropagation,ondemand-mds-loading,Interaction,-0.0600051992631054,1.0
MatchBranchSimplification,expand-reductions,Interaction,-0.059942844232752,1.0
UnreachablePropagation,preinline,Interaction,-0.0587303998920325,1.0
