ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_DBL_0353,DestinationPropagation,chr,3,3.686324,29.157475,15027712.0,-54.41394607839197,-1.9531639202264095,-0.2040053041379076
EXP_DBL_0681,GVN,block-placement,3,4.856113,38.203243,14972416.0,-39.9480270677722,28.464728311925423,-0.5712148515861412
EXP_DBL_0678,GVN,machine-licm,3,4.864581,34.584976,14977536.0,-39.84330954847433,16.297706598218923,-0.5372139675631566
EXP_DBL_1193,MatchBranchSimplification,tail-calls,3,6.709861,24.676141,15030272.0,-17.024090841582357,-17.02239128359433,-0.1870048621264153
EXP_DBL_1190,MatchBranchSimplification,ifcvt-triangle,3,6.728111,24.515998,15030272.0,-16.798406532750754,-17.56089862932037,-0.1870048621264153
EXP_DBL_1175,MatchBranchSimplification,lsr,3,6.74546,24.37599,15026688.0,-16.583864227330515,-18.03169870463062,-0.2108054809425045
EXP_DBL_1093,JumpThreading,machine-licm,3,6.887827,24.667302,14980608.0,-14.82331639196456,-17.052113884200498,-0.5168134371493659
EXP_DBL_1204,MatchBranchSimplification,demotion,3,6.953186,24.579196,15015424.0,-14.015069776023484,-17.34838489325202,-0.2856074257930706
EXP_DBL_1179,MatchBranchSimplification,block-placement,3,6.964024,24.549554,14967808.0,-13.88104421223625,-17.44806102484697,-0.6018156472068273
EXP_DBL_0926,InstSimplify-after-simplifycfg,lsr,3,7.037925,24.466194,15024128.0,-12.96716497349848,-17.728372823300365,-0.2278059229539968
EXP_DBL_1013,InstSimplify-before-inline,block-placement,3,7.050408,25.079993,14967296.0,-12.81279690625767,-15.664372084590003,-0.6052157356091259
EXP_DBL_0829,ImpossiblePredicates,spill-fusing,3,7.104416,24.372724,15043584.0,-12.144919747278104,-18.04268117024661,-0.09860256366665535
EXP_DBL_0930,InstSimplify-after-simplifycfg,block-placement,3,7.144541,24.835789,14964224.0,-11.648723424436012,-16.4855484573049,-0.6256162660229165
