t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,ForceInline,copyprop,0.9934876783168823,0.9479233741335629,0.9982319540308048,1.0608003208257681
2,Inline,non-allocatable-phys-copy-opt,0.8643836400764383,0.8868562248302383,0.9998639964639081,1.204752898579046
3,ScalarReplacementOfAggregates,machine-cse,1.0624611312880439,0.9414872995653788,0.9980279487266669,1.2114889239195796
4,,partial-libcall-inlining,0.9476993617895071,0.8553355060860378,0.9980959504947129,1.221532095520963
5,InstSimplify-before-inline,ifcvt-simple,0.868722714612484,0.8353931509161262,0.9980959504947129,1.2254897484481426
6,JumpThreading,interleaved-load-combine,0.85379181172809,0.8396786663722317,0.9982659549148278,1.237849313746561
7,DestinationPropagation,preheader-prot,0.9469601065576192,0.8629413847382666,0.997925946074598,1.3085805310124528
8,ScalarReplacementOfAggregates,ra-fsprofile-loader,1.0827807571541614,0.9413808712014027,0.9980619496106898,1.3085805310124528
9,UnreachablePropagation,type-promotion,0.9732823167254826,0.9187756884528049,0.9980959504947129,1.3085805310124528
10,DataflowConstProp,expand-reductions,0.9331494634834749,0.8567094575943162,0.9980959504947129,1.3085805310124528
11,JumpThreading,cgp-select2branch,0.8764336982164261,0.8404213110541946,0.9982659549148278,1.3085805310124528
12,UnreachablePropagation,separate-const-offset-from-gep,1.0639784718192022,0.9795568430529331,0.9980959504947129,1.3085805310124528
13,EarlyOtherwiseBranch,spill-fusing,0.9038362251634418,0.8642614327181235,0.9990139743633335,1.3085805310124528
14,DeadStoreElimination-initial,expand-reductions,0.9117898348572073,0.8606261558952587,0.9980959504947129,1.3085805310124528
15,ImpossiblePredicates,nofree-inference,0.8873829115798556,0.8298334878646276,0.9980959504947129,1.3090995016065878
16,DataflowConstProp,,0.9912026401477917,0.9538756956388211,0.9980959504947129,1.3090995016065878
17,InstSimplify-after-simplifycfg,peephole,0.9015871728211292,0.8438015969500354,1.0006460167964366,1.3090995016065878
18,DeadStoreElimination-initial,vp,0.9445340929846558,0.8631016493773537,0.9980959504947129,1.3090995016065878
19,EnumSizeOpt,binop-extract-shuffle,0.9263361469468252,0.8629310613550942,0.9980959504947129,1.3090995016065878
20,SingleUseConsts,spill-fusing,1.1062197729875545,0.9463140024116364,0.9990139743633335,1.3090995016065878
21,SingleUseConsts,cgdata-for-merging,1.0527176286156326,0.9422169979850571,0.9980959504947129,1.3090995016065878
22,CopyProp,replace-with-vec-lib,0.947055574111821,0.8560209518273615,0.9981299513787358,1.3090995016065878
23,ForceInline,,1.028663514835868,0.9622086498316161,0.9980959504947129,1.3090995016065878
24,ForceInline,gep-const-evaluation,1.0684602530360103,0.9555320774248357,0.9980959504947129,1.3090995016065878
25,InstSimplify-after-simplifycfg,licm-promotion,0.8895667937135356,0.8388332250050633,0.997891945190575,1.3340671359970406
26,DataflowConstProp,licm-promotion,0.946826056261305,0.849488805905029,0.9980959504947129,1.3340671359970406
27,InstSimplify-after-simplifycfg,loop-level-heuristics,0.8872259836960708,0.8350948488570955,0.997925946074598,1.334067157345544
28,ScalarReplacementOfAggregates,ifcvt-diamond,1.0765245407880797,0.9843796115805223,0.9980619496106898,1.334067157345544
