pass,side,weighted_degree,degree
MatchBranchSimplification,MIR,4.063443420676901,56
UnreachablePropagation,MIR,2.0230698869081305,26
DeadStoreElimination-initial,MIR,0.934829092739344,9
machine-licm,LLVM,0.4055456034685706,5
UnreachableEnumBranching,MIR,0.3157202362877517,3
replace-with-vec-lib,LLVM,0.291612804162259,3
ondemand-mds-loading,LLVM,0.2612347223277131,3
loop-level-heuristics,LLVM,0.2134402751985943,2
ReferencePropagation,MIR,0.1823787316312403,3
2addr-hack,LLVM,0.1817486677062797,2
cgp-store-extract,LLVM,0.1810018471179217,2
vector-combine,LLVM,0.1711370483763161,2
licm-promotion,LLVM,0.1659743976500162,2
ra-fsprofile-loader,LLVM,0.1644170477828365,2
sample-loader-inlining,LLVM,0.1628467632693272,2
binop-extract-shuffle,LLVM,0.1617479692190468,2
cleanups,LLVM,0.1604976935350945,2
constant-hoisting,LLVM,0.1574672210150613,2
cgp-ext-ld-promotion,LLVM,0.15636056261177422,2
memop-opt,LLVM,0.1550451605757151,2
lsr,LLVM,0.15474431817961448,2
ifcvt-simple-false,LLVM,0.14942736693557668,2
ssc,LLVM,0.1486515479897802,2
cgp-gc-opts,LLVM,0.1470909601472948,2
tail-duplicate,LLVM,0.1430855713061406,2
lftr,LLVM,0.1424244103007454,2
preinline,LLVM,0.1405874468752346,2
promote-alloca-to-vector,LLVM,0.1391206969669571,2
expand-reductions,LLVM,0.1348886043501184,2
cgp-delete-phis,LLVM,0.1316046081061874,2
cgdata-for-merging,LLVM,0.1310763271492606,2
peephole,LLVM,0.13034955474099238,2
gep-const-evaluation,LLVM,0.12703166551458128,2
postra-machine-sink,LLVM,0.1233885178604773,2
whole-program-visibility,LLVM,0.1060089511453363,1
nounwind-inference,LLVM,0.1027843529332317,1
nofree-inference,LLVM,0.1014801714721636,1
cgp-select2branch,LLVM,0.0919512673854834,1
vp,LLVM,0.0881566391231896,1
thinlto-funcattrs,LLVM,0.0875180127349182,1
demotion,LLVM,0.0872127160446889,1
ifcvt-triangle,LLVM,0.0864407046979316,1
ifcvt-triangle-false,LLVM,0.0828825011376732,1
ifcvt-triangle-rev,LLVM,0.0825223505099828,1
postra-machine-licm,LLVM,0.0820321195353734,1
advanced-peeling,LLVM,0.0809053350146609,1
ifcvt-simple,LLVM,0.0788455680119675,1
cgp-branch-opts,LLVM,0.0768497162743653,1
cfi-fixup,LLVM,0.0741671803313765,1
machine-dce,LLVM,0.0734703001076559,1
