ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),BenchName,BenchFilter,BenchRepeat,Status
EXP_000_ALL_OFF,hyper,1,None,All,173078800,42831210.40,4896,13.037859,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,2,None,All,173078800,43272462.30,4846,13.082650,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,3,None,All,173078800,42263311.30,4962,12.785553,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,4,None,All,173078800,43209016.00,4853,13.047164,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,5,None,All,173078800,43098236.50,4865,13.029905,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,6,None,All,173078800,43196422.50,4854,13.134821,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,7,None,All,173078800,43119944.80,4863,13.024393,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,8,None,All,173078800,42409833.40,4944,12.818797,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,9,None,All,173078800,43054074.10,4870,13.010665,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_000_ALL_OFF,hyper,10,None,All,173078800,42399467.00,4946,12.897575,53.289461,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,1,None,CopyProp,173009584,43598088.70,4810,13.156130,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,2,None,CopyProp,173009584,44555987.30,4706,13.453585,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,3,None,CopyProp,173009584,44489742.80,4713,13.436273,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,4,None,CopyProp,173009584,43166714.60,4858,13.022497,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,5,None,CopyProp,173009584,43130414.50,4862,13.121802,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,6,None,CopyProp,173009584,43807896.70,4787,13.239312,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,7,None,CopyProp,173009584,43817635.50,4786,13.225824,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,8,None,CopyProp,173009584,44095622.50,4755,13.313012,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,9,None,CopyProp,173009584,43175618.70,4857,13.144690,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_001_CopyProp,hyper,10,None,CopyProp,173009584,43041854.00,4872,12.981686,48.902416,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,1,None,DataflowConstProp,173009216,44547227.20,4707,13.449443,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,2,None,DataflowConstProp,173009216,44708527.80,4690,13.480257,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,3,None,DataflowConstProp,173009216,44402068.90,4723,13.414446,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,4,None,DataflowConstProp,173009216,44494442.80,4713,13.525265,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,5,None,DataflowConstProp,173009216,43936298.70,4773,13.247123,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,6,None,DataflowConstProp,173009216,43850329.90,4782,13.281595,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,7,None,DataflowConstProp,173009216,44171378.50,4747,13.364917,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,8,None,DataflowConstProp,173009216,43304237.20,4842,13.171265,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,9,None,DataflowConstProp,173009216,44150404.70,4750,13.335495,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_002_DataflowConstProp,hyper,10,None,DataflowConstProp,173009216,43207671.90,4853,13.059058,48.628610,end_to_end,http1_consecutive_x1_both_100mb,1,Success
EXP_ABL_003_DeadStoreElimination-final,hyper,1,None,DeadStoreElimination-final,173009576,44291245.30,4734,13.371098,48.340787,end_to_end,http1_consecutive_x1_both_100mb,1,Success
