Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
hyper,EXP_000_ALL_OFF,10,12.986938,13.027149,0.118990,42885397.830000,43076155.300000,662125.425000,4889.900000,4867.500000,75.750000,53.289461,53.289461,0.000000,173078800.000000,173078800
hyper,EXP_001_DISABLE_ALL,10,12.884170,12.878136,0.129673,42495873.660000,42390415.950000,403953.250000,4934.900000,4947.000000,47.750000,44.757968,44.757968,0.000000,173182488.000000,173182488
hyper,EXP_ABL_001_CopyProp,10,13.209481,13.190977,0.167063,43687957.530000,43702992.700000,857185.125000,4800.600000,4798.500000,95.000000,48.902416,48.902416,0.000000,173009584.000000,173009584
hyper,EXP_ABL_001_disable-binop-extract-shuffle,10,13.039585,13.026158,0.094239,43162747.360000,42965583.650000,302319.725000,4858.700000,4880.500000,34.500000,48.917858,48.917858,0.000000,173009232.000000,173009232
hyper,EXP_ABL_002_DataflowConstProp,10,13.332886,13.350206,0.184953,44077258.760000,44160891.600000,599527.225000,4758.000000,4748.500000,64.250000,48.628610,48.628610,0.000000,173009216.000000,173009216
hyper,EXP_ABL_002_disable-expand-reductions,10,13.015053,12.981255,0.210943,43010184.610000,42819416.350000,648528.900000,4875.700000,4897.000000,73.500000,48.841719,48.841719,0.000000,173009216.000000,173009216
hyper,EXP_ABL_003_DeadStoreElimination-final,10,13.400565,13.410972,0.106342,44318028.700000,44358407.550000,370555.325000,4731.800000,4727.000000,39.250000,48.340787,48.340787,0.000000,173009576.000000,173009576
hyper,EXP_ABL_003_disable-interleaved-load-combine,10,13.132624,13.197782,0.134114,43432404.020000,43663684.300000,526312.775000,4829.000000,4802.500000,58.000000,48.404101,48.404101,0.000000,173009216.000000,173009216
hyper,EXP_ABL_004_DeadStoreElimination-initial,10,13.255738,13.204221,0.178216,43851171.790000,43676340.150000,665942.525000,4782.500000,4801.000000,73.000000,48.350741,48.350741,0.000000,173009376.000000,173009376
hyper,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,13.165730,13.181148,0.286487,43577793.730000,43717643.200000,955321.550000,4812.800000,4796.500000,105.750000,48.440479,48.440479,0.000000,173009216.000000,173009216
hyper,EXP_ABL_005_DestinationPropagation,10,13.306939,13.387391,0.252518,44052938.440000,44311682.300000,801810.675000,4760.800000,4732.500000,86.750000,48.337638,48.337638,0.000000,173009192.000000,173009192
hyper,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,13.054726,13.102563,0.142152,43233744.290000,43342950.700000,614436.125000,4851.000000,4838.000000,68.250000,48.485439,48.485439,0.000000,173009216.000000,173009216
hyper,EXP_ABL_006_EarlyOtherwiseBranch,10,13.256843,13.255899,0.086218,43848140.720000,43856229.800000,317986.450000,4782.600000,4781.000000,34.000000,48.722594,48.722594,0.000000,173009280.000000,173009280
