mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
CopyProp,ondemand-mds-loading,6.591179078475226,6.442852343380518,6.49051249907677,6.606306967913771,-0.0404441981675831,0.960362753017634,-3.963724698236604,-2.2503824176026037,-1.5272924343263885,0.2295171965202458,-0.0793299683697602,-0.0011908393417586,0.0409795102448775,10,10,10,10,0.0404441981675831,841,weak,0.058999121428011,False,True,independent
CopyProp,layout-fsprofile-loader,6.591179078475226,6.442852343380518,6.468626047244398,6.567935341245999,-0.0379966984171911,0.962716119372942,-3.7283880627057897,-2.2503824176026037,-1.8593491357418608,-0.3526491535502996,-0.0717983694124997,1.1120989570749888e-05,0.0519740129935032,10,10,10,10,0.0379966984171911,899,weak,0.0726236208495079,False,True,independent
CopyProp,advanced-peeling,6.591179078475226,6.442852343380518,6.426818509290221,6.5164741727711935,-0.0366147307531847,0.964047481657456,-3.595251834254387,-2.2503824176026037,-2.4936444182158013,-1.133407313237711,-0.0709703777492725,0.0006271575559638,0.0579710144927536,10,10,10,10,0.0366147307531847,930,weak,0.0798604846954116,False,True,independent
CopyProp,ra-fsprofile-loader,6.591179078475226,6.442852343380518,6.4886222985193065,6.568249739848684,-0.0349580669648474,0.965645907872392,-3.435409212760787,-2.2503824176026037,-1.555970164592224,-0.3478791632504974,-0.0673174226443503,-0.0013250320261299,0.0379810094952523,10,10,10,10,0.0349580669648474,966,weak,0.0550641709712829,False,True,independent
CopyProp,cgp,6.591179078475226,6.442852343380518,6.540637905079871,6.615895036407156,-0.0342012920970271,0.9663769610131154,-3.362303898688457,-2.2503824176026037,-0.7668001854236883,0.3749853802735403,-0.0681550650967376,-0.0001462983790016,0.048975512243878,10,10,10,10,0.0342012920970271,978,weak,0.0690147286288943,False,True,independent
EarlyOtherwiseBranch,icp,6.591179078475226,6.445693519834575,6.8827484258224985,6.507395432587617,0.0337587482859171,1.034335041523608,3.433504152360811,-2.2072766785500075,4.423629579409383,-1.2711480736613656,0.0005328529698879,0.0654518576006858,0.0499750124937531,10,10,10,10,0.0337587482859171,984,weak,0.0701255458492224,False,True,independent
CopyProp,ssc,6.591179078475226,6.442852343380518,6.512107060336408,6.57646875743308,-0.0325957685743638,0.9679297481403588,-3.2070251859641297,-2.2503824176026037,-1.1996642360551646,-0.2231819355384301,-0.0682633742079348,0.0022021400500239,0.0689655172413793,10,10,10,10,0.0325957685743638,1008,weak,0.092924317062248,False,True,independent
ForceInline,vp,6.591179078475226,6.425044270686803,6.603345556117193,6.650103861760212,-0.0325847805300507,0.967940383853756,-3.205961614624397,-2.5205627977999856,0.1845872718236219,0.8939945734051769,-0.0655607359805254,-0.0009703329478175,0.048975512243878,10,10,10,10,0.0325847805300507,1010,weak,0.0690147286288943,False,True,independent
ForceInline,preinline,6.591179078475226,6.425044270686803,6.538371262166847,6.583928687681484,-0.0324722709084599,0.9680492925865912,-3.1950707413408885,-2.5205627977999856,-0.8011892209215277,-0.1100014232266688,-0.0636225382937853,-0.0002991591750692,0.047976011994003,10,10,10,10,0.0324722709084599,1011,weak,0.0677212414201062,False,True,independent
CopyProp,loop-level-heuristics,6.591179078475226,6.442852343380518,6.483016533816201,6.541945943220795,-0.0318096488534707,0.9686909559648512,-3.130904403514889,-2.2503824176026037,-1.6410196623582896,-0.7469549024272548,-0.0609252440120358,0.0008475980281663,0.0589705147426286,10,10,10,10,0.0318096488534707,1022,weak,0.0809686141213925,False,True,independent
EnumSizeOpt,tail-calls,6.591179078475226,6.4513664919599725,6.538456701897761,6.604174965607373,-0.0314411445384941,0.9690479885419852,-3.095201145801474,-2.121207523731805,-0.7998929470698024,0.197170900341459,-0.0630240381210593,-0.000278035609298,0.0499750124937531,10,10,10,10,0.0314411445384941,1029,weak,0.0701255458492224,False,True,independent
DestinationPropagation,ondemand-mds-loading,6.591179078475226,6.449971606483379,6.49051249907677,6.553106803667457,-0.0312542864161382,0.96922907994827,-3.077092005172988,-2.142370436466934,-1.5272924343263885,-0.5776246458255363,-0.0638346944586134,0.0003221577747787,0.0519740129935032,10,10,10,10,0.0312542864161382,1033,weak,0.0726236208495079,False,True,independent
CopyProp,cgp-store-extract,6.591179078475226,6.442852343380518,6.499713158044838,6.553948738204474,-0.0310705817286849,0.9694071482289608,-3.059285177103921,-2.2503824176026037,-1.3877019474267782,-0.5648509898985354,-0.060704153927227,0.0021408689408257,0.0719640179910044,10,10,10,10,0.0310705817286849,1039,weak,0.0964945637036086,False,True,independent
CopyProp,lftr,6.591179078475226,6.442852343380518,6.400532965865664,6.453698884879139,-0.0310330734761137,0.969443509679044,-3.0556490320956087,-2.2503824176026037,-2.8924432235827746,-2.0858209427969454,-0.0642655310100287,0.0046541533668966,0.0919540229885057,10,10,10,10,0.0310330734761137,1042,weak,0.1207624036083224,False,True,independent
Inline,constant-hoisting,6.591179078475226,6.796209734277662,6.835961713156439,7.270681330195338,-0.0310200278202887,0.9694561567879076,-3.054384321209236,3.110682525255659,3.713791292374369,10.309267031435375,-0.0601427707068724,0.001208275976302,0.0599700149925037,10,10,10,10,0.0310200278202887,1044,weak,0.0819343414712397,False,True,independent
DeadStoreElimination-initial,type-promotion,6.591179078475226,6.439798950648241,6.527602908992805,6.578168176258463,-0.0309514580617793,0.9695226344416163,-3.047736555838365,-2.296707857951341,-0.9645644387062724,-0.1973987060866266,-0.0564378250892751,-0.0021783481873987,0.0369815092453773,10,10,10,10,0.0309514580617793,1049,weak,0.0539923529879739,False,True,independent
CopyProp,preinline,6.591179078475226,6.442852343380518,6.538371262166847,6.589224593166282,-0.0305084847885754,0.9699522021929324,-3.004779780706768,-2.2503824176026037,-0.8011892209215277,-0.0296530451634469,-0.0654446067228483,0.0064396467129128,0.1069465267366316,10,10,10,10,0.0305084847885754,1061,weak,0.1395685804896294,False,True,independent
InstSimplify-after-simplifycfg,preinline,6.591179078475226,6.427677895275948,6.538371262166847,6.572861209210593,-0.0303800566672987,0.9700767793314208,-2.992322066857911,-2.480605992533613,-0.8011892209215277,-0.2779149078873111,-0.0684810374672774,0.0063990277785034,0.1139430284857571,10,10,10,10,0.0303800566672987,1064,weak,0.1482330934846056,False,True,independent
GVN,ssc,6.591179078475226,6.595301461366473,6.512107060336408,6.715861282564061,-0.0301837713330037,0.9702672098650929,-2.973279013490726,0.0625439370128821,-1.1996642360551646,1.8916525041173584,-0.0599074817387679,-0.0021578904378862,0.0349825087456271,10,10,10,10,0.0301837713330037,1067,weak,0.0512089634195248,False,True,independent
InstSimplify-before-inline,postra-machine-sink,6.591179078475226,6.382544076279106,6.61994154212097,6.606225382308671,-0.0300913807331182,0.9703568575759006,-2.964314242409938,-3.1653669201229584,0.436378124509984,0.2282793966648988,-0.0575533886174581,-0.0014474228659949,0.0419790104947526,10,10,10,10,0.0300913807331182,1069,weak,0.0600216687521872,False,True,independent
InstSimplify-after-simplifycfg,tail-calls,6.591179078475226,6.427677895275948,6.538456701897761,6.569955743431956,-0.0299248518633055,0.970518463462357,-2.948153653764296,-2.480605992533613,-0.7998929470698024,-0.3219960312196401,-0.0570058704421708,-0.0025858061906357,0.0379810094952523,10,10,10,10,0.0299248518633055,1072,weak,0.0550641709712829,False,True,independent
EarlyOtherwiseBranch,layout-fsprofile-loader,6.591179078475226,6.445693519834575,6.468626047244398,6.5159821501451125,-0.0296142382257911,0.9708199665556302,-2.9180033444369813,-2.2072766785500075,-1.8593491357418608,-1.1408721783282003,-0.0613160668974978,0.0053741316492236,0.0899550224887556,10,10,10,10,0.0296142382257911,1079,weak,0.1183243560470161,False,True,independent
InstSimplify-after-simplifycfg,nofree-inference,6.591179078475226,6.427677895275948,6.5751685286118535,6.604743908120259,-0.0296068702000749,0.9708271196084616,-2.9172880391538536,-2.480605992533613,-0.2429087371583871,0.2058027779784144,-0.0572129034722233,-0.0018895183379405,0.0399800099950025,10,10,10,10,0.0296068702000749,1080,weak,0.0576601360483963,False,True,independent
CopyProp,select-optimize,6.591179078475226,6.442852343380518,6.52183449035658,6.566529276452701,-0.0295906239052721,0.9708428920801708,-2.915710791982906,-2.2503824176026037,-1.052081688162665,-0.3739816765565229,-0.0603630197095212,0.0044790453274156,0.0789605197401299,10,10,10,10,0.0295906239052721,1082,weak,0.1051118386275987,False,True,independent
CopyProp,type-promotion,6.591179078475226,6.442852343380518,6.527602908992805,6.571586215692071,-0.0294763489016742,0.970953841494408,-2.9046158505592,-2.2503824176026037,-0.9645644387062724,-0.2972588447359703,-0.0614453654926066,0.0044497690468471,0.0859570214892553,10,10,10,10,0.0294763489016742,1086,weak,0.1136056175733789,False,True,independent
Inline,postra-machine-sink,6.591179078475226,6.796209734277662,6.61994154212097,7.0299256808723545,-0.0294567817317892,0.9709728404990527,-2.9027159500947253,3.110682525255659,0.436378124509984,6.656572324516885,-0.0606985451734607,0.0011893015665764,0.0619690154922538,10,10,10,10,0.0294567817317892,1087,weak,0.0843184964894601,False,True,independent
InstSimplify-after-simplifycfg,sample-loader-inlining,6.591179078475226,6.427677895275948,6.462516333332718,6.4895046101254,-0.0292863441778625,0.9711383448385934,-2.88616551614066,-2.480605992533613,-1.952044446230894,-1.5425839161594457,-0.0545478844080036,-0.0023484592578179,0.0369815092453773,10,10,10,10,0.0292863441778625,1092,weak,0.0539923529879739,False,True,independent
CopyProp,ifcvt-simple,6.591179078475226,6.442852343380518,6.441079269159642,6.483082489563273,-0.0292608749691354,0.971163079278783,-2.883692072121702,-2.2503824176026037,-2.2772831314167075,-1.640018995462622,-0.0565910801277613,-0.0003294763317344,0.0499750124937531,10,10,10,10,0.0292608749691354,1094,weak,0.0701255458492224,False,True,independent
CopyProp,post-ra,6.591179078475226,6.442852343380518,6.48786079843398,6.529460879361272,-0.0291524172752351,0.9712684150988996,-2.8731584901100504,-2.2503824176026037,-1.567523485724298,-0.9363756981737414,-0.0590448494826302,0.0017518906663842,0.0659670164917541,10,10,10,10,0.0291524172752351,1095,weak,0.0893191251030276,False,True,independent
UnreachablePropagation,mergeicmps,6.591179078475226,6.397942348636978,6.764774537709782,6.759955430665855,-0.0290431848367156,0.9713745149110028,-2.8625485088997205,-2.9317475301088303,2.633754251973897,2.560639760825212,-0.0579826610611404,0.0039028008027136,0.0889555222388805,10,10,10,10,0.0290431848367156,1098,weak,0.1171024321304851,False,True,independent
EarlyOtherwiseBranch,licm-promotion,6.591179078475226,6.445693519834575,6.390819786265056,6.432630977912167,-0.0288410900255569,0.9715708444980854,-2.8429155501914605,-2.2072766785500075,-3.0398095670694403,-2.4054588515251885,-0.0541093086366136,-0.0017791523141043,0.0389805097451274,10,10,10,10,0.0288410900255569,1104,weak,0.0563164892749447,False,True,independent
GVN,spill-fusing,6.591179078475226,6.595301461366473,6.424741061245685,6.61513167184912,-0.0285781303283141,0.9718263620671436,-2.8173637932856543,0.0625439370128821,-2.52516302846445,0.3634037717487715,-0.0549153002729077,0.0009865195213186,0.0569715142428785,10,10,10,10,0.0285781303283141,1110,weak,0.0787449738910727,False,True,independent
UnreachableEnumBranching,tail-calls,6.591179078475226,6.4578908249752605,6.538456701897761,6.59052706388826,-0.0283616503965074,0.972036765744997,-2.796323425500302,-2.022221698318649,-0.7998929470698024,-0.0098922298909287,-0.0539312815934575,0.0001458722734718,0.0519740129935032,10,10,10,10,0.0283616503965074,1114,weak,0.0726236208495079,False,True,independent
CopyProp,phi-elim-edge-splitting,6.591179078475226,6.442852343380518,6.490438019650987,6.525243654717617,-0.0281091736513561,0.9722822134073892,-2.7717786592610816,-2.2503824176026037,-1.528422420705089,-1.000358554555647,-0.0602949131823871,0.0072431696687768,0.1239380309845077,10,10,10,10,0.0281091736513561,1119,weak,0.1597337976974245,False,True,independent
EnumSizeOpt,preinline,6.591179078475226,6.4513664919599725,6.538371262166847,6.581979398622363,-0.0280877128551133,0.9723030795817632,-2.7696920418236792,-2.121207523731805,-0.8011892209215277,-0.1395756319670593,-0.0585440922079668,0.0024140074198313,0.0789605197401299,10,10,10,10,0.0280877128551133,1120,weak,0.1051118386275987,False,True,independent
DeadStoreElimination-initial,phi-elim-edge-splitting,6.591179078475226,6.439798950648241,6.490438019650987,6.521164250157248,-0.0279578371308877,0.9724293663490058,-2.7570633650994214,-2.296707857951341,-1.528422420705089,-1.0622504332589822,-0.0531302633158832,-0.0017116871265882,0.0399800099950025,10,10,10,10,0.0279578371308877,1122,weak,0.0576601360483963,False,True,independent
EnumSizeOpt,ssc,6.591179078475226,6.4513664919599725,6.512107060336408,6.554124694967645,-0.0278717911087411,0.9725130436277956,-2.748695637220444,-2.121207523731805,-1.1996642360551646,-0.5621814104336598,-0.0536173977143782,-0.0002283378883794,0.0499750124937531,10,10,10,10,0.0278717911087411,1123,weak,0.0701255458492224,False,True,independent
GVN,type-promotion,6.591179078475226,6.595301461366473,6.527602908992805,6.716230038912045,-0.0278619602139094,0.9725226043482452,-2.747739565175489,0.0625439370128821,-0.9645644387062724,1.8972471988387696,-0.0520440893366618,-0.0013163607571089,0.0389805097451274,10,10,10,10,0.0278619602139094,1124,weak,0.0563164892749447,False,True,independent
GVN,ondemand-mds-loading,6.591179078475226,6.595301461366473,6.49051249907677,6.67780551658257,-0.0278226791309292,0.9725608068396792,-2.743919316032073,0.0625439370128821,-1.5272924343263885,1.3142783267752425,-0.0581452350775059,0.0029606301652477,0.0709645177411294,10,10,10,10,0.0278226791309292,1125,weak,0.0952312849234235,False,True,independent
DeadStoreElimination-initial,2addr-hack,6.591179078475226,6.439798950648241,6.758851033423935,6.422825641076682,0.0277598271893235,1.028148721397499,2.814872139749891,-2.296707857951341,2.543884075252545,-2.554223385438492,-0.0002515700221894,0.0557492038555539,0.0569715142428785,10,10,10,10,0.0277598271893235,1126,weak,0.0787449738910727,False,True,independent
SingleUseConsts,separate-const-offset-from-gep,6.591179078475226,6.41181074317643,6.817704541204001,6.816525922604103,-0.0274176424708474,0.9729548094079636,-2.704519059203625,-2.721339128602318,3.436797271500902,3.418915514900678,-0.0535841212791981,-6.539307466392239e-05,0.0509745127436281,10,10,10,10,0.0274176424708474,1131,weak,0.0714073343075297,False,True,independent
DeadStoreElimination-initial,binop-extract-shuffle,6.591179078475226,6.439798950648241,6.423119224882561,6.449274537433382,-0.0272987204504315,0.9730705220399256,-2.69294779600745,-2.296707857951341,-2.549769192912643,-2.1529462233132235,-0.0511966077367421,-0.0017720292923086,0.0379810094952523,10,10,10,10,0.0272987204504315,1132,weak,0.0550641709712829,False,True,independent
CopyProp,peephole,6.591179078475226,6.442852343380518,6.45040361747485,6.479502806878257,-0.0272619742151427,0.9731062793752508,-2.689372062474926,-2.2503824176026037,-2.1358160554324046,-1.6943291976646455,-0.0568771797622286,0.0051647966302298,0.0949525237381309,10,10,10,10,0.0272619742151427,1133,weak,0.1244050429402504,False,True,independent
