mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
GVN,lsr,6.591179078475226,6.595301461366473,6.565380016878451,5.652192841452962,0.1503920518329615,1.162289831274069,16.228983127406906,0.0625439370128821,-0.3914180041174497,-14.246104161980757,0.1339018790184661,0.1678846042126097,0.000999500249875,10,10,10,10,0.1503920518329615,11,extreme,0.0021055462116657,True,False,positive_interaction
GVN,i2p-p2i-opt,6.591179078475226,6.595301461366473,6.400165831663289,5.525803046525411,0.1475205604625105,1.158957113279067,15.895711327906705,0.0625439370128821,-2.898013307447944,-16.16366387963888,0.1294675129783805,0.1659996448553324,0.000999500249875,10,10,10,10,0.1475205604625105,13,extreme,0.0021055462116657,True,False,positive_interaction
GVN,icp,6.591179078475226,6.595301461366473,6.8827484258224985,6.612552362542749,0.0406735806619726,1.0415120803692806,4.151208036928056,0.0625439370128821,4.423629579409383,0.3242710266714077,0.0164499230476349,0.0661611432646948,0.000999500249875,10,10,10,10,0.0406735806619726,831,weak,0.0021055462116657,True,False,positive_interaction
DeadStoreElimination-final,icp,6.591179078475226,6.250640194331411,6.8827484258224985,6.268455898312994,0.0404396343090622,1.0412684509157883,4.126845091578835,-5.166585220782583,4.423629579409383,-4.896289060270675,0.0153894806714971,0.0658941748072371,0.0019990004997501,10,10,10,10,0.0404396343090622,842,weak,0.0038902002691503,True,False,positive_interaction
JumpThreading,constant-hoisting,6.591179078475226,5.743593668538004,6.835961713156439,5.728575267992332,0.0390831462232148,1.039856940233103,3.985694023310304,-12.859389797269747,3.713791292374369,-13.087245851048024,0.0155235139565961,0.0637045450829372,0.000999500249875,10,10,10,10,0.0390831462232148,878,weak,0.0021055462116657,True,False,positive_interaction
DeadStoreElimination-initial,icp,6.591179078475226,6.439798950648241,6.8827484258224985,6.481001836505008,0.0369080187900499,1.0375975769681325,3.759757696813226,-2.296707857951341,4.423629579409383,-1.6715862315139218,0.0129063178991132,0.0610533891998266,0.0029985007496251,10,10,10,10,0.0369080187900499,919,weak,0.0055305680493086,True,False,positive_interaction
DestinationPropagation,icp,6.591179078475226,6.449971606483379,6.8827484258224985,6.493444094977221,0.0365684623711848,1.037245313860658,3.72453138606581,-2.142370436466934,4.423629579409383,-1.4828148702131003,0.0121717511402126,0.0614334922931452,0.0039980009995002,10,10,10,10,0.0365684623711848,931,weak,0.0071056548813387,True,False,positive_interaction
JumpThreading,adv-copy-opt,6.591179078475226,5.743593668538004,6.801998423531986,5.715649742472097,0.0363613105465525,1.0370304688548364,3.7030468854836407,-12.859389797269747,3.198507316319632,-13.28334923962754,0.0151942397863575,0.0565496097543148,0.000999500249875,10,10,10,10,0.0363613105465525,938,weak,0.0021055462116657,True,False,positive_interaction
JumpThreading,separate-const-offset-from-gep,6.591179078475226,5.743593668538004,6.817704541204001,5.7303386491538,0.0361010448428502,1.0367606005103598,3.676060051035978,-12.859389797269747,3.436797271500902,-13.06049219831802,0.0121502410271304,0.0628402560379574,0.0029985007496251,10,10,10,10,0.0361010448428502,942,weak,0.0055305680493086,True,False,positive_interaction
DeadStoreElimination-initial,adv-copy-opt,6.591179078475226,6.439798950648241,6.801998423531986,6.410850152467214,0.0359896325229514,1.03664509904094,3.664509904093993,-2.296707857951341,3.198507316319632,-2.735913011329205,0.0139317575989377,0.0592474482223879,0.000999500249875,10,10,10,10,0.0359896325229514,945,weak,0.0021055462116657,True,False,positive_interaction
DeadStoreElimination-initial,constant-hoisting,6.591179078475226,6.439798950648241,6.835961713156439,6.447736371224306,0.03523311438965,1.0358611547971244,3.5861154797124373,-2.296707857951341,3.713791292374369,-2.176282961562359,0.0128548166370347,0.0589081697727988,0.0029985007496251,10,10,10,10,0.03523311438965,961,weak,0.0055305680493086,True,False,positive_interaction
DestinationPropagation,adv-copy-opt,6.591179078475226,6.449971606483379,6.801998423531986,6.4344545964460185,0.0338928500089374,1.0344737569356368,3.447375693563681,-2.142370436466934,3.198507316319632,-2.3777912898926057,0.0116578829057502,0.0570727068288943,0.0039980009995002,10,10,10,10,0.0338928500089374,982,weak,0.0071056548813387,True,False,positive_interaction
JumpThreading,cleanups,6.591179078475226,5.743593668538004,6.814632358498296,5.742734841038367,0.0334894049914149,1.0340564878308738,3.4056487830873783,-12.859389797269747,3.390186753577984,-12.87241974971699,0.0109257848140264,0.0564666998313836,0.0069965017491254,10,10,10,10,0.0334894049914149,987,weak,0.011743369973254,True,False,positive_interaction
GVN,machine-dce,6.591179078475226,6.595301461366473,6.7691865481454885,6.552658402123255,0.0331353379727807,1.0336904273419254,3.36904273419254,0.0625439370128821,2.7006923579360853,-0.5844277009217969,0.0073055812965443,0.0581490460254975,0.0119940029985007,10,10,10,10,0.0331353379727807,994,weak,0.0194434032983508,True,False,positive_interaction
JumpThreading,icp,6.591179078475226,5.743593668538004,6.8827484258224985,5.802926375014607,0.0330085521768748,1.033559378386123,3.3559378386123,-12.859389797269747,4.423629579409383,-11.959206297926428,0.0074620084943892,0.0574803695943952,0.0139930034982508,10,10,10,10,0.0330085521768748,1002,weak,0.0223135310346747,True,False,positive_interaction
GVN,separate-const-offset-from-gep,6.591179078475226,6.595301461366473,6.817704541204001,6.601360152914162,0.0328723699538995,1.0334186355559507,3.3418635555950704,0.0625439370128821,3.436797271500902,0.1544651467926927,0.0070349453554233,0.0589991179037369,0.0129935032483758,10,10,10,10,0.0328723699538995,1004,weak,0.0209004025119223,True,False,positive_interaction
