mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,machine-licm,6.591179078475226,5.743593668538004,6.361458072059072,6.859471241012768,-0.2130199152750183,0.8081400427250216,-19.18599572749784,-12.859389797269749,-3.4852793966158813,4.070472966114691,-0.23900758748477535,-0.18600730904761947,3.999920001599968e-05,10,10,10,10,0.2130199152750183,1,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,lftr,6.591179078475226,5.743593668538004,6.400532965865664,6.760137947052673,-0.19230919616782316,0.825051726217206,-17.4948273782794,-12.859389797269749,-2.8924432235827746,2.5634088615376083,-0.22404797905467136,-0.16235491113440095,3.999920001599968e-05,10,10,10,10,0.19230919616782316,2,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,cgp,6.591179078475226,5.743593668538004,6.540637905079871,6.905613605894055,-0.19194710996110897,0.8253505201584129,-17.46494798415871,-12.859389797269749,-0.7668001854236883,4.770535342389293,-0.22889629471939704,-0.15615121109256636,3.999920001599968e-05,10,10,10,10,0.19194710996110897,3,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,peephole,6.591179078475226,5.743593668538004,6.45040361747485,6.757432647062378,-0.18414748954516602,0.831813111041532,-16.8186888958468,-12.859389797269749,-2.1358160554324046,2.5223646119718612,-0.2053142267765672,-0.1627557054051525,3.999920001599968e-05,10,10,10,10,0.18414748954516602,4,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,lsr,6.591179078475226,5.743593668538004,6.565380016878451,6.847880382180887,-0.17977594253703444,0.8354573809033092,-16.45426190966908,-12.859389797269749,-0.39141800411744976,3.8946188633224965,-0.20068404953647312,-0.15787096655233712,3.999920001599968e-05,10,10,10,10,0.17977594253703444,5,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,phi-elim-edge-splitting,6.591179078475226,5.743593668538004,6.490438019650987,6.693212830862196,-0.16841114549322467,0.8450063427051236,-15.499365729487636,-12.859389797269749,-1.528422420705089,1.548034898948214,-0.19751111370519248,-0.1371884161047146,3.999920001599968e-05,10,10,10,10,0.16841114549322467,6,extreme,0.00011389137568878126,True,False,negative_interaction
UnreachablePropagation,lsr,6.591179078475226,6.397942348636978,6.565380016878451,7.529680441763486,-0.16679803274530025,0.8463705332093476,-15.362946679065237,-2.9317475301088303,-0.39141800411744976,14.238747758396041,-0.1908660887003264,-0.14289667182678456,3.999920001599968e-05,10,10,10,10,0.16679803274530025,7,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,machine-sink,6.591179078475226,5.743593668538004,6.209547280673025,6.380203462936324,-0.16475915873290536,0.8480979364747762,-15.190206352522384,-12.859389797269749,-5.790038371867235,-3.2008782196175534,-0.1893774541005675,-0.1406736380498652,3.999920001599968e-05,10,10,10,10,0.16475915873290536,8,extreme,0.00011389137568878126,True,False,negative_interaction
UnreachablePropagation,machine-licm,6.591179078475226,6.397942348636978,6.361458072059072,7.211868409349127,-0.15522627262425326,0.8562214160962295,-14.377858390377051,-2.9317475301088303,-3.4852793966158813,9.41696961171763,-0.1763066241000177,-0.13326820363647787,3.999920001599968e-05,10,10,10,10,0.15522627262425326,9,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,nounwind-inference,6.591179078475226,5.743593668538004,6.395108628286689,6.5024671562412015,-0.15429540882493353,0.8570188126929094,-14.298118730709064,-12.859389797269749,-2.9747401467036916,-1.345918858793116,-0.18186847302713213,-0.1259241315350533,3.999920001599968e-05,10,10,10,10,0.15429540882493353,10,extreme,0.00011389137568878126,True,False,negative_interaction
GVN,lsr,6.591179078475226,6.595301461366473,6.565380016878451,5.652192841452962,0.15039205183296156,1.162289831274069,16.228983127406906,0.06254393701288219,-0.39141800411744976,-14.246104161980755,0.133450048572632,0.16808886512854543,3.999920001599968e-05,10,10,10,10,0.15039205183296156,11,extreme,0.00011389137568878126,True,False,positive_interaction
JumpThreading,preheader-prot,6.591179078475226,5.743593668538004,6.378328792877106,6.459250146227895,-0.1502542790360306,0.8604891442539044,-13.951085574609557,-12.859389797269749,-3.229320324389673,-2.0015983586027963,-0.17472733601568777,-0.1267408266306357,3.999920001599968e-05,10,10,10,10,0.1502542790360306,12,extreme,0.00011389137568878126,True,False,negative_interaction
GVN,i2p-p2i-opt,6.591179078475226,6.595301461366473,6.400165831663289,5.525803046525411,0.1475205604625105,1.158957113279067,15.895711327906703,0.06254393701288219,-2.898013307447944,-16.16366387963888,0.13027116668250424,0.16607964239952347,3.999920001599968e-05,10,10,10,10,0.1475205604625105,13,extreme,0.00011389137568878126,True,False,positive_interaction
UnreachablePropagation,branch-fold,6.591179078475226,6.397942348636978,6.386788418482252,7.124629980755625,-0.139082066359697,0.8701566149422134,-12.98433850577866,-2.9317475301088303,-3.1009726417607353,8.093406292395944,-0.1664944875283998,-0.1113016263107072,3.999920001599968e-05,10,10,10,10,0.139082066359697,14,extreme,0.00011389137568878126,True,False,negative_interaction
UnreachablePropagation,ifcvt-triangle-rev,6.591179078475226,6.397942348636978,6.404486807414629,7.110422422506172,-0.13431866731322262,0.8743114057393696,-12.568859426063039,-2.9317475301088303,-2.832456360809199,7.877852169525124,-0.15627381222435563,-0.11122225028177446,3.999920001599968e-05,10,10,10,10,0.13431866731322262,15,extreme,0.00011389137568878126,True,False,negative_interaction
UnreachablePropagation,early-taildup,6.591179078475226,6.397942348636978,6.364042164037548,7.055736916845188,-0.13293311833807686,0.875523646627177,-12.447635337282303,-2.9317475301088303,-3.4460740898307085,7.04817503573929,-0.15890178680224265,-0.10565452839849317,3.999920001599968e-05,10,10,10,10,0.13293311833807686,16,extreme,0.00011389137568878126,True,False,negative_interaction
JumpThreading,machine-cse,6.591179078475226,5.743593668538004,6.741873874743039,6.698202608996149,-0.13114847661820583,0.8770875377312606,-12.291246226873941,-12.859389797269749,2.2863101498779903,1.623738776426653,-0.15863300819970005,-0.10242301839650107,3.999920001599968e-05,10,10,10,10,0.13114847661820583,17,extreme,0.00011389137568878126,True,False,negative_interaction
UnreachableEnumBranching,peephole,6.591179078475226,6.4578908249752605,6.45040361747485,7.187212585985274,-0.12859019713784803,0.8793342454092384,-12.066575459076157,-2.022221698318649,-2.1358160554324046,9.042896580621097,-0.15586047411133971,-0.10099174235438628,3.999920001599968e-05,10,10,10,10,0.12859019713784803,18,strong,0.00011389137568878126,True,False,negative_interaction
UnreachableEnumBranching,spill-fusing,6.591179078475226,6.4578908249752605,6.424741061245685,7.158187753696269,-0.1285299987457087,0.8793871815102832,-12.061281848971683,-2.022221698318649,-2.52516302846445,8.60253785354914,-0.15181516485590105,-0.10477830636137955,3.999920001599968e-05,10,10,10,10,0.1285299987457087,19,strong,0.00011389137568878126,True,False,negative_interaction
UnreachablePropagation,advanced-peeling,6.591179078475226,6.397942348636978,6.426818509290221,7.092083528725189,-0.12825536003183902,0.8796287284423578,-12.037127155764216,-2.9317475301088303,-2.4936444182158013,7.599618282042497,-0.1555295343979337,-0.10055048084174757,3.999920001599968e-05,10,10,10,10,0.12825536003183902,20,strong,0.00011389137568878126,True,False,negative_interaction
UnreachablePropagation,replace-with-vec-lib,6.591179078475226,6.397942348636978,6.394299774762328,7.0541003795798884,-0.12795794978689035,0.8798903779446404,-12.010962205535957,-2.9317475301088303,-2.9870119043775456,7.0233458322566555,-0.15311706358751295,-0.10382228426345201,3.999920001599968e-05,10,10,10,10,0.12795794978689035,21,strong,0.00011389137568878126,True,False,negative_interaction
