Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med,run_repeats_med
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1540,10,7.219892,7.145656,0.569249,0.079664,145.836902,145.836902,0.000000,0.000000,2621472.000000,2621472,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_ABL_001_CopyProp,10,6.447995,6.312055,0.454713,0.072039,138.456167,138.456167,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0852,10,7.248263,7.232830,0.487185,0.067357,129.138665,129.138665,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0623,10,6.567078,6.559741,0.440587,0.067165,116.020482,116.020482,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1481,10,6.661629,6.663680,0.441058,0.066188,119.799958,119.799958,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0932,10,6.572985,6.670578,0.431700,0.064717,115.731877,115.731877,0.000000,0.000000,2621512.000000,2621512,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0366,10,6.535544,6.504523,0.408229,0.062761,119.085782,119.085782,0.000000,0.000000,2623184.000000,2623184,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1049,10,6.562958,6.490100,0.407039,0.062717,123.544349,123.544349,0.000000,0.000000,2621488.000000,2621488,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0132,10,6.595787,6.623562,0.410486,0.061974,117.926450,117.926450,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0955,10,6.560162,6.483683,0.400103,0.061709,119.387154,119.387154,0.000000,0.000000,2621512.000000,2621512,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1498,10,6.669963,6.706831,0.413467,0.061649,117.717157,117.717157,0.000000,0.000000,2621200.000000,2621200,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0084,10,6.589823,6.589905,0.404006,0.061307,117.226357,117.226357,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0417,10,6.488813,6.404347,0.384477,0.060034,122.205470,122.205470,0.000000,0.000000,2621904.000000,2621904,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_ABL_048_disable-mergeicmps,10,6.769678,6.697098,0.398109,0.059445,131.515039,131.515039,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0706,10,6.559712,6.456470,0.382966,0.059315,124.455977,124.455977,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0477,10,6.519450,6.575332,0.387949,0.059001,118.938331,118.938331,0.000000,0.000000,2621680.000000,2621680,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0918,10,6.485578,6.445630,0.377430,0.058556,119.328894,119.328894,0.000000,0.000000,2621512.000000,2621512,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1089,10,6.765335,6.659738,0.388757,0.058374,122.138748,122.138748,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1026,10,6.495275,6.506492,0.379470,0.058322,119.333832,119.333832,0.000000,0.000000,2621488.000000,2621488,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1593,10,6.944963,6.837387,0.398674,0.058308,128.055694,128.055694,0.000000,0.000000,2620832.000000,2620832,75
