ConfigName,Case,Group,RunCount,LLVM_Pass,MIR_Pass,baseline_config,BinarySize(Bytes)_med,BinarySize(Bytes)_delta,BinarySize(Bytes)_delta_pct,TotalRuntime(s)_med,TotalRuntime(s)_delta,TotalRuntime(s)_delta_pct,CompileTime(s)_med,CompileTime(s)_delta,CompileTime(s)_delta_pct,NsPerIter_med,NsPerIter_delta,NsPerIter_delta_pct,MBps_med,MBps_delta,MBps_delta_pct,VectorizeRemarkCount_med,VectorizeRemarkCount_delta,VectorizeRemarkCount_delta_pct,MIR_BBCount_med,MIR_BBCount_delta,MIR_BBCount_delta_pct,MIR_LocalCount_med,MIR_LocalCount_delta,MIR_LocalCount_delta_pct,LLVMIR_Vectorized_med,LLVMIR_Vectorized_delta,LLVMIR_Vectorized_delta_pct,LLVMIR_VectorWidth_med,LLVMIR_VectorWidth_delta,LLVMIR_VectorWidth_delta_pct
EXP_000_ALL_OFF,easy_case,Matrix,3,None,All,EXP_000_DEFAULT,493568.0,32.0,0.006483822861959411,5.045142,0.8811870000000006,21.16226039906773,1.482721,0.09661799999999987,6.970477662915372,838437.0,147242.0,21.30252678332453,10005.0,-2131.0,-17.55932762030323,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_000_ALL_OFF,mir_dependent_case,Matrix,3,None,All,EXP_000_DEFAULT,493568.0,32.0,0.006483822861959411,4.491979,0.25176,5.937429175238354,1.482721,0.09661799999999987,6.970477662915372,746099.0,42002.0,5.9653712485637636,11243.0,-670.0,-5.624108117182909,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_000_DEFAULT,easy_case,Matrix,3,baseline,N/A,EXP_000_DEFAULT,493536.0,0.0,0.0,4.163955,0.0,0.0,1.386103,0.0,0.0,691195.0,0.0,0.0,12136.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_000_DEFAULT,mir_dependent_case,Matrix,3,baseline,N/A,EXP_000_DEFAULT,493536.0,0.0,0.0,4.240219,0.0,0.0,1.386103,0.0,0.0,704097.0,0.0,0.0,11913.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_001_DISABLE_ALL,easy_case,Matrix,3,All,N/A,EXP_000_DEFAULT,493792.0,256.0,0.05187058289567529,4.68055,0.5165950000000006,12.406354055219152,1.419659,0.03355599999999992,2.420887913813037,777654.0,86459.0,12.508626364484696,10787.0,-1349.0,-11.115688859591298,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_001_DISABLE_ALL,mir_dependent_case,Matrix,3,All,N/A,EXP_000_DEFAULT,493792.0,256.0,0.05187058289567529,5.071422,0.8312030000000004,19.602831834865142,1.419659,0.03355599999999992,2.420887913813037,843156.0,139059.0,19.749977630923013,9949.0,-1964.0,-16.486191555443632,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_ABL_001_CopyProp,easy_case,Matrix,3,None,CopyProp,EXP_000_DEFAULT,493536.0,0.0,0.0,4.119772,-0.04418299999999942,-1.0610825525251695,1.487906,0.10180299999999987,7.344547988136514,684062.0,-7133.0,-1.0319808447688423,12262.0,126.0,1.0382333553065262,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_ABL_001_CopyProp,mir_dependent_case,Matrix,3,None,CopyProp,EXP_000_DEFAULT,493536.0,0.0,0.0,4.257441,0.017222000000000293,0.4061582668253761,1.487906,0.10180299999999987,7.344547988136514,703954.0,-143.0,-0.02030970164622204,11916.0,3.0,0.02518257365902795,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_ABL_001_disable-binop-extract-shuffle,easy_case,Matrix,3,binop-extract-shuffle,N/A,EXP_000_DEFAULT,493536.0,0.0,0.0,4.293867,0.12991200000000003,3.119918442922655,1.433188,0.04708499999999982,3.3969337055038342,713352.0,22157.0,3.2056076794536996,11759.0,-377.0,-3.1064601186552405,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_ABL_001_disable-binop-extract-shuffle,mir_dependent_case,Matrix,3,binop-extract-shuffle,N/A,EXP_000_DEFAULT,493536.0,0.0,0.0,4.290621,0.05040200000000006,1.1886650194247057,1.433188,0.04708499999999982,3.3969337055038342,712563.0,8466.0,1.2023911478106,11772.0,-141.0,-1.1835809619743138,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
